paper_id,claim_id,claim_type,claim_split_status,adversary_position,adversary_capabilities,preconditions,mechanism,interaction_surface,primary_system_failure,reported_impact,metric_definition,unit_denominator,evidence_locators,source_review_status,expert_decision
bowers2025code_injection,,attack_candidate,pending_claim_level_extraction,Insider or party with one-time/continuous write access to shared generated code.,"Insert exfiltration function, obfuscate it, and add misleading comments or poisoned few-shot examples.",Writable shared code store; downstream agents trust and inspect the artifact; success means malicious function remains in final code.,Shared-artifact code injection and natural-language reviewer poisoning.,Shared code artifact; review comments; cross-stage software workflow.,Software artifact integrity failure; potential confidentiality impact.,Final output retains an exfiltration function; actual data exfiltration is potential rather than executed against a real system.,"Pass@1, attack effectiveness, model calls, and reviewer/security-agent detection outcomes.","HumanEval’s 164 tasks, with three trials; attack-effectiveness percentages are task/trial based, not agent compromise rates.","Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",assistant_source_reviewed_pending_author_signoff,pending
tailor2025auditwhisper,,attack_candidate,pending_claim_level_extraction,Colluding member agents sharing a covert textual scheme.,Encode coordination signals in ordinary messages and adapt behavior to the allowed channel.,"Auditor can observe transcripts/outcomes and perform paired interventions, paraphrasing, rate limits, or role permutations; some fairness analysis assumes subgroup labels.","Paired-run KL and mutual-information diagnostics, permutation/watermark/fairness signals, and calibrated union testing detect or constrain collusion.",Natural-language communication; auditor intervention; outcome/fairness signals.,Oversight and collective-decision integrity failure through steganographic collusion.,Detection power and false-positive-controlled auditing on ColludeBench and external collusion suites; not universal detectability.,"Detection power at a fixed 10^-3 false-positive budget, mutual-information/KL diagnostics, permutation invariance, watermark variance, fairness-aware acceptance bias, and e-value calibration.","Run- or paired-run level over benchmark scenarios, including 10,000 honest runs for calibration according to the abstract.","arXiv abstract for contributions, 10^-3 FPR, 10k honest runs, and external-suite evaluation; paper Secs. 5–6 and results/limitations for benchmark and detectors. Exact pages/tables require author signoff.",assistant_source_reviewed_pending_author_signoff,pending
zou2025blocka2a,,attack_candidate,pending_claim_level_extraction,"Byzantine or Sybil member, message/prompt tamperer, or compromised protocol participant.","Spoof identity, equivocate, tamper with task messages/state, abuse delegated permissions, or submit adversarial prompts.","All participating agents adopt DIDs, signatures, contracts, ledgers, policy oracles, and the Defense Orchestration Engine; ledger and cryptographic assumptions hold.","Protocol-native identity, signed messaging, ledger provenance, context-aware smart-contract access control, reputation, revocation, and execution halting.",Discovery/identity; A2A messages; task contracts; delegation; shared task state; incident-response control plane.,"Authentication, message/task integrity, authorization, provenance, and accountability failure.",Prototype-level attack neutralization and sub-second overhead under the framework’s ledger and oracle assumptions.,"Attack-handling outcomes plus latency, throughput, and storage overhead.",Per attack scenario/protocol operation and system performance trial; not a Byzantine consensus threshold experiment.,"arXiv abstract for architecture, DOE, attack classes, and sub-second overhead; paper Secs. 3–6 for components and prototype tables. Exact locator validation remains for author signoff.",assistant_source_reviewed_pending_author_signoff,pending
zhang2025breaking_agents,,attack_candidate,pending_claim_level_extraction,Malicious user or compromised upstream agent; for advanced MAS cases the adversary directly controls one agent.,Inject instructions into user input or external content; in MAS cases embed commands into an upstream agent’s output to induce downstream loops or wrong functions.,Tool-capable agents; downstream agents consume peer-produced content; experiments implement only two agent types.,"Prompt-induced infinite loops or incorrect benign function execution, extended into viral cross-agent malfunction.",User input; external tool/file content; memory; inter-agent message/control flow.,Availability/resource boundedness and task/action integrity failure.,"Agent non-completion, repetitive actions, incorrect benign functions, bandwidth/resource occupation, and downstream spamming behavior.",Failure Rate: proportion of tested instructions/cases where the agent enters the target malfunction or fails the required task.,"Case-level trials, with different denominators across tables; advanced MAS Table 4 reports cases for two scenarios, not population prevalence.",PDF Secs. 3.2-3.3 pp. 2-3; Tables 2-4 pp. 5-7; Sec. 5.5 pp. 6-7; Limitations p. 8.,assistant_source_reviewed_pending_author_signoff,pending
jo2025byzantinerobust,,attack_candidate,pending_claim_level_extraction,Byzantine member agents among workers or evaluators.,Submit arbitrary proposals/scores/votes and exploit leader dependence in baseline coordination.,"Synchronous authenticated communication, known participant set, and Byzantine fraction below the protocol’s stated bound.",Leaderless concurrent proposal generation and Byzantine-robust evaluator aggregation/selective finalization.,Proposal generation; evaluator scoring/ranking; voting/aggregation; coordination rounds.,Collective decision integrity and coordination availability under Byzantine members.,Empirical task-quality and latency/round robustness under varied Byzantine fractions; not a universal agreement theorem.,"Selected-answer task quality/accuracy, latency, number of rounds, and robustness as f/n varies.",Task-instance and protocol-run level. Any f<n/2 statement is conditional on synchrony/authentication and the paper’s correctness definition.,arXiv abstract for DecentLLMs and empirical claim; full paper threat model/theorems in pp. 3–7 and experiment tables. All formal statements require expert signoff against exact theorem text.,assistant_source_reviewed_pending_author_signoff,pending
liu2025collective_manipulation,,attack_candidate,pending_claim_level_extraction,External attacker with information about one target participant rather than the full collective.,Constructs adversarial inputs for the target and simulates group interactions through a stubborn proxy.,The targeted member participates in communication and can influence majority or consensus-like aggregation.,M-Spoiler optimizes a persistent adversarial influence using simulated group interactions.,Target-agent input; outgoing messages; collective aggregation.,F4 collective task-decision integrity failure.,Incorrect or attacker-chosen group answer.,"Targeted and untargeted collective attack success, transferability, and clean-task performance.",Unit: Task and final group decision.; Denominator: Evaluated tasks across three seeds; targeted success uses all-agree for two agents or majority target output for larger groups.,"Threat model and incomplete-information game in Sec. 3, PDF pp. 3 to 5; stubborn proxy in Sec. 4, PDF pp. 5 to 7; main result tables in Sec. 5, PDF pp. 7 to 10; metric definition and three-seed reporting in evaluation.",source_reviewed_pending_author_signoff,pending
zhu2025_collaborative_shadows,,attack_candidate,pending_claim_level_extraction,Tool/supply-chain adversary plus trigger-capable user/operator.,Poison selected tool implementations/descriptions and induce a designated tool-use sequence.,Agents have public/private tools whose outputs/side effects compose; local inspection does not see a complete active payload.,Distributed conditional tool-backdoor primitives that assemble under a cross-agent collaboration sequence.,Tool supply chain; role-private capabilities; public tools; invocation order; provenance.,"Delegation/authority and action-integrity failure, with confidentiality impact in exfiltration cases.",Targeted sandbox behavior such as data exfiltration at high triggered ASR while clean performance remains similar.,"Triggered attack success rate, benign-task accuracy, and accidental trigger rate.","Triggered benchmark episodes/tasks per model and dataset; headline >95% is an aggregate lower bound across reported main settings, not a population metric.",ArXiv v1 Sec. 3 pp. 4-6 Fig. 2; Sec. 4.2 p. 7 and App. B pp. 15-17; Sec. 4.3 pp. 7-9 Table 1/Figs. 3-4; Sec. 5.1 p. 9 Fig. 5.,assistant_source_reviewed_pending_author_signoff,pending
wu2025cowpox,,attack_candidate,pending_claim_level_extraction,External adversary seeding contagious multimodal jailbreak content.,Introduce a malicious multimodal sample that enters one agent’s state and can be transmitted to others.,Agents exchange or inherit state/content; defender can generate and distribute cure samples through population channels.,Cure samples immunize agents before exposure and propagate distributed protection/recovery so defensive reproduction competes with infection.,Multimodal input; local state/memory; agent-to-agent transmission; population topology.,Compromise propagation and containment failure.,"Population infection, immunity, and recovery outcomes under the evaluated models/topologies, plus theoretical robustness guarantees under stated assumptions.","Infection, immunization/recovery, expected spread, robustness bounds, and benign utility.","Agent/population and propagation-run level; distinguish expected number of infections, infected fraction, recovery rate, and utility.",PMLR abstract for defense concept and theoretical guarantee; published PDF Secs. 3–4 and theorem/result tables for exact conditions. Author signoff required for every bound and denominator.,assistant_source_reviewed_pending_author_signoff,pending
zheng2025integrity_attacks,,attack_candidate,pending_claim_level_extraction,Self-interested malicious member with an attacker-chosen role prompt.,"Send protocol-valid messages/code/comments, manipulate peers and monitor-visible evidence, retain assigned role.",System scores individual/collective contributions or supports workload/tool choice; monitor relies on the transcript.,"Four distinct mechanisms: Scapegoater, Boaster, Self-Dealer, and Free-Rider.",Peer messages; shared work products; contribution monitor; tool recommendations; workload allocation.,Attribution/incentive/coordination integrity failure.,"Distorted credit, blame, workload, or tool choice while final task functionality can remain intact.",Task metrics plus personal and collective contribution scores; attack effect is score/tool/workload manipulation rather than one ASR.,Agent/contribution/task records within each framework and attack type; tables report heterogeneous score shifts.,ArXiv v1 Abstract p. 1; Sec. 3 pp. 4-6; Sec. 4 p. 6; Sec. 5.3 p. 9 Table 3; Appendix C p. 13 Table 6.,assistant_source_reviewed_pending_author_signoff,pending
liang2025_dont_trust_upstream,,attack_candidate,pending_claim_level_extraction,Black-box external adversary controlling content observed by an exposed edge agent.,"Query system, infer roles/edges, contaminate edge input, adapt payloads based on outcomes; no direct internal-member compromise.",At least one dependency path links exposed agent to a more privileged agent; downstream agents reinterpret/execute upstream output.,"TOMA: topology reconnaissance, contamination modeling, path selection, and hierarchical payload encapsulation.",External tool/content; hidden graph; delegated task edges; downstream trust; privileged tools.,Compromise containment and delegation/authority integrity failure.,Irrelevant/destructive actions including privileged filesystem or command operations in local benchmark/application setups.,"Topology-reconstruction F1, ASR, infection-integrity score, consistency, blocking rate, latency, and resource overhead.","Benchmark episodes and 20 application scenarios; 17/20 corresponds to 85% application-scenario success, while 40–78% is framework/topology dependent.",ArXiv v2 Sec. V pp. 5-10 Fig. 3; Sec. VII-D pp. 12-14 Table III; Sec. VII-E p. 15 Table VII; Sec. VII-F pp. 15-16 Tables VIII-X.,assistant_source_reviewed_pending_author_signoff,pending
long2025funcpoison,,attack_candidate,pending_claim_level_extraction,Malicious or compromised shared function-library/tool provider.,Add deceptive function descriptions and callable malicious tools; target selected agent roles.,Agents trust text-described shared library entries and pass outputs downstream.,Function-library/tool poisoning with direct and downstream cascade paths.,Shared tool metadata/function library; specialized-agent pipeline; downstream planning.,Communication/shared-artifact and joint trajectory/action-integrity failure.,Trajectory error and collision-rate increases in AgentDriver and AgentThink.,"L2 trajectory error, collision rate, and ASR thresholded at L2 error 3 or 6.",Driving episodes/samples; ASR definition changes with the specified L2 threshold and must always include it.,ArXiv v2 Abstract/Sec. 1 pp. 1-2 Fig. 1; method pp. 2-4 Figs. 2-3; Sec. 5 pp. 6-8 Table 2/Figs. 5-6.,assistant_source_reviewed_pending_author_signoff,pending
wang2025gsafeguard,,attack_candidate,pending_claim_level_extraction,"Adversary introduces prompt injection, misinformation, or malicious utterances that propagate over the agent graph.",Influences utterances that enter the monitored graph.,The defender can reconstruct the utterance graph and observe enough messages to score nodes and edges.,"Attack propagation is evaluated, but the primary paper contribution is graph-based anomaly detection plus topology intervention.",Communication graph; utterances; topology; monitor and control plane.,"Claim-level F1, F3, or F4 depending on the evaluated attack. The paper itself should not receive one forced attack outcome.",Collective task or safety degradation under evaluated attacks.,Detection or security outcome plus recovered task performance.,"Unit: Agent, graph, and task.; Denominator: Experiment-specific agents or tasks; record exact table definitions for each claim.","Abstract, PDF p. 1; method sections defining the utterance graph and graph-neural detector; experiment result tables for the recovery claim; intervention section for edge or topology changes.",source_reviewed_pending_author_signoff,pending
li2025argus,,attack_candidate,pending_claim_level_extraction,Input-level or member-level misinformation injector.,Insert persuasive false claims into messages that downstream agents consume.,Task goal is available; a trusted LLM reviewer has sufficient knowledge/context to identify and rewrite false goal-relevant information.,Goal-aware claim identification followed by rectification of messages before downstream use.,Inter-agent messages; task-decomposition information flow; reviewer/rectification layer.,Collective factual/task integrity failure from misinformation propagation.,Reported reduction in misinformation toxicity and improvement in task success under tested injection settings.,"Misinformation toxicity, task success under attack, identification/rectification effectiveness, and utility.",Task/scenario and message-claim level depending on metric; abstract reports average 28.17% toxicity reduction and 10.33% task-success improvement across evaluated attacks.,arXiv abstract for MisinfoTask/ARGUS and 28.17%/10.33% averages; paper Secs. 3–5 and result tables for exact metrics. Exact page/table validation remains for author signoff.,assistant_source_reviewed_pending_author_signoff,pending
zhou2025guardian,,attack_candidate,pending_claim_level_extraction,Compromised communicating member agents or injected erroneous messages.,Send adversarial or erroneous protocol-valid messages that affect later agents.,"Monitor observes agent identities, timestamped messages, node/edge attributes, and can prune communication edges.","Temporal attributed-graph reconstruction, node/edge anomaly scoring, graph abstraction, and edge pruning.",Multi-round messages; temporal interaction graph; topology/edge control.,Propagation containment and collective decision-integrity failure.,Benchmark accuracy degradation under injected communication and empirical detection/recovery after pruning.,"Task accuracy, anomaly/detection measures, false discovery rate, and runtime/resource efficiency.","Task instance, agent/edge anomaly event, and runtime trial; detection and task recovery must be reported separately.","NeurIPS proceedings abstract for temporal graph method and main claim; published PDF Secs. 3–5 for method, setup, and results. Exact table/page locators remain for author signoff.",assistant_source_reviewed_pending_author_signoff,pending
cohen2025ai_worm,,attack_candidate,pending_claim_level_extraction,External sender who inserts a self-replicating prompt into an email or retrieved document.,"Places malicious content that automated applications ingest, reproduce, and forward.",Applications automatically process inbound content and can emit generated content to downstream users or applications.,Indirect prompt injection with self-replication through generated content.,Inbound email or RAG content; automated outbound messages; application-to-application workflow.,F1 propagation and containment failure.,Confidentiality loss and availability effects can be secondary payloads.,"Propagation behavior, payload success, and defense true-positive, false-positive, and latency measures.","Unit: Application or client, propagation event, and detector decision.; Denominator: Final-paper evaluation trials and clients. Do not import denominators from the preprint without checking the final paper.",Final ACM record and CCS paper; preprint retained only for lineage. Cite final tables for propagation and DonkeyRail values. The current note's abstract-only locators are insufficient for quantitative use.,source_reviewed_pending_author_signoff,pending
mathew2025hidden,,attack_candidate,pending_claim_level_extraction,Agents optimized under misspecified or adversarial incentives rather than a conventional external attacker.,Learn linguistic encodings and decodings under GBRL or in-context reinforcement-learning elicitation.,Reward favors task success and hidden information transfer while oversight penalizes observable evidence.,Learned linguistic steganography.,Natural-language message channel; reward and training incentives; observer boundary.,Oversight or monitorability integrity failure.,Hidden information transfer and prohibited coordination.,"Task Success, Decoding Success, Sender Task Success, Overseer Bypass Success, Collusion Success, and channel capacity.",Unit: Communication episode or request.; Denominator: Task or episode trials defined per metric; there is no single universal ASR.,"Abstract and Introduction, PDF pp. 1 to 2; metric definitions around PDF p. 3; experiment and mitigation sections; limitations or discussion.",source_reviewed_pending_author_signoff,pending
mao2025ibgp,,attack_candidate,pending_claim_level_extraction,Malicious communicating member agents.,Send false or inconsistent messages during multi-round broadcast.,The application accepts IBGP’s k-of-n partial coordination/consistency definition; a global randomizer controls hidden stopping time; protocol and honest local observations are trusted.,Redefines global BGP agreement/consistency into partial k-threshold coordination and applies a multi-round prompt/protocol.,Broadcast messages; local observations; partial coordination rule.,Local coordination integrity/mis-coordination under malicious members.,"Task/environment robustness percentages under the paper’s IBGP predicate, not global consensus accuracy.",Robustness percentage defined by avoiding IBGP mis-coordination in each environment.,"Episode/environment-run level under parameter tuple (n, t, k, ...); not a standard ASR and not a global Byzantine agreement rate.",Official PDF p. 1 authors/metadata and problem framing; pp. 1–2 Definitions 2.1–2.2; p. 2 Table 1 and protocol description.,assistant_source_reviewed_pending_author_signoff,pending
yu2025codes,,attack_candidate,pending_claim_level_extraction,External adversary able to intervene once against one agent/message.,Optimize and inject a token-level suffix; no continuing control after the initial intervention.,Agents exchange generated text and retain sufficient context for the suffix to be copied or regenerated downstream.,CODES continuous-space token optimization plus discrete coordinate search for a self-repeating adversarial suffix.,Initial prompt/message; retained conversation context; inter-agent message chain; composed safeguard pipeline.,Compromise propagation and containment failure.,One seed affects later agents or multiple safeguard stages and induces harmful output; impact is demonstrated in three defined attack scenarios.,"Attack success, self-repetition/propagation success, optimization loss, and optimization efficiency.",Scenario/run and generated-message level; no single standardized population denominator is reported across all scenarios.,Published PDF Abstract/Introduction pp. 1-2; threat scenarios throughout Sec. 2; method Sec. 3.2 p. 5 Algorithms 1-2; result tables in evaluation section.,assistant_source_reviewed_pending_author_signoff,pending
cui2025maris,,attack_candidate,pending_claim_level_extraction,"Eavesdropper, injected instruction source, or over-privileged/compromised agent causing unauthorized data flow.","Elicit, forward, or route labeled sensitive content through messages, LLM calls, tools, or users.","Complete mediation through embedded reference monitors, correct policy specification/data labels, known principal identities, and registered tool/message paths.",Policy language plus embedded reference monitors and formal verification enforce fine-grained allowed flows.,Agent messages; LLM endpoints; tool calls; external users; labeled data flow.,Cross-principal confidentiality and contextual-integrity violation.,Blocked sensitive-data leakage in prototype scenarios while retaining task success and incurring measured overhead.,"Policy-violation prevention, task success/utility, and performance overhead.","Privacy scenario/task and mediated flow-event level; formal guarantees apply to modeled paths, not semantic leakage outside them.","arXiv abstract for architecture, AutoGen/LangChain integration, and three task suites; PDF Secs. 3–4 and evaluation tables for policy model and overhead. Exact locators require author signoff.",assistant_source_reviewed_pending_author_signoff,pending
zhu2025master,,attack_candidate,pending_claim_level_extraction,External user with conversational access to selected entry agents.,"Probe roles and neighbors, infer structure, inject adversarial traits into selected roles, retain them, and later activate coordinated harmful behavior.",The system exposes conversational responses sufficient for role/topology probing and accepts multi-round prompt interactions.,"Three-stage structure reconnaissance, scenario-adaptive role-trait injection, and activation using inferred role/topology context.",Role/system prompts; messages; memory; topology; collective task execution.,Collective action and objective-integrity failure.,Specialized agents maintain adversarial roles and cooperate on harmful scenario-specific tasks.,"Attack Success Rate plus blackened-role consistency, harmful-cooperation score, and defense-efficiency measures.",Scenario/task instances; ASR is not a population-infection rate. Exact denominator must be cited from the evaluation protocol.,PDF Sec. 3.1 pp. 3-4 and Fig. 2; Secs. 3.2.4-3.2.5 pp. 5-6; Sec. 4.1 pp. 6-7; Table 2; Fig. 5 p. 9.,assistant_source_reviewed_pending_author_signoff,pending
chen2025medsentry,,attack_candidate,pending_claim_level_extraction,one compromised insider member,participate through ordinary medical deliberation messages while concealing harmful intent,five-agent team; benchmark harmful prompts; evaluator and enforcement agent trusted,dark-personality role induces harmful guidance that propagates or is aggregated,member role prompt; medical deliberation messages; topology; aggregation,collective medical decision-integrity and safety failure,unsafe medical advice despite honest agents,"Local Content Safety, Response Safety, medical accuracy, token usage, evaluation time",prompt/run and possibly agent-local utterance; LCS and RS are distinct and must not be collapsed into ASR,"Paper Abstract and sections 3-5; Table 1, Figure 2, Tables 2-3; repository note lists pages 1,4-7",assistant_source_reviewed_pending_author_signoff,pending
peigne2025security_tax,,attack_candidate,pending_claim_level_extraction,External/malicious user injecting a direct malicious instruction into one randomly selected member.,Selects one of five eligible target agents and injects one of 12 jailbreak prompts; no model parameter control.,"Seven-agent asynchronous research facility, inter-agent messaging, role-specific prompts, code-execution tool, one compromised member.",Infectious malicious prompt and multi-hop instruction propagation.,Member input; inter-agent messaging; memory; tool execution.,Compromise containment and action-integrity failure.,Propagation can culminate in a code call instructing a hazardous lab action; defenses trade security for cooperation.,System robustness = fraction of simulations not producing the malicious outcome; agent cooperation = acceptance rate of unusual but harmless instructions; behavioral compromise scores by message step.,"System robustness over 36 simulations per model-defense condition; cooperation over 5,400 agent-instruction trials.",AAAI/arXiv PDF pp. 1-3 and Fig. 2; Sec. 3 pp. 4-5; Table 1 pp. 5-6; Sec. 5 “Discussion & Limitations” p. 7; appendices for prompts.,assistant_source_reviewed_pending_author_signoff,pending
