artifact_id,artifact_name,artifact_type,canonical_paper_id,paper_title,primary_category,note_path,evaluation_focus,unit,denominator,metrics,availability_url,publication_status,notes,display_venue,venue_type,source_version
artifact_netsafe,NetSafe,topology safety evaluation framework,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,evaluations,papers/evaluations/findings_acl/2025_yu_netsafe.md,topology-aware safety,agent; round; network,networks; agents; rounds,joint accuracy; safety,https://aclanthology.org/2025.findings-acl.150/,peer_reviewed,Evaluation-primary canonical record; adversarial claims are a core-security subset.,Findings of ACL,conference,Findings ACL 2025
artifact_mama,MAMA,memory leakage evaluation framework,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,evaluations,papers/evaluations/findings_acl/2026_liu_topology_memory_leakage.md,topology-dependent leakage,run; topology; memory item,runs; items; agents,exact-match and LLM-inference leakage; diffusion,https://aclanthology.org/2026.findings-acl.1980/,peer_reviewed,Evaluation-primary canonical record with attack-study role.,Findings of ACL,conference,Findings ACL 2026
artifact_psysafe,PsySafe,psychological safety benchmark,zhang2024psysafe,PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,attacks,papers/attacks/acl/2024_zhang_psysafe.md,collective psychological safety,scenario; dialogue; agent,scenarios; dialogues; agents,danger rate; safety,https://aclanthology.org/2024.acl-long.812/,peer_reviewed,Canonical attack/defense note; indexed here without duplication.,ACL,conference,ACL 2024
artifact_masleak,MASLEAK,IP leakage benchmark,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,attacks,papers/attacks/usenix_security/2026_wang_masleak.md,IP leakage in MAS,component; trace; sensitive item,components; traces; items,extract rate; leakage,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,peer_reviewed,Canonical attack note; indexed here without duplication.,USENIX Security,conference,USENIX Security 2026
artifact_amongus_attack,Among Us collaboration benchmark,benchmark,yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,attacks,papers/attacks/acl/2026_yang_among_us.md,malicious model contributions,method; dataset; run,methods; datasets; runs,accuracy; safety degradation,https://aclanthology.org/2026.acl-long.725/,peer_reviewed,Canonical attack/defense note; indexed here without duplication.,ACL,conference,ACL 2026
artifact_controlvalve,CFH-Hard,control-flow hijacking benchmark,jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,attacks,papers/attacks/iclr/2026_jha_control_flow_hijacking.md,delegation hijack robustness,task; framework; attack,workflows; tasks; frameworks,ASR; utility,https://openreview.net/forum?id=PNU9Rj5RDQ,peer_reviewed,Canonical attack/defense note; indexed here without duplication.,ICLR,conference,ICLR 2026
artifact_architecture_matters,Architecture Matters,architecture ablation benchmark,hagag2026architecture_matters,Architecture Matters for Multi-Agent Security,attacks,papers/attacks/icml/2026_hagag_architecture_matters.md,design-choice safety evaluation,configuration; benchmark; run,configurations; datasets; runs,ASR; utility; stage outcomes,https://icml.cc/virtual/2026/poster/64792,workshop_or_nonarchival,Canonical attack/evaluation note; indexed here without duplication.,ICML,workshop,ICML 2026
artifact_a2asecbench,A2ASecBench,protocol security benchmark,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,evaluations,papers/evaluations/iclr/2026_li_a2asecbench.md,A2A protocol security,attack; benign task; domain,attacks; paired trials; domains,safety; utility,https://safo-lab.github.io/A2ASecBench/,peer_reviewed,Evaluation-primary canonical record.,ICLR,conference,ICLR 2026
artifact_safeagents,SafeAgents and DHARMA,architecture-aware security framework,arora2026safeagents,Exposing Weak Links in Multi-Agent Systems under Adversarial Prompting,evaluations,papers/evaluations/aamas_workshop/2026_arora_safeagents.md,architecture-aware MAS safety,trajectory; stage; architecture,architectures; datasets; trajectories,ASR; RR; ARIA; DHARMA,https://github.com/microsoft/SafeAgents,workshop_or_nonarchival,Evaluation-primary canonical record.,AAMAS Strategic Engineering Workshop,workshop,AAMAS Strategic Engineering Workshop 2026
artifact_troublemaker,TMCHT,contagious-jailbreak benchmark,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,attacks,papers/attacks/acl/2025_men_troublemaker.md,propagation evaluation,seed; agent; round,line/star/population runs,propagation and task outcomes,https://aclanthology.org/2025.acl-long.859/,peer_reviewed,Canonical attack note; indexed here without duplication.,ACL,conference,ACL 2025
artifact_master,MASTER,role/topology adaptive attack framework,zhu2025master,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,attacks,papers/attacks/findings_emnlp/2025_zhu_master.md,topology-aware red-team evaluation,scenario; topology; run,seven domains; topology families; runs,ASR; role consistency; harmful cooperation,https://aclanthology.org/2025.findings-emnlp.917/,peer_reviewed,Canonical attack note; indexed here without duplication.,Findings of EMNLP,conference,Findings EMNLP 2025
artifact_shadows_code,Shadows in the Code benchmark,software-development MAS benchmark,wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,attacks,papers/attacks/aaai/2026_wang_shadows_code.md,software-agent security,framework; task; run,three frameworks; synthetic requirements; runs,ASR; benign success,https://ojs.aaai.org/index.php/AAAI/article/view/41134,peer_reviewed,Canonical attack note; indexed here without duplication.,AAAI,conference,AAAI 2026
artifact_lying_truths,Generative Montage evaluation,collusion and belief-manipulation benchmark,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,attacks,papers/attacks/acl/2026_hu_lying_truths.md,open-channel collusion,episode; agent; belief,scenario and model runs,belief manipulation; collusion,https://aclanthology.org/2026.acl-long.270/,peer_reviewed,Canonical attack note; indexed here without duplication.,ACL,conference,ACL 2026
artifact_hierarchical_attacks,Hierarchical Attacks benchmark,multimodal MAS reasoning benchmark,zhou2026hierarchical_attacks,Hierarchical Attacks for Multi-Modal Multi-Agent Reasoning,attacks,papers/attacks/cvpr/2026_zhou_hierarchical_attacks.md,hierarchical multimodal attack,task; hierarchy; run,reasoning tasks; architectures; runs,ASR; task accuracy,https://openaccess.thecvf.com/content/CVPR2026/html/Zhou_Hierarchical_Attacks_for_Multi-Modal_Multi-Agent_Reasoning_CVPR_2026_paper.html,peer_reviewed,Canonical attack note; indexed here without duplication.,CVPR,conference,CVPR 2026
artifact_faulty_agents,Faulty-agent resilience evaluation,fault-injection benchmark,huang2025faulty_agents,On the Resilience of LLM-Based Multi-Agent Collaboration with Faulty Agents,attacks,papers/attacks/icml/2025_huang_faulty_agents.md,Byzantine/fault resilience,agent; fault fraction; task,model and fault settings,accuracy; agreement; resilience,https://proceedings.mlr.press/v267/huang25ay.html,peer_reviewed,Canonical attack note; indexed here without duplication.,ICML,conference,ICML 2025
artifact_financial_fraud,Financial fraud scenario benchmark,collusive social-agent benchmark,ren2026financial_fraud,When AI Agents Collude Online: Financial Fraud Risks by Collaborative LLM Agents on Social Platforms,attacks,papers/attacks/iclr/2026_ren_financial_fraud.md,collusive fraud evaluation,scenario; stage; population,28 fraud scenarios; stages; runs,prevalence; success,https://openreview.net/pdf/0319815fc31bf769beeb29104637feb4c664902c.pdf,peer_reviewed,Canonical attack note; indexed here without duplication.,ICLR,conference,ICLR 2026
artifact_trust_paradox,Trust Paradox scenario suite,trust-conditioned privacy benchmark,xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,attacks,papers/attacks/journals_ieee_tcss/2026_xu_trust_paradox.md,trust and leakage,chain; sub-scene; trust level,1488 chains; 19 sub-scenes,disclosure; leakage; utility,https://doi.org/10.1109/TCSS.2026.3695070,peer_reviewed,Canonical attack note; indexed here without duplication.,IEEE Transactions on Computational Social Systems,journal,IEEE TCSS 2026
artifact_prompt_infection,Prompt Infection evaluation suite,propagation benchmark,lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,attacks,papers/attacks/esorics_workshops/2026_lee_prompt_infection.md,replicating prompt injection,instruction; agent; population,120 instructions; populations 10-50,propagation; infection fraction,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_28,peer_reviewed,Canonical attack note; indexed here without duplication.,ESORICS 2025 International Workshops,conference,ESORICS 2025 Workshops
artifact_whos_mole,Who's the Mole benchmark,intention-hiding detection benchmark,xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,attacks,papers/attacks/arxiv/2025_xie_whos_the_mole.md,malicious-agent detection,episode; topology; dataset,three structures; six datasets,ASR; detection; accuracy,https://arxiv.org/abs/2507.04724,non_peer_or_unverified,Canonical attack note; indexed here without duplication.,arXiv,preprint,arXiv v1
artifact_collaborative_shadows,AgentBench-MAS and Multi-Role Collaboration Bench,distributed-backdoor benchmark,zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,attacks,papers/attacks/arxiv/2025_zhu_collaborative_shadows.md,distributed backdoor evaluation,task; role; run,two benchmark adaptations; runs,ASR; benign accuracy,https://arxiv.org/abs/2510.11246,non_peer_or_unverified,Canonical attack note; indexed here without duplication.,arXiv,preprint,arXiv v1
artifact_dont_trust_upstream,Topology-guided propagation benchmark,adversarial propagation benchmark,liang2025_dont_trust_upstream,Don't Trust Your Upstream: Exploiting LLM Multi-Agent System via Topology-Guided Adversarial Propagation,attacks,papers/attacks/arxiv/2025_liang_dont_trust_upstream.md,topology propagation,framework; topology; workload,three frameworks; five topologies; two workloads,ASR; blocking; overhead,https://arxiv.org/abs/2512.04129,non_peer_or_unverified,Canonical attack note; indexed here without duplication.,arXiv,preprint,arXiv v1
artifact_blindguard,BlindGuard evaluation protocol,defense evaluation protocol,miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,defenses,papers/defenses/acl/2026_miao_blindguard.md,unknown-attack defense,agent; graph; round,3 attack families; 4 topologies; 3 backbones,ASR@3; detection AUC,https://github.com/MR9812/BlindGuard,peer_reviewed,Canonical defense note; protocol reuses existing datasets and is not relabeled as a new benchmark.,ACL,conference,ACL 2026
artifact_medsentry,MedSentry,benchmark dataset and attack-defense pipeline,chen2025medsentry,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2025_chen_medsentry.md,medical insider safety,prompt; topology; run,5000 prompts; 25 topics; 100 subtopics; runs,LCS; RS; utility; cost,https://anonymous.4open.science/r/MedSentry-0CD8/,non_peer_or_unverified,Evaluation-primary canonical record; no accepted ICLR version verified.,arXiv,preprint,arXiv v1; ICLR 2026 submission
artifact_badacts,BAD-ACTS,benchmark dataset and executable environments,nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,evaluations,papers/evaluations/colm/2026_nother_bad_acts.md,malicious-member harmful actions,action; environment; run,937 harmful actions; 5 environments; runs,harmful-action success; task outcome,https://github.com/JNoether/BAD-ACTS,peer_reviewed,Evaluation-primary canonical record; accepted version supersedes the smaller arXiv version.,COLM,conference,COLM 2026
artifact_sgoatmas,SGoatMAS evaluation protocol,topology and attribution attack evaluation,xiao2026sgoatmas,You Don't Have to Be the One Doing Evil! Locate a Scapegoat within Multi-Agent Systems for Executing Covert Attacks,attacks,papers/attacks/fedkdd_workshop/2026_xiao_sgoatmas.md,covert scapegoating attack,task; topology; attacker position,5 datasets; 3 topologies; positions,accuracy; detection rate; scapegoat accuracy; VRR,https://openreview.net/forum?id=CIRI47rmLQ,workshop_or_nonarchival,Canonical attack note; evaluation protocol indexed without duplication.,FedKDD/FedMAS Workshop,workshop,FedKDD/FedMAS 2026 Oral
artifact_misinfotask,MisinfoTask,dataset and defense evaluation,li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,defenses,papers/defenses/arxiv/2025_li_argus.md,goal-aware misinformation injection and rectification,task; claim; attack run,complex tool-oriented tasks and injection runs,ASR; identification; rectification; task performance,https://arxiv.org/abs/2506.00509,non_peer_or_unverified,Defense-primary canonical note; named evaluation dataset indexed without duplicating the paper note.,arXiv,preprint,arXiv v1
artifact_alteda_traces,ALTEDA cross-layer trace corpus,generated telemetry dataset,rabieinejad2026alteda,ALTEDA: An Adaptive Layered Threat Detection Architecture for Multi-Agent Systems,defenses,papers/defenses/journals_information_processing_management/2026_rabieinejad_alteda.md,cross-layer attack detection,execution trace,800 synchronized application network and system traces,detection performance; false alarms; earliest detection point,https://doi.org/10.1016/j.ipm.2026.104768,peer_reviewed,Defense-primary canonical note; publication page is indexed because a separate artifact URL was not verified.,Information Processing & Management,journal,Information Processing & Management 2026
artifact_colludebench_v0,ColludeBench-v0,benchmark and audit harness,tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,defenses,papers/defenses/arxiv/2025_tailor_audit_whisper.md,steganographic collusion detection,paired run; transcript; outcome,collusive and control interactions,detection power; false positives; KL diagnostics; fairness,https://arxiv.org/abs/2510.04303,non_peer_or_unverified,Defense-primary canonical note; named benchmark indexed without duplicating the paper note.,arXiv,preprint,arXiv v2
artifact_valueflow,ValueFlow,benchmark and dataset,liu2026valueflow,ValueFlow: Measuring the Propagation of Value Perturbations in Multi-Agent LLM Systems,evaluations,papers/evaluations/arxiv/2026_liu_valueflow.md,value propagation and collective alignment,agent response; perturbed node; system output,56 values across models roles personas and topologies,beta-susceptibility; system susceptibility,https://arxiv.org/abs/2602.08567,non_peer_or_unverified,Evaluation-primary canonical record; controlled perturbation is not treated as a deployment incident.,arXiv,preprint,arXiv v2
