analysis_id,paper_id,candidate_signal,eligibility_decision,exclusion_reason,peer_review_status,evidence_locator,adjudicator,adjudication_date,adjudication_note
metric_comparability,gu2024agent_smith,candidate,pending_expert_adjudication,,ICML,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",,,
observer_scope_audit,gu2024agent_smith,no_signal,pending_expert_adjudication,,ICML,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",,,
assumption_audit,gu2024agent_smith,candidate,pending_expert_adjudication,,ICML,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",,,
coverage_audit,gu2024agent_smith,candidate,pending_expert_adjudication,,ICML,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",,,
attack_landscape,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,no_signal,pending_expert_adjudication,,NeurIPS 2024,NeurIPS 2024 official proceedings metadata; arXiv:2309.17234 for open full text.,,,
defense_landscape,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,no_signal,pending_expert_adjudication,,NeurIPS 2024,NeurIPS 2024 official proceedings metadata; arXiv:2309.17234 for open full text.,,,
benchmark_audit,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,candidate,pending_expert_adjudication,,NeurIPS 2024,NeurIPS 2024 official proceedings metadata; arXiv:2309.17234 for open full text.,,,
metric_comparability,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,no_signal,pending_expert_adjudication,,NeurIPS 2024,NeurIPS 2024 official proceedings metadata; arXiv:2309.17234 for open full text.,,,
observer_scope_audit,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,no_signal,pending_expert_adjudication,,NeurIPS 2024,NeurIPS 2024 official proceedings metadata; arXiv:2309.17234 for open full text.,,,
assumption_audit,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,no_signal,pending_expert_adjudication,,NeurIPS 2024,NeurIPS 2024 official proceedings metadata; arXiv:2309.17234 for open full text.,,,
coverage_audit,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,no_signal,pending_expert_adjudication,,NeurIPS 2024,NeurIPS 2024 official proceedings metadata; arXiv:2309.17234 for open full text.,,,
attack_landscape,amayuelas2024collaboration_attack,candidate,pending_expert_adjudication,,Findings of EMNLP,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,,,
defense_landscape,amayuelas2024collaboration_attack,candidate,pending_expert_adjudication,,Findings of EMNLP,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,,,
benchmark_audit,amayuelas2024collaboration_attack,no_signal,pending_expert_adjudication,,Findings of EMNLP,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,,,
metric_comparability,amayuelas2024collaboration_attack,candidate,pending_expert_adjudication,,Findings of EMNLP,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,,,
observer_scope_audit,amayuelas2024collaboration_attack,no_signal,pending_expert_adjudication,,Findings of EMNLP,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,,,
assumption_audit,amayuelas2024collaboration_attack,no_signal,pending_expert_adjudication,,Findings of EMNLP,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,,,
coverage_audit,amayuelas2024collaboration_attack,candidate,pending_expert_adjudication,,Findings of EMNLP,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,,,
attack_landscape,zhang2024psysafe,candidate,pending_expert_adjudication,,ACL,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",,,
defense_landscape,zhang2024psysafe,candidate,pending_expert_adjudication,,ACL,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",,,
benchmark_audit,zhang2024psysafe,candidate,pending_expert_adjudication,,ACL,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",,,
metric_comparability,zhang2024psysafe,candidate,pending_expert_adjudication,,ACL,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",,,
observer_scope_audit,zhang2024psysafe,no_signal,pending_expert_adjudication,,ACL,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",,,
assumption_audit,zhang2024psysafe,candidate,pending_expert_adjudication,,ACL,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",,,
coverage_audit,zhang2024psysafe,candidate,pending_expert_adjudication,,ACL,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",,,
attack_landscape,motwani2024secret_collusion,candidate,pending_expert_adjudication,,NeurIPS,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",,,
defense_landscape,motwani2024secret_collusion,candidate,pending_expert_adjudication,,NeurIPS,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",,,
benchmark_audit,motwani2024secret_collusion,candidate,pending_expert_adjudication,,NeurIPS,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",,,
metric_comparability,motwani2024secret_collusion,candidate,pending_expert_adjudication,,NeurIPS,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",,,
observer_scope_audit,motwani2024secret_collusion,candidate,pending_expert_adjudication,,NeurIPS,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",,,
assumption_audit,motwani2024secret_collusion,candidate,pending_expert_adjudication,,NeurIPS,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",,,
coverage_audit,motwani2024secret_collusion,candidate,pending_expert_adjudication,,NeurIPS,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",,,
attack_landscape,tan2024wolf_within,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,,,
defense_landscape,tan2024wolf_within,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,,,
benchmark_audit,tan2024wolf_within,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,,,
metric_comparability,tan2024wolf_within,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,,,
observer_scope_audit,tan2024wolf_within,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,,,
assumption_audit,tan2024wolf_within,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,,,
coverage_audit,tan2024wolf_within,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,,,
attack_landscape,arxiv_2508_07667,no_signal,pending_expert_adjudication,,LLMSEC 2025 Workshop,"ACL Anthology 2025.llmsec-1.9, pp. 115-128; later arXiv versions are merged into this canonical work.",,,
defense_landscape,arxiv_2508_07667,candidate,pending_expert_adjudication,,LLMSEC 2025 Workshop,"ACL Anthology 2025.llmsec-1.9, pp. 115-128; later arXiv versions are merged into this canonical work.",,,
benchmark_audit,arxiv_2508_07667,candidate,pending_expert_adjudication,,LLMSEC 2025 Workshop,"ACL Anthology 2025.llmsec-1.9, pp. 115-128; later arXiv versions are merged into this canonical work.",,,
metric_comparability,arxiv_2508_07667,no_signal,pending_expert_adjudication,,LLMSEC 2025 Workshop,"ACL Anthology 2025.llmsec-1.9, pp. 115-128; later arXiv versions are merged into this canonical work.",,,
observer_scope_audit,arxiv_2508_07667,no_signal,pending_expert_adjudication,,LLMSEC 2025 Workshop,"ACL Anthology 2025.llmsec-1.9, pp. 115-128; later arXiv versions are merged into this canonical work.",,,
assumption_audit,arxiv_2508_07667,no_signal,pending_expert_adjudication,,LLMSEC 2025 Workshop,"ACL Anthology 2025.llmsec-1.9, pp. 115-128; later arXiv versions are merged into this canonical work.",,,
coverage_audit,arxiv_2508_07667,no_signal,pending_expert_adjudication,,LLMSEC 2025 Workshop,"ACL Anthology 2025.llmsec-1.9, pp. 115-128; later arXiv versions are merged into this canonical work.",,,
attack_landscape,yu2025trustworthyagents,no_signal,pending_expert_adjudication,,KDD,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,,,
defense_landscape,yu2025trustworthyagents,no_signal,pending_expert_adjudication,,KDD,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,,,
benchmark_audit,yu2025trustworthyagents,no_signal,pending_expert_adjudication,,KDD,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,,,
metric_comparability,yu2025trustworthyagents,candidate,pending_expert_adjudication,,KDD,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,,,
observer_scope_audit,yu2025trustworthyagents,no_signal,pending_expert_adjudication,,KDD,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,,,
assumption_audit,yu2025trustworthyagents,no_signal,pending_expert_adjudication,,KDD,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,,,
coverage_audit,yu2025trustworthyagents,candidate,pending_expert_adjudication,,KDD,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,,,
attack_landscape,men2025troublemaker,candidate,pending_expert_adjudication,,ACL,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",,,
defense_landscape,men2025troublemaker,no_signal,pending_expert_adjudication,,ACL,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",,,
benchmark_audit,men2025troublemaker,candidate,pending_expert_adjudication,,ACL,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",,,
metric_comparability,men2025troublemaker,candidate,pending_expert_adjudication,,ACL,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",,,
observer_scope_audit,men2025troublemaker,no_signal,pending_expert_adjudication,,ACL,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",,,
assumption_audit,men2025troublemaker,no_signal,pending_expert_adjudication,,ACL,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",,,
coverage_audit,men2025troublemaker,candidate,pending_expert_adjudication,,ACL,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",,,
attack_landscape,rosser2025agentbreeder,no_signal,pending_expert_adjudication,,NeurIPS,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,,,
defense_landscape,rosser2025agentbreeder,candidate,pending_expert_adjudication,,NeurIPS,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,,,
benchmark_audit,rosser2025agentbreeder,no_signal,pending_expert_adjudication,,NeurIPS,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,,,
metric_comparability,rosser2025agentbreeder,candidate,pending_expert_adjudication,,NeurIPS,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,,,
observer_scope_audit,rosser2025agentbreeder,no_signal,pending_expert_adjudication,,NeurIPS,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,,,
assumption_audit,rosser2025agentbreeder,candidate,pending_expert_adjudication,,NeurIPS,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,,,
coverage_audit,rosser2025agentbreeder,candidate,pending_expert_adjudication,,NeurIPS,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,,,
attack_landscape,khan2025agents_under_siege,candidate,pending_expert_adjudication,,ACL,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,,,
defense_landscape,khan2025agents_under_siege,candidate,pending_expert_adjudication,,ACL,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,,,
benchmark_audit,khan2025agents_under_siege,no_signal,pending_expert_adjudication,,ACL,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,,,
metric_comparability,khan2025agents_under_siege,candidate,pending_expert_adjudication,,ACL,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,,,
observer_scope_audit,khan2025agents_under_siege,no_signal,pending_expert_adjudication,,ACL,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,,,
assumption_audit,khan2025agents_under_siege,no_signal,pending_expert_adjudication,,ACL,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,,,
coverage_audit,khan2025agents_under_siege,candidate,pending_expert_adjudication,,ACL,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,,,
attack_landscape,mao2025agentsafe,candidate,pending_expert_adjudication,,arXiv,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,,,
defense_landscape,mao2025agentsafe,candidate,pending_expert_adjudication,,arXiv,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,,,
benchmark_audit,mao2025agentsafe,no_signal,pending_expert_adjudication,,arXiv,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,,,
metric_comparability,mao2025agentsafe,candidate,pending_expert_adjudication,,arXiv,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,,,
observer_scope_audit,mao2025agentsafe,no_signal,pending_expert_adjudication,,arXiv,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,,,
assumption_audit,mao2025agentsafe,candidate,pending_expert_adjudication,,arXiv,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,,,
coverage_audit,mao2025agentsafe,candidate,pending_expert_adjudication,,arXiv,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,,,
attack_landscape,deng2025agentsunderthreat,no_signal,pending_expert_adjudication,,ACM Computing Surveys,"ACM CSUR abstract and taxonomy sections, 36-page article",,,
defense_landscape,deng2025agentsunderthreat,no_signal,pending_expert_adjudication,,ACM Computing Surveys,"ACM CSUR abstract and taxonomy sections, 36-page article",,,
benchmark_audit,deng2025agentsunderthreat,no_signal,pending_expert_adjudication,,ACM Computing Surveys,"ACM CSUR abstract and taxonomy sections, 36-page article",,,
metric_comparability,deng2025agentsunderthreat,candidate,pending_expert_adjudication,,ACM Computing Surveys,"ACM CSUR abstract and taxonomy sections, 36-page article",,,
observer_scope_audit,deng2025agentsunderthreat,candidate,pending_expert_adjudication,,ACM Computing Surveys,"ACM CSUR abstract and taxonomy sections, 36-page article",,,
assumption_audit,deng2025agentsunderthreat,candidate,pending_expert_adjudication,,ACM Computing Surveys,"ACM CSUR abstract and taxonomy sections, 36-page article",,,
coverage_audit,deng2025agentsunderthreat,candidate,pending_expert_adjudication,,ACM Computing Surveys,"ACM CSUR abstract and taxonomy sections, 36-page article",,,
attack_landscape,han2025alignment_tipping,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,,,
defense_landscape,han2025alignment_tipping,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,,,
benchmark_audit,han2025alignment_tipping,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,,,
metric_comparability,han2025alignment_tipping,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,,,
observer_scope_audit,han2025alignment_tipping,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,,,
assumption_audit,han2025alignment_tipping,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,,,
coverage_audit,han2025alignment_tipping,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,,,
attack_landscape,ebrahimi2025credibility,candidate,pending_expert_adjudication,,IJCNLP-AACL,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",,,
defense_landscape,ebrahimi2025credibility,candidate,pending_expert_adjudication,,IJCNLP-AACL,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",,,
benchmark_audit,ebrahimi2025credibility,no_signal,pending_expert_adjudication,,IJCNLP-AACL,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",,,
metric_comparability,ebrahimi2025credibility,candidate,pending_expert_adjudication,,IJCNLP-AACL,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",,,
observer_scope_audit,ebrahimi2025credibility,no_signal,pending_expert_adjudication,,IJCNLP-AACL,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",,,
assumption_audit,ebrahimi2025credibility,candidate,pending_expert_adjudication,,IJCNLP-AACL,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",,,
coverage_audit,ebrahimi2025credibility,candidate,pending_expert_adjudication,,IJCNLP-AACL,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",,,
attack_landscape,bowers2025code_injection,candidate,pending_expert_adjudication,,ICMLA,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",,,
defense_landscape,bowers2025code_injection,candidate,pending_expert_adjudication,,ICMLA,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",,,
benchmark_audit,bowers2025code_injection,candidate,pending_expert_adjudication,,ICMLA,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",,,
metric_comparability,bowers2025code_injection,candidate,pending_expert_adjudication,,ICMLA,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",,,
observer_scope_audit,bowers2025code_injection,no_signal,pending_expert_adjudication,,ICMLA,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",,,
assumption_audit,bowers2025code_injection,no_signal,pending_expert_adjudication,,ICMLA,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",,,
coverage_audit,bowers2025code_injection,candidate,pending_expert_adjudication,,ICMLA,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",,,
attack_landscape,tailor2025auditwhisper,candidate,pending_expert_adjudication,,arXiv,"arXiv abstract for contributions, 10^-3 FPR, 10k honest runs, and external-suite evaluation; paper Secs. 5–6 and results/limitations for benchmark and detectors. Exact pages/tables require author signoff.",,,
defense_landscape,tailor2025auditwhisper,candidate,pending_expert_adjudication,,arXiv,"arXiv abstract for contributions, 10^-3 FPR, 10k honest runs, and external-suite evaluation; paper Secs. 5–6 and results/limitations for benchmark and detectors. Exact pages/tables require author signoff.",,,
benchmark_audit,tailor2025auditwhisper,no_signal,pending_expert_adjudication,,arXiv,"arXiv abstract for contributions, 10^-3 FPR, 10k honest runs, and external-suite evaluation; paper Secs. 5–6 and results/limitations for benchmark and detectors. Exact pages/tables require author signoff.",,,
