evidence_set,work_key,title,recommended_membership,recommended_contribution,general_subtype,set3_role_if_moved,reason_code,confidence
set1_core,arxiv:2604.13353,Cross-Domain Query Translation for Network Troubleshooting: A Multi-Agent LLM Framework with Privacy Preservation and Self-Reflection,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1609/aaai.v40i31.39812,DAWN: Distributed LLM Multi-Agent Workflow Synthesis,keep_current,general,system_protocol_design,,true_general_system_level_security,high
set1_core,doi:10.15587/1729-4061.2026.356830,Development of multi-agent generative pipelines framework for learning plan generation with deterministic constraint verification,move_set3,context,,deployment_evidence,external_application_or_deployment_context,high
set1_core,doi:10.3390/electronics15112278,Ethical Coordination of LLM Multi-Agent Systems,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/icassp55912.2026.11462217,FinLumen: A Game-Theoretic Multi-Agent Framework for Rational Portfolio Management,move_set3,context,,deployment_evidence,external_application_or_deployment_context,high
set1_core,doi:10.48448/xjfb-by61,From Belief Entrenchment to Robust Reasoning in LLM Agents,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set1_core,doi:10.48448/a3ch-av61,From Intent to Action: Multi-Agent LLMs Coordinating Naval Planning Tools,move_set3,context,,deployment_evidence,external_application_or_deployment_context,high
set1_core,arxiv:2603.27404,Heterogeneous Debate Engine: Identity-Grounded Cognitive Architecture for Resilient LLM-Based Ethical Tutoring,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set1_core,arxiv:2026.01704,Interruptible Multi-Agent Debate: Sentence-Level Disclosure and Urgency-Based Turn-Taking for Early Error Correction,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set1_core,doi:10.1109/gaiis69281.2026.11519273,Learning to Debate: Optimal Stopping Strategies for Multi-Agent LLM Deliberation,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,medium
set1_core,doi:10.1109/icmcsi67283.2026.11412804,MACV: A Specialized Multi-Agent and Consensus Framework for Reliable LLM Outputs,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set1_core,doi:10.3390/mining6020026,MINDS: A Modular Multi-Agent Decision-Support Framework for Dynamic Strategic Mine Planning,move_set3,context,,deployment_evidence,external_application_or_deployment_context,high
set1_core,doi:10.1609/aaai.v40i35.40231,MPAS: Breaking Sequential Constraints of Multi-Agent Communication Topologies via Individual-Epistemic Message Propagation,keep_current,general,system_protocol_design,,true_general_system_level_security,high
set1_core,doi:10.47392/irjaeh.2026.0548,Multi-Agent Semantic Drift Detection and Self-Correction in Cybersecurity LLM Pipelines,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/jiot.2026.3697293,Multi-AI Agent Oriented Privacy Policy Compliance Checking Based on Large Language Models in Mobile IoT Systems,keep_current,evaluation,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/icetes68504.2026.11518808,RAG-Induced Failures in Multi-Agent Large Language Model Debate,keep_current,attack,,,reclassify_dominant_contribution,high
set1_core,doi:10.1145/3770854.3780202,Robust LLM-based Multi-Agent System with Action Negotiation and Sharing Redundancy Enhancement,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/cscwd68734.2026.11582680,RoMa: A Credibility-Aware Fault-Tolerance Framework for LLM Multi-Agent Systems,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.71465/ajainn3659,Self-Healing Memory Architectures for Large Language Model-Based Multi-Agent Collaboration,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/gaiis69281.2026.11519182,Semantic-Driven Adaptive Multi-Agent Collaboration via LLMs in Dynamic Environments,move_set3,context,,related_work,generic_mas_method_not_security_central,high
