work_key,title,human_decision,adjudicated_membership,adjudicated_contribution,reviewer,reviewed_at,decision_scope,source_evidence_verified,human_notes,adjudication_note
arxiv:2503.01829,Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
arxiv_2505_22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
arxiv:2601.16529,SycoEval-EM: Sycophancy Evaluation of Large Language Models in Simulated Clinical Encounters for Emergency Care,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.1145/3766918.3766939,TCLMA: A Two-dimension Contrastive Learning based Multiagent Framework for Scientific Novelty Evaluation,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.1016/j.procs.2026.04.142,"Trustworthy Causal Reasoning in LLM-based Multi-Agent Smart Building Systems: A Multi-Level Evaluation Across Observational, Interventional, and Counterfactual Tasks",approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,approve,set1_core,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,approve,set1_core,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
supp_the_subtle_art_of_defection_understanding_uncooperative_behaviors_in_llm_based_m,The Subtle Art of Defection: Understanding Uncooperative Behaviors in LLM based Multi-Agent Systems,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
zhao2026macbench,Beyond Goodhart's Law: A Dynamic Benchmark for Evaluating Compliance in Multi-Agent Systems,approve,set2_emerging,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,approve,set2_emerging,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
arora2026safeagents,Exposing Weak Links in Multi-Agent Systems under Adversarial Prompting,approve,set2_emerging,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
lemercier2026gambit,GAMBIT: A Three-Mode Benchmark for Adversarial Robustness in Multi-Agent LLM Collectives,approve,set2_emerging,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,approve,set1_core,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
supp_a_trace_based_assurance_framework_for_agentic_ai_orchestration_contracts_testing,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",approve,set1_core,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
