evidence_set,title,decision,target_set,target_role,reason_code,confidence
set2_emerging,"HARP: Measuring Harm Amplification in Multi-Agent LLM Systems",keep,set2_emerging,,attack_harness_collusion_context_corruption_and_persistent_attacks,high
set2_emerging,"Multi-Paradigm Agent Interaction in Practice:A Systematic Analysis of Generator-Evaluator, ReAct Loop,and Adversarial Evaluation in the buddyMe Framework",move,set3_context,measurement_context,generic_agent_interaction_paradigm_analysis_not_security,high
set2_emerging,"SycoEval-EM: Sycophancy Evaluation of Large Language Models in Simulated Clinical Encounters for Emergency Care",move,set3_context,deployment_evidence,clinical_sycophancy_behavior_evaluation_not_mas_security,high
set2_emerging,"The Capability Paradox: How Smarter Auditors Make Multi-Agent Systems Less Secure",keep,set2_emerging,,semantic_hijacking_attack_propagation_and_defense_are_primary,high
set2_emerging,"Towards Security-Auditable LLM Agents: A Unified Graph Representation",keep,set2_emerging,,security_auditing_attack_chain_reconstruction_and_trust_abuse,high
set2_emerging,"Achilles Heel of Distributed Multi-Agent Systems",keep,set2_emerging,,malicious_attack_red_teaming_and_attack_success_are_substantive,high
set2_emerging,"Terrarium: Revisiting the Blackboard for Multi-Agent Safety, Privacy, and Security Studies",keep,set2_emerging,,malicious_agents_compromised_communication_poisoning_and_privacy_attacks,high
set2_emerging,"Algorithmic Cowardice: Cognitive Dissonance and Moral Conformity in Multi-Agent LLM Interactions",move,set3_context,measurement_context,moral_conformity_and_cognitive_dissonance_not_concrete_security,high
set2_emerging,"Infodeme: Structural Determinants of Misinformation Propagation in LLM Agent Societies",keep,set2_emerging,,misinformation_propagation_is_collective_integrity_property,medium
set2_emerging,"Is Lying an Emergent Behaviour in LLMs? Evidence from Gaslighting AI agents in a Sustainability Game",move,set3_context,measurement_context,emergent_lying_behavior_study_without_explicit_security_threat,high
set2_emerging,"Smarter Saboteurs, Better Fixers: Scaling&Security in Linear Multi-Agent Workflows",keep,set2_emerging,,malicious_agent_sabotage_prompt_injection_and_repair_are_primary,high
set2_emerging,"SNEAK: Evaluating Strategic Communication and Information Leakage in Large Language Models",keep,set2_emerging,,asymmetric_adversary_and_information_leakage_are_primary,high
