change_type,work_key,title,previous_membership,proposed_membership,previous_contribution,proposed_contribution,reason_code,confidence,human_decision,human_notes
evaluation_scope_move,arxiv:2605.16821,"Multi-Paradigm Agent Interaction in Practice:A Systematic Analysis of Generator-Evaluator, ReAct Loop,and Adversarial Evaluation in the buddyMe Framework",set2_emerging,set3_context,evaluation,evaluation,generic_agent_interaction_paradigm_analysis_not_security,high,approve,
evaluation_scope_move,arxiv:2503.01829,Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models,set1_core,set3_context,evaluation,evaluation,persuasion_capability_measurement_not_mas_security_evaluation,high,approve,
evaluation_scope_move,supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",set1_core,set3_context,evaluation,evaluation,reproducibility_and_negotiation_measurement_not_security_primary,high,approve,
evaluation_scope_move,arxiv_2505_22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,set1_core,set3_context,evaluation,evaluation,test_time_scaling_and_task_effectiveness_not_mas_security,high,approve,
evaluation_scope_move,arxiv:2601.16529,SycoEval-EM: Sycophancy Evaluation of Large Language Models in Simulated Clinical Encounters for Emergency Care,set2_emerging,set3_context,evaluation,evaluation,clinical_sycophancy_behavior_evaluation_not_mas_security,high,approve,
evaluation_scope_move,doi:10.1145/3766918.3766939,TCLMA: A Two-dimension Contrastive Learning based Multiagent Framework for Scientific Novelty Evaluation,set1_core,set3_context,evaluation,evaluation,mas_used_for_scientific_novelty_evaluation_not_security,high,approve,
evaluation_scope_move,doi:10.1016/j.procs.2026.04.142,"Trustworthy Causal Reasoning in LLM-based Multi-Agent Smart Building Systems: A Multi-Level Evaluation Across Observational, Interventional, and Counterfactual Tasks",set1_core,set3_context,evaluation,evaluation,causal_reasoning_accuracy_in_application_not_mas_security,high,approve,
identity_merge_and_maturity_upgrade,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,set2_emerging,set1_core,attack,attack,current_set2_arxiv_title_is_earlier_version_of_published_usenix_record; merge_identity_and_apply_set1_maturity,high,approve,
promote_screened_out_to_set1,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,screened_out,set1_core,evaluation,evaluation,published_iclr_core_security_note_missing_from_generated_sets,high,approve,
promote_set1,an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,set3_context,set1_core,evaluation,evaluation,source_note_explicitly_shows_six_mas_and_cascading_injection_over_trusted_inter_agent_edges,high,approve,
promote_set1,supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,set3_context,set1_core,evaluation,general,attack_graph_framework_models_inter_agent_topology_and_multi_step_security_paths_across_two_real_multi_agent_applications,high,approve,
promote_set1,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,set3_context,set1_core,evaluation,evaluation,source_review_marks_core_security_with_sender_receiver_collusion_and_overseer,high,approve,
promote_set1,olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,set3_context,set1_core,evaluation,evaluation,hidden_role_defector_and_collective_decision_integrity_are_relational_security_properties,medium,approve,
promote_set1,dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,set3_context,set1_core,evaluation,evaluation,planner_executor_role_separation_and_role_specific_attacks_make_inter_agent_path_material,high,approve,
promote_set1,jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,set3_context,set1_core,evaluation,evaluation,current_generic_scope_rejection_conflicts_with_explicit_collusion_overreach_misreporting_and_structural_risk_probes,medium,approve,
promote_set1,supp_the_subtle_art_of_defection_understanding_uncooperative_behaviors_in_llm_based_m,The Subtle Art of Defection: Understanding Uncooperative Behaviors in LLM based Multi-Agent Systems,set3_context,set1_core,evaluation,evaluation,four_agent_one_uncooperative_member_setup_uses_deception_threats_and_resource_overuse_to_cause_collective_collapse_and_evaluates_detection_defenses,high,approve,
promote_set2,zhao2026macbench,Beyond Goodhart's Law: A Dynamic Benchmark for Evaluating Compliance in Multi-Agent Systems,set3_context,set2_emerging,evaluation,evaluation,full_trace_procedural_integrity_authorization_and_privacy_are_concrete_security_properties,high,approve,
promote_set2,zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,set3_context,set2_emerging,attack,attack,distributed_backdoor_activates_through_cross_agent_invocation_and_is_security_primary,high,approve,
promote_set2,arora2026safeagents,Exposing Weak Links in Multi-Agent Systems under Adversarial Prompting,set3_context,set2_emerging,evaluation,evaluation,task_decomposition_hides_global_harmful_intent_and_causes_compositional_execution_failure,high,approve,
promote_set2,lemercier2026gambit,GAMBIT: A Three-Mode Benchmark for Adversarial Robustness in Multi-Agent LLM Collectives,set3_context,set2_emerging,evaluation,evaluation,adaptive_imposter_degrades_collective_integrity_while_evading_detection,high,approve,
relabel_attack_to_evaluation,xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,set1_core,set1_core,attack,evaluation,benchmark_and_detection_evaluation_are_dominant_over_attack_primitive,medium,approve,
relabel_evaluation_to_general,supp_a_trace_based_assurance_framework_for_agentic_ai_orchestration_contracts_testing,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",set1_core,set1_core,evaluation,general,paper_reports_methodology_and_estimators_without_empirical_evaluation; primary_contribution_is_security_assurance_methodology,high,approve,
