work_key,title,previous_membership,human_scope_decision,adjudicated_membership,previous_contribution,human_contribution_decision,adjudicated_contribution,reviewer,reviewed_at,decision_scope,source_evidence_verified,human_notes,adjudication_note
supp_teaching_models_to_balance_resisting_and_accepting_persuasion,Teaching Models to Balance Resisting and Accepting Persuasion,set1_core,move_set3,set3_context,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=move_set3; contribution decision=defense. This classification signoff does not assert source/evidence verification.
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,Accepted to workshop on ReGenAI@CVPR 2024换一个链接不用arxiv,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
arxiv:2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
supp_ai_agents_with_decentralized_identifiers_and_verifiable_credentials,AI Agents with Decentralized Identifiers and Verifiable Credentials,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,set1_core,accept,set1_core,general,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,set1_core,accept,set1_core,attack,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
supp_comet_metaphor_driven_covert_communication_for_multi_agent_language_games,CoMet: Metaphor-Driven Covert Communication for Multi-Agent Language Games,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
doi:10.1109/icca66035.2025.11430791,Cross-Agent Multimodal Provenance-Aware Framework for Robust Prompt Injection Defense in Large Language and Vision-Language Models,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
supp_decentralized_multi_agent_system_with_trust_aware_communication,Decentralized Multi-Agent System with Trust-Aware Communication,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth,Enhancing Robustness of LLM-Driven Multi-Agent Systems through Randomized Smoothing,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
arxiv:2509.11035,Free-MAD: Consensus-Free Multi-Agent Debate,set1_core,accept,set1_core,general,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=general. This classification signoff does not assert source/evidence verification.
wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,这个我有点疑问，标记一下,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
doi:10.1109/apsec66846.2025.00086,MAJD: Intent-Aware Multi-Agent Framework for Jailbreak Defense,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.3390/app15073676,Minimizing Hallucinations and Communication Costs: Adversarial Debate and Voting Mechanisms in LLM-Based Multi-Agents,set1_core,move_set3,set3_context,attack,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=move_set3; contribution decision=general. This classification signoff does not assert source/evidence verification.
triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
supp_peerguard_defending_multi_agent_systems_against_backdoor_attacks_through_mutual_,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1109/bigdata66926.2025.11401523,Quantifying Privacy Leakage in Multi-Agent LLMs: A Unified Theoretical and Empirical Analysis,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
supp_safesieve_from_heuristics_to_experience_in_progressive_pruning_for_llm_based_mul,SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Communication,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
arxiv:5154.37952,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.4018/979-8-3373-1419-8.ch009,Security and Privacy in Multi-Agent LLM Networks,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1109/trustcom66490.2025.00226,Security of LLM Agents: A Case Study Approach,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
arxiv:2509.14956,Sentinel Agents for Secure and Trustworthy Agentic AI in Multi-Agent Systems,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
ko2026sevenchallenges,Seven Security Challenges in Cross-Domain Multi-Agent LLM Systems,set1_core,accept,set1_core,survey,survey,survey,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=survey. This classification signoff does not assert source/evidence verification.
wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
doi:10.1109/icca66035.2025.11431026,SPIFFE-Based Zero-Trust Authentication for AI Agent Ecosystems,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1109/icassp49660.2025.10890479,Supervisor Alignment Framework: Enhancing LLM Alignment with Query-Ignoring Strategy and Multi-Agent Interaction,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
kavathekar2026tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
supp_the_subtle_art_of_defection_understanding_uncooperative_behaviors_in_llm_based_m,The Subtle Art of Defection: Understanding Uncooperative Behaviors in LLM based Multi-Agent Systems,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
arxiv_2509_14284,The Sum Leaks More Than Its Parts: Compositional Privacy Risks and Mitigations in Multi-Agent Collaboration,set1_core,accept,set1_core,attack,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,这应该算防御吧,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
raza2026trism,TRiSM for Agentic AI: A Review of Trust Risk and Security Management in LLM-based Agentic Multi-Agent Systems,set1_core,accept,set1_core,survey,survey,survey,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=survey. This classification signoff does not assert source/evidence verification.
xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
arxiv_2512_09187,WOLF: Werewolf-based Observations for LLM Deception and Falsehoods,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
doi:10.56726/irjmets98584,A Literature Survey on Privacy-Preserving Multi-Agent RAG Systems with an Intelligent Tag-Inference Routing System,set1_core,accept,set1_core,survey,survey,survey,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=survey. This classification signoff does not assert source/evidence verification.
supp_a_trace_based_assurance_framework_for_agentic_ai_orchestration_contracts_testing,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",set1_core,move_set3,set3_context,general,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=move_set3; contribution decision=general. This classification signoff does not assert source/evidence verification.
li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
doi:10.1109/tdsc.2026.3685256,AgentChain: Blockchain-Empowered Multi-Agent Coordination for Trustworthy LLM Question-Answering Systems,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
doi:10.1109/icaic67076.2026.11395749,Architectural Resilience in AI-Driven Decision Systems under Adversarial Conditions,set1_core,accept,set1_core,attack,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1109/iccces62661.2026.11437027,CAPRI-DP: A Differentially Private Extension to Context-Aware Multi-Agent Privacy Frameworks,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.19139/soic-2310-5070-3574,Cascading Instruction Influence Indirect Prompt Injection in Hierarchical Multi-Agent Systems,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
doi:10.1016/j.neunet.2026.109280,Collaborative-adversarial jailbreaking: A propagation-aware attack framework for multi-agent code generation systems.,set1_core,accept,set1_core,attack,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
doi:10.1109/icassp55912.2026.11462230,Consensus-Awarded Multi-Agent Debate Via Adversarial Interaction,set1_core,move_set3,set3_context,attack,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=move_set3; contribution decision=general. This classification signoff does not assert source/evidence verification.
doi:10.63412/8vgf0b98,Consensus-Driven Metacognition in Multi-Agent Systems: A Logic-Based Byzantine Fault-Tolerant Protocol,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.65109/ydmy4904,ConvPayMAS: Conversational Payment Multi-Agent System with Agent-to-Agent Protocol and Three-Mandate Verification,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
arxiv:2604.13353,Cross-Domain Query Translation for Network Troubleshooting: A Multi-Agent LLM Framework with Privacy Preservation and Self-Reflection,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1609/aaai.v40i31.39812,DAWN: Distributed LLM Multi-Agent Workflow Synthesis,set1_core,accept,set1_core,general,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=general. This classification signoff does not assert source/evidence verification.
milkowski2026amongus,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
doi:10.3390/electronics15112278,Ethical Coordination of LLM Multi-Agent Systems,set1_core,accept,set1_core,defense,,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,不太确定没看懂,Human scope decision=accept; contribution decision=retained previous value (defense). This classification signoff does not assert source/evidence verification.
olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
supp_min_trust_a_minimum_necessary_information_trust_orchestration_framework_for_mult,MIN-Trust: A Minimum Necessary Information Trust Orchestration Framework for Multi-Agent Collaboration,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1609/aaai.v40i35.40231,MPAS: Breaking Sequential Constraints of Multi-Agent Communication Topologies via Individual-Epistemic Message Propagation,set1_core,accept,set1_core,general,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=general. This classification signoff does not assert source/evidence verification.
doi:10.56975/ijedr.v14i2.308420,"Multi-Agent Debate for Software Architecture Governance: A Framework for ADR Generation, Risk Review, and Deployment Readiness",set1_core,move_set3,set3_context,attack,survey,survey,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=move_set3; contribution decision=survey. This classification signoff does not assert source/evidence verification.
doi:10.47392/irjaeh.2026.0548,Multi-Agent Semantic Drift Detection and Self-Correction in Cybersecurity LLM Pipelines,set1_core,move_set3,set3_context,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=move_set3; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.59324/ejaset.2026.4(2).16,Orchestration and Verification of Agentic AI Systems: A Survey of Multi-Agent Collaboration and Safety,set1_core,accept,set1_core,survey,survey,survey,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=survey. This classification signoff does not assert source/evidence verification.
doi:10.3390/app16042157,Privacy-by-Design in AI-Assisted Systems for Caregivers of Children with Autism: A Secure Multi-Agent Architecture,set1_core,move_set3,set3_context,defense,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=move_set3; contribution decision=general. This classification signoff does not assert source/evidence verification.
doi:10.63278/jicrcr.vi.3596,Privacy-Preserving LLM Infrastructure With Multi-Agent Orchestration And RAG-Driven Retrieval,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1109/icetes68504.2026.11518808,RAG-Induced Failures in Multi-Agent Large Language Model Debate,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
doi:10.1145/3770854.3780202,Robust LLM-based Multi-Agent System with Action Negotiation and Sharing Redundancy Enhancement,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
