severity,global_priority,paper_id,title,review_track,field_or_category,current_coding,recommended_correction,rationale,evidence_source,author_signoff_required
critical,11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,load_bearing,Primary category,,Change from attack to dual-use protocol/evaluation.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40380,yes
high,11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,load_bearing,Scope relation,,Downgrade to security_relevant unless a claim explicitly uses the protocol for malicious coordination.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40380,yes
medium,11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,load_bearing,Canonical title,,Use the PDF's grammatical title and record the OJS display discrepancy.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40380,yes
high,12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,load_bearing,Version linkage,,Use USENIX title as canonical and link the arXiv title as a prior or expanded version.,Ready after minor patch,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,yes
high,12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,load_bearing,Open access,,Add the arXiv PDF as the open-access URL.,Ready after minor patch,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,yes
high,12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,load_bearing,Metric denominator,,Do not treat ER or all component results as one ASR.,Ready after minor patch,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,yes
critical,13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,load_bearing,Primary category,,Change from attack to benchmark/evaluation with an attack study role.,Ready after major patch,https://aclanthology.org/2026.findings-acl.1980/,yes
high,13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,load_bearing,Metric denominator,,Store exact-match and LLM-inference leakage definitions and seeded-entity denominator.,Ready after major patch,https://aclanthology.org/2026.findings-acl.1980/,yes
medium,13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,load_bearing,Generalization,,Do not state a universal topology ranking across models.,Ready after major patch,https://aclanthology.org/2026.findings-acl.1980/,yes
high,14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,load_bearing,Metric denominator,,Record ASR as whole-dataset task-level success with separate targeted and denial-of-service predicates.,Ready after minor patch,https://aclanthology.org/2025.findings-acl.349/,yes
medium,14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,load_bearing,Failure versus impact,,Use message integrity as primary and collective task corruption as downstream impact.,Ready after minor patch,https://aclanthology.org/2025.findings-acl.349/,yes
medium,14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,load_bearing,Assumption,,Explicitly record lack of authenticated or integrity-protected channels.,Ready after minor patch,https://aclanthology.org/2025.findings-acl.349/,yes
high,15,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,load_bearing,Metric definition,,Store targeted and untargeted collective predicates exactly.,Ready after minor patch,https://aclanthology.org/2025.emnlp-main.611/,yes
high,15,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,load_bearing,BFT boundary,,Do not describe this as Byzantine agreement or a fault-threshold result.,Ready after minor patch,https://aclanthology.org/2025.emnlp-main.611/,yes
medium,15,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,load_bearing,Scale,,Record the up-to-101-agent result with its specific task and aggregation assumptions.,Ready after minor patch,https://aclanthology.org/2025.emnlp-main.611/,yes
critical,16,zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,load_bearing,Primary category,,Change from attack to defense/evaluation/fault study.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40806,yes
critical,16,zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,load_bearing,BFT claim,,Do not describe 6 of 7 task accuracy as robustness beyond the classical BFT ceiling.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40806,yes
medium,16,zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,load_bearing,Canonical title,,Use singular 'System' as in the official paper.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40806,yes
high,17,triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,load_bearing,Result evidence,,Attach each success rate to the exact framework/model table; avoid a single generalized rate.,Ready after minor patch,https://openreview.net/forum?id=DAozI4etUp,yes
medium,17,triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,load_bearing,Failure versus impact,,Use authority/control-flow integrity as the failure and RCE or exfiltration as impact.,Ready after minor patch,https://openreview.net/forum?id=DAozI4etUp,yes
critical,18,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,load_bearing,Primary failure,,Use F3 context/action integrity as primary unless the source explicitly demonstrates privilege escalation.,Ready after major patch,https://aclanthology.org/2026.acl-long.1577/,yes
high,18,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,load_bearing,Baseline coding,,"Record clean, key-only, template-only, and both-fragment controls separately.",Ready after major patch,https://aclanthology.org/2026.acl-long.1577/,yes
medium,18,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,load_bearing,Metric evidence,,Tie ASR and false activation to exact topology tables.,Ready after major patch,https://aclanthology.org/2026.acl-long.1577/,yes
critical,19,zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,load_bearing,Publication metadata,,"Record final IEEE S&P venue, DOI, and page range; retain arXiv as linked version.",Ready after major patch,https://arxiv.org/abs/2509.06572,yes
critical,19,zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,load_bearing,Scope relation,,Downgrade from core_security to security_relevant under the independent-agent-core definition.,Ready after major patch,https://arxiv.org/abs/2509.06572,yes
high,19,zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,load_bearing,Result interpretation,,Separate capability-gadget prevalence from successful exploitation.,Ready after major patch,https://arxiv.org/abs/2509.06572,yes
critical,20,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,load_bearing,Primary category,,Change from attack to benchmark/evaluation with an attack-suite role.,Pending exact full-text verification,https://iclr.cc/virtual/2026/poster/10010017,yes
critical,20,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,load_bearing,Evidence locators,,"Obtain the final PDF and record exact page, figure, and table locations before manuscript use.",Pending exact full-text verification,https://iclr.cc/virtual/2026/poster/10010017,yes
high,20,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,load_bearing,Metric denominator,,"Use release-case counts and matched-control denominators, then reconcile them with the paper tables.",Pending exact full-text verification,https://iclr.cc/virtual/2026/poster/10010017,yes
high,21,zhang2024psysafe,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Change scope from core_security to security_relevant; change primary category from attack to evaluation/mixed framework; preserve attack as secondary role; fix canonical title punctuation; do not encode JDR/PDR as ASR.,"Interaction and collective danger are central, but the paper primarily studies broad psychological safety and role-prompt effects rather than a narrowly defined technical security property.","ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",yes
medium,22,amayuelas2024collaboration_attack,MultiAgent Collaboration Attack: Investigating Adversarial Attacks in Large Language Model Collaborations via Debate,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep attack/core_security.,A malicious member exploits inter-agent debate to manipulate the aggregate decision; the failure is interaction-dependent.,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,yes
medium,22,amayuelas2024collaboration_attack,MultiAgent Collaboration Attack: Investigating Adversarial Attacks in Large Language Model Collaborations via Debate,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,"Ensure metrics are coded as question-level majority accuracy and adversary agreement, not generic ASR.",Authors establish vulnerability of debate in evaluated tasks. Do not generalize to arbitrary topologies or autonomous tool execution.,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,yes
medium,22,amayuelas2024collaboration_attack,MultiAgent Collaboration Attack: Investigating Adversarial Attacks in Large Language Model Collaborations via Debate,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Record debate topology rather than unspecified collaboration.,Authors establish vulnerability of debate in evaluated tasks. Do not generalize to arbitrary topologies or autonomous tool execution.,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,yes
high,23,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep attack/core_security.,"Attack success depends on graph routing, edge bandwidth, latency/permutation, and distributed safety placement.",PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,yes
high,23,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,"Clarify that primary outcome is target jailbreak, not system-wide compromise.",Authors claim a pragmatic graph-constrained jailbreak attack. Corpus should not describe it as compromising all agents or as measuring affected population.,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,yes
high,23,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Do not confuse stochastic sample size M with number of agents.,Authors claim a pragmatic graph-constrained jailbreak attack. Corpus should not describe it as compromising all agents or as measuring affected population.,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,yes
high,23,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Encode ASR denominator as harmful prompt/test case.,Authors claim a pragmatic graph-constrained jailbreak attack. Corpus should not describe it as compromising all agents or as measuring affected population.,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,yes
medium,24,peigne2025security_tax,Multi-Agent Security Tax: Trading Off Security and Collaboration Capabilities in Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,"Normalize canonical author metadata; keep attack/core_security; encode system robustness and cooperation separately; mark harmful action as simulated code request, not real-world execution.",A compromise of one member propagates malicious instructions through the interaction graph and can trigger a harmful tool action.,AAAI/arXiv PDF pp. 1-3 and Fig. 2; Sec. 3 pp. 4-5; Table 1 pp. 5-6; Sec. 5 “Discussion & Limitations” p. 7; appendices for prompts.,yes
medium,25,zhang2025allies_foes,When Allies Turn Foes: Exploring Group Characteristics of LLM-Based Multi-Agent Collaborative Systems Under Adversarial Attacks,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Clarify that communication strategies are schedules rather than general graph topology; encode SDI with its question/agent/round denominator; keep external impact claims narrow.,"The primary question is adversarial-member influence on group decisions, and the failure depends on inter-agent deliberation.","PDF pp. 1-3, Secs. 2.1-2.4 and Eqs. 1-3; pp. 3-6, Figs. 1-4; p. 9 Limitations.",yes
high,26,zhu2025master,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Reclassify primary role from attack to evaluation/framework; do not report one fixed agent count; distinguish generated harmful cooperation from verified real-world harm; preserve ASR denominator.,"Role and topology reconnaissance, adaptive attack assignment, and harmful cooperation are explicitly interaction dependent.",PDF Sec. 3.1 pp. 3-4 and Fig. 2; Secs. 3.2.4-3.2.5 pp. 5-6; Sec. 4.1 pp. 6-7; Table 2; Fig. 5 p. 9.,yes
high,27,zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Downgrade whole-paper scope to security_relevant; code only advanced MAS claims as core interaction evidence; do not use the >80% headline as a population-level MAS result.,The attack primitive is general agent malfunction. Only the advanced viral cases are interaction-dependent and should enter the MAS claim corpus.,PDF Secs. 3.2-3.3 pp. 2-3; Tables 2-4 pp. 5-7; Sec. 5.5 pp. 6-7; Limitations p. 8.,yes
medium,28,yan2026evo_attacker,Evo-Attacker: Memory-Augmented Reinforcement Learning for Long-Horizon Tool Attacks on LLM-MAS,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Do not label its reported metrics as ASR; preserve tool-channel-only visibility and B=3 constraint; do not infer n from G=8 rollouts; narrow “system collapse” to task failure.,The threat model and evaluated consequence explicitly depend on a multi-round MAS execution trace and communication architecture.,PDF Sec. 2 pp. 2-3; Fig. 1; Sec. 4.1 p. 4; Table 1 pp. 5; Table 2 pp. 5-6; Sec. 4.5; Limitations p. 8.,yes
medium,29,yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Separate task-level ASR from message-level stealth denominator; retain strong on-path and graph-knowledge assumptions; do not describe agents themselves as compromised.,The attack surface and outcome are explicitly inter-agent communication and collective task integrity.,"AAAI PDF Sec. 3.2 p. 3; Secs. 4.1-4.2 pp. 3-5, Fig. 2, Eqs. 10-11; Secs. 5.1-5.2 pp. 5-7, Table 1.",yes
high,30,wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Reclassify paper-level role from attack to evaluation; do not claim fixed agent count; distinguish verified malicious code behavior from real-world compromise.,The attacks and defenses are localized to role agents and propagate through a multi-stage software workflow.,"PDF Methodology pp. 3-5 and Fig. 2; Experiment p. 5; attack/defense results pp. 6-8, Figs. 4-5.",yes
medium,31,wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep primary failure structural confidentiality; record AUC per edge; remove any claim that topology was modified or that later exploitation was verified.,Structural confidentiality of the communication topology is a native MAS property.,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Sec. 5 pp. 8-10 and main result tables.,yes
high,32,ko2026social_dynamics,Social Dynamics as Critical Vulnerabilities that Undermine Objective Decision-Making in LLM Collectives,standard_attack,metadata/scope/category/evidence/metric,scope=security_relevant; category=attack,Downgrade scope to security_relevant and primary role to evaluation; separate adversarial manipulation from non-adversarial social behavior; do not generalize to all MAS topologies.,"Intentional adversarial peers manipulate objective decisions, but the study is also a social-psychology evaluation and does not model a broader technical security boundary.",PDF study design Sec. 3 pp. 3-5; experiments Secs. 4-5 pp. 4-15 and main tables/figures; limitations section.,yes
high,33,zhou2026hierarchical_attacks,Hierarchical Attacks for Multi-Modal Multi-Agent Reasoning,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Reclassify paper-level role as evaluation/attack suite; split claim-level failure categories; record ASR as clean-correct-sample rate; do not treat all variants as equally interaction-native.,"Several attack variants manipulate native MAS communication, identity, shared state, and collective reasoning, although perception-only variants are inherited multimodal attacks.",CVPR pp. 42333-42335 Sec. 3 and Fig. 2; p. 42335 Sec. 4.1; p. 42336 Table 2; p. 42338 Fig. 5.,yes
medium,34,kong2026web_fraud,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep ASR definition tied to auditor risk label and ten repeats; separate observed recommendation failure from speculative downstream harm.,The attack’s success depends on collective recommendation and aggregation workflow.,PDF Sec. 3.1 p. 14021 Fig. 1; Sec. 3.2 pp. 14022-14023 Table 2; Sec. 4.1 pp. 14023-14024 Fig. 3; Sec. 4.2 pp. 14024-14025 Fig. 4/Table 3.,yes
high,35,huang2025faulty_agents,On the Resilience of LLM-Based Multi-Agent Collaboration with Faulty Agents,standard_attack,metadata/scope/category/evidence/metric,scope=security_relevant; category=attack,Reclassify from attack to evaluation; scope security_relevant; record 5.5% and 96.4% in their exact structural/error-recovery contexts; tag fault model.,The study covers malicious as well as clumsy/faulty agents and is fundamentally a resilience/reliability evaluation rather than a purely adversarial attack paper.,PDF Sec. 3 pp. 3-4 Fig. 2; Sec. 4 pp. 4-6 Tables 1-2; Sec. 5 pp. 6-8; Sec. 6 pp. 8-9 Fig. 6.,yes
high,36,hagag2026architecture_matters,Architecture Matters for Multi-Agent Security,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Correct venue to AIWILD workshop at ICML 2026; change primary category to evaluation; preserve stagewise metrics and ratio context.,Direct harmful-task execution is measured as an architectural composition effect.,ArXiv Sec. 4 pp. 4-5 and Tables 8-10; Sec. 4.4 p. 5; Secs. 5.1-5.3 pp. 5-8; Sec. 8 p. 9.,yes
high,37,ren2026financial_fraud,When AI Agents Collude Online: Financial Fraud Risks by Collaborative LLM Agents on Social Platforms,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Change paper-level role to evaluation/benchmark; do not call simulated transfers real financial loss; record each denominator separately; verify final ICLR canonical PDF.,"Coalition behavior, population composition, communication depth, and victim conversion are central.",Full text Sec. 3 pp. 3-5 and Fig. 2; Sec. 3.3 p. 5; Sec. 4.1 p. 6; Sec. 4.3 p. 8 Table 2; Sec. 5 pp. 11-13 Tables 9-10.,yes
high,38,bowers2025code_injection,Analyzing Code Injection Attacks on LLM-based Multi-Agent Systems in Software Development,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Change primary role to evaluation; retain exact 86.59%/71.95% model conditions; do not report production compromise or exfiltration as observed.,An insider changes shared code and downstream agents’ review behavior determines whether the injected function survives.,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6.",yes
high,39,jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Reclassify primary from attack to defense; code attack and defense claims separately; qualify zero ASR; preserve trusted-orchestrator/full-transition-visibility assumption.,"Control-flow integrity, delegated authority, and partial orchestrator visibility are native MAS concerns.",Full text Sec. 2 p. 2 Figs. 1-3; Sec. 4 pp. 4-5 Fig. 4; Sec. 5 p. 6; Secs. 6.3-6.4 pp. 8-9 Tables 1-3.,yes
high,40,zhang2026embedding_defenses,When Embedding-Based Defenses Fail: Rethinking Safety in LLM-Based Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Reclassify primary from attack to defense; separate task ASR and attribution AUROC; record access to logits as a strong assumption; do not claim confidence is generally robust.,The attacks exploit repeated inter-agent communication and the observation model of topology-aware defenses.,Full text Sec. 5 pp. 4-5 Fig. 2; Sec. 6 pp. 5-6; Sec. 7.1 p. 6; Sec. 7.2 pp. 6-7 Tables 1/3; Sec. 8 pp. 7-8 Tables 4-5.,yes
