priority,paper_id,review_focus,review_level,human_review_status,reviewer,adjudication_note,recommended_scope,recommended_category,review_outcome,evidence_locators
36,hagag2026architecture_matters,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=evaluation; outcome=ready_after_major_patch. Correct venue to AIWILD workshop at ICML 2026; change primary category to evaluation; preserve stagewise metrics and ratio context.,core_security,evaluation,ready_after_major_patch,ArXiv Sec. 4 pp. 4-5 and Tables 8-10; Sec. 4.4 p. 5; Secs. 5.1-5.3 pp. 5-8; Sec. 8 p. 9.
37,ren2026financial_fraud,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=evaluation; outcome=ready_after_major_patch. Change paper-level role to evaluation/benchmark; do not call simulated transfers real financial loss; record each denominator separately; verify final ICLR canonical PDF.,core_security,evaluation,ready_after_major_patch,Full text Sec. 3 pp. 3-5 and Fig. 2; Sec. 3.3 p. 5; Sec. 4.1 p. 6; Sec. 4.3 p. 8 Table 2; Sec. 5 pp. 11-13 Tables 9-10.
38,bowers2025code_injection,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=evaluation; outcome=ready_after_major_patch. Change primary role to evaluation; retain exact 86.59%/71.95% model conditions; do not report production compromise or exfiltration as observed.,core_security,evaluation,ready_after_major_patch,"Full text Secs. 4-5 pp. 3-4, Fig. 1 and Listing 1; Secs. 5.3-6 p. 4; Sec. 7 pp. 5-6 Table III; Sec. 8 p. 6."
39,jha2026control_flow_hijacking,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=defense; outcome=ready_after_major_patch. Reclassify primary from attack to defense; code attack and defense claims separately; qualify zero ASR; preserve trusted-orchestrator/full-transition-visibility assumption.,core_security,defense,ready_after_major_patch,Full text Sec. 2 p. 2 Figs. 1-3; Sec. 4 pp. 4-5 Fig. 4; Sec. 5 p. 6; Secs. 6.3-6.4 pp. 8-9 Tables 1-3.
40,zhang2026embedding_defenses,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=defense; outcome=ready_after_major_patch. Reclassify primary from attack to defense; separate task ASR and attribution AUROC; record access to logits as a strong assumption; do not claim confidence is generally robust.,core_security,defense,ready_after_major_patch,Full text Sec. 5 pp. 4-5 Fig. 2; Sec. 6 pp. 5-6; Sec. 7.1 p. 6; Sec. 7.2 pp. 6-7 Tables 1/3; Sec. 8 pp. 7-8 Tables 4-5.
41,kraidia2026collaboration_fails,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Retain as attack-primary; record the two metric components separately; do not quote 10–40% or >30% without “across tested settings”; do not equate benchmark vote corruption with real-world harm.,core_security,attack,ready_after_minor_patch,Publisher HTML: abstract and Threat model & Attack design; paper pp. 4-5 Fig. 1/Algorithm 1; pp. 10-11 setup/metrics; pp. 14-16 Figs. 11-13 for mitigation.
42,xu2026trust_paradox,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=evaluation; outcome=ready_after_major_patch. Reclassify primary from attack to evaluation; downgrade whole-paper scope to security_relevant while retaining core-security claim records for malicious over-exposure; separate OER/AD units; add final IEEE pages when available.,security_relevant,evaluation,ready_after_major_patch,ArXiv full text Sec. 3 pp. 3-4 Eqs. 2-4; Sec. 4 pp. 4-5 Tables I-III; Sec. 5 pp. 6-10 Figs. 4-9.
43,lee2026prompt_infection,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Use published three-author version; record event/year carefully; keep attack-primary but mark evidence tier as workshop; split propagation metric from downstream impacts and per-workflow ASR.,core_security,attack,ready_after_minor_patch,ArXiv/Springer technical text Sec. 3 pp. 3-4 Fig. 1; Sec. 4.1 p. 5 Fig. 4; Sec. 4.2 pp. 6-7 Fig. 6; Sec. 6 pp. 8-9 Table 2/Fig. 7.
44,yang2026among_us,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=evaluation; outcome=ready_after_major_patch. Reclassify primary from attack to evaluation; downgrade whole-paper scope to security_relevant; split text-exchange core claims from API/logit/weight adjacent claims; never call performance-degradation percentages ASR.,security_relevant,evaluation,ready_after_major_patch,ACL paper Abstract p. 1; Secs. 2.1–2.2 pp. 2-4; Appendix A.1 p. 14 Table 4.
45,yu2025codes,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Keep attack-primary; preserve single-intervention constraint; do not infer population-scale epidemic behavior or compare its success directly with agent-fraction infection metrics.,core_security,attack,ready_after_minor_patch,Published PDF Abstract/Introduction pp. 1-2; threat scenarios throughout Sec. 2; method Sec. 3.2 p. 5 Algorithms 1-2; result tables in evaluation section.
46,tian2023evil_geniuses,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=attack; outcome=ready_after_major_patch. Downgrade from core_security to security_relevant; mark preprint; split attack-generator evidence from target-system evidence; do not treat Table 3’s 1/2/7 comparison as a clean interaction causal estimate.,security_relevant,attack,ready_after_major_patch,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.
47,tan2024wolf_within,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,"Recommended scope=core_security; category=attack; outcome=ready_after_major_patch. Record ReGenAI workshop rather than CVPR main; primary failure is one-hop safety compromise, not contagion; flag manual metric and denominator; use restrained evidence language.",core_security,attack,ready_after_major_patch,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.
48,zheng2025integrity_attacks,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_major_patch. Keep attack-primary but mark preprint; replace generic “integrity” with claim-specific failure fields; do not compare contribution-score changes as ASR; avoid treating monitor bypass as complete observability impossibility.,core_security,attack,ready_after_major_patch,ArXiv v1 Abstract p. 1; Sec. 3 pp. 4-6; Sec. 4 p. 6; Sec. 5.3 p. 9 Table 3; Appendix C p. 13 Table 6.
49,xie2025_whos_the_mole,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=evaluation; outcome=ready_after_major_patch. Reclassify paper primary from attack to evaluation; mark preprint; split four mechanisms and one defense; do not equate task-cost degradation with a universal security impact.,core_security,evaluation,ready_after_major_patch,ArXiv v2 Sec. 4.2 pp. 4-6; Sec. 4.4 pp. 6-7 Figs. 3-6; Sec. 5.1 p. 8 Table 1.
50,zhu2025_collaborative_shadows,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_major_patch. Keep attack-primary but label preliminary; separate ASR from benign accuracy/accidental triggers; avoid broad impossibility claim about local scanning; code confidentiality only for relevant payloads.,core_security,attack,ready_after_major_patch,ArXiv v1 Sec. 3 pp. 4-6 Fig. 2; Sec. 4.2 p. 7 and App. B pp. 15-17; Sec. 4.3 pp. 7-9 Table 1/Figs. 3-4; Sec. 5.1 p. 9 Fig. 5.
51,liang2025_dont_trust_upstream,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,"Recommended scope=core_security; category=attack; outcome=ready_after_major_patch. Keep attack-primary and core scope; label preprint; distinguish reconstruction F1, ASR, application 17/20, and blocking rate; qualify “real-world”; split topology inference from authority impact.",core_security,attack,ready_after_major_patch,ArXiv v2 Sec. V pp. 5-10 Fig. 3; Sec. VII-D pp. 12-14 Table III; Sec. VII-E p. 15 Table VII; Sec. VII-F pp. 15-16 Tables VIII-X.
52,weckbecker2026_thought_virus,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=attack; outcome=ready_after_major_patch. Downgrade scope to security_relevant; do not translate fold increase into ASR; qualify “misalignment” and monitoring claims; retain as an emerging observer/propagation perspective rather than headline evidence.,security_relevant,attack,ready_after_major_patch,ArXiv v1 Abstract p. 1; Sec. 3 pp. 4-5 Figs. 2-3; Sec. 4 pp. 5-8 Tables 1-2; discussion pp. 8-9.
53,lupinacci2025darkside,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=attack; outcome=ready_after_major_patch. Downgrade paper scope to security_relevant; separate MAS condition from single-agent comparators; state 100% as 18/18 tested model backbones; do not generalize to universal compromise.,security_relevant,attack,ready_after_major_patch,ArXiv v6 Abstract p. 1; attack-surface and inter-agent sections pp. 5-6; evaluation pp. 5-6.
54,sun2026insider,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_major_patch. Keep core attack claim but mark preliminary; do not compare with BFT fault thresholds; separate agreement rate from episode duration; avoid category-level conclusion based on this paper.,core_security,attack,ready_after_major_patch,ArXiv v1 Abstract p. 1; problem formulation pp. 1-3; method pp. 2-4; experiment/results pp. 3-4.
55,ahad2026sif,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=attack; outcome=ready_after_major_patch. Downgrade scope to security_relevant/boundary; clarify 10/14 denominator; qualify “all detected/no false positives”; do not count classifier families as agents; author signoff publisher metadata.,security_relevant,attack,ready_after_major_patch,Published/arXiv Abstract p. 1; threat/model sections; evaluation result reporting 10/14; publisher metadata for Vol. 9 No. 1 pp. 229–237.
56,cai2026grmp,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=adjacent; category=attack; outcome=ready_after_major_patch. Correct author order; move from core_security to adjacent; exclude from core runtime attack counts; retain as foundational/adjacent aggregation-integrity evidence.,adjacent,attack,ready_after_major_patch,ArXiv v3 Abstract p. 1 and method/evaluation sections; IEEE DOI metadata pp. 956–961 and formal author list.
57,huang2026mcpthreatmodel,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=adjacent; category=evaluation; outcome=ready_after_major_patch. Move from core_security to adjacent; reclassify primary from attack to evaluation/threat modeling; do not count seven clients as agents; do not include in core MAS attack denominator.,adjacent,evaluation,ready_after_major_patch,Published HTML Sec. 3 Fig. 1/Tables 1-6; Secs. 4-6 evaluation tables; publisher metadata Vol. 6 Issue 3 Article 84.
58,xiao2026sgoatmas,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,"Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Mark workshop evidence tier; keep attack-primary; separate system accuracy, detection, and scapegoat metrics; do not claim general covert/undetectable attack; deduplicate earlier submission.",core_security,attack,ready_after_minor_patch,Workshop PDF Sec. 4 pp. 4-6 Fig. 1; Sec. 5 pp. 7-9 Tables 1-2.
59,han2025alignment_tipping,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=evaluation; outcome=ready_after_major_patch. Reclassify primary from attack to evaluation/failure study; retain security_relevant scope; split MAS diffusion from single-agent exploration; exclude from attack counts and use cautious “emerging evidence” language.,security_relevant,evaluation,ready_after_major_patch,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.
60,long2025funcpoison,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_major_patch. Keep attack-primary; require ASR threshold in every numeric claim; separate tool-state integrity and trajectory impact; avoid real-world safety extrapolation.,core_security,attack,ready_after_major_patch,ArXiv v2 Abstract/Sec. 1 pp. 1-2 Fig. 1; method pp. 2-4 Figs. 2-3; Sec. 5 pp. 6-8 Table 2/Figs. 5-6.
61,naik2026omni_leak,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Keep attack-primary/core; label preprint; preserve exact success predicate; clarify agent count and seven-author list; do not generalize to all orchestrator MAS.,core_security,attack,ready_after_minor_patch,ArXiv v2 Abstract p. 1; Sec. 4.1 pp. 3-4 Figs. 2-3; Sec. 4.2 p. 4 Fig. 4; Sec. 5 pp. 4-7 Tables 1-5.
62,zhou2026shield_target,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=attack; outcome=ready_after_major_patch. Retain security_relevant rather than core; isolate MAS-specific starvation claim; separate token/latency ratios from ASR; do not label primitive unique to MAS.,security_relevant,attack,ready_after_major_patch,ArXiv v2 Abstract p. 1; Secs. 3-5 pp. 4-7 Fig. 1; Sec. 7.2 pp. 11-12 Table 10; conclusion p. 16.
