priority,paper_id,title,year,venue,primary_category,paper_type,scope_relation,primary_url,note_path,review_focus,minimum_review_status,attack_evidence_status,attack_role,attack_instance_coding_required,reviewer,review_date,adjudication_note,assistant_review_status,recommended_scope,recommended_category,review_outcome,evidence_locators
73,cui2025maris,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,2025,arXiv,defense,Defense; Theoretical analysis; Evaluation,core_security,https://arxiv.org/abs/2505.04799,papers/defenses/arxiv/2025_cui_maris.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep defense/formal-system primary; record v5; qualify “formally verifiable” to modeled flows; make complete mediation and policy correctness explicit; do not imply universal semantic noninterference.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,"arXiv abstract for architecture, AutoGen/LangChain integration, and three task suites; PDF Secs. 3–4 and evaluation tables for policy model and overhead. Exact locators require author signoff."
74,he2025atrust,To Trust or Not to Trust: Attention-based Trust Management for LLM Multi-Agent Systems,2025,arXiv,defense,Defense; Evaluation; Empirical study,security_relevant,https://arxiv.org/abs/2506.02546,papers/defenses/arxiv/2025_he_a_trust.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=security_relevant; category=defense; outcome=ready_after_major_patch. Do not list ACL 2026 as formally published until an Anthology record is found; keep defense-primary; split malicious/deceptive attacks from benign low-quality messages; record attention/internal-signal and threshold assumptions.,assistant_source_reviewed_pending_author_signoff,security_relevant,defense,ready_after_major_patch,"arXiv abstract for six dimensions, A-Trust/TMS, and acceptance comment; full paper Secs. 2–3 and result/limitation sections. Exact tables/pages require author signoff."
75,rabieinejad2026alteda,ALTEDA: An Adaptive Layered Threat Detection Architecture for Multi-Agent Systems,2026,Information Processing & Management,defense,Defense; Evaluation; Empirical study,core_security,https://doi.org/10.1016/j.ipm.2026.104768,papers/defenses/journals_information_processing_management/2026_rabieinejad_alteda.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_major_patch. Replace ALTEDA as paper title with the published title; preserve ALTEDA as method name; correct the 31.4% interpretation to attack success rate; make global synchronized telemetry and log integrity assumptions explicit.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_major_patch,"ScienceDirect abstract for 800 traces, 31.4% ASR, ~40% early alerts, content-free telemetry, and SHAP attribution; full article architecture/evaluation sections for exact tables. Author signoff required."
76,miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,2026,ACL,defense,Defense; Evaluation; Empirical study,core_security,https://aclanthology.org/2026.acl-long.1819/,papers/defenses/acl/2026_miao_blindguard.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep defense-primary; preserve ASR@3 and AUC denominators separately; label pruning as containment; do not call unknown-attack performance a guarantee; record global graph visibility and isolation authority.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,ACL metadata/abstract; published PDF Sec. 3 and Fig. 2 for method; Sec. 4.1/Table 1 for attack families/topologies/backbones/metrics.
77,pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,2026,ACL,defense,Defense; Evaluation; Empirical study,core_security,https://aclanthology.org/2026.acl-long.1407/,papers/defenses/acl/2026_pan_xg_guard.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep defense-primary; separate response/agent detection from system ASR; make graph-wide visibility and node-removal authority explicit; call robustness empirical, not guaranteed.",assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,ACL metadata/abstract; PDF Sec. 3 and Fig. 2 for architecture; Sec. 4.1/Table 1 for setup/topologies/attack surfaces.
78,tapwal2026prism,PRISM: Generation-Time Detection and Mitigation of Secret Leakage in Multi-Agent LLM Pipelines,2026,arXiv,defense,Defense; Evaluation; Empirical study,core_security,https://arxiv.org/abs/2605.10614,papers/defenses/arxiv/2026_tapwal_prism.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep defense/benchmark primary; replace vague “2,000 examples” with 2,000 tasks, 13 categories, three pressure levels, and four agents; preserve task-level denominator; do not convert 0.0% observed leakage into a guarantee.",assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,"arXiv abstract lines for four-agent pipeline, 2,000 tasks, 13 categories, three pressure levels, all headline metrics; full paper Secs. 3–5 for 16-signal model and baselines."
79,darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,2026,AAAI,defense,Defense; Evaluation; Empirical study,security_relevant,https://ojs.aaai.org/index.php/AAAI/article/view/41065,papers/defenses/aaai/2026_darabi_bio_autonomic.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=security_relevant; category=defense; outcome=ready_after_major_patch. Use Amit Ranjan Trivedi in canonical author field. Keep defense primary. Downgrade scope from blanket core_security to security_relevant unless individual attack claims are separated. Do not present resilience recovery as a security guarantee.,assistant_source_reviewed_pending_author_signoff,security_relevant,defense,ready_after_major_patch,"Official AAAI abstract and metadata; repository note method pp.2-5 and evaluation pp.6-7, but exact table/figure locators require author signoff"
80,zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,2026,AAAI,defense,Defense; Evaluation; Empirical study,security_relevant,https://ojs.aaai.org/index.php/AAAI/article/view/40824,papers/defenses/aaai/2026_zhou_resmas.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=security_relevant; category=defense; outcome=ready_after_minor_patch. Do not code this as attack. Label design-time defense/resilience. Do not call random-failure robustness a security guarantee. Preserve exact perturbation model and resilience definition.,assistant_source_reviewed_pending_author_signoff,security_relevant,defense,ready_after_minor_patch,Official AAAI abstract lines 34-37 and metadata lines 18-48; repository note method pp.3-5 and experiments pp.5-8
81,shi2026saiguard,SAIGuard: Communication-State Simulation for Proactive Defense of LLM Multi-Agent Systems,2026,arXiv,defense,Defense; Evaluation; Empirical study,core_security,https://arxiv.org/abs/2606.12474,papers/defenses/arxiv/2026_shi_saiguard.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep preprint label. Separate proactive interception from formal prevention guarantee. Record 80 agents only as scalability setting, not general evaluation size.",assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,Repository note sections 3-4 pp.3-7 and section 5 pp.8-11; arXiv full text must be signed off for exact tables
82,feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,2026,The Web Conference,defense,Defense; Evaluation; Empirical study,core_security,https://doi.org/10.1145/3774904.3792462,papers/defenses/www/2026_feng_sentinelnet.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Use published WWW metadata. Qualify headline detection/recovery numbers as selected benchmark results. Code detection and containment separately.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,Official ACM abstract and pages 3135-3146; repository note method section 4 pp.4-7 and results section 5 pp.7-10
83,huang2026toposhield,TopoSHIELD: Reshaping the Flow of Malice via Spatio-Temporal Risk-Aware Topological Evolution in Multi-Agent Systems,2026,Findings of ACL,defense,Defense; Evaluation; Empirical study,core_security,https://aclanthology.org/2026.findings-acl.426/,papers/defenses/findings_acl/2026_huang_toposhield.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Do not generalize the 58% result. Code functions as detection plus containment, not prevention of initial compromise. Record global observer and intervention assumptions.",assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,ACL Anthology abstract lines 58-61; metadata lines 62-99; repository note method pp.3-6 and results pp.7-10
84,juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,2025,NeurIPS Responsible Foundation Models Workshop,evaluation,Benchmark; Evaluation; Empirical study,core_security,https://nips.cc/virtual/2025/workshop/127834,papers/evaluations/neurips_workshop/2025_juneja_magpie.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_major_patch. Canonicalize to the five-author 200-task workshop version. Do not mix 158-scenario, GPT-4o/Claude numbers from arXiv 2506.20737 with GPT-5/Gemini numbers from 2510.15186.",assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_major_patch,NeurIPS workshop abstract; repository note dataset/method pp.3-5 and results pp.6-9
85,chen2025medsentry,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,2025,arXiv,evaluation,Benchmark; Evaluation; Attack; Defense; Empirical study,core_security,https://arxiv.org/abs/2505.20824,papers/evaluations/arxiv/2025_chen_medsentry.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_minor_patch. Keep arXiv-only status and do not imply ICLR acceptance. Code primary role as benchmark/evaluation, not attack. Preserve five-agent and medical-domain scope for topology conclusions.",assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_minor_patch,"Paper Abstract and sections 3-5; Table 1, Figure 2, Tables 2-3; repository note lists pages 1,4-7"
86,an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,2026,ACL,evaluation,Benchmark; Evaluation; Attack; Defense; Empirical study,core_security,https://aclanthology.org/2026.acl-long.457/,papers/evaluations/acl/2026_an_aciarena.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_minor_patch. Primary category should be benchmark/evaluation, not attack. Split claims by objective. Record per-system agent count/topology. Do not compare ASR, DSR, and PSR as one quantity.",assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_minor_patch,"ACL paper Abstract and section 4, section 5.1; 1,356 cases, six implementations, metric definitions"
87,elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,2026,IEEE Access,evaluation,Benchmark; Evaluation; Empirical study,core_security,https://doi.org/10.1109/ACCESS.2026.3704541,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_major_patch. Use final title and author order. Distinguish 41.7 percentage-point hidden-leakage event from “41.7% of all violations” unless denominator wording is exact. Keep channel rates, union exposure, and attack-family ASR separate.",assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_major_patch,"IEEE/arXiv Tables 8, 10-15; Figures 3-5; main benchmark and methods sections"
88,nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,2026,COLM,evaluation,Benchmark; Evaluation; Attack; Defense; Empirical study,security_relevant,https://colmweb.org/AcceptedPapers.html,papers/evaluations/colm/2026_nother_bad_acts.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_major_patch. Use accepted title and 937-action/five-environment counts only. Primary category benchmark/evaluation. Do not mix earlier-version counts or treat all environments as identical MAS configurations.,assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_major_patch,"Accepted paper contribution list p.2, threat model/Figure 1, benchmark design and ethics/reproducibility sections"
89,zhao2026macbench,Beyond Goodhart's Law: A Dynamic Benchmark for Evaluating Compliance in Multi-Agent Systems,2026,arXiv,evaluation,Benchmark; Evaluation; Empirical study,security_relevant,https://arxiv.org/abs/2606.07805,papers/evaluations/arxiv/2026_zhao_macbench.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=security_relevant; category=benchmark; outcome=ready_after_major_patch. Do not code whole paper as core MAS security. Separate security rules from general compliance. Record MG/CSR formulas and denominators precisely. Avoid “strategic” intent claims beyond observed behavior.,assistant_source_reviewed_pending_author_signoff,security_relevant,benchmark,ready_after_major_patch,arXiv sections 3-4; 847 atomic rules; Tables 2-5; metric equations; architecture ablation
90,zou2026calbench,CalBench: Evaluating Coordination-Privacy Trade-offs in Multi-Agent LLMs,2026,arXiv,evaluation,Benchmark; Evaluation; Empirical study,core_security,https://arxiv.org/abs/2605.09823,papers/evaluations/arxiv/2026_zou_calbench.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=security_relevant; category=benchmark; outcome=blocked_metadata_signoff. Resolve four-author arXiv metadata versus five-author PDF title-block conflict. Replace vague N/M notation with canonical N=5, M=5 in main suite. Do not call Table 1 N=135/45 “number of agents”; it is evaluated seats.",blocked_metadata_signoff,security_relevant,benchmark,blocked_metadata_signoff,"arXiv HTML lines 11-23, 50-80, 82-131; Table 1 and metric equations"
91,nakamura2026colosseum,Colosseum: Auditing Collusion in Cooperative Multi-Agent Systems,2026,arXiv,evaluation,Benchmark; Evaluation; Attack; Empirical study; Theoretical analysis,core_security,https://arxiv.org/abs/2602.15198,papers/evaluations/arxiv/2026_nakamura_colosseum.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_minor_patch. Primary category benchmark/evaluation. Do not claim most models spontaneously collude without the secret-channel and objective conditions. Separate textual intent from action-level regret.,assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_minor_patch,"arXiv abstract, sections 4-5, metric equations, environment and results sections"
92,milkowski2026amongus,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,2026,AAMAS,evaluation,Evaluation; Empirical study,security_relevant,https://doi.org/10.65109/FRXL8789,papers/evaluations/aamas/2026_milkowski_among_us.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=security_relevant; category=evaluation; outcome=ready_after_minor_patch. Primary category evaluation, not attack. Preserve finding that deception was strategically limited; do not cite as evidence of highly effective autonomous deception.",assistant_source_reviewed_pending_author_signoff,security_relevant,evaluation,ready_after_minor_patch,"AAMAS paper abstract/methods/results; 1,100 games, >1M tokens, falsification/equivocation coding"
93,arora2026safeagents,Exposing Weak Links in Multi-Agent Systems under Adversarial Prompting,2026,AAMAS Strategic Engineering Workshop,evaluation,Benchmark; Evaluation; Attack; Empirical study,security_relevant,https://openreview.net/forum?id=XC5vOg5UTf,papers/evaluations/aamas_workshop/2026_arora_safeagents.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_minor_patch. Primary category benchmark/evaluation. Do not call DHARMA a single metric without explaining categories. Distinguish architecture count from agent count. Label workshop status.,assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_minor_patch,"Workshop/arXiv Abstract, sections 3-5, Figure 3, main tables"
94,lemercier2026gambit,GAMBIT: A Three-Mode Benchmark for Adversarial Robustness in Multi-Agent LLM Collectives,2026,arXiv,evaluation,Benchmark; Evaluation; Attack; Defense; Empirical study,security_relevant,https://arxiv.org/abs/2605.09027,papers/evaluations/arxiv/2026_le_mercier_gambit.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=benchmark; outcome=ready_after_major_patch. Primary category should be benchmark rather than attack. Do not treat zero-shot F1, recalibration score, and collective task degradation as one metric. Verify exact collective size and table locators before manuscript use.",assistant_source_reviewed_pending_author_signoff,core_security,benchmark,ready_after_major_patch,arXiv abstract; method and benchmark sections; Figure 1; dataset split and adaptation result tables. Exact page/table locators require final author signoff.
