global_priority,review_track,paper_id,canonical_title,canonical_authors,canonical_year,canonical_venue,doi,source_url,version_status,identity_verdict,current_scope,recommended_scope,scope_rationale,current_category,recommended_category,secondary_roles,multiagent_verdict,attack_evidence_status,attack_role,attack_instance_coding_required,adversary_position,adversary_capabilities,preconditions,mechanism,attack_surfaces,primary_system_failure,reported_impact,agent_count_or_configuration,topology,communication,baselines,metric_definition,unit_denominator,system_level_impact_verified,evidence_locators,author_claim_vs_corpus_interpretation,limitations_maturity,key_corrections,review_outcome,promote_to_load_bearing,review_status
22,standard_attack,amayuelas2024collaboration_attack,MultiAgent Collaboration Attack: Investigating Adversarial Attacks in Large Language Model Collaborations via Debate,Alfonso Amayuelas; Xianjun Yang; Antonis Antoniades; Wenyue Hua; Liangming Pan; William Yang Wang,2024,Findings of EMNLP 2024,10.18653/v1/2024.findings-emnlp.407,https://aclanthology.org/2024.findings-emnlp.407/,Published archival Findings version; canonical.,Verified.,core_security,core_security,A malicious member exploits inter-agent debate to manipulate the aggregate decision; the failure is interaction-dependent.,attack,attack,evaluation; defense evaluation,"Yes. Multiple independently instantiated LLMs answer, exchange responses, and revise over debate rounds.",confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,Malicious member/participant in a debate group.,Chooses an incorrect answer and generates persuasive arguments visible to peer agents; inference-time persuasion optimization.,Debate architecture with shared responses; at least one malicious participant; aggregate majority decision.,Persuasion-driven adversarial debate and collective influence.,Coordination/debate; inter-agent messages; aggregation.,Collective decision integrity failure.,System and individual accuracy drops; increased agreement with the adversary.,Experiments vary M from 2 to 6; principal setup uses multiple group models plus one adversary.,Fully connected debate-style sharing rather than diverse graph topologies.,Multiple debate rounds; ablation fixes T=3 for agent-count study and varies rounds elsewhere.,"Benign/no-adversary collaboration, adversarial debate, model/knowledge/persuasion variants, agent/round ablations, and prompt-based mitigation.","Majority Vote Accuracy and Adversary Agreement, plus individual/group accuracy change from initial to final round.",Question-level proportions over benchmark items; not per-agent or per-message ASR.,Yes: aggregate decision and group accuracy are directly measured.,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,Authors establish vulnerability of debate in evaluated tasks. Do not generalize to arbitrary topologies or autonomous tool execution.,"Peer reviewed; limited to debate/majority aggregation, mostly question-answering tasks, fixed adversarial role, and no dynamic coalition formation.","Keep attack/core_security. Ensure metrics are coded as question-level majority accuracy and adversary agreement, not generic ASR. Record debate topology rather than unspecified collaboration.",ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
23,standard_attack,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,Rana Shahroz; Zhen Tan; Sukwon Yun; Charles Fleming; Tianlong Chen,2025,"ACL 2025, Long Papers",10.18653/v1/2025.acl-long.476,https://aclanthology.org/2025.acl-long.476/,Published archival ACL version; canonical.,Verified.,core_security,core_security,"Attack success depends on graph routing, edge bandwidth, latency/permutation, and distributed safety placement.",attack,attack,evaluation; defense evasion,Yes in the paper’s graph abstraction: LLM vertices communicate over bandwidth/latency-constrained edges and chunks traverse the network.,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,Internal/source-side attacker with ability to inject through an initial agent and partial topology/defense knowledge.,"Partitions and routes adversarial prompt chunks, knows target architecture and partial network/safety placement, optimizes prompt tokens.","Graph-modeled LLM network, chunk accumulation at target memory, edge token budgets and variable arrival order, target model known.",Minimum-cost maximum-flow route selection plus permutation-invariant adversarial prompt optimization.,Communication topology; message chunks; edge safety filters; target memory/context.,Target-agent safety/instruction integrity failure; graph-mediated jailbreak. Population compromise is not directly measured.,Harmful target output and defense-evasion; topology affects ASR.,"Not clearly fixed in the main reporting; graph size/topology generation details are in Appendix and should not be inferred from sample-size M, which is permutation sampling.","Random graphs in main trials; chain, tree, complete, and random topology ablation.",Asynchronous/chunked messages with token bandwidth and latency constraints.,Vanilla prompts and GCG; multiple safety mechanisms including Llama-Guard/PromptGuard variants.,"ASR over harmful prompts after one sampled chunk permutation, reported as min/mean/max across three random-topology trials; detector F1 for safety mechanisms.","Prompt/test-case level across JailbreakBench, AdversarialBench, and in-the-wild jailbreak sets; not population infection.","Partly. It verifies graph-mediated delivery and target jailbreak, not an end-to-end autonomous multi-agent task or population-wide outcome.",PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,Authors claim a pragmatic graph-constrained jailbreak attack. Corpus should not describe it as compromising all agents or as measuring affected population.,"Peer reviewed; strong graph abstraction but synthetic message routing, unclear fixed agent count in main text, open-model emphasis, and harmful-output rather than environment-state verification.","Keep attack/core_security. Clarify that primary outcome is target jailbreak, not system-wide compromise. Do not confuse stochastic sample size M with number of agents. Encode ASR denominator as harmful prompt/test case.",ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
24,standard_attack,peigne2025security_tax,Multi-Agent Security Tax: Trading Off Security and Collaboration Capabilities in Multi-Agent Systems,Pierre Peigné; Mikolaj Kniejski; Filip Sondej; Matthieu David; Jason Hoelscher-Obermaier; Christian Schroeder de Witt; Esben Kran,2025,"AAAI 2025, Special Track on AI Alignment",10.1609/aaai.v39i26.34970,https://ojs.aaai.org/index.php/AAAI/article/view/34970,Published AAAI version; arXiv v2 is an expanded accessible version. Use proceedings metadata and reconcile author-name rendering with PDF.,Verified with one metadata normalization issue: arXiv indexes the first author as Pierre Peigne-Lefebvre while the AAAI PDF/proceedings render Pierre Peigné.,core_security,core_security,A compromise of one member propagates malicious instructions through the interaction graph and can trigger a harmful tool action.,attack,attack,defense; evaluation,Yes. Seven role-specific agents exchange asynchronous messages and can execute code.,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,External/malicious user injecting a direct malicious instruction into one randomly selected member.,Selects one of five eligible target agents and injects one of 12 jailbreak prompts; no model parameter control.,"Seven-agent asynchronous research facility, inter-agent messaging, role-specific prompts, code-execution tool, one compromised member.",Infectious malicious prompt and multi-hop instruction propagation.,Member input; inter-agent messaging; memory; tool execution.,Compromise containment and action-integrity failure.,Propagation can culminate in a code call instructing a hazardous lab action; defenses trade security for cooperation.,Seven agents.,Role-based asynchronous messaging network; message chains reconstructed as trees. Not a broad topology comparison.,"Parallel/asynchronous with FIFO queues; attack injected after two messages; simulation ends on harmful code call, deadlock, or message cap.","No defense, passive/active safety instructions, passive/active memory vaccines.",System robustness = fraction of simulations not producing the malicious outcome; agent cooperation = acceptance rate of unusual but harmless instructions; behavioral compromise scores by message step.,"System robustness over 36 simulations per model-defense condition; cooperation over 5,400 agent-instruction trials.",Yes in a simulated environment: harmful code request is checked as the terminal event. It is not a live physical experiment.,AAAI/arXiv PDF pp. 1-3 and Fig. 2; Sec. 3 pp. 4-5; Table 1 pp. 5-6; Sec. 5 “Discussion & Limitations” p. 7; appendices for prompts.,Authors report a simulated chemical-facility compromise and defense trade-off. Corpus must label the environment as simulated and must not state that an actual explosion occurred.,"Peer reviewed; one seven-agent domain, direct injected prompt, closed membership, fixed roles, proprietary-model dependence, and model-judge evaluation.","Normalize canonical author metadata; keep attack/core_security; encode system robustness and cooperation separately; mark harmful action as simulated code request, not real-world execution.",ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
25,standard_attack,zhang2025allies_foes,When Allies Turn Foes: Exploring Group Characteristics of LLM-Based Multi-Agent Collaborative Systems Under Adversarial Attacks,Jiahao Zhang; Baoshuo Kan; Tao Gong; Fu Lee Wang; Tianyong Hao,2025,Findings of EMNLP 2025,10.18653/v1/2025.findings-emnlp.333,https://aclanthology.org/2025.findings-emnlp.333/,Published archival Findings of EMNLP version; use ACL PDF as canonical.,Verified against ACL Anthology and PDF.,core_security,core_security,"The primary question is adversarial-member influence on group decisions, and the failure depends on inter-agent deliberation.",attack,attack,defense evaluation; empirical evaluation; metric proposal,Yes. Independently responding collaborative and adversarial agents exchange full response histories over multiple rounds under three communication schedules.,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,One or two malicious member agents inside the collaboration group.,"Generate a counterfactual answer, observe shared responses, retain interaction history, and adapt misleading responses across rounds.",Fixed-answer tasks; symmetric sharing of agent responses; at most five honest collaborators; synthetically generated counterfactual answer.,Adaptive counterfactual-answer persuasion through repeated group communication.,Inter-agent deliberation; communication schedule; consensus formation.,Collective decision-integrity failure.,"Honest agents adopt the adversarial answer earlier or more often, reducing group robustness.",One to five collaborative agents plus one or two adversarial agents.,"Three communication schedules: self-consistency one-by-one, sequential one-by-one, and simultaneous-talk; not a graph-topology study in the strict network sense.",Multi-round full-response sharing; each agent stores its own and others’ response history.,"Vary adversarial-member count, honest group size, communication schedule, and self-reflection mitigation.","System Defense Index aggregates whether initially non-adversarial agents adopt the counterfactual answer and the first affected round; also reports First Attacked Time, consensus, and accuracy.",SDI is averaged over dataset questions and includes agent and round terms; it is not a conventional task-level ASR.,Yes for collective-answer influence on fixed-answer tasks; no external action or environment consequence is evaluated.,"PDF pp. 1-3, Secs. 2.1-2.4 and Eqs. 1-3; pp. 3-6, Figs. 1-4; p. 9 Limitations.","Authors study group robustness and group dynamics. Corpus may code the resulting property as collective decision integrity, but must not call SDI an ASR or treat the three schedules as arbitrary network topologies.","Peer reviewed. Maximum five collaborative agents, fixed-answer datasets, homogeneous roles, synthetic counterfactual attacks, and no deployed environment effects.",Clarify that communication strategies are schedules rather than general graph topology; encode SDI with its question/agent/round denominator; keep external impact claims narrow.,ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
26,standard_attack,zhu2025master,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,Yifan Zhu; Chao Zhang; Xin Shi; Xueqiao Zhang; Yi Yang; Yawei Luo,2025,Findings of EMNLP 2025,10.18653/v1/2025.findings-emnlp.917,https://aclanthology.org/2025.findings-emnlp.917/,Published archival Findings of EMNLP version; use ACL PDF as canonical.,Verified against ACL Anthology.,core_security,core_security,"Role and topology reconnaissance, adaptive attack assignment, and harmful cooperation are explicitly interaction dependent.",attack,evaluation,attack; defense; benchmark/framework,Yes. The framework constructs role-distinct agents connected by directed information-flow topologies and attacks their coordinated execution.,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,External user with conversational access to selected entry agents.,"Probe roles and neighbors, infer structure, inject adversarial traits into selected roles, retain them, and later activate coordinated harmful behavior.",The system exposes conversational responses sufficient for role/topology probing and accepts multi-round prompt interactions.,"Three-stage structure reconnaissance, scenario-adaptive role-trait injection, and activation using inferred role/topology context.",Role/system prompts; messages; memory; topology; collective task execution.,Collective action and objective-integrity failure.,Specialized agents maintain adversarial roles and cooperate on harmful scenario-specific tasks.,Varies by automatically generated scenario; exact counts are scenario-dependent and should be taken from the released configurations rather than summarized as a single n.,"Five topology families, including chain and hierarchical configurations.",Directed information-flow interaction over multiple stages.,Non-adaptive dark-trait injection and ablations omitting role or topology information; three proposed defenses.,"Attack Success Rate plus blackened-role consistency, harmful-cooperation score, and defense-efficiency measures.",Scenario/task instances; ASR is not a population-infection rate. Exact denominator must be cited from the evaluation protocol.,"Partially. The paper verifies harmful coordinated outputs in generated scenarios, not production side effects.",PDF Sec. 3.1 pp. 3-4 and Fig. 2; Secs. 3.2.4-3.2.5 pp. 5-6; Sec. 4.1 pp. 6-7; Table 2; Fig. 5 p. 9.,Authors present an integrated attack-defense-evaluation framework. Primary category should not default to attack simply because it includes one; evaluation/framework is the more faithful paper-level role.,"Peer reviewed but relies on automatically generated scenarios, prompt-level adversarial traits, and assumed probing access; external validity to deployed MAS is not established.",Reclassify primary role from attack to evaluation/framework; do not report one fixed agent count; distinguish generated harmful cooperation from verified real-world harm; preserve ASR denominator.,ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
27,standard_attack,zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,Boyang Zhang; Yicong Tan; Yun Shen; Ahmed Salem; Michael Backes; Savvas Zannettou; Yang Zhang,2025,EMNLP 2025,10.18653/v1/2025.emnlp-main.1771,https://aclanthology.org/2025.emnlp-main.1771/,Published archival EMNLP version; use ACL PDF as canonical.,Verified against ACL Anthology/PDF.,core_security,security_relevant,The attack primitive is general agent malfunction. Only the advanced viral cases are interaction-dependent and should enter the MAS claim corpus.,attack,attack,defense; evaluation,Partly. Most of the paper evaluates single autonomous agents; a dedicated advanced-attack subsection uses separately instantiated Gmail and CSV agents in same-type and chain workflows.,confirmed_attack_bearing,introduces_attack; includes_MAS_extension,yes_claim_level_only,Malicious user or compromised upstream agent; for advanced MAS cases the adversary directly controls one agent.,Inject instructions into user input or external content; in MAS cases embed commands into an upstream agent’s output to induce downstream loops or wrong functions.,Tool-capable agents; downstream agents consume peer-produced content; experiments implement only two agent types.,"Prompt-induced infinite loops or incorrect benign function execution, extended into viral cross-agent malfunction.",User input; external tool/file content; memory; inter-agent message/control flow.,Availability/resource boundedness and task/action integrity failure.,"Agent non-completion, repetitive actions, incorrect benign functions, bandwidth/resource occupation, and downstream spamming behavior.",Most broad experiments use an agent emulator; advanced MAS demonstrations use multiple Gmail agents or a CSV-to-Gmail chain built from two implemented agent types.,Same-type peer network and heterogeneous two-stage chain; no broad controlled topology sweep.,Upstream agent output is consumed by downstream agent; attack is embedded in the intermediate message/content.,"No-attack baseline; prompt injection, adversarial demonstrations, GCG/VIPER/SCPN variants; self-examination defense.",Failure Rate: proportion of tested instructions/cases where the agent enters the target malfunction or fails the required task.,"Case-level trials, with different denominators across tables; advanced MAS Table 4 reports cases for two scenarios, not population prevalence.",Yes only for the small implemented workflows. The >80% headline spans scenarios and should not be presented as a universal MAS rate.,PDF Secs. 3.2-3.3 pp. 2-3; Tables 2-4 pp. 5-7; Sec. 5.5 pp. 6-7; Limitations p. 8.,Authors frame a broad autonomous-agent malfunction attack with multi-agent demonstrations. Corpus must isolate the advanced MAS claims instead of treating the entire paper as MAS-primary.,"Peer reviewed. Only two implemented agent types, small workflow demonstrations, benign incorrect-action targets, and strong single-agent confounding.",Downgrade whole-paper scope to security_relevant; code only advanced MAS claims as core interaction evidence; do not use the >80% headline as a population-level MAS result.,ready_after_major_patch,no,assistant_source_reviewed_pending_author_signoff
28,standard_attack,yan2026evo_attacker,Evo-Attacker: Memory-Augmented Reinforcement Learning for Long-Horizon Tool Attacks on LLM-MAS,Bingyu Yan; Xiaoming Zhang; Jinyu Hou; Chaozhuo Li; Ziyi Zhou; Yiming Hei; Litian Zhang,2026,ACL 2026,10.18653/v1/2026.acl-long.330,https://aclanthology.org/2026.acl-long.330/,Published archival ACL version.,Verified against ACL Anthology/PDF; normalize Jinyu capitalization.,core_security,core_security,The threat model and evaluated consequence explicitly depend on a multi-round MAS execution trace and communication architecture.,attack,attack,evaluation; attack-policy training,"Yes. A graph-structured MAS with flat, chain, and hierarchical communication is attacked through one agent’s tool-return channel, and local perturbations affect downstream collaboration.",confirmed_attack_bearing,introduces_attack,yes,Gray-box malicious tool/API channel associated with one target agent.,"Monitor that agent’s tool calls and raw returns, replace at most B returns, retain local tool-interaction history; cannot see inter-agent messages or model internals.",At least one target agent uses a compromisable tool channel; downstream task outcome depends on its tool results; intervention budget B=3 in main experiments.,"Memory-augmented, deliberative multi-round tool-return manipulation optimized by Attack-Flow GRPO.",Tool/API return channel; target-agent local context; downstream communication and global task trace.,Collective task/action-integrity failure.,"Performance degradation across code, deep-research, and web tasks, sometimes propagating to terminal system failure.",Architecture-specific; exact counts reside in Appendix C.1 and should not be inferred from the attack budget or rollout group size.,"Flat, chain, and hierarchical.",Multi-step graph execution; attacker is explicitly blind to inter-agent messages.,No attack; Forced Output; InjecAgent; Web Fraud; Prompt Infection; component ablations.,"Uses each benchmark’s official task metric (TS, Pass@1, RACE, WebArena SR, WebShop score) and reports absolute degradation from no-attack, rather than one common ASR.",Task/benchmark-specific instances. “Attack effectiveness” is metric decline; denominators are not comparable across benchmarks.,"Yes at terminal task outcome level; “global system collapse” is author rhetoric for failure of benchmark criteria, not infrastructure compromise.",PDF Sec. 2 pp. 2-3; Fig. 1; Sec. 4.1 p. 4; Table 1 pp. 5; Table 2 pp. 5-6; Sec. 4.5; Limitations p. 8.,"Authors call the method a long-horizon tool attack. Corpus should encode each official benchmark metric, not convert all results into ASR.",Peer reviewed. High training/test-time cost; Qwen-based main victim/attacker setup; static architectures; only LLM detector stealthiness broadly tested; cryptographic/protocol defenses not evaluated.,Do not label its reported metrics as ASR; preserve tool-channel-only visibility and B=3 constraint; do not infer n from G=8 rollouts; narrow “system collapse” to task failure.,ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
29,standard_attack,yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",Bingyu Yan; Xiaoming Zhang; Ziyi Zhou; Chaozhuo Li; Ruilin Zeng; Yirui Qi; Tianbo Wang; Litian Zhang,2026,"AAAI 2026, Technical Track on Multiagent Systems",10.1609/aaai.v40i35.40224,https://ojs.aaai.org/index.php/AAAI/article/view/40224,Published AAAI proceedings version.,Verified against AAAI publisher page.,core_security,core_security,The attack surface and outcome are explicitly inter-agent communication and collective task integrity.,attack,attack,evaluation,"Yes. The adversary rewrites in-transit messages over multiple rounds in flat, chain, and hierarchical MAS without modifying agent internals.",confirmed_attack_bearing,introduces_attack,yes,On-path communication adversary controlling a subset of links.,"Observe, select, and replace messages across rounds; knows graph and role/task context; cannot directly alter agent state.",Unauthenticated or modifiable communication links and continuous access to selected channels.,MCTS/DPO-trained adaptive multi-round tampering with semantic and embedding similarity constraints.,Inter-agent messages; communication graph.,Communication integrity and collective task-integrity failure.,Steered final joint output toward attacker goals while evading a semantic detector.,Flat and chain use three agents; hierarchical uses two children per parent according to the paper setup.,"Flat, chain, hierarchical.",Multi-round message passing; attacker may tamper with selected links and rounds.,"Debate-Attack, AutoInject, AiTM-Target, AiTM-DoS; similarity-constraint ablations.",Final-output Attack Success Rate plus message-level stealthiness under a trusted LLM detector.,Task instances for ASR and transmitted messages for detector/stealth metrics; these denominators must remain separate.,Yes at final task-output level; no external side-effect execution is shown.,"AAAI PDF Sec. 3.2 p. 3; Secs. 4.1-4.2 pp. 3-5, Fig. 2, Eqs. 10-11; Secs. 5.1-5.2 pp. 5-7, Table 1.",Authors claim adaptive stealthy communication tampering. Corpus should not infer authenticated-channel defeat or global invisibility beyond the evaluated detector.,"Peer reviewed. Small fixed architectures, full graph knowledge, continuous link access, semantic rather than cryptographic detection, and final-output attack criterion.",Separate task-level ASR from message-level stealth denominator; retain strong on-path and graph-knowledge assumptions; do not describe agents themselves as compromised.,ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
30,standard_attack,wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,Xiaoqing Wang; Keman Huang; Bin Liang; Hongyu Li; Xiaoyong Du,2026,AAAI 2026,10.1609/aaai.v40i44.41134,https://ojs.aaai.org/index.php/AAAI/article/view/41134,Published AAAI proceedings version.,"Metadata matches the AAAI publisher record and repository note; publisher page timed out during this pass, so final PDF signoff is still required.",core_security,core_security,The attacks and defenses are localized to role agents and propagate through a multi-stage software workflow.,attack,evaluation,attack; defense; benchmark,"Yes. Distinct design, coding, and testing roles exchange software artifacts in ChatDev, MetaGPT, and AgentVerse.",confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,Malicious user or compromised member/role agent.,"Mix malicious functionality into benign requirements or modify selected design, coding, or testing role profiles.",Role-separated software MAS; cross-stage artifacts are trusted by downstream agents; generated programs are run in a sandbox.,"Implicit malicious behavior injection through requirements or compromised role profiles, propagated across development stages.",User requirements; role prompts; shared code/design/test artifacts.,Compositional software action and artifact-integrity failure.,Executable software retains benign utility while implementing malicious operations.,"Framework dependent; design, coding, and testing stages are the analyzed role positions rather than one fixed n.","Stage/workflow structures of ChatDev, MetaGPT, and AgentVerse.",Cross-stage artifact handoff and role dialogue.,"No attack, user-side versus compromised-role attacks, per-stage and all-stage defenses, multiple models/frameworks.","Benign utility, utility under attack, consistency, refusal rate, ASR, and defense-adjusted ASR/refusal.","Software requirement/task instances; ASR concerns malicious functionality in generated software, not compromised-agent count.",Yes in controlled executable-software evaluation; no deployment on real victims.,"PDF Methodology pp. 3-5 and Fig. 2; Experiment p. 5; attack/defense results pp. 6-8, Figs. 4-5.","Authors present a combined risk/defense benchmark. Paper-level primary role is better coded as evaluation, with claim-level attack records for IMBIA.","Peer reviewed but synthetic malicious requirements, three research frameworks, sandboxed execution, and prompt-hardening defenses without formal authorization guarantees.",Reclassify paper-level role from attack to evaluation; do not claim fixed agent count; distinguish verified malicious code behavior from real-world compromise.,ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
31,standard_attack,wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,Yongxuan Wu; Xixun Lin; He Zhang; Nan Sun; Kun Wang; Chuan Zhou; Shirui Pan; Yanan Cao,2026,ACL 2026,10.18653/v1/2026.acl-long.815,https://aclanthology.org/2026.acl-long.815/,Published archival ACL version.,Verified against ACL Anthology and PDF metadata.,core_security,core_security,Structural confidentiality of the communication topology is a native MAS property.,attack,attack,evaluation; reconnaissance,Yes. The protected object is a hidden inter-agent graph; the attack is undefined for one agent.,confirmed_attack_bearing,introduces_attack,yes,External black-box querier.,"Submit crafted queries and observe exposed outputs; no access to graph, prompts, internal messages, roles, or weights.",Information-flow dependencies create semantic correlations observable at the interface; tested systems use optimized hidden graphs.,"Adversarial query generation, global-bias disentanglement, LLM weak supervision, and edge classification.",Public query/output interface; semantic traces of hidden communication.,Structural confidentiality and architecture IP leakage.,Reconstruction of hidden communication edges; no follow-on exploit is demonstrated.,Varies with evaluated graph generators/configurations; exact n must be cited per experiment rather than inferred from AUC.,Multiple optimized hidden directed communication graphs.,Internal message flow is not directly observed; it is inferred from output correlations.,Correlation/graph-inference baselines and method ablations.,Edge-classification AUC and related classification measures.,Candidate graph edges across test systems; not task-level ASR.,Topology leakage is verified. Operational compromise after reconnaissance is not.,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Sec. 5 pp. 8-10 and main result tables.,"Authors call topology a privacy/IP asset. Corpus must code CIA as reconnaissance/confidentiality loss, not topology corruption or a demonstrated downstream attack.","Peer reviewed. Restricted topology families, semantic-correlation assumption, optimized graphs, and no implemented defense or follow-on attack.",Keep primary failure structural confidentiality; record AUC per edge; remove any claim that topology was modified or that later exploitation was verified.,ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
32,standard_attack,ko2026social_dynamics,Social Dynamics as Critical Vulnerabilities that Undermine Objective Decision-Making in LLM Collectives,Changgeon Ko; Jisu Shin; Hoyun Song; Huije Lee; Eui Jun Hwang; Jong C. Park,2026,ACL 2026,10.18653/v1/2026.acl-long.1756,https://aclanthology.org/2026.acl-long.1756/,Published archival ACL version.,Verified against ACL Anthology.,security_relevant,security_relevant,"Intentional adversarial peers manipulate objective decisions, but the study is also a social-psychology evaluation and does not model a broader technical security boundary.",attack,evaluation,attack-bearing empirical study,Yes. A representative agent integrates outputs from five distinct peers and its decision changes with adversarial coalition and message characteristics.,confirmed_attack_bearing,evaluates_attack_factor,yes,One or more malicious peer agents.,"Provide incorrect recommendations and manipulate coalition size, apparent expertise, message length/order, dominance, and rhetoric.",Representative-agent aggregation architecture; peers are presented as decision evidence; objective-answer tasks.,"Conformity pressure, expertise signaling, dominant-speaker effects, and rhetorical persuasion.",Peer-message content; group composition; aggregation context.,Collective decision-integrity failure.,Representative accuracy and willingness to retain the correct answer decline under stronger social pressure.,One representative plus five peer responses; adversarial peer count is varied.,Representative/aggregator star-like architecture; not decentralized.,One representative consumes peer answers/arguments rather than unrestricted peer-to-peer interaction.,"No-peer and benign-peer controls; controlled interventions on coalition, capability, length, order, and rhetoric.",Representative-agent accuracy and decision-change/adoption rates.,Question instances under each controlled condition.,Yes for objective final-answer changes; no external action or persistent system state.,PDF study design Sec. 3 pp. 3-5; experiments Secs. 4-5 pp. 4-15 and main tables/figures; limitations section.,Authors frame social dynamics as vulnerabilities. Corpus should include only intentional adversarial conditions as attack evidence and keep general conformity observations security-relevant rather than core.,"Peer reviewed. Representative-only architecture, fixed-answer tasks, synthetic social cues, no identity authentication or decentralized coordination.",Downgrade scope to security_relevant and primary role to evaluation; separate adversarial manipulation from non-adversarial social behavior; do not generalize to all MAS topologies.,ready_after_major_patch,no,assistant_source_reviewed_pending_author_signoff
33,standard_attack,zhou2026hierarchical_attacks,Hierarchical Attacks for Multi-Modal Multi-Agent Reasoning,Hao Zhou; Tiru Wu; Yan Jiang; Wanqi Zhou; Junxing Hu; Ai Han,2026,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Zhou_Hierarchical_Attacks_for_Multi-Modal_Multi-Agent_Reasoning_CVPR_2026_paper.html,Published CVPR 2026 proceedings version; CVF page lists pp. 42331-42340; arXiv 2605.13213 is a companion version.,Verified against CVF search result and conference metadata.,core_security,core_security,"Several attack variants manipulate native MAS communication, identity, shared state, and collective reasoning, although perception-only variants are inherited multimodal attacks.",attack,evaluation,attack; benchmark,"Yes. One master, six specialized subagents, shared/private memory, tools, and communication/reasoning layers are explicitly attacked.",confirmed_attack_bearing,introduces_attack_suite,yes_claim_level,"Variant-specific external or infrastructure adversary with access to one or more perception, communication, shared-state, tool, or reasoning surfaces.","Perturb images/text, spoof agents/tools, block links, pollute shared memory/context, alter roles, or inject reasoning instructions.",OxyGent hierarchical MM-MAS; attack privilege differs by variant and must not be collapsed into one attacker model.,"HAM3 layered attack suite across perception, communication, and reasoning.",Multimodal input; identity; communication links; shared memory/context; tools; reasoning trace.,"Multiple claim-level failures: decision integrity, communication/topology integrity, shared-state integrity, and availability.","Incorrect root decision and, in many successful attacks, multiple agents converge on consistent errors.",One master plus six specialized subagents; thirteen tools.,Hierarchical master-subagent system; attack variants can block or manipulate links.,"Shared/private memory and three reasoning paradigms: ReAct, Plan-and-Solve, Reflexion.","Clean system and layer-specific attacks such as visual/text injection, tool spoofing, and role manipulation.","Task Success Rate, ASR over clean-correct samples, Hallucination Error Rate, cross-modal consistency, and local/systemic error shares.",ASR denominator is clean-correct GQA samples; local/systemic shares are conditioned on successful errors. Do not compare directly with task-level ASR elsewhere.,Yes for root-answer and multi-agent consistent-error outcomes; no external tool side-effect harm.,CVPR pp. 42333-42335 Sec. 3 and Fig. 2; p. 42335 Sec. 4.1; p. 42336 Table 2; p. 42338 Fig. 5.,"Authors organize by attack layer. Corpus should split variants into claim records because the layer is an attack locus, not one system-level failure.","Peer reviewed. One main platform/configuration, sampled GQA plus supplementary EvoChart-QA, heterogeneous attacker privileges, and no implemented defense.",Reclassify paper-level role as evaluation/attack suite; split claim-level failure categories; record ASR as clean-correct-sample rate; do not treat all variants as equally interaction-native.,ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
