paper_id,field,previous_value,active_value,change_reason,evidence_source
zou2026calbench,version_status,"arXiv current full text; metadata header lists four authors while PDF title block lists five including Noah D. Goodman—canonical author list requires author signoff","arXiv v3, last revised 5 June 2026; the designated PDF title block lists Chelsea Zou, Yiheng Yao, Selena She, Noah D. Goodman, and Robert D. Hawkins.",The user-designated v3 resolves which source version and author list the corpus should use.,https://arxiv.org/pdf/2605.09823
zou2026calbench,identity_verdict,metadata_conflict_requires_signoff,five_author_arxiv_v3_source_reviewed_pending_author_signoff,The five-author identity is resolved against the designated primary version while claim interpretation still awaits named human signoff.,https://arxiv.org/pdf/2605.09823
zou2026calbench,source_url,https://arxiv.org/abs/2605.09823,https://arxiv.org/pdf/2605.09823,Points the active review at the exact inspected v3 PDF while preserving catalog provenance.,https://arxiv.org/abs/2605.09823
zou2026calbench,agent_count_or_configuration,N=5 agents in canonical 90-task suite; 5 sequential meetings and 3 participants per meeting,"N=5 agents, M=5 sequential meetings, 16 slots, and three rotating participants per meeting in 90 tasks: 45 uniform-cost and 45 varied-cost.",Records the complete canonical task configuration.,"p. 5, Section 4.1"
zou2026calbench,topology,"communication conditions: private DMs, participant groupchat, all-agent groupchat",One five-agent rotating-participant scheduling topology in the reported main study; private agent-to-agent DMs are used in the cooperative runs; groupchat modes are harness-supported rather than matched reported conditions.,Distinguishes harness capability from an evaluated architecture ablation.,"pp. 4 and 13-14, Section 3 and Appendices A.4-B"
zou2026calbench,communication,cheap-talk phase followed by independent atomic action batches and environment resolution,Private agent-to-agent messages followed by independent atomic SCHEDULE/RESCHEDULE action batches and environment validation/resolution.,Records the operational communication and action contract.,"pp. 4 and 13-14, Section 3 and Appendices A.4-A.6"
zou2026calbench,baselines,"CP-SAT global oracle plus IMAP, SD-MAP, DSM non-LLM protocols under matched private-information constraints",Full-information global CP-SAT oracle plus four decentralized protocols under private-information constraints: IMAP SD-MAP DSM-welfare and DSM-private.,Separates the global optimal-cost oracle from decentralized policy reference points.,"pp. 5-6, Sections 3.1 and 4.2, Table 2"
zou2026calbench,metric_definition,"task success, excess cost/regret, messages per scheduled meeting, fairness cost, VPS privacy loss, semantic-context leakage","Per-agent-game task success; scheduled and adjusted excess cost; messages per successful participant-meeting; absolute-deviation fairness cost; calibrated slot-equivalent VPS; separate semantic-context leakage audit.",Records metric definitions and aggregation units rather than names alone.,"pp. 5-7 and 19-20, Sections 3.2 and 4.2, Table 1, Appendix F"
zou2026calbench,unit_denominator,"agent-game seat, participant-meeting, slot-equivalent VPS, and scheduled meeting; Table 1 N is seats, not agent population","Table 1 N=135 or 45 denotes evaluated agent-game seats per cost setting, not agents or tasks; Meetings is per agent-game with maximum three; Table 2 uses 45 tasks per cost setting.",Makes the seat and task denominators explicit.,"pp. 5-6, Sections 4.1-4.2, Tables 1-2"
zou2026calbench,system_level_impact_verified,yes for verifiable scheduling/privacy metrics; no adversarial attack impact,Executed calendar commitments and cross-round consistency failures support system-level coordination/privacy measurement; the paper does not establish adversarial attack impact.,Preserves the nonadversarial scope while recording persistent environment effects.,"pp. 4 and 13-14, Section 3 and Appendices A.5-A.6"
zou2026calbench,evidence_locators,"arXiv HTML lines 11-23, 50-80, 82-131; Table 1 and metric equations","Title/version p. 1; task contract and N/M p. 5; Table 1 and metrics pp. 5-7; one-topology limit p. 8; action semantics pp. 13-14; protocol policies pp. 14-18; metric details pp. 19-20; cohort descriptions pp. 21-22.",Replaces HTML line references with exact v3 PDF locators.,https://arxiv.org/pdf/2605.09823
zou2026calbench,limitations_maturity,"Preprint. Controlled calendar proxy, reflection-calibrated VPS lower-bound estimate, semantic leakage audit, selected models, and no malicious adversary.","Preprint and controlled calendar proxy; one reported topology; no malicious adversary; reflection-calibrated VPS is a lower-bound estimate with only weak-to-moderate post-hoc agreement; the main text and Appendix B conflict on mixed versus homogeneous team composition.",Adds estimator and source-consistency limits from the designated PDF.,"pp. 8, 14, and 21-22, Section 5 and Appendices B and G"
zou2026calbench,key_corrections,"Resolve four-author arXiv metadata versus five-author PDF title-block conflict. Replace vague N/M notation with canonical N=5, M=5 in main suite. Do not call Table 1 N=135/45 “number of agents”; it is evaluated seats.","Use the five-author arXiv v3 title block; retain N=5 and M=5 for the task; interpret Table 1 N=135/45 as evaluated agent-game seats; do not claim a matched communication-architecture comparison or homogeneous teams.",Summarizes the resolved metadata and remaining source boundary.,https://arxiv.org/pdf/2605.09823
zou2026calbench,review_outcome,blocked_metadata_signoff,primary_source_recovered_claims_extracted_pending_named_human_signoff,The designated v3 resolves the source identity while named human review remains pending.,https://arxiv.org/pdf/2605.09823
zou2026calbench,review_status,blocked_metadata_signoff,assistant_source_reviewed_pending_author_signoff,Removes only the resolved metadata blocker and does not claim human verification.,https://arxiv.org/pdf/2605.09823
