cve_id,title,affected_product,publication_date,scope_relation,interaction_dependency,vulnerability_or_mechanism,security_property_violated,impact,official_cve_url,vendor_advisory,verification_status,cutoff
CVE-2026-25536,MCP TypeScript SDK cross-client response data leak,@modelcontextprotocol/sdk 1.10.0 to 1.25.3,2026-02-04,protocol_ecosystem,A shared server and transport instance is reused across multiple MCP client connections.,race or state-isolation flaw in stateless StreamableHTTP deployments,confidentiality; integrity,one client receives another client's response data,https://www.cve.org/CVERecord?id=CVE-2026-25536,https://github.com/modelcontextprotocol/typescript-sdk/security/advisories/GHSA-345p-7cg4-v4c7,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-25546,Godot MCP command injection,godot-mcp before 0.1.1,2026-02-04,protocol_ecosystem,An MCP caller supplies tool parameters such as projectPath that reach a shell.,unsanitized values passed to exec,integrity; authorization; confidentiality; availability,remote code execution,https://www.cve.org/CVERecord?id=CVE-2026-25546,https://github.com/Coding-Solo/godot-mcp/security/advisories/GHSA-8jx2-rhfh-q928,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-25650,MCP Salesforce Connector authentication-token disclosure,MCP-Salesforce before 0.1.10,2026-02-06,protocol_ecosystem,An unauthenticated MCP caller can exploit arbitrary attribute access in the connector.,arbitrary attribute access,confidentiality; authorization,disclosure of the Salesforce authentication token,https://www.cve.org/CVERecord?id=CVE-2026-25650,https://github.com/smn2gnt/MCP-Salesforce/security/advisories/GHSA-vf6j-c56p-cq58,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-2178,Xcode MCP Server run_lldb command injection,r-huijts xcode-mcp-server before patch 11f8d6b,2026-02-08,protocol_ecosystem,An MCP caller controls arguments supplied to the run_lldb tool.,command or argument injection through run_lldb args,integrity; authorization; confidentiality,remote command execution with server privileges,https://www.cve.org/CVERecord?id=CVE-2026-2178,https://github.com/r-huijts/xcode-mcp-server/issues/13,official_cve_and_vendor_issue_verified,2026-07-01
CVE-2026-30861,WeKnora command injection in MCP stdio configuration validation,Tencent WeKnora 0.2.5 to before 0.2.10,2026-03-06,agent_application_and_protocol_ecosystem,A registered attacker creates a malicious MCP stdio configuration that bypasses command validation.,command-injection bypass in MCP stdio configuration,integrity; authorization; confidentiality; availability,remote code execution and complete host compromise,https://www.cve.org/CVERecord?id=CVE-2026-30861,https://github.com/Tencent/WeKnora/security/advisories/GHSA-r55h-3rwj-hcmg,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-27826,MCP Atlassian unauthenticated server-side request forgery,mcp-atlassian before 0.17.0,2026-03-10,protocol_ecosystem,An unauthenticated network caller supplies custom headers to the MCP HTTP middleware.,SSRF in HTTP middleware and dependency injection,confidentiality; authorization; integrity,"cloud-metadata theft, internal reconnaissance, or attacker-controlled tool-result injection",https://www.cve.org/CVERecord?id=CVE-2026-27826,https://github.com/sooperset/mcp-atlassian/security/advisories/GHSA-7r34-79r5-rcc9,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-32112,Home Assistant MCP OAuth consent cross-site scripting,ha-mcp before 7.0.0 in beta OAuth mode,2026-03-13,protocol_ecosystem,An attacker crafts an OAuth authorization URL containing user-controlled parameters rendered by the MCP server.,unescaped HTML in OAuth consent form,integrity; confidentiality; authorization,script execution in the server operator's browser,https://www.cve.org/CVERecord?id=CVE-2026-32112,https://nvd.nist.gov/vuln/detail/CVE-2026-32112,official_nvd_verified_vendor_advisory_not_captured,2026-07-01
CVE-2026-33252,MCP Go SDK cross-site tool execution,github.com/modelcontextprotocol/go-sdk before 1.4.1,2026-03-19,protocol_ecosystem,A malicious website submits browser-generated cross-site POST requests to an unauthenticated local HTTP MCP server.,missing Origin and Content-Type enforcement,authorization; integrity; availability,cross-site invocation of exposed tools,https://www.cve.org/CVERecord?id=CVE-2026-33252,https://github.com/modelcontextprotocol/go-sdk/security/advisories/GHSA-89xv-2j6f-qhc8,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-33060,CKAN MCP Server unrestricted URL server-side request forgery,ckan-mcp-server before 0.4.85,2026-03-20,protocol_ecosystem,A prompt-injected agent or authenticated caller controls base_url parameters in MCP tools.,unvalidated arbitrary outbound URLs and related query-injection surfaces,confidentiality; authorization; integrity,"cloud-metadata theft, internal network scanning, or injection",https://www.cve.org/CVERecord?id=CVE-2026-33060,https://github.com/ondata/ckan-mcp-server/security/advisories/GHSA-3xm7-qw7j-qc8v,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-33946,MCP Ruby SDK streamable HTTP session hijacking,modelcontextprotocol/ruby-sdk before 0.9.2,2026-03-27,protocol_ecosystem,An attacker who obtains a valid MCP session identifier attaches to another client's SSE stream.,session identifier authorization failure,confidentiality; integrity; authorization,interception or hijacking of real-time MCP session data,https://www.cve.org/CVERecord?id=CVE-2026-33946,https://github.com/modelcontextprotocol/ruby-sdk/security/advisories/GHSA-qvqr-5cv7-wh35,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-33980,Azure Data Explorer MCP Server KQL injection,adx-mcp-server through 0.1.1,2026-03-27,protocol_ecosystem,An MCP caller or prompt-injected agent controls table_name values used in Kusto queries.,direct string interpolation into KQL,confidentiality; integrity; authorization; availability,arbitrary KQL execution against the connected cluster,https://www.cve.org/CVERecord?id=CVE-2026-33980,https://github.com/pab1it0/adx-mcp-server/security/advisories/GHSA-vphc-468g-8rfp,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-34237,Wildcard CORS in MCP Java SDK,MCP Java SDK before 0.83.0 or affected 1.x patch releases,2026-03-31,protocol_ecosystem,The SDK implements client-server transport used by agent interaction endpoints,hardcoded wildcard Access-Control-Allow-Origin,authorization; confidentiality; integrity,cross-origin access to exposed MCP HTTP services,https://www.cve.org/CVERecord?id=CVE-2026-34237,https://github.com/modelcontextprotocol/java-sdk/security/advisories/GHSA-hv2w-8mjj-jw22,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-34742,MCP Go SDK DNS rebinding protection disabled by default,github.com/modelcontextprotocol/go-sdk before 1.4.0,2026-04-01,protocol_ecosystem,A malicious website reaches an unauthenticated MCP server bound to localhost through DNS rebinding.,insecure default without automatic DNS rebinding protection,authorization; confidentiality; integrity,tool invocation or resource access on behalf of the user,https://www.cve.org/CVERecord?id=CVE-2026-34742,https://github.com/modelcontextprotocol/go-sdk/security/advisories/GHSA-xw59-hvm2-8pj6,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-5323,a11y-mcp server-side request forgery,a11y-mcp through 1.0.5,2026-04-02,protocol_ecosystem,A local MCP caller controls a URL consumed by the accessibility server.,server-side request forgery,confidentiality; integrity; authorization,requests to unintended local or network resources,https://www.cve.org/CVERecord?id=CVE-2026-5323,https://nvd.nist.gov/vuln/detail/CVE-2026-5323,official_cve_verified_vendor_disputes_remote_severity,2026-07-01
CVE-2026-5470,Google-Research-MCP server-side request forgery,Google-Research-MCP rolling release before the referenced patch,2026-04-03,protocol_ecosystem,A remote caller controls a URL passed to the content extraction service.,server-side request forgery,confidentiality; integrity; authorization,access to unintended network resources,https://www.cve.org/CVERecord?id=CVE-2026-5470,https://github.com/wing3e/public_exp/issues/21,official_cve_and_public_issue_verified,2026-07-01
CVE-2026-35568,MCP Java SDK DNS rebinding vulnerability,modelcontextprotocol/java-sdk before 1.0.0,2026-04-07,protocol_ecosystem,A malicious website accesses a local or private MCP Java server via the victim's browser.,missing DNS rebinding protection,authorization; confidentiality; integrity,tool invocation or resource access as a local agent,https://www.cve.org/CVERecord?id=CVE-2026-35568,https://github.com/modelcontextprotocol/java-sdk/security/advisories/GHSA-8jxr-pr72-r468,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-35577,Apollo MCP Server DNS rebinding vulnerability,apollo-mcp-server before 1.7.0,2026-04-09,protocol_ecosystem,A malicious website targets a localhost StreamableHTTP MCP server without additional authentication.,missing Host-header validation,authorization; confidentiality; integrity,GraphQL tool invocation or resource access on behalf of the local user,https://www.cve.org/CVERecord?id=CVE-2026-35577,https://github.com/apollographql/apollo-mcp-server/security/advisories/GHSA-wqrj-vp8w-f8vh,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-39974,Authenticated SSRF in multi-tenant n8n-MCP,n8n-MCP before 2.47.4,2026-04-09,protocol_ecosystem,The vulnerable deployment serves multiple MCP clients and reflects fetched data through JSON-RPC,attacker-controlled instance URL in multi-tenant HTTP headers,confidentiality; authorization,access to cloud metadata and internal network resources,https://www.cve.org/CVERecord?id=CVE-2026-39974,https://github.com/czlonkowski/n8n-mcp/security/advisories/GHSA-4ggg-h7ph-26qr,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-40088,PraisonAI workflow command injection,PraisonAI multi-agent teams system before 4.5.121,2026-04-09,direct_multiagent_framework,The vulnerable functions execute LLM-generated tool calls and workflow definitions in a multi-agent teams framework,shell metacharacters reach execute_command and workflow shell execution,integrity; authorization; availability,arbitrary shell command execution,https://www.cve.org/CVERecord?id=CVE-2026-40088,https://github.com/MervinPraison/PraisonAI/security/advisories/GHSA-2763-cj5r-c79m,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-40150,PraisonAIAgents SSRF and local file read,PraisonAIAgents before 1.5.128,2026-04-09,direct_multiagent_framework,The vulnerable web_crawl tool accepts URLs selected by agents in a multi-agent teams system,no scheme or private-network validation before fetching,confidentiality; authorization,cloud metadata access; internal service access; local file read,https://www.cve.org/CVERecord?id=CVE-2026-40150,https://github.com/MervinPraison/PraisonAI/security/advisories/GHSA-8f4v-xfm9-3244,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-5833,mcp-server-taskwarrior command injection,awwaiid mcp-server-taskwarrior through 1.0.1,2026-04-09,protocol_ecosystem,A local MCP caller manipulates a task identifier used by a request handler.,command injection,integrity; authorization; confidentiality; availability,command execution with server privileges,https://www.cve.org/CVERecord?id=CVE-2026-5833,https://github.com/awwaiid/mcp-server-taskwarrior/issues/8,official_cve_and_vendor_issue_verified,2026-07-01
CVE-2026-40156,PraisonAI implicit arbitrary code execution through tools.py,PraisonAI before 4.5.128,2026-04-10,direct_multiagent_framework,The framework implicitly imports project-local agent tools before agent execution,automatic execution of an untrusted tools.py file,integrity; authorization,arbitrary code execution at startup,https://www.cve.org/CVERecord?id=CVE-2026-40156,https://github.com/MervinPraison/PraisonAI/security/advisories/GHSA-2g3w-cpc4-chr4,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-40159,PraisonAI environment exposure to untrusted MCP subprocesses,PraisonAI before 4.5.128,2026-04-10,direct_multiagent_framework,A multi-agent framework spawns third-party MCP servers with the parent environment,untrusted MCP subprocess inherits all environment variables,confidentiality; authorization,credential exposure and supply-chain exfiltration,https://www.cve.org/CVERecord?id=CVE-2026-40159,https://github.com/MervinPraison/PraisonAI/security/advisories/GHSA-pj2r-f9mw-vrcq,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-5059,aws-mcp-server AWS CLI command injection,aws-mcp-server,2026-04-10,protocol_ecosystem,A remote unauthenticated caller supplies a crafted value that bypasses the allowed-commands handling.,insufficient validation before operating-system command execution,integrity; authorization; confidentiality; availability,remote code execution,https://www.cve.org/CVERecord?id=CVE-2026-5059,https://www.zerodayinitiative.com/advisories/ZDI-26-245/,official_cve_and_zdi_advisory_verified,2026-07-01
CVE-2026-40576,excel-mcp-server path traversal,excel-mcp-server through 0.1.7,2026-04-12,protocol_ecosystem,An unauthenticated remote MCP caller supplies crafted filepath values to exposed Excel tools.,absolute-path pass-through and unresolved relative-path traversal,confidentiality; integrity; authorization,"arbitrary file read, write, and overwrite on the host",https://www.cve.org/CVERecord?id=CVE-2026-40576,https://github.com/haris-musa/excel-mcp-server/security/advisories/GHSA-j98m-w3xp-9f56,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-6108,MaxKB MCP node command injection,1Panel-dev MaxKB through 2.6.1,2026-04-12,agent_application_and_protocol_ecosystem,A remote caller controls data passed to the MaxKB MCP node execution function.,operating-system command injection,integrity; authorization; confidentiality; availability,remote command execution,https://www.cve.org/CVERecord?id=CVE-2026-6108,https://github.com/AnalogyC0de/public_exp/issues/30,official_cve_and_public_issue_verified,2026-07-01
CVE-2026-6130,Chatbox MCP server management command injection,chatboxai Chatbox through 1.20.0,2026-04-12,agent_application_and_protocol_ecosystem,A remote attacker manipulates args or env for an MCP stdio transport configuration.,operating-system command injection,integrity; authorization; confidentiality; availability,remote command execution,https://www.cve.org/CVERecord?id=CVE-2026-6130,https://github.com/chatboxai/chatbox/issues/3627,official_cve_and_vendor_issue_verified,2026-07-01
CVE-2025-61260,Codex CLI code execution through project-local MCP configuration,OpenAI Codex CLI through 0.23.0,2026-04-14,protocol_ecosystem,A malicious repository controls configuration for spawned MCP processes; not inherently multi-agent,automatic loading of project-local configuration containing commands,integrity; authorization,arbitrary code execution,https://www.cve.org/CVERecord?id=CVE-2025-61260,https://research.checkpoint.com/2025/openai-codex-cli-command-injection-vulnerability/,official_cve_and_research_advisory_verified,2026-07-01
CVE-2026-40933,Flowise authenticated remote code execution through MCP adapters,Flowise and flowise-components through 3.0.13,2026-04-15,agent_application_and_protocol_ecosystem,An authenticated Flowise user adds a custom MCP stdio server command.,command-validation bypass in MCP adapter serialization,integrity; authorization; confidentiality; availability,operating-system command execution,https://www.cve.org/CVERecord?id=CVE-2026-40933,https://github.com/FlowiseAI/Flowise/security/advisories/GHSA-c9gw-hvqq-f33r,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-42559,MCP Rust SDK streamable HTTP DNS rebinding vulnerability,modelcontextprotocol/rust-sdk rmcp before 1.4.0,2026-04-29,protocol_ecosystem,A malicious website sends requests to a local or private MCP server through DNS rebinding.,missing Host-header validation in streamable HTTP transport,authorization; confidentiality; integrity; availability,enumeration and invocation of local tools and access to MCP resources,https://www.cve.org/CVERecord?id=CVE-2026-42559,https://github.com/modelcontextprotocol/rust-sdk/security/advisories/GHSA-89vp-x53w-74fx,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-44427,MCP Registry open redirect,modelcontextprotocol/registry 1.1.0 to before 1.7.5,2026-05-08,protocol_ecosystem,An attacker supplies a protocol-relative path to the public MCP Registry middleware.,open redirect in trailing-slash middleware,integrity; authorization,redirection to an attacker-controlled origin,https://www.cve.org/CVERecord?id=CVE-2026-44427,https://github.com/modelcontextprotocol/registry/security/advisories/GHSA-v8vw-gw5j-w7m6,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-45609,Spring AI mcp-security OAuth discovery SSRF,spring-ai-community/mcp-security before 0.1.9,2026-05-29,protocol_ecosystem,An attacker influences OAuth discovery or metadata URLs when Dynamic Client Registration is enabled.,missing mandatory SSRF validation for untrusted OAuth URLs,confidentiality; authorization; integrity,access to internal services or attacker-controlled metadata,https://www.cve.org/CVERecord?id=CVE-2026-45609,https://github.com/spring-ai-community/mcp-security/security/advisories/GHSA-qjp4-4jvr-xqg3,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-11624,MCP Toolbox for Databases lacked restrictive origin and host validation controls,Google MCP Toolbox for Databases before 0.25.0,2026-06-13,protocol_ecosystem,Browser-originated requests can target an exposed local MCP database server when permissive host or origin settings are used.,insufficient Host and Origin validation and insecure wildcard defaults,authorization; confidentiality; integrity,unauthorized database tool invocation or resource access,https://www.cve.org/CVERecord?id=CVE-2026-11624,https://github.com/googleapis/mcp-toolbox/issues/3113,official_cve_and_vendor_issue_verified,2026-07-01
CVE-2026-49357,Line Desktop MCP unauthenticated HTTP endpoint,line-desktop-mcp before 1.1.2,2026-06-19,protocol_ecosystem,A network client reaches the server's HTTP endpoint and invokes tools without an MCP-layer authentication check.,missing authentication and authorization,confidentiality; integrity; authorization,read LINE chat history or send messages through the logged-in desktop application,https://www.cve.org/CVERecord?id=CVE-2026-49357,https://github.com/dtwang/line-desktop-mcp/security/advisories/GHSA-4hf8-5mjm-rfgq,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2026-58446,Presenton authentication bypass through unprotected MCP endpoint,Presenton before 0.8.8-beta,2026-06-30,protocol_ecosystem,A remote unauthenticated caller reaches the /mcp endpoint despite application session authentication.,missing authentication gate on the MCP route and automatic internal session creation,authorization; integrity; availability,invoke presentation-generation tools and consume operator LLM API resources,https://www.cve.org/CVERecord?id=CVE-2026-58446,https://www.vulncheck.com/advisories/presenton-beta-authentication-bypass-of-session-auth-via-unprotected-mcp-endpoint,official_cve_and_vulncheck_advisory_verified,2026-07-01
