paper_id,title,year,venue,recommended_scope,contextual_role,scope_rationale,attack_instance_coding_required,note_path,source_review_status
yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,2025,Findings of ACL,security_relevant,benchmark; evaluation; topology analysis,"The paper mixes adversarial misinformation or harmful content with broader hallucination, bias, fairness, and reliability phenomena. Only the adversarial security claims should enter core-security statistics.",yes,papers/evaluations/findings_acl/2025_yu_netsafe.md,source_reviewed_pending_author_signoff
huang2025faulty_agents,On the Resilience of LLM-Based Multi-Agent Collaboration with Faulty Agents,2025,ICML,security_relevant,evaluation,The study covers malicious as well as clumsy/faulty agents and is fundamentally a resilience/reliability evaluation rather than a purely adversarial attack paper.,yes_with_fault_label,papers/attacks/icml/2025_huang_faulty_agents.md,assistant_source_reviewed_pending_author_signoff
supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2025,Transactions on Machine Learning Research,security_relevant,evaluation,"The study reproduces maliciousness, information leakage, and fairness effects in interacting LLM stakeholders.",pending,papers/evaluations/journals_transactions_on_machine_learning_res/2025_garcia_reproducibility_study_of_cooperation_competition.md,official_metadata_and_abstract_screened
arxiv_2505_22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2025,arXiv,security_relevant,evaluation,Retained after the citation retrieval gate and security scope screen.,pending,papers/evaluations/arxiv/2025_yang_revisiting_multi_agent_debate_as_test_time_scali.md,claim_level_review_required
hu2025responsibility,Stop Reducing Responsibility in LLM-Powered Multi-Agent Systems to Local Alignment,2025,arXiv,security_relevant,position_paper,The position paper includes adversarial vulnerability and global oversight but is primarily responsible-AI/governance theory.,no,papers/general/arxiv/2025_hu_responsibility.md,assistant_source_reviewed_pending_author_signoff
supp_teaching_models_to_balance_resisting_and_accepting_persuasion,Teaching Models to Balance Resisting and Accepting Persuasion,2025,NAACL 2025,security_relevant,defense,Adversarial persuasion and resistance are evaluated in recursive dialogues and multi-agent debate.,pending,papers/defenses/naacl_2025/2025_stengel_eskin_teaching_models_to_balance_resisting_and_accepti.md,official_metadata_and_abstract_screened
lupinacci2025darkside,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,2025,arXiv,security_relevant,attack,"The inter-agent provenance/authorization claim is core, but the paper as a whole is a broader agent system-compromise comparison and not exclusively MAS.","yes, isolate inter-agent condition",papers/attacks/arxiv/2025_lupinacci_dark_side.md,assistant_source_reviewed_pending_author_signoff
he2025emergedsecurity,The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies,2025,ACM Computing Surveys,security_relevant,survey,"Primary object is general LLM agents across planning, memory, tools, interaction, and deployment.",no,papers/surveys/journals_acm_csur/2025_he_emerged_security.md,assistant_source_reviewed_pending_author_signoff
he2025atrust,To Trust or Not to Trust: Attention-based Trust Management for LLM Multi-Agent Systems,2025,arXiv,security_relevant,defense,"It addresses malicious/unreliable message influence, but the taxonomy mixes deception, toxicity, irrelevance, low quality, and reliability; claim-level security coding is required.",yes,papers/defenses/arxiv/2025_he_a_trust.md,assistant_source_reviewed_pending_author_signoff
supp_understanding_the_information_propagation_effects_of_communication_topologies_in,Understanding the Information Propagation Effects of Communication Topologies in LLM-based Multi-Agent Systems,2025,EMNLP 2025,security_relevant,evaluation,The measured effect is information propagation under different communication graphs.,pending,papers/evaluations/emnlp_2025/2025_shen_understanding_the_information_propagation_effect.md,official_metadata_and_abstract_screened
supp_a_trace_based_assurance_framework_for_agentic_ai_orchestration_contracts_testing,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,ENASE 2026,security_relevant,evaluation,Assurance contracts and traces cover orchestrated agent workflows.,pending,papers/evaluations/enase_2026/2026_paduraru_a_trace_based_assurance_framework_for_agentic_ai.md,official_metadata_and_abstract_screened
arxiv_2601_04170,Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions,2026,arXiv,security_relevant,evaluation,Retained after the citation retrieval gate and security scope screen.,pending,papers/evaluations/arxiv/2026_rath_agent_drift_quantifying_behavioral_degradation_i.md,boundary_full_text_screened
supp_ai_agents_with_decentralized_identifiers_and_verifiable_credentials,AI Agents with Decentralized Identifiers and Verifiable Credentials,2026,ICAART 2026,security_relevant,defense,DIDs and verifiable credentials bind identities in agent-to-agent interactions.,pending,papers/defenses/icaart_2026/2026_garzon_ai_agents_with_decentralized_identifiers_and_ver.md,official_metadata_and_abstract_screened
yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,2026,ACL,security_relevant,evaluation,"The malicious-contributor problem is important, but only a subset of the four collaboration levels cleanly satisfies the SoK’s strict LLM-MAS interaction boundary.","yes, split by collaboration level",papers/attacks/acl/2026_yang_among_us.md,assistant_source_reviewed_pending_author_signoff
supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,2026,ACM AsiaCCS 2026,security_relevant,evaluation,Attack graphs model compromise paths across agentic application components and interactions.,pending,papers/evaluations/acm_asiaccs_2026/2026_gandhi_atag_ai_agent_application_threat_assessment_with.md,official_metadata_and_abstract_screened
zhao2026macbench,Beyond Goodhart's Law: A Dynamic Benchmark for Evaluating Compliance in Multi-Agent Systems,2026,arXiv,security_relevant,benchmark,"Procedural compliance, authorization, privacy, and trace integrity are security-relevant, but the work is not exclusively MAS and many violations are governance/compliance rather than adversarial security.",no for attack taxonomy; yes for benchmark/evaluation synthesis,papers/evaluations/arxiv/2026_zhao_macbench.md,assistant_source_reviewed_pending_author_signoff
zou2026calbench,CalBench: Evaluating Coordination-Privacy Trade-offs in Multi-Agent LLMs,2026,arXiv,security_relevant,benchmark,"The benchmark primarily studies coordination, cost, fairness, and communication; privacy leakage is one first-class metric but no adversary is required.",no,papers/evaluations/arxiv/2026_zou_calbench.md,blocked_metadata_signoff
milkowski2026amongus,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,2026,AAMAS,security_relevant,evaluation,"It is a social-deception evaluation in a game with assigned adversarial roles, not a general technical attack or defense study.",no for attack taxonomy; yes for deception/communication evidence,papers/evaluations/aamas/2026_milkowski_among_us.md,assistant_source_reviewed_pending_author_signoff
supp_deliberation_and_drift_evaluating_alignment_fragility_in_multi_agent_medical_art,Deliberation and drift: Evaluating alignment fragility in multi-agent medical artificial intelligence,2026,AI and Ethics,security_relevant,evaluation,Alignment fragility is evaluated as an effect of multi-agent deliberation.,pending,papers/evaluations/journals_ai_and_ethics/2026_hung_deliberation_and_drift_evaluating_alignment_frag.md,official_metadata_and_abstract_screened
zhou2026shield_target,From Shield to Target: Denial-of-Service Attacks on LLM-Based Agent Guardrails,2026,arXiv,security_relevant,attack,"Shared-monitor resource isolation is interaction-amplified, but the underlying guardrail DoS is not MAS-native and MAS is only one of several deployment evaluations.","yes, isolate MAS claim",papers/attacks/arxiv/2026_zhou_guardrail_dos.md,assistant_source_reviewed_pending_author_signoff
supp_from_tasks_to_teams_a_risk_first_evaluation_framework_for_multi_agent_llm_system,From Tasks to Teams: A Risk-First Evaluation Framework for Multi-Agent LLM Systems in Finance,2026,Findings of ACL 2026,security_relevant,evaluation,The evaluation targets risks that emerge at team and workflow level in a financial MAS.,pending,papers/evaluations/findings_of_acl_2026/2026_chen_from_tasks_to_teams_a_risk_first_evaluation_fram.md,official_metadata_and_abstract_screened
olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,2026,AAAI,security_relevant,benchmark,"It measures deception capability and peer detection in controlled games, but the malicious objective is assigned by the benchmark rather than arising from a deployment attack.",no standalone attack instance; code deception conditions and outcomes,papers/evaluations/aaai/2026_olson_liecraft.md,assistant_source_reviewed_pending_author_signoff
zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,2026,IEEE Symposium on Security and Privacy,security_relevant,attack; measurement; ecosystem evaluation,The system is one LLM host composing multiple MCP servers and tools. It is directly relevant to distributed capability composition but does not necessarily contain multiple independently stateful LLM agent cores.,yes,papers/attacks/ieee_security_privacy/2026_zhao_parasites_toolchain.md,source_reviewed_pending_author_signoff
darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,2026,AAAI,security_relevant,defense,"The paper mixes fault resilience, anomaly detection, privacy-preserving adaptation, and malicious-agent/control-flow scenarios. The interaction is genuine, but not every evaluated perturbation is adversarial security.","yes, claim-level only for explicit malicious-member/control-flow conditions",papers/defenses/aaai/2026_darabi_bio_autonomic.md,assistant_source_reviewed_pending_author_signoff
zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,2026,AAAI,security_relevant,defense,"Primary perturbations are random agent failures and general resilience, not consistently malicious adversaries. It is important design-time robustness evidence but should not be treated as a pure attack-defense paper.",no for attack corpus; yes for defense/design coverage,papers/defenses/aaai/2026_zhou_resmas.md,assistant_source_reviewed_pending_author_signoff
jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,2026,ACL System Demonstrations,security_relevant,system_demo,"It probes collusion, resource overreach, drift, and strategic misreporting, but includes broad emergent risk and reliability concerns beyond adversarial security.",yes only at individual probe/claim level,papers/evaluations/acl_demo/2026_jiang_risklab.md,assistant_source_reviewed_pending_author_signoff
anbiaee2026protocols,Security Threat Modeling for Emerging AI-Agent Protocols: A Comparative Analysis of MCP A2A Agora and ANP,2026,arXiv,security_relevant,threat_modeling_study,"Protocol security is directly relevant, but the four-protocol corpus is not exclusively multiagent and includes a tool protocol.",yes only for the empirical wrong-provider execution case study; no for the qualitative risk matrix,papers/general/arxiv/2026_anbiaee_protocol_threat_modeling.md,assistant_source_reviewed_pending_author_signoff
ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,2026,AAAI Symposium Series,security_relevant,attack,"Strongly relevant to global-vs-local observability and composition, but may be an agentic pipeline rather than a strict LLM-MAS under the proposed boundary.","yes, boundary-labeled",papers/attacks/aaai_symposium/2026_ahad_semantic_intent_fragmentation.md,assistant_source_reviewed_pending_author_signoff
ko2026social_dynamics,Social Dynamics as Critical Vulnerabilities that Undermine Objective Decision-Making in LLM Collectives,2026,ACL,security_relevant,evaluation,"Intentional adversarial peers manipulate objective decisions, but the study is also a social-psychology evaluation and does not model a broader technical security boundary.",yes,papers/attacks/acl/2026_ko_social_dynamics.md,assistant_source_reviewed_pending_author_signoff
kim2026agenticai,SoK: Attack and Defense Landscape of Agentic AI Systems,2026,USENIX Security,security_relevant,sok,The paper is core agentic-AI security but not MAS-primary; it is the key single-agent/component-centric comparator.,no,papers/surveys/usenix_security/2026_kim_agentic_ai_sok.md,assistant_source_reviewed_pending_author_signoff
supp_the_subtle_art_of_defection_understanding_uncooperative_behaviors_in_llm_based_m,The Subtle Art of Defection: Understanding Uncooperative Behaviors in LLM based Multi-Agent Systems,2026,EACL 2026 Industry Track,security_relevant,evaluation,Defection is defined through strategic behavior among interacting agents.,pending,papers/evaluations/eacl_2026_industry_track/2026_kulshreshtha_the_subtle_art_of_defection_understanding_uncoop.md,official_metadata_and_abstract_screened
xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,2026,IEEE Transactions on Computational Social Systems,security_relevant,evaluation,"The paper mixes ordinary over-sharing and malicious requests; confidentiality/authorization claims are security-relevant, but not every trust-utility result is an attack claim.","yes, claim-level only",papers/attacks/journals_ieee_tcss/2026_xu_trust_paradox.md,assistant_source_reviewed_pending_author_signoff
weckbecker2026_thought_virus,Thought Virus: Viral Misalignment via Subliminal Prompting in Multi-Agent Systems,2026,arXiv,security_relevant,attack,"Interaction-dependent covert propagation and monitorability are relevant, but the primary outcomes are controlled concept preferences/truthfulness rather than a conventional adversarial system compromise.",yes,papers/attacks/arxiv/2026_weckbecker_thought_virus.md,assistant_source_reviewed_pending_author_signoff
raza2026trism,TRiSM for Agentic AI: A Review of Trust Risk and Security Management in LLM-based Agentic Multi-Agent Systems,2026,AI Open,security_relevant,review,"Security is one TRiSM pillar among explainability, ModelOps, privacy, and lifecycle governance.",no,papers/surveys/journals_ai_open/2026_raza_trism.md,assistant_source_reviewed_pending_author_signoff
liu2026valueflow,ValueFlow: Measuring the Propagation of Value Perturbations in Multi-Agent LLM Systems,2026,arXiv,security_relevant,evaluation,The work audits value propagation and collective susceptibility but uses controlled perturbations without a deployment adversary.,no attack instance; code perturbation/evaluation conditions,papers/evaluations/arxiv/2026_liu_valueflow.md,assistant_source_reviewed_pending_author_signoff
huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,2026,AAAI,security_relevant,protocol; evaluation; dual-use security,It is a dual-use covert communication protocol for paired agents. It directly informs covert coordination and observer scope but is not inherently a malicious attack or evidence of spontaneous collusion.,yes,papers/evaluations/aaai/2026_huang_whispering_agents.md,source_reviewed_pending_author_signoff
