work_key,title,evidence_set,dominant_contribution,venue,venue_folder,paper_path
sun2026insider,Insider Attacks in Multi-Agent LLM Consensus Systems,set2_emerging,attack,arXiv,arxiv,papers/attacks/arxiv/2026_sun_insider_attacks.md
arxiv:2603.28013,Kill-Chain Canaries: Stage-Level Tracking of Prompt Injection Across Attack Surfaces and Model Safety Tiers,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2026_kill_chain_canaries_stage_level_tracking_of_prompt_injection_across_atta.md
arxiv:2507.13038,MAD-Spear: A Conformity-Driven Prompt Injection Attack on Multi-Agent Debate Systems,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2025_mad_spear_a_conformity_driven_prompt_injection_attack_on_multi_agent_deb.md
arxiv:2512.03097,Many-to-One Adversarial Consensus: Exposing Multi-Agent Collusion Risks in AI-Based Healthcare,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2025_many_to_one_adversarial_consensus_exposing_multi_agent_collusion_risks_i.md
lupinacci2025darkside,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,set2_emerging,attack,arXiv,arxiv,papers/attacks/arxiv/2025_lupinacci_dark_side.md
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,set1_core,attack,arXiv,arxiv,papers/attacks/arxiv/2024_tan_wolf_within.md
arxiv:2603.11132,WebWeaver: Breaking Topology Confidentiality in LLM Multi-Agent Systems with Stealthy Context-Based Inference,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2026_webweaver_breaking_topology_confidentiality_in_llm_multi_agent_systems_w.md
arxiv:2606.28958,When Latent Agents Lie: KV-Cache Integrity in Multi-Agent LLM Collaboration,set2_emerging,attack,,arxiv,papers/attacks/arxiv/2026_when_latent_agents_lie_kv_cache_integrity_in_multi_agent_llm_collaborati.md
arxiv_2504_00374,When Persuasion Overrides Truth in Multi-Agent LLM Debates: Introducing a Confidence-Weighted Persuasion Override Rate (CW-POR),set2_emerging,attack,arXiv,arxiv,papers/attacks/arxiv/2025_agarwal_when_persuasion_overrides_truth_in_multi_agent_l.md
triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,set1_core,attack,COLM,colm,papers/attacks/colm/2025_triedman_malicious_code.md
liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,set1_core,attack,EMNLP,emnlp,papers/attacks/emnlp/2025_liu_manipulate_collective_decisions.md
lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,set1_core,attack,ESORICS 2025 International Workshops,esorics_workshops,papers/attacks/esorics_workshops/2026_lee_prompt_infection.md
zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,set1_core,attack,Findings of ACL,findings_acl,papers/attacks/findings_acl/2026_zhou_corba.md
he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,set1_core,attack,Findings of ACL,findings_acl,papers/attacks/findings_acl/2025_he_communication_attacks.md
gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,set1_core,attack,ICML,icml,papers/attacks/icml/2024_gu_agent_smith.md
zhang2026embedding_defenses,When Embedding-Based Defenses Fail: Rethinking Safety in LLM-Based Multi-Agent Systems,set1_core,attack,ICML,icml,papers/attacks/icml/2026_zhang_embedding_defenses.md
ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,set1_core,attack,Science China Information Sciences,journals_science_china_information_sciences,papers/attacks/journals_science_china_information_sciences/2026_ju_flooding.md
kraidia2026collaboration_fails,When collaboration fails: persuasion driven adversarial influence in multi agent large language model debate,set1_core,attack,Scientific Reports,journals_scientific_reports,papers/attacks/journals_scientific_reports/2026_kraidia_collaboration_fails.md
motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,set1_core,attack,NeurIPS,neurips,papers/attacks/neurips/2024_motwani_secret_collusion.md
doi:10.19139/soic-2310-5070-3574,Cascading Instruction Influence Indirect Prompt Injection in Hierarchical Multi-Agent Systems,set1_core,attack,"Statistics, Optimization & Information Computing",statistics_optimization_information_computing,papers/attacks/statistics_optimization_information_computing/2026_cascading_instruction_influence_indirect_prompt_injection_in_hierarchica.md
wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,set1_core,attack,USENIX Security 2026,usenix_security,papers/attacks/usenix_security/2026_wang_masleak.md
doi:10.5281/zenodo.17812179,LLM Hijacking: When Models Manipulate Their Routers,set2_emerging,attack,Zenodo (CERN European Organization for Nuclear Research),zenodo,papers/attacks/zenodo/2025_llm_hijacking_when_models_manipulate_their_routers.md
doi:10.1109/iccces62661.2026.11437027,CAPRI-DP: A Differentially Private Extension to Context-Aware Multi-Agent Privacy Frameworks,set1_core,defense,"2026 5th International Conference on Communication, Computing and Electronics Systems (ICCCES)",2026_5th_international_conference_on_communication_computing_and_elect,papers/defenses/2026_5th_international_conference_on_communication_computing_and_elect/2026_capri_dp_a_differentially_private_extension_to_context_aware_multi_agent.md
zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,set1_core,defense,AAAI,aaai,papers/defenses/aaai/2026_zhou_resmas.md
zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,set1_core,defense,AAAI,aaai,papers/defenses/aaai/2026_zheng_byzantine_reliability.md
supp_safesieve_from_heuristics_to_experience_in_progressive_pruning_for_llm_based_mul,SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Communication,set1_core,defense,AAAI 2026,aaai,papers/defenses/aaai/2026_zhang_safesieve_from_heuristics_to_experience_in_progr.md
doi:10.65109/ydmy4904,ConvPayMAS: Conversational Payment Multi-Agent System with Agent-to-Agent Protocol and Three-Mandate Verification,set1_core,defense,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,aamas,papers/defenses/aamas/2026_convpaymas_conversational_payment_multi_agent_system_with_agent_to_agent.md
mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,set2_emerging,defense,AAMAS,aamas,papers/defenses/aamas/2025_mao_ibgp.md
miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,set1_core,defense,ACL,acl,papers/defenses/acl/2026_miao_blindguard.md
pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,set1_core,defense,ACL,acl,papers/defenses/acl/2026_pan_xg_guard.md
wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,set1_core,defense,ACL,acl,papers/defenses/acl/2025_wang_g_safeguard.md
doi:10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,set1_core,defense,ACM Turing Celebration Conference,acm_turing_celebration,papers/defenses/acm_turing_celebration/2024_blockagents_towards_byzantine_robust_llm_based_multi_agent_coordination.md
doi:10.4018/979-8-3373-1419-8.ch009,Security and Privacy in Multi-Agent LLM Networks,set1_core,defense,Advances in computational intelligence and robotics book series,advances_in_computational_intelligence_and_robotics_book_series,papers/defenses/advances_in_computational_intelligence_and_robotics_book_series/2025_security_and_privacy_in_multi_agent_llm_networks.md
arxiv:2510.01586,AdvEvo-MARL: Shaping Internalized Safety through Adversarial Co-Evolution in Multi-Agent Reinforcement Learning,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2025_advevo_marl_shaping_internalized_safety_through_adversarial_co_evolution.md
arxiv:2408.14972,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2024_agentmonitor_a_plug_and_play_framework_for_predictive_and_secure_multi_a.md
mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2025_mao_agentsafe.md
supp_agentshield_2025,AgentShield: Make MAS more secure and efficient,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2025_wang_agentshield_make_mas_more_secure_and_efficient.md
arxiv:2509.13597,Agentic JWT: A Secure Delegation Protocol for Autonomous AI Agents,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2025_agentic_jwt_a_secure_delegation_protocol_for_autonomous_ai_agents.md
arxiv:2605.02812,"Autonomous LLM Agent Worms: Cross-Platform Propagation, Automated Discovery and Temporal Re-Entry Defense",set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2026_autonomous_llm_agent_worms_cross_platform_propagation_automated_discover.md
arxiv:2603.04469,Beyond Input Guardrails: Reconstructing Cross-Agent Semantic Flows for Execution-Aware Attack Detection,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_beyond_input_guardrails_reconstructing_cross_agent_semantic_flows_for_ex.md
arxiv:2604.22879,Beyond Single-Agent Alignment: Preventing Context-Fragmented Violations in Multi-Agent Systems,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_beyond_single_agent_alignment_preventing_context_fragmented_violations_i.md
zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,set1_core,defense,arXiv,arxiv,papers/defenses/arxiv/2025_zou_blocka2a.md
arxiv:2512.17913,Byzantine Fault-Tolerant Multi-Agent System for Healthcare: A Gossip Protocol Approach to Secure Medical Message Propagation,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2025_byzantine_fault_tolerant_multi_agent_system_for_healthcare_a_gossip_prot.md
jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2025_jo_byzantine_robust.md
arxiv:2605.19240,CASPIAN: Online Detection and Attribution of Cascade Attacks in LLM Multi-Agent Systems via Cross-Channel Causal Monitoring,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_caspian_online_detection_and_attribution_of_cascade_attacks_in_llm_multi.md
arxiv:2606.07941,Collective Hallucination in Multi-Agent LLMs:Modeling and Defense,set2_emerging,defense,,arxiv,papers/defenses/arxiv/2026_collective_hallucination_in_multi_agent_llms_modeling_and_defense.md
arxiv:2512.20973,DAO-Agent: Zero Knowledge-Verified Incentives for Decentralized Multi-Agent Coordination,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2025_dao_agent_zero_knowledge_verified_incentives_for_decentralized_multi_age.md
supp_star_cooperative_attacks_2026,Defending LLM-based Multi-Agent Systems Against Cooperative Attacks with Sentence-Level Rectification,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2026_luo_defending_llm_based_multi_agent_systems_against.md
arxiv:2603.15809,Don't Trust Stubborn Neighbors: A Security Framework for Agentic Networks,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_don_t_trust_stubborn_neighbors_a_security_framework_for_agentic_networks.md
supp_dynatrust_2026,DynaTrust: Defending Multi-Agent Systems Against Sleeper Agents via Dynamic Trust Graphs,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2026_li_dynatrust_defending_multi_agent_systems_against.md
arxiv:2604.07911,Dynamic Attentional Context Scoping: Agent-Triggered Focus Sessions for Isolated Per-Agent Steering in Multi-Agent LLM Orchestration,set2_emerging,general,arXiv.org,arxiv,papers/general/arxiv/2026_dynamic_attentional_context_scoping_agent_triggered_focus_sessions_for_i.md
arxiv:2605.09278,EquiMem: Calibrating Shared Memory in Multi-Agent Debate via Game-Theoretic Equilibrium,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_equimem_calibrating_shared_memory_in_multi_agent_debate_via_game_theoret.md
arxiv:2512.16167,Ev-Trust: An Evolutionarily Stable Trust Mechanism for Decentralized LLM-Based Multi-Agent Service Economies,set2_emerging,defense,,arxiv,papers/defenses/arxiv/2025_ev_trust_an_evolutionarily_stable_trust_mechanism_for_decentralized_llm.md
arxiv:2604.07667,From Debate to Decision: Conformal Social Choice for Safe Multi-Agent Deliberation,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_from_debate_to_decision_conformal_social_choice_for_safe_multi_agent_del.md
arxiv:2603.04474,From Spark to Fire: Modeling and Mitigating Error Cascades in LLM-Based Multi-Agent Collaboration,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_from_spark_to_fire_modeling_and_mitigating_error_cascades_in_llm_based_m.md
arxiv:2606.10322,Game-Theoretic Multi-Agent Control for Robust Contextual Reasoning in LLMs,set2_emerging,defense,,arxiv,papers/defenses/arxiv/2026_game_theoretic_multi_agent_control_for_robust_contextual_reasoning_in_ll.md
li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2025_li_argus.md
arxiv:2606.24535,Governed Shared Memory for Multi-Agent LLM Systems,set2_emerging,defense,,arxiv,papers/defenses/arxiv/2026_governed_shared_memory_for_multi_agent_llm_systems.md
arxiv:2601.14667,INFA-Guard: Mitigating Malicious Propagation via Infection-Aware Safeguarding in LLM-Based Multi-Agent Systems,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_infa_guard_mitigating_malicious_propagation_via_infection_aware_safeguar.md
arxiv_2601_11369,Institutional AI: Governing LLM Collusion in Multi-Agent Cournot Markets via Public Governance Graphs,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2026_syrnikov_institutional_ai_governing_llm_collusion_in_mult.md
arxiv:2605.22786,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_lcguard_latent_communication_guard_for_safe_kv_sharing_in_multi_agent_sy.md
arxiv:2603.08852,LDP: An Identity-Aware Protocol for Multi-Agent LLM Systems,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_ldp_an_identity_aware_protocol_for_multi_agent_llm_systems.md
arxiv:2606.30555,Linguistic Firewall: Geometry as Defense in Multi-Agent Systems Routing,set2_emerging,defense,arXiv (Cornell University),arxiv,papers/defenses/arxiv/2026_linguistic_firewall_geometry_as_defense_in_multi_agent_systems_routing.md
arxiv:2606.30602,MESA: Prioritizing Vulnerable Communication Channels for Securing Multi-Agent Systems,set2_emerging,evaluation,,arxiv,papers/evaluations/arxiv/2026_mesa_prioritizing_vulnerable_communication_channels_for_securing_multi_a.md
cui2025maris,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2025_cui_maris.md
arxiv:2605.12240,No Action Without a NOD: A Heterogeneous Multi-Agent Architecture for Reliable Service Agents,set2_emerging,general,arXiv.org,arxiv,papers/general/arxiv/2026_no_action_without_a_nod_a_heterogeneous_multi_agent_architecture_for_rel.md
tapwal2026prism,PRISM: Generation-Time Detection and Mitigation of Secret Leakage in Multi-Agent LLM Pipelines,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2026_tapwal_prism.md
arxiv:2601.13186,"Prompt Injection Mitigation with Agentic AI, Nested Learning, and AI Sustainability via Semantic Caching",set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_prompt_injection_mitigation_with_agentic_ai_nested_learning_and_ai_susta.md
arxiv:2605.16346,PropGuard: Safeguarding LLM-MAS via Propagation-Aware Exploration and Remediation,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_propguard_safeguarding_llm_mas_via_propagation_aware_exploration_and_rem.md
arxiv:2512.16279,QuadSentinel: Sequent Safety for Machine-Checkable Control in Multi-agent Systems,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2025_quadsentinel_sequent_safety_for_machine_checkable_control_in_multi_agent.md
arxiv:2605.09076,Robust Multi-Agent LLMs under Byzantine Faults,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_robust_multi_agent_llms_under_byzantine_faults.md
arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,set1_core,defense,arXiv,arxiv,papers/defenses/arxiv/2025_li_safeflow_a_principled_protocol_for_trustworthy_a.md
shi2026saiguard,SAIGuard: Communication-State Simulation for Proactive Defense of LLM Multi-Agent Systems,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2026_shi_saiguard.md
arxiv:2606.07940,SGTO-MAS: Secure Gorilla Troops Optimization for Multi-Agent LLM Systems,set2_emerging,defense,,arxiv,papers/defenses/arxiv/2026_sgto_mas_secure_gorilla_troops_optimization_for_multi_agent_llm_systems.md
arxiv:2510.19420,Securing Multi-Agent Systems Against Corruptions via Node Contribution Backpropagation,set2_emerging,defense,,arxiv,papers/defenses/arxiv/2025_securing_multi_agent_systems_against_corruptions_via_node_contribution_b.md
arxiv:2509.14956,Sentinel Agents for Secure and Trustworthy Agentic AI in Multi-Agent Systems,set1_core,defense,arXiv.org,arxiv,papers/defenses/arxiv/2025_sentinel_agents_for_secure_and_trustworthy_agentic_ai_in_multi_agent_sys.md
arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,set1_core,defense,arXiv,arxiv,papers/defenses/arxiv/2025_he_sentinelagent_graph_based_anomaly_detection_in_m.md
arxiv:2604.02767,SentinelAgent: Intent-Verified Delegation Chains for Securing Federal Multi-Agent AI Systems,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_sentinelagent_intent_verified_delegation_chains_for_securing_federal_mul.md
arxiv:2604.17139,The Consensus Trap: Rescuing Multi-Agent LLMs from Adversarial Majorities via Token-Level Collaboration,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2026_the_consensus_trap_rescuing_multi_agent_llms_from_adversarial_majorities.md
arxiv_2509_14284,The Sum Leaks More Than Its Parts: Compositional Privacy Risks and Mitigations in Multi-Agent Collaboration,set1_core,attack,arXiv,arxiv,papers/attacks/arxiv/2025_patil_the_sum_leaks_more_than_its_parts_compositional.md
he2025atrust,To Trust or Not to Trust: Attention-based Trust Management for LLM Multi-Agent Systems,set2_emerging,defense,arXiv,arxiv,papers/defenses/arxiv/2025_he_a_trust.md
arxiv:2512.23557,Toward Trustworthy Agentic AI: A Multimodal Framework for Preventing Prompt Injection Attacks,set2_emerging,defense,arXiv.org,arxiv,papers/defenses/arxiv/2025_toward_trustworthy_agentic_ai_a_multimodal_framework_for_preventing_prom.md
doi:10.3390/electronics15112278,Ethical Coordination of LLM Multi-Agent Systems,set1_core,defense,Electronics,electronics,papers/defenses/electronics/2026_ethical_coordination_of_llm_multi_agent_systems.md
supp_min_trust_a_minimum_necessary_information_trust_orchestration_framework_for_mult,MIN-Trust: A Minimum Necessary Information Trust Orchestration Framework for Multi-Agent Collaboration,set1_core,defense,GAIE 2026,gaie_2026,papers/defenses/gaie_2026/2026_chen_min_trust_a_minimum_necessary_information_trust.md
supp_ai_agents_with_decentralized_identifiers_and_verifiable_credentials,AI Agents with Decentralized Identifiers and Verifiable Credentials,set1_core,defense,ICAART 2026,icaart_2026,papers/defenses/icaart_2026/2026_garzon_ai_agents_with_decentralized_identifiers_and_ver.md
jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,set1_core,defense,ICLR,iclr,papers/defenses/iclr/2026_jha_control_flow_hijacking.md
supp_peerguard_defending_multi_agent_systems_against_backdoor_attacks_through_mutual_,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,set1_core,defense,IEEE IRI 2025,ieee_iri_2025,papers/defenses/ieee_iri_2025/2025_fan_peerguard_defending_multi_agent_systems_against.md
supp_decentralized_multi_agent_system_with_trust_aware_communication,Decentralized Multi-Agent System with Trust-Aware Communication,set1_core,defense,IEEE ISPA 2025,ieee_ispa_2025,papers/defenses/ieee_ispa_2025/2025_ding_decentralized_multi_agent_system_with_trust_awar.md
doi:10.1109/icaic67076.2026.11395749,Architectural Resilience in AI-Driven Decision Systems under Adversarial Conditions,set1_core,defense,International Conference on Applied Informatics and Communication,international_conference_on_applied_informatics_and_communication,papers/defenses/international_conference_on_applied_informatics_and_communication/2026_architectural_resilience_in_ai_driven_decision_systems_under_adversarial.md
doi:10.1109/cscwd68734.2026.11582680,RoMa: A Credibility-Aware Fault-Tolerance Framework for LLM Multi-Agent Systems,set1_core,defense,International Conference on Computer Supported Cooperative Work in Design,international_conference_on_computer_supported_cooperative_work_in_des,papers/defenses/international_conference_on_computer_supported_cooperative_work_in_des/2026_roma_a_credibility_aware_fault_tolerance_framework_for_llm_multi_agent_s.md
doi:10.1109/icca66035.2025.11430791,Cross-Agent Multimodal Provenance-Aware Framework for Robust Prompt Injection Defense in Large Language and Vision-Language Models,set1_core,defense,International Conferences on Computing Advancements,international_conferences_on_computing_advancements,papers/defenses/international_conferences_on_computing_advancements/2025_cross_agent_multimodal_provenance_aware_framework_for_robust_prompt_inje.md
doi:10.1109/icca66035.2025.11431026,SPIFFE-Based Zero-Trust Authentication for AI Agent Ecosystems,set1_core,defense,International Conferences on Computing Advancements,international_conferences_on_computing_advancements,papers/defenses/international_conferences_on_computing_advancements/2025_spiffe_based_zero_trust_authentication_for_ai_agent_ecosystems.md
doi:10.71465/ajainn3659,Self-Healing Memory Architectures for Large Language Model-Based Multi-Agent Collaboration,set1_core,defense,American journal of artificial intelligence and neural networks,journals_american_journal_of_artificial_intelligence_and_neural_netwo,papers/defenses/journals_american_journal_of_artificial_intelligence_and_neural_netwo/2026_self_healing_memory_architectures_for_large_language_model_based_multi_a.md
supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth,Enhancing Robustness of LLM-Driven Multi-Agent Systems through Randomized Smoothing,set1_core,defense,Chinese Journal of Aeronautics,journals_chinese_journal_of_aeronautics,papers/defenses/journals_chinese_journal_of_aeronautics/2026_hu_enhancing_robustness_of_llm_driven_multi_agent_s.md
xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,set1_core,evaluation,IEEE Transactions on Computational Social Systems,journals_ieee_transactions_on_computational_social_systems,papers/evaluations/journals_ieee_transactions_on_computational_social_systems/2026_xu_trust_paradox.md
doi:10.1109/tdsc.2026.3685256,AgentChain: Blockchain-Empowered Multi-Agent Coordination for Trustworthy LLM Question-Answering Systems,set1_core,defense,IEEE Transactions on Dependable and Secure Computing,journals_ieee_transactions_on_dependable_and_secure_computing,papers/defenses/journals_ieee_transactions_on_dependable_and_secure_computing/2026_agentchain_blockchain_empowered_multi_agent_coordination_for_trustworthy.md
doi:10.1109/tnse.2026.3680460,Topology Linearization for Multi-Agent Systems Security: Mitigating Malicious Propagation via Path Decomposition,set1_core,defense,IEEE Transactions on Network Science and Engineering,journals_ieee_transactions_on_network_science_and_engineering,papers/defenses/journals_ieee_transactions_on_network_science_and_engineering/2026_topology_linearization_for_multi_agent_systems_security_mitigating_malic.md
