work_key,title,evidence_set,dominant_contribution,venue,primary_url,interaction_interfaces,risk_or_property,interaction_dependence,paper_path,note_depth,system_studied,multi_agent_dependency,threat_actor,attacker_capabilities,main_contribution,attack_or_failure,defense_mechanism,evaluation,sok_relevance,source_review_status,current_scope_reason,current_membership_reason
motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,set1_core,attack,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,I4_delegation_action;I6_observation_defense,R2_collusion_coordination;R5_private_data_leakage,structurally_multi_agent,papers/attacks/neurips/2024_motwani_secret_collusion.md,detailed,Generative AI agents that communicate over an overt channel while an auditor or monitor observes their exchanges.,Secret collusion requires at least a sender and receiver to coordinate through a hidden channel while concealing the coordination from oversight.,,,"The paper formalizes secret collusion among generative agents, develops information-theoretic and incentive-based analysis, and empirically evaluates steganographic capability and mitigation limits in single- and multi-agent LLM setups.",,,"- Configuration: Sender-receiver or multi-agent communication setups with an overseer and mitigation variants. - Topology: Primarily communicating endpoints and monitored channels rather than broad population topology. - Baseline or ablation: Overt communication and mitigation variants such as monitoring, paraphrasing, and parameter optimization. - Metric: Coordination success, covert communication success, detectability, task performance, and scenario-specific secrecy or coupling measures. - Unit: Communication episode, group, or task depending on experiment. - Denominator: Experiment-specific trials; there is no single paper-wide ASR denominator. - Result boundary: The paper formalizes and demonstrates secret collusion and evaluates limits of several mitigations. It does not establish deployment prevalence or universal undetectability.","- Included concepts: covert channel, colluding coalition, observer scope, information flow, detectability. - Taxonomy implications: distinguishes attack mechanism (steganography) from the violated property (oversight or confidentiality). - Supported research questions: what a monitor must observe or trust to detect prohibited coordination. - Important limitations: empirical results do not establish real-world prevalence of spontaneous collusion.",source_reviewed_pending_author_signoff,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=10. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,set1_core,attack,arXiv,https://arxiv.org/abs/2402.14859,I2_communication_routing,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,papers/attacks/arxiv/2024_tan_wolf_within.md,detailed,"Two-stage multimodal agent interaction in which a manipulated ""wolf"" MLLM produces a prompt and media item consumed by a clean ""sheep"" MLLM.",The attack objective is jointly optimized through the wolf and sheep models so that the first agent's output becomes an indirect jailbreak prompt for the second.,,,The paper formulates a cross-agent multimodal jailbreak in which an optimized input makes one MLLM generate a prompt that induces another MLLM to emit a targeted harmful response.,,,,"- Included concepts: compromised member, forwarded media, indirect prompt, multimodal composition, and cross-agent transfer. - Taxonomy implications: the mechanism is cross-agent multimodal injection; the demonstrated failure is recipient compromise rather than epidemic contagion. - Supported research questions: whether benign-looking inter-agent outputs can transport optimized malicious intent. - Important limitations: white-box gradients, manual evaluation, two-agent flow, and an unresolved printed trial denominator constrain generalization.",,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=25. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
arxiv:2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,set1_core,defense,IEEE International WIE Conference on Electrical and Computer Engineering,https://doi.org/10.1109/wiecon-ece69386.2025.11526251,I1_boundary_admission,R5_private_data_leakage,unclear,papers/defenses/ieee_international_wie_conference_on_electrical_and_computer_engineeri/2025_a_multi_agent_llm_defense_pipeline_against_prompt_injection_attacks.md,metadata_only,,,,,,,,,,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,attack,ACL,https://aclanthology.org/2025.acl-long.476/,I2_communication_routing,R7_availability_cost,unclear,papers/attacks/acl/2025_khan_agents_under_siege.md,detailed,"Pragmatic multi-agent LLM systems with communication latency, limited token bandwidth, varied graph topology, and distributed safety mechanisms.","The attack optimizes how adversarial prompt components traverse a constrained agent network; message ordering, routes, and distributed defenses are part of the attack objective.",,,The paper introduces a permutation-invariant prompt attack formulated with graph-based maximum-flow/minimum-cost optimization and a Permutation-Invariant Evasion Loss for constrained multi-agent networks.,,,,"- Included concepts: topology-aware optimization, bandwidth, latency, distributed guard evasion. - Taxonomy implications: topology is a precondition/amplifier, not the violated security property itself. - Supported research questions: whether distributed guardrails compose under fragmented attacks. - Important limitations: evaluation scope does not establish behavior for every deployed framework or closed model.",,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=3. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
supp_ai_agents_with_decentralized_identifiers_and_verifiable_credentials,AI Agents with Decentralized Identifiers and Verifiable Credentials,set1_core,defense,ICAART 2026,https://doi.org/10.5220/0014234400004052,I4_delegation_action,R6_authority_misuse,unclear,papers/defenses/icaart_2026/2026_garzon_ai_agents_with_decentralized_identifiers_and_ver.md,detailed,Not yet extracted at claim level from the canonical full text.,"Imported corpus characterization, pending author signoff: DIDs and verifiable credentials bind identities in agent-to-agent interactions.",Not yet extracted.,Not yet extracted.,Imported corpus interpretation: DIDs and verifiable credentials bind identities in agent-to-agent interactions.,Not yet extracted.,Not yet extracted.,Not yet extracted.,Do not infer a fixed taxonomy from this imported placement.,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,set1_core,evaluation,ACM AsiaCCS 2026,https://doi.org/10.1145/3779208.3785380,,,,papers/evaluations/acm_asiaccs/2026_gandhi_atag_ai_agent_application_threat_assessment_with.md,detailed,Not yet extracted at claim level from the canonical full text.,"Imported corpus characterization, pending author signoff: Attack graphs model compromise paths across agentic application components and interactions.",Not yet extracted.,Not yet extracted.,Imported corpus interpretation: Attack graphs model compromise paths across agentic application components and interactions.,Not yet extracted.,Not yet extracted.,Not yet extracted.,Do not infer a fixed taxonomy from this imported placement.,,2026-08-18 source reconciliation established a material inter-agent security path: attack_graph_framework_models_inter_agent_topology_and_multi_step_security_paths_across_two_real_multi_agent_applications.,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,attack,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/40224,I2_communication_routing,unspecified,unclear,papers/attacks/aaai/2026_yan_attack_messages.md,detailed,"LLM multi-agent systems using flat, chain, or hierarchical message-passing architectures.","The adversary controls some communication links, observes messages across rounds, and adaptively rewrites them while leaving agent states unchanged. The attack objective is deviation of the joint task outcome through the communication transcript.",An on-path communication adversary.,"The attacker intercepts and modifies messages on a subset of links, forwards replacements to the intended recipient, knows the graph, and monitors the system over multiple rounds.",MAST learns adaptive multi-round message-tampering plans from MCTS preference pairs using DPO. It decomposes a global attack objective into round-level subgoals and constrains both semantic and embedding similarity to preserve stealth.,"An attack-policy model chooses whether, where, and how to rewrite intercepted messages across rounds while satisfying two similarity thresholds.",No new defense; an LLM tamper detector is part of the threat/evaluation model.,"Llama-3.1-70B-Instruct agents and detector, a Llama-3.1-8B attack policy, and GPT-4o as process reward model; transfer tests include other LLMs.",The paper separates an exposed communication surface and attack mechanism from the resulting system-level task-integrity violation.,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=1. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,set1_core,evaluation,COLM,https://colmweb.org/AcceptedPapers.html,I2_communication_routing;I4_delegation_action;I6_observation_defense,unspecified,unclear,papers/evaluations/colm/2026_nother_bad_acts.md,detailed,"LLM-backed agentic systems for travel planning, personal assistance, financial article writing, code generation, and multi-agent debate.",An attacker controls one member and uses ordinary inter-agent communication to manipulate other agents into executing a target harmful action.,A compromised member agent inside the system's communication graph.,The malicious member sends persuasive or deceptive messages through its legitimate communication interfaces but does not directly control honest agents.,"BAD-ACTS provides a harm taxonomy, five agentic-system environments, and 937 harmful actions with environment-specific evaluators. It evaluates malicious-member attacks and two baseline defenses, including a message-monitoring guardian.",A controlled member persuades honest peers to perform a specified harmful target action.,Safety warnings in agent prompts and a guardian agent that monitors messages and may block adversarial influence.,Open and proprietary LLM backbones instantiated in the five BAD-ACTS environments.,It operationalizes compositional action-integrity failure rather than treating unsafe text as the endpoint.,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=11. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,set1_core,defense,ACL,https://aclanthology.org/2026.acl-long.1819/,I2_communication_routing;I3_state_memory;I4_delegation_action;I5_aggregation_outcome;I6_observation_defense,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,papers/defenses/acl/2026_miao_blindguard.md,detailed,"LLM-backed agents communicate for three rounds over chain, tree, star, and random graph topologies.","The defense identifies anomalous members from individual, neighborhood, and global interaction patterns, then removes their graph edges to contain cross-agent propagation.",Three compromised member agents in the evaluated MAS.,"Direct prompt attack, injected tool output, or poisoned memory that changes compromised-agent messages.","BlindGuard is an unsupervised graph-anomaly defense trained without attack labels. It combines a hierarchical agent encoder, synthetic feature corruption, anomaly scoring, and topology pruning to detect and isolate compromised members.",Compromised agents inject misleading outputs that propagate over the communication graph.,"The monitor encodes multi-scale interaction context, detects representation outliers, and prunes edges incident to predicted malicious agents.","MAS instances using Qwen3-30B-A3B, DeepSeek-V3, and GPT-4o-mini backbones.","The defense locus is the communication graph; its functions are detection and containment, not pre-infiltration prevention.",,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,set1_core,defense,arXiv,https://arxiv.org/abs/2508.01332,I2_communication_routing;I4_delegation_action;I6_observation_defense,unspecified,unclear,papers/defenses/arxiv/2025_zou_blocka2a.md,detailed,"Cross-domain agents interoperating through identities, task contracts, messages, and shared resources.",Security properties bind multiple administrative principals across A2A interactions.,"Byzantine agents, Sybils, and message or prompt tamperers.","Forge identity, tamper with task data, equivocate, or misuse delegated permissions.","BlockA2A proposes decentralized identifiers, signed messages, ledger-anchored provenance, capability control, reputation, and incident-response contracts as a unified trust framework.","Spoofing, Sybil entry, tampering, equivocation, or authorization abuse.","DIDs, signatures, access-control contracts, provenance anchoring, reputation, and revocation.",A prototype BlockA2A instantiation.,Defense spans several loci and illustrates a large trusted infrastructure base.,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=17. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,set1_core,defense,ICLR,https://openreview.net/forum?id=PNU9Rj5RDQ,I2_communication_routing;I4_delegation_action,R5_private_data_leakage;R6_authority_misuse,interaction_dependent_mechanism,papers/defenses/iclr/2026_jha_control_flow_hijacking.md,detailed,"Magentic-One multi-agent workflows whose orchestrator delegates coding, file, web, video, and execution tasks to black-box specialist agents.","An indirect prompt injection is laundered through a trusted specialist as a plausible error and repair plan. The orchestrator sees only that agent's report, then changes the invocation sequence and delegates unsafe actions to confused deputies.",An external adversary controlling one untrusted content item ingested by a benign member agent.,"The attacker embeds instructions in a web page, document, message, image, or attachment but does not control the user's prompt or agent internals.","The paper constructs control-flow hijacking attacks that evade alignment checks by presenting unsafe calls as necessary repairs and laundering them through trusted agents. It introduces CFH-Hard and ControlValve, which generates and enforces task-specific control-flow graphs and edge-level contextual rules.",A fake environmental error includes a plausible recovery sequence that invokes attacker-useful agents; wording is adapted to satisfy broad goal-alignment criteria.,"ControlValve generates a context-free grammar of permitted agent-call traces before untrusted input is read, adds contextual rules to each edge, and permits, rejects, or replans each proposed transition.","AutoGen Magentic-One with ControlValve, LlamaFirewall, Azure Content Filters, least privilege, or no defense.","The mechanism is interaction-level control-flow hijacking; the failure is compositional authority and action integrity, with confidentiality impact when delegated agents exfiltrate data.",,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=10. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,set1_core,attack,EMNLP,https://aclanthology.org/2025.emnlp-main.611/,I4_delegation_action;I5_aggregation_outcome,R3_collective_integrity,unclear,papers/attacks/emnlp/2025_liu_manipulate_collective_decisions.md,detailed,LLM multi-agent systems that exchange messages and aggregate individual answers into a collective decision.,An attacker knows and manipulates only one target agent but optimizes inputs by simulating how that agent's messages influence the rest of the group. Success is defined by changing the collective decision.,An external attacker with incomplete information about the collective.,"The attacker can query or model one target agent and construct adversarial inputs for it, but lacks full knowledge of other agents and the complete collaboration process.","The paper formulates single-member manipulation of a collective as an incomplete-information game and proposes M-Spoiler, which simulates interactions to optimize adversarial examples through a stubborn proxy agent. It evaluates attacks and defenses across collaborative decision tasks.",M-Spoiler optimizes adversarial samples using simulated group interactions and a stubborn agent that persistently advocates the attacker's desired answer.,The paper evaluates input transformations and collaboration-level mitigation strategies.,Multiple LLM backbones and multi-agent collaboration configurations.,The paper separates adversary position from compromised fraction: one externally manipulated member can have population-level effects without being a malicious agent by construction.,source_reviewed_pending_author_signoff,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
