route_id,route_type,work_key,canonical_paper_id,route_title,canonical_title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,source_decision,source_scope,source_status,source_reason,source_path,route_strength,ledger_decision,ledger_decision_source,human_signoff_required
broad:arxiv:2410.16155,broad,men2025troublemaker,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,2024-10-21,2024,ACL,10.18653/v1/2025.acl-long.859,2410.16155,https://www.semanticscholar.org/paper/cde46b95149067331329086a9e8c828562bd639f,attack,attack; benchmark; evaluation,attack; benchmark; evaluation,source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2410.19000,broad,arxiv:2410.19000,,Make LLMs better zero-shot reasoners: Structure-orientated autonomous reasoning,Make LLMs better zero-shot reasoners: Structure-orientated autonomous reasoning,2024-10-18,2024,arXiv.org,,2410.19000,https://www.semanticscholar.org/paper/5e0e7ed3fe38b1f54adf7749678a90e1d2eefbc7,,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2410.19000,yes
broad:arxiv:2410.22932,broad,arxiv:2410.22932,,Multi-Agent Large Language Models for Conversational Task-Solving,Multi-Agent Large Language Models for Conversational Task-Solving,2024-10-30,2024,arXiv.org,,2410.22932,https://www.semanticscholar.org/paper/2f6ef455c7272b726712fdfd64f1ca9166ca0478,,,,,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,peerfirst:arxiv:2410.22932,yes
broad:arxiv:2412.11014,broad,arxiv:2412.11014,,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,2024-12-15,2024,,,2412.11014,https://www.semanticscholar.org/paper/d3172458e2ac692892ff090ddb216f05787fc4d4,,,,,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,peerfirst:arxiv:2412.11014,yes
broad:arxiv:2501.07811,broad,arxiv:2501.07811,,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,2025-01-14,2025,arXiv.org,,2501.07811,https://www.semanticscholar.org/paper/59efb90a519cf5df0aaadb3778d2d1028d2d666e,,,,,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,peerfirst:arxiv:2501.07811,yes
broad:arxiv:2501.10385,broad,arxiv:2501.10385,,Autonomous Microscopy Experiments through Large Language Model Agents,Autonomous Microscopy Experiments through Large Language Model Agents,2024-12-18,2024,arXiv.org,,2501.10385,https://www.semanticscholar.org/paper/04dfe87495b6df0d1ed805deabefc9a8f0c9a06a,,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2501.10385,yes
broad:arxiv:2502.00757,broad,rosser2025agentbreeder,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025-02-02,2025,NeurIPS,,2502.00757,https://dblp.org/rec/conf/nips/RosserF25,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,canonical:rosser2025agentbreeder,yes
broad:arxiv:2502.11127,broad,wang2025gsafeguard,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,2025-02-16,2025,ACL,10.18653/v1/2025.acl-long.359,2502.11127,https://dblp.org/rec/conf/acl/WangZYWMGWW25,defense,defense; evaluation; attack analysis,defense; evaluation; attack analysis,source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2502.16242,broad,supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation","Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2025-02-22,2025,Transactions on Machine Learning Research,,2502.16242,https://dblp.org/rec/journals/tmlr/GarciaHMP25,evaluation,evaluation,evaluation,official_metadata_and_abstract_screened,include-primary-interaction-security,broad_scope_included,peer_reviewed_journal,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,canonical:supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,no
broad:arxiv:2503.04392,broad,mao2025agentsafe,mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025-03-06,2025,arXiv.org,,2503.04392,https://www.semanticscholar.org/paper/a5e0b705c5346e6b3018050c7a3b851b5efc5258,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2503.12188,broad,triedman2025malicious_code,triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,Multi-Agent Systems Execute Arbitrary Malicious Code,2025-03-15,2025,COLM,,2503.12188,https://openreview.net/forum?id=DAozI4etUp,attack,attack; evaluation,attack; evaluation,source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2503.23138,broad,arxiv:2503.23138,,EncGPT: A Multi-Agent Workflow for Dynamic Encryption Algorithms,EncGPT: A Multi-Agent Workflow for Dynamic Encryption Algorithms,2025-03-29,2025,arXiv.org,,2503.23138,https://www.semanticscholar.org/paper/d9eb816cc2a0af9d01711d1445bc2e6507705ebf,defense,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2504.00218,broad,khan2025agents_under_siege,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,2025-03-31,2025,ACL,10.18653/v1/2025.acl-long.476,2504.00218,https://doi.org/arxiv:2504.00218,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2504.00374,broad,arxiv_2504_00374,arxiv_2504_00374,When Persuasion Overrides Truth in Multi-Agent LLM Debates: Introducing a Confidence-Weighted Persuasion Override Rate (CW-POR),When Persuasion Overrides Truth in Multi-Agent LLM Debates: Introducing a Confidence-Weighted Persuasion Override Rate (CW-POR),2025-04-01,2025,arXiv.org,,2504.00374,https://www.semanticscholar.org/paper/b4e979f4407cd3dd7fee0b8a87eab6b571f38514,attack,attack,high-citation non-peer security candidate,full_text_scope_screened,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2504.05047,broad,arxiv:2504.05047,,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,2025-04-07,2025,arXiv.org,,2504.05047,https://www.semanticscholar.org/paper/3d3628e20a7499664345efcc95c231e5129ea6f9,,,,,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,peerfirst:arxiv:2504.05047,yes
broad:arxiv:2504.07461,broad,arxiv:2504.07461,,Achilles Heel of Distributed Multi-Agent Systems,Achilles Heel of Distributed Multi-Agent Systems,2025-04-10,2025,arXiv.org,,2504.07461,https://www.semanticscholar.org/paper/df948cf591ab14be205c1f43782b36aa35450a32,evaluation,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2504.16489,broad,arxiv:2504.16489,,Amplified Vulnerabilities: Structured Jailbreak Attacks on LLM-based Multi-Agent Debate,Amplified Vulnerabilities: Structured Jailbreak Attacks on LLM-based Multi-Agent Debate,2025-04-23,2025,arXiv.org,,2504.16489,https://www.semanticscholar.org/paper/523090aa81939c856e0e7f9a0f32eb705672a545,attack,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2505.04799,broad,cui2025maris,cui2025maris,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,2025-05-07,2025,,,2505.04799,https://www.semanticscholar.org/paper/b99bf346a634338688ffe89878505bdc07bfe1c6,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2505.12442,broad,arxiv:2505.12442,,IP Leakage Attacks Targeting LLM-Based Multi-Agent Systems,IP Leakage Attacks Targeting LLM-Based Multi-Agent Systems,2025-05-18,2025,arXiv.org,,2505.12442,https://www.semanticscholar.org/paper/639703a5fb606347b72e9bde2aaf2b52d6cc24d7,,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2505.12442,yes
broad:arxiv:2505.18572,broad,zhu2025master,zhu2025master,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,2025-05-24,2025,Findings of EMNLP,10.18653/v1/2025.findings-emnlp.917,2505.18572,https://dblp.org/rec/conf/emnlp/ZhuZSZYL25,attack,evaluation,evaluation,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,canonical:zhu2025master,yes
broad:arxiv:2505.19234,broad,zhou2025guardian,zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025-05-25,2025,NeurIPS,,2505.19234,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2505.20824,broad,chen2025medsentry,chen2025medsentry,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,2025-05-27,2025,arXiv.org,,2505.20824,https://www.semanticscholar.org/paper/4dcd6a81197cb9dd78322d5bcfb83f9aeee3914e,evaluation,benchmark,benchmark,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2505.22960,broad,arxiv_2505_22960,arxiv_2505_22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2025-05-29,2025,arXiv.org,,2505.22960,https://www.semanticscholar.org/paper/22bd199f21a0ca973c5604adec328a484ebddcee,evaluation,evaluation,high-citation non-peer security candidate,claim_level_review_required,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,canonical:arxiv_2505_22960,no
broad:arxiv:2505.24201,broad,arxiv_2505_24201,arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,2025-05-30,2025,arXiv.org,,2505.24201,https://www.semanticscholar.org/paper/99296c88c1470c2f20cf34f2e9708eab4f34fa2c,defense,defense,high-citation non-peer security candidate,full_text_scope_screened,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2506.00509,broad,li2025argus,li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,2025-05-31,2025,arXiv.org,,2506.00509,https://www.semanticscholar.org/paper/8f0541a41c86f67fc8d3783785ec44d4f08a23b9,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2506.04572,broad,zheng2025integrity_attacks,zheng2025integrity_attacks,Demonstrations of Integrity Attacks in Multi-Agent Systems,Demonstrations of Integrity Attacks in Multi-Agent Systems,2025-06-05,2025,arXiv.org,,2506.04572,https://www.semanticscholar.org/paper/9b2fe5ced46c1f6231ba08f47c0befbb9c2f5e83,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2506.07468,broad,arxiv_2506_07468,arxiv_2506_07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025-06-09,2025,arXiv.org,,2506.07468,https://www.semanticscholar.org/paper/21251d14f97926bf4c19b8cfaab8a3d101f7fa71,defense,defense,high-citation non-peer security candidate,boundary_full_text_screened,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,canonical:arxiv_2506_07468,yes
broad:arxiv:2506.07564,broad,arxiv_2506_07564,arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,2025-06-09,2025,arXiv.org,,2506.07564,https://www.semanticscholar.org/paper/a0678c81b0601eddb4a79fb7534a713726ea9416,defense,defense,high-citation non-peer security candidate,full_text_scope_screened,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2506.09600,broad,arxiv:2506.09600,,Effective Red-Teaming of Policy-Adherent Agents,Effective Red-Teaming of Policy-Adherent Agents,2025-06-11,2025,Conference on Empirical Methods in Natural Language Processing,,2506.09600,https://dblp.org/rec/conf/emnlp/NakashKLVUA25,,,,,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2506.09600,yes
broad:arxiv:2506.11083,broad,arxiv:2506.11083,,RedDebate: Safer Responses through Multi-Agent Red Teaming Debates,RedDebate: Safer Responses through Multi-Agent Red Teaming Debates,2025-06-04,2025,arXiv.org,,2506.11083,https://www.semanticscholar.org/paper/89b908678883095f8a2eda436bb5aac623b4e18e,evaluation,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2506.12482,broad,arxiv:2506.12482,,Tiered Agentic Oversight: A Hierarchical Multi-Agent System for Healthcare Safety,Tiered Agentic Oversight: A Hierarchical Multi-Agent System for Healthcare Safety,2025-06-14,2025,,,2506.12482,https://www.semanticscholar.org/paper/a233f3c034f6203a5a2853cf87c8538037e8eb6e,,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2506.12482,yes
broad:arxiv:2506.20737,broad,juneja2025magpie,juneja2025magpie,MAGPIE: A dataset for Multi-AGent contextual PrIvacy Evaluation,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,2025-06-25,2025,arXiv.org,,2506.20737,https://www.semanticscholar.org/paper/adaf2fc01268271e8c8aeac1f2b82b59d72d28c9,evaluation,benchmark,benchmark,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2506.22957,broad,arxiv:2506.22957,,Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models,Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models,2025-06-28,2025,Conference on Empirical Methods in Natural Language Processing,,2506.22957,https://dblp.org/rec/conf/emnlp/ChoiLYJ25,,,,,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2506.22957,yes
broad:arxiv:2507.04724,broad,xie2025_whos_the_mole,xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,2025-07-07,2025,arXiv.org,,2507.04724,https://www.semanticscholar.org/paper/71f79d74abd7e87ec9e04e50d0610bdd68ad8a88,evaluation,evaluation,evaluation,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2507.06850,broad,lupinacci2025darkside,lupinacci2025darkside,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,2025-07-09,2025,,,2507.06850,https://www.semanticscholar.org/paper/c4ecc7fc2e1342dabec05c750735d70f2a61b30f,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2507.13038,broad,arxiv:2507.13038,,MAD-Spear: A Conformity-Driven Prompt Injection Attack on Multi-Agent Debate Systems,MAD-Spear: A Conformity-Driven Prompt Injection Attack on Multi-Agent Debate Systems,2025-07-17,2025,arXiv.org,,2507.13038,https://www.semanticscholar.org/paper/1115a843e8f3d142180f807c97f71cde65d2ad12,attack,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2507.14928,broad,jo2025byzantinerobust,jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,Byzantine-Robust Decentralized Coordination of LLM Agents,2025-07-20,2025,arXiv.org,,2507.14928,https://www.semanticscholar.org/paper/a858e644c58726a1b8e82976df65863611d8e90f,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
