work_key,title,evidence_set,dominant_contribution,note_depth,security_signal,weak_signal,has_threat_actor,has_attack_failure,has_defense,prelim_tier,paper_path
dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,set1_core,evaluation,detailed,attack;adversar;malicious,robust,yes,yes,yes,strong_direct_signal,papers/evaluations/findings_eacl/2026_dong_pear.md
supp_peerguard_defending_multi_agent_systems_against_backdoor_attacks_through_mutual_,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,set1_core,defense,detailed,attack;backdoor,,yes,yes,yes,strong_direct_signal,papers/defenses/ieee_iri_2025/2025_fan_peerguard_defending_multi_agent_systems_against.md
doi:10.1109/bigdata66926.2025.11401523,Quantifying Privacy Leakage in Multi-Agent LLMs: A Unified Theoretical and Empirical Analysis,set1_core,evaluation,metadata_only,privacy;leak,,no,no,no,metadata_only_needs_source_check,papers/evaluations/bigdata_congress/2025_quantifying_privacy_leakage_in_multi_agent_llms_a_unified_theoretical_an.md
he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,set1_core,attack,detailed,attack;adversar;malicious;integrity,,no,no,no,strong_direct_signal,papers/attacks/findings_acl/2025_he_communication_attacks.md
zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,set1_core,defense,detailed,byzantine;integrity,robust;reliab,yes,yes,yes,strong_direct_signal,papers/defenses/aaai/2026_zheng_byzantine_reliability.md
arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,set1_core,defense,detailed,security;leak,,yes,yes,yes,strong_direct_signal,papers/defenses/arxiv/2025_li_safeflow_a_principled_protocol_for_trustworthy_a.md
supp_safesieve_from_heuristics_to_experience_in_progressive_pruning_for_llm_based_mul,SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Communication,set1_core,defense,detailed,,reliab,yes,yes,yes,weak_safety_reliability_signal,papers/defenses/aaai/2026_zhang_safesieve_from_heuristics_to_experience_in_progr.md
arxiv:5154.37952,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,set1_core,defense,metadata_only,attack;secure;privacy;leak,governance,no,no,no,metadata_only_needs_source_check,papers/defenses/proceedings_of_the_2025_6th_international_conference_on_computer_scien/2025_securegov_agent_a_governance_centric_multi_agent_framework_for_privacy_p.md
doi:10.4018/979-8-3373-1419-8.ch009,Security and Privacy in Multi-Agent LLM Networks,set1_core,defense,metadata_only,security;privacy;leak;integrity,,no,no,no,metadata_only_needs_source_check,papers/defenses/advances_in_computational_intelligence_and_robotics_book_series/2025_security_and_privacy_in_multi_agent_llm_networks.md
doi:10.1109/trustcom66490.2025.00226,Security of LLM Agents: A Case Study Approach,set1_core,evaluation,metadata_only,security,,no,no,no,metadata_only_needs_source_check,papers/evaluations/international_conference_on_trust_security_and_privacy_in_computing_an/2025_security_of_llm_agents_a_case_study_approach.md
arxiv:2509.14956,Sentinel Agents for Secure and Trustworthy Agentic AI in Multi-Agent Systems,set1_core,defense,metadata_only,secure;leak,,no,no,no,metadata_only_needs_source_check,papers/defenses/arxiv/2025_sentinel_agents_for_secure_and_trustworthy_agentic_ai_in_multi_agent_sys.md
arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,set1_core,defense,detailed,security;collusion,,yes,yes,yes,strong_direct_signal,papers/defenses/arxiv/2025_he_sentinelagent_graph_based_anomaly_detection_in_m.md
ko2026sevenchallenges,Seven Security Challenges in Cross-Domain Multi-Agent LLM Systems,set1_core,survey,detailed,security;secure;privacy;leak;authentication,governance,yes,yes,yes,strong_direct_signal,papers/surveys/journals_npj_artificial_intelligence/2026_ko_seven_challenges.md
wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,set1_core,attack,detailed,attack;security;malicious;compromis;injection,,yes,yes,yes,strong_direct_signal,papers/attacks/aaai/2026_wang_shadows_code.md
doi:10.1109/icca66035.2025.11431026,SPIFFE-Based Zero-Trust Authentication for AI Agent Ecosystems,set1_core,defense,metadata_only,authentication,,no,no,no,metadata_only_needs_source_check,papers/defenses/international_conferences_on_computing_advancements/2025_spiffe_based_zero_trust_authentication_for_ai_agent_ecosystems.md
doi:10.1109/icassp49660.2025.10890479,Supervisor Alignment Framework: Enhancing LLM Alignment with Query-Ignoring Strategy and Multi-Agent Interaction,set1_core,defense,metadata_only,integrity,alignment,no,no,no,metadata_only_needs_source_check,papers/defenses/icassp/2025_supervisor_alignment_framework_enhancing_llm_alignment_with_query_ignori.md
kavathekar2026tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,set1_core,evaluation,detailed,attack;adversar;exploit;propagation,safety;robust,yes,yes,yes,strong_direct_signal,papers/evaluations/acl/2026_kavathekar_tamas.md
supp_the_subtle_art_of_defection_understanding_uncooperative_behaviors_in_llm_based_m,The Subtle Art of Defection: Understanding Uncooperative Behaviors in LLM based Multi-Agent Systems,set1_core,evaluation,detailed,,,yes,yes,yes,no_direct_security_signal,papers/evaluations/eacl_industry/2026_kulshreshtha_the_subtle_art_of_defection_understanding_uncoop.md
arxiv_2509_14284,The Sum Leaks More Than Its Parts: Compositional Privacy Risks and Mitigations in Multi-Agent Collaboration,set1_core,attack,detailed,security;privacy;leak;integrity;propagation,,yes,yes,yes,strong_direct_signal,papers/attacks/arxiv/2025_patil_the_sum_leaks_more_than_its_parts_compositional.md
liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,set1_core,evaluation,detailed,attack;privacy;leak;confidential;injection,,yes,yes,yes,strong_direct_signal,papers/evaluations/findings_acl/2026_liu_topology_memory_leakage.md
raza2026trism,TRiSM for Agentic AI: A Review of Trust Risk and Security Management in LLM-based Agentic Multi-Agent Systems,set1_core,survey,detailed,security;privacy;leak,robust;governance,yes,yes,yes,strong_direct_signal,papers/surveys/journals_ai_open/2026_raza_trism.md
xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,set1_core,evaluation,detailed,attack;adversar;malicious,,no,no,no,security_named_needs_source_check,papers/evaluations/arxiv/2025_xie_whos_the_mole.md
arxiv_2512_09187,WOLF: Werewolf-based Observations for LLM Deception and Falsehoods,set1_core,evaluation,detailed,security;deception;integrity,,yes,yes,yes,strong_direct_signal,papers/evaluations/arxiv/2025_agarwal_wolf_werewolf_based_observations_for_llm_decepti.md
doi:10.56726/irjmets98584,A Literature Survey on Privacy-Preserving Multi-Agent RAG Systems with an Intelligent Tag-Inference Routing System,set1_core,survey,metadata_only,privacy;leak,,no,no,no,strong_direct_signal,papers/surveys/journals_international_research_journal_of_modernization_in_engineeri/2026_a_literature_survey_on_privacy_preserving_multi_agent_rag_systems_with_a.md
li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,set1_core,evaluation,detailed,attack;adversar;security;threat;authentication;exploit,safety,yes,yes,yes,strong_direct_signal,papers/evaluations/iclr/2026_li_a2asecbench.md
an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,set1_core,evaluation,detailed,attack;injection,,yes,yes,yes,strong_direct_signal,papers/evaluations/acl/2026_an_aciarena.md
doi:10.1109/tdsc.2026.3685256,AgentChain: Blockchain-Empowered Multi-Agent Coordination for Trustworthy LLM Question-Answering Systems,set1_core,defense,metadata_only,integrity,,no,no,no,metadata_only_needs_source_check,papers/defenses/journals_ieee_transactions_on_dependable_and_secure_computing/2026_agentchain_blockchain_empowered_multi_agent_coordination_for_trustworthy.md
elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,set1_core,evaluation,detailed,attack;privacy;leak;confidential,safety,yes,yes,yes,strong_direct_signal,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md
yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,set1_core,attack,detailed,adversar;malicious;compromis;integrity,robust,no,no,no,strong_direct_signal,papers/attacks/acl/2026_yang_among_us.md
doi:10.1109/icaic67076.2026.11395749,Architectural Resilience in AI-Driven Decision Systems under Adversarial Conditions,set1_core,defense,metadata_only,adversar;integrity;propagation,,no,no,no,metadata_only_needs_source_check,papers/defenses/international_conference_on_applied_informatics_and_communication/2026_architectural_resilience_in_ai_driven_decision_systems_under_adversarial.md
doi:10.1109/iccces62661.2026.11437027,CAPRI-DP: A Differentially Private Extension to Context-Aware Multi-Agent Privacy Frameworks,set1_core,defense,metadata_only,privacy;leak,,no,no,no,metadata_only_needs_source_check,papers/defenses/2026_5th_international_conference_on_communication_computing_and_elect/2026_capri_dp_a_differentially_private_extension_to_context_aware_multi_agent.md
doi:10.19139/soic-2310-5070-3574,Cascading Instruction Influence Indirect Prompt Injection in Hierarchical Multi-Agent Systems,set1_core,attack,metadata_only,injection;propagation,,no,no,no,strong_direct_signal,papers/attacks/statistics_optimization_information_computing/2026_cascading_instruction_influence_indirect_prompt_injection_in_hierarchica.md
wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,set1_core,attack,detailed,attack;adversar;leak;confidential,,yes,yes,yes,strong_direct_signal,papers/attacks/acl/2026_wu_cia.md
doi:10.1016/j.neunet.2026.109280,Collaborative-adversarial jailbreaking: A propagation-aware attack framework for multi-agent code generation systems.,set1_core,evaluation,metadata_only,attack;adversar;jailbreak;propagation,,no,no,no,metadata_only_needs_source_check,papers/evaluations/neural_networks/2026_collaborative_adversarial_jailbreaking_a_propagation_aware_attack_framew.md
arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,set1_core,attack,detailed,attack;compromis;vulnerab,,no,no,no,strong_direct_signal,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md
doi:10.63412/8vgf0b98,Consensus-Driven Metacognition in Multi-Agent Systems: A Logic-Based Byzantine Fault-Tolerant Protocol,set1_core,defense,metadata_only,byzantine;integrity,,no,no,no,metadata_only_needs_source_check,papers/defenses/journals_international_journal_of_global_innovations_and_solutions/2026_consensus_driven_metacognition_in_multi_agent_systems_a_logic_based_byza.md
doi:10.65109/ydmy4904,ConvPayMAS: Conversational Payment Multi-Agent System with Agent-to-Agent Protocol and Three-Mandate Verification,set1_core,defense,metadata_only,,,no,no,no,metadata_only_needs_source_check,papers/defenses/aamas/2026_convpaymas_conversational_payment_multi_agent_system_with_agent_to_agent.md
arxiv:2604.13353,Cross-Domain Query Translation for Network Troubleshooting: A Multi-Agent LLM Framework with Privacy Preservation and Self-Reflection,set1_core,general,metadata_only,privacy;leak,,no,no,no,metadata_only_needs_source_check,papers/general/2026_joint_european_conference_on_networks_and_communications_6g_summi/2026_cross_domain_query_translation_for_network_troubleshooting_a_multi_agent.md
doi:10.1609/aaai.v40i31.39812,DAWN: Distributed LLM Multi-Agent Workflow Synthesis,set1_core,general,metadata_only,leak,,no,no,no,metadata_only_needs_source_check,papers/general/aaai/2026_dawn_distributed_llm_multi_agent_workflow_synthesis.md
milkowski2026amongus,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,set1_core,evaluation,detailed,deception,,yes,yes,yes,strong_direct_signal,papers/evaluations/aamas/2026_milkowski_among_us.md
doi:10.3390/electronics15112278,Ethical Coordination of LLM Multi-Agent Systems,set1_core,defense,metadata_only,,ethical,no,no,no,metadata_only_needs_source_check,papers/defenses/electronics/2026_ethical_coordination_of_llm_multi_agent_systems.md
olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,set1_core,evaluation,detailed,deception,,yes,yes,yes,strong_direct_signal,papers/evaluations/aaai/2026_olson_liecraft.md
hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,set1_core,attack,detailed,collusion;integrity;propagation,,yes,yes,yes,strong_direct_signal,papers/attacks/acl/2026_hu_lying_truths.md
wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,set1_core,attack,detailed,attack;leak;worm;propagation;vulnerab,,no,no,no,strong_direct_signal,papers/attacks/usenix_security/2026_wang_masleak.md
supp_min_trust_a_minimum_necessary_information_trust_orchestration_framework_for_mult,MIN-Trust: A Minimum Necessary Information Trust Orchestration Framework for Multi-Agent Collaboration,set1_core,defense,detailed,leak,,yes,yes,yes,strong_direct_signal,papers/defenses/gaie_2026/2026_chen_min_trust_a_minimum_necessary_information_trust.md
doi:10.1609/aaai.v40i35.40231,MPAS: Breaking Sequential Constraints of Multi-Agent Communication Topologies via Individual-Epistemic Message Propagation,set1_core,general,metadata_only,integrity;propagation,,no,no,no,metadata_only_needs_source_check,papers/general/open_mind/2026_mpas_breaking_sequential_constraints_of_multi_agent_communication_topolo.md
doi:10.59324/ejaset.2026.4(2).16,Orchestration and Verification of Agentic AI Systems: A Survey of Multi-Agent Collaboration and Safety,set1_core,survey,metadata_only,,safety,no,no,no,metadata_only_needs_source_check,papers/surveys/journals_european_journal_of_applied_science_engineering_and_technolo/2026_orchestration_and_verification_of_agentic_ai_systems_a_survey_of_multi_a.md
doi:10.63278/jicrcr.vi.3596,Privacy-Preserving LLM Infrastructure With Multi-Agent Orchestration And RAG-Driven Retrieval,set1_core,defense,metadata_only,privacy;leak,,no,no,no,metadata_only_needs_source_check,papers/defenses/journals_journal_of_international_crisis_and_risk_communication_resea/2026_privacy_preserving_llm_infrastructure_with_multi_agent_orchestration_and.md
doi:10.1109/icetes68504.2026.11518808,RAG-Induced Failures in Multi-Agent Large Language Model Debate,set1_core,attack,metadata_only,integrity,,no,no,no,strong_direct_signal,papers/attacks/2026_1st_international_conference_on_emerging_technologies_and_enginee/2026_rag_induced_failures_in_multi_agent_large_language_model_debate.md
zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,set1_core,defense,detailed,vulnerab,,yes,yes,yes,strong_direct_signal,papers/defenses/aaai/2026_zhou_resmas.md
jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,set1_core,evaluation,detailed,collusion,drift,yes,yes,yes,strong_direct_signal,papers/evaluations/acl_system_demonstrations/2026_jiang_risklab.md
doi:10.1145/3770854.3780202,Robust LLM-based Multi-Agent System with Action Negotiation and Sharing Redundancy Enhancement,set1_core,defense,metadata_only,,robust,no,no,no,metadata_only_needs_source_check,papers/defenses/kdd/2026_robust_llm_based_multi_agent_system_with_action_negotiation_and_sharing.md
doi:10.1109/cscwd68734.2026.11582680,RoMa: A Credibility-Aware Fault-Tolerance Framework for LLM Multi-Agent Systems,set1_core,defense,metadata_only,,,no,no,no,metadata_only_needs_source_check,papers/defenses/international_conference_on_computer_supported_cooperative_work_in_des/2026_roma_a_credibility_aware_fault_tolerance_framework_for_llm_multi_agent_s.md
doi:10.71465/ajainn3659,Self-Healing Memory Architectures for Large Language Model-Based Multi-Agent Collaboration,set1_core,defense,metadata_only,integrity;propagation,,no,no,no,metadata_only_needs_source_check,papers/defenses/journals_american_journal_of_artificial_intelligence_and_neural_netwo/2026_self_healing_memory_architectures_for_large_language_model_based_multi_a.md
ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,set1_core,attack,detailed,attack;leak;authorization;integrity;taint,compliance,no,no,no,strong_direct_signal,papers/attacks/aaai_symposium/2026_ahad_semantic_intent_fragmentation.md
feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,set1_core,defense,detailed,adversar;malicious;threat;integrity,,yes,yes,yes,strong_direct_signal,papers/defenses/www/2026_feng_sentinelnet.md
xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,set1_core,evaluation,detailed,security;authorization;confidential;vulnerab,drift,yes,yes,yes,strong_direct_signal,papers/evaluations/journals_ieee_transactions_on_computational_social_systems/2026_xu_trust_paradox.md
doi:10.1109/tnse.2026.3680460,Topology Linearization for Multi-Agent Systems Security: Mitigating Malicious Propagation via Path Decomposition,set1_core,defense,metadata_only,security;malicious;propagation,,no,no,no,metadata_only_needs_source_check,papers/defenses/journals_ieee_transactions_on_network_science_and_engineering/2026_topology_linearization_for_multi_agent_systems_security_mitigating_malic.md
doi:10.38124/ijisrt/26feb1090,Trustworthy Agentic AI: A Survey and Taxonomy of Secure Coordination and Hallucination Mitigation in Multi-Agent Large Language Model Systems,set1_core,survey,metadata_only,secure;propagation,hallucination,no,no,no,strong_direct_signal,papers/surveys/journals_international_journal_of_innovative_science_and_research_tec/2026_trustworthy_agentic_ai_a_survey_and_taxonomy_of_secure_coordination_and.md
kraidia2026collaboration_fails,When collaboration fails: persuasion driven adversarial influence in multi agent large language model debate,set1_core,attack,detailed,attack;adversar;malicious;integrity,,yes,yes,yes,strong_direct_signal,papers/attacks/journals_scientific_reports/2026_kraidia_collaboration_fails.md
zhang2026embedding_defenses,When Embedding-Based Defenses Fail: Rethinking Safety in LLM-Based Multi-Agent Systems,set1_core,attack,detailed,attack;malicious;integrity;taint;propagation,safety;drift,yes,yes,yes,strong_direct_signal,papers/attacks/icml/2026_zhang_embedding_defenses.md
arxiv:2408.14972,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,set2_emerging,defense,metadata_only,secure,,no,no,no,metadata_only_needs_source_check,papers/defenses/arxiv/2024_agentmonitor_a_plug_and_play_framework_for_predictive_and_secure_multi_a.md
mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,set2_emerging,defense,detailed,byzantine;integrity,robust,yes,yes,yes,strong_direct_signal,papers/defenses/aamas/2025_mao_ibgp.md
arxiv_2508_07667,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,set2_emerging,defense,detailed,security;privacy;leak;propagation,,yes,yes,yes,strong_direct_signal,papers/defenses/llmsec_workshop/2025_li_1_2_3_check_enhancing_contextual_privacy_in_llm.md
arxiv:2504.07461,Achilles Heel of Distributed Multi-Agent Systems,set2_emerging,evaluation,metadata_only,,,no,no,no,metadata_only_needs_source_check,papers/evaluations/arxiv/2025_achilles_heel_of_distributed_multi_agent_systems.md
