artifact_id,artifact_name,artifact_type,canonical_paper_id,paper_title,primary_category,note_path,evaluation_focus,unit,denominator,metrics,availability_url,publication_status,notes
artifact_gambit,GAMBIT,adaptive detector benchmark,lemercier2026gambit,GAMBIT: A Three-Mode Benchmark for Adversarial Robustness in Multi-Agent LLM Collectives,evaluations,papers/evaluations/arxiv/2026_le_mercier_gambit.md,adaptive imposter detection,instance; mode; detector,"27,804 instances; held-out test",zero-shot; recalibration; F1,https://arxiv.org/abs/2605.09027,arXiv v2,No verified archival venue.
artifact_gammaf,GAMMAF,graph-defense benchmark framework,mateotorrejon2026gammaf,GAMMAF: A Common Framework for Graph-Based Anomaly Monitoring Benchmarking in LLM Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2026_mateo_torrejon_gammaf.md,graph anomaly detection,graph; node; round,graphs; rounds; tasks,accuracy; ASR; detection; cost,https://arxiv.org/abs/2604.24477,arXiv v1,No verified archival venue.
artifact_harp,HARP,trace-first evaluation methodology,rahman2026harp,HARP: Measuring Harm Amplification in Multi-Agent LLM Systems,evaluations,papers/evaluations/arxiv/2026_rahman_harp.md,local-to-global harm amplification,paired run; trace; event,paired traces; scenarios,global/local harm; amplification; ASR; utility,https://arxiv.org/abs/2605.27489,arXiv v1,No verified archival venue.
artifact_calbench,CalBench,coordination-privacy benchmark,zou2026calbench,CalBench: Evaluating Coordination-Privacy Trade-offs in Multi-Agent LLMs,evaluations,papers/evaluations/arxiv/2026_zou_calbench.md,private-state coordination,scenario; meeting; agent,scenarios; agents; meetings,completion; excess cost; fairness; leakage,https://arxiv.org/abs/2605.09823,arXiv v3,No verified archival venue.
artifact_colosseum,Colosseum,collusion audit framework,nakamura2026colosseum,Colosseum: Auditing Collusion in Cooperative Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2026_nakamura_colosseum.md,action and communication collusion,episode; coalition; action,episodes; coalitions; actions,regret; coalition advantage; judge,https://arxiv.org/abs/2602.15198,arXiv v2,No verified archival venue.
artifact_macbench,MAC-Bench,procedural compliance benchmark,zhao2026macbench,Beyond Goodhart's Law: A Dynamic Benchmark for Evaluating Compliance in Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2026_zhao_macbench.md,trace-level procedural compliance,scenario; trace; rule,scenarios; traces; rules,CSR; task success; compliance,https://arxiv.org/abs/2606.07805,arXiv v1,No verified archival venue.
artifact_netsafe,NetSafe,topology safety evaluation framework,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-Agent Networks,attacks,papers/attacks/findings_acl/2025_yu_netsafe.md,topology-aware safety,agent; round; network,networks; agents; rounds,joint accuracy; safety,https://aclanthology.org/2025.findings-acl.150/,Findings ACL 2025,Canonical attack note; indexed here without duplication.
artifact_mama,MAMA,memory leakage evaluation framework,liu2026topology_memory,"Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs",attacks,papers/attacks/findings_acl/2026_liu_topology_memory_leakage.md,topology-dependent leakage,run; topology; memory item,runs; items; agents,extraction; diffusion; leakage,https://aclanthology.org/2026.findings-acl.1980/,Findings ACL 2026,Canonical attack note; indexed here without duplication.
artifact_psysafe,PsySafe,psychological safety benchmark,zhang2024psysafe,PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,attacks,papers/attacks/acl/2024_zhang_psysafe.md,collective psychological safety,scenario; dialogue; agent,scenarios; dialogues; agents,danger rate; safety,https://aclanthology.org/2024.acl-long.812/,ACL 2024,Canonical attack/defense note; indexed here without duplication.
artifact_masleak,MASLEAK,IP leakage benchmark,wang2026masleak,"MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems",attacks,papers/attacks/usenix_security/2026_wang_masleak.md,IP leakage in MAS,component; trace; sensitive item,components; traces; items,extract rate; leakage,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,USENIX Security 2026,Canonical attack note; indexed here without duplication.
artifact_amongus_attack,Among Us collaboration benchmark,benchmark,yang2026among_us,"Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems",attacks,papers/attacks/acl/2026_yang_among_us.md,malicious model contributions,method; dataset; run,methods; datasets; runs,accuracy; safety degradation,https://aclanthology.org/2026.acl-long.725/,ACL 2026,Canonical attack/defense note; indexed here without duplication.
artifact_controlvalve,CFH-Hard,control-flow hijacking benchmark,jha2026control_flow_hijacking,"Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems",attacks,papers/attacks/iclr/2026_jha_control_flow_hijacking.md,delegation hijack robustness,task; framework; attack,workflows; tasks; frameworks,ASR; utility,https://openreview.net/forum?id=PNU9Rj5RDQ,ICLR 2026,Canonical attack/defense note; indexed here without duplication.
artifact_architecture_matters,Architecture Matters,architecture ablation benchmark,hagag2026architecture_matters,Architecture Matters: How Multi-Agent Design Choices Shape Safety and Performance,attacks,papers/attacks/icml/2026_hagag_architecture_matters.md,design-choice safety evaluation,configuration; benchmark; run,configurations; datasets; runs,ASR; utility; stage outcomes,https://icml.cc/virtual/2026/poster/64792,ICML 2026,Canonical attack/evaluation note; indexed here without duplication.
artifact_a2asecbench,A2ASecBench,protocol security benchmark,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,evaluations,papers/evaluations/iclr/2026_li_a2asecbench.md,A2A protocol security,attack; benign task; domain,attacks; paired trials; domains,safety; utility,https://safo-lab.github.io/A2ASecBench/,ICLR 2026,Evaluation-primary canonical record.
artifact_safeagents,SafeAgents and DHARMA,architecture-aware security framework,arora2026safeagents,Exposing Weak Links in Multi-Agent Systems under Adversarial Prompting,evaluations,papers/evaluations/aamas_workshop/2026_arora_safeagents.md,architecture-aware MAS safety,trajectory; stage; architecture,architectures; datasets; trajectories,ASR; RR; ARIA; DHARMA,https://github.com/microsoft/SafeAgents,AAMAS Strategic Engineering Workshop 2026,Evaluation-primary canonical record.
artifact_troublemaker,TMCHT,contagious-jailbreak benchmark,men2025troublemaker,"A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns",attacks,papers/attacks/acl/2025_men_troublemaker.md,propagation evaluation,seed; agent; round,line/star/population runs,propagation and task outcomes,https://aclanthology.org/2025.acl-long.859/,ACL 2025,Canonical attack note; indexed here without duplication.
artifact_master,MASTER,role/topology adaptive attack framework,zhu2025master,"MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework",attacks,papers/attacks/findings_emnlp/2025_zhu_master.md,topology-aware red-team evaluation,scenario; topology; run,seven domains; topology families; runs,ASR; role consistency; harmful cooperation,https://aclanthology.org/2025.findings-emnlp.917/,Findings EMNLP 2025,Canonical attack note; indexed here without duplication.
artifact_shadows_code,Shadows in the Code benchmark,software-development MAS benchmark,wang2026shadows_code,"Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems",attacks,papers/attacks/aaai/2026_wang_shadows_code.md,software-agent security,framework; task; run,three frameworks; synthetic requirements; runs,ASR; benign success,https://ojs.aaai.org/index.php/AAAI/article/view/41134,AAAI 2026,Canonical attack note; indexed here without duplication.
artifact_lying_truths,Generative Montage evaluation,collusion and belief-manipulation benchmark,hu2026lying_truths,"Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage",attacks,papers/attacks/acl/2026_hu_lying_truths.md,open-channel collusion,episode; agent; belief,scenario and model runs,belief manipulation; collusion,https://aclanthology.org/2026.acl-long.270/,ACL 2026,Canonical attack note; indexed here without duplication.
artifact_hierarchical_attacks,Hierarchical Attacks benchmark,multimodal MAS reasoning benchmark,zhou2026hierarchical_attacks,Hierarchical Attacks for Multi-Modal Multi-Agent Reasoning,attacks,papers/attacks/cvpr/2026_zhou_hierarchical_attacks.md,hierarchical multimodal attack,task; hierarchy; run,reasoning tasks; architectures; runs,ASR; task accuracy,https://openaccess.thecvf.com/content/CVPR2026/html/Zhou_Hierarchical_Attacks_for_Multi-Modal_Multi-Agent_Reasoning_CVPR_2026_paper.html,CVPR 2026,Canonical attack note; indexed here without duplication.
artifact_faulty_agents,Faulty-agent resilience evaluation,fault-injection benchmark,huang2025faulty_agents,On the Resilience of LLM-Based Multi-Agent Collaboration with Faulty Agents,attacks,papers/attacks/icml/2025_huang_faulty_agents.md,Byzantine/fault resilience,agent; fault fraction; task,model and fault settings,accuracy; agreement; resilience,https://proceedings.mlr.press/v267/huang25ay.html,ICML 2025,Canonical attack note; indexed here without duplication.
artifact_financial_fraud,Financial fraud scenario benchmark,collusive social-agent benchmark,ren2026financial_fraud,When AI Agents Collude Online: Financial Fraud Risks by Collaborative LLM Agents on Social Platforms,attacks,papers/attacks/iclr/2026_ren_financial_fraud.md,collusive fraud evaluation,scenario; stage; population,28 fraud scenarios; stages; runs,prevalence; success,https://openreview.net/pdf/0319815fc31bf769beeb29104637feb4c664902c.pdf,ICLR 2026,Canonical attack note; indexed here without duplication.
artifact_trust_paradox,Trust Paradox scenario suite,trust-conditioned privacy benchmark,xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,attacks,papers/attacks/journals_ieee_tcss/2026_xu_trust_paradox.md,trust and leakage,chain; sub-scene; trust level,1488 chains; 19 sub-scenes,disclosure; leakage; utility,https://doi.org/10.1109/TCSS.2026.3695070,IEEE TCSS 2026,Canonical attack note; indexed here without duplication.
artifact_prompt_infection,Prompt Infection evaluation suite,propagation benchmark,lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,attacks,papers/attacks/esorics_workshops/2026_lee_prompt_infection.md,replicating prompt injection,instruction; agent; population,120 instructions; populations 10-50,propagation; infection fraction,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_28,ESORICS 2025 Workshops,Canonical attack note; indexed here without duplication.
artifact_whos_mole,Who's the Mole benchmark,intention-hiding detection benchmark,xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,attacks,papers/attacks/arxiv/2025_xie_whos_the_mole.md,malicious-agent detection,episode; topology; dataset,three structures; six datasets,ASR; detection; accuracy,https://arxiv.org/abs/2507.04724,arXiv v1,Canonical attack note; indexed here without duplication.
artifact_collaborative_shadows,AgentBench-MAS and Multi-Role Collaboration Bench,distributed-backdoor benchmark,zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,attacks,papers/attacks/arxiv/2025_zhu_collaborative_shadows.md,distributed backdoor evaluation,task; role; run,two benchmark adaptations; runs,ASR; benign accuracy,https://arxiv.org/abs/2510.11246,arXiv v1,Canonical attack note; indexed here without duplication.
artifact_dont_trust_upstream,Topology-guided propagation benchmark,adversarial propagation benchmark,liang2025_dont_trust_upstream,Don't Trust Your Upstream: Exploiting LLM Multi-Agent System via Topology-Guided Adversarial Propagation,attacks,papers/attacks/arxiv/2025_liang_dont_trust_upstream.md,topology propagation,framework; topology; workload,three frameworks; five topologies; two workloads,ASR; blocking; overhead,https://arxiv.org/abs/2512.04129,arXiv v1,Canonical attack note; indexed here without duplication.
artifact_blindguard,BlindGuard evaluation protocol,defense evaluation protocol,miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,defenses,papers/defenses/acl/2026_miao_blindguard.md,unknown-attack defense,agent; graph; round,"3 attack families; 4 topologies; 3 backbones",ASR@3; detection AUC,https://github.com/MR9812/BlindGuard,ACL 2026,Canonical defense note; protocol reuses existing datasets and is not relabeled as a new benchmark.
artifact_medsentry,MedSentry,benchmark dataset and attack-defense pipeline,chen2025medsentry,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2025_chen_medsentry.md,medical insider safety,prompt; topology; run,"5000 prompts; 25 topics; 100 subtopics; runs",LCS; RS; utility; cost,https://anonymous.4open.science/r/MedSentry-0CD8/,arXiv v1; ICLR 2026 submission,Evaluation-primary canonical record; no accepted ICLR version verified.
artifact_badacts,BAD-ACTS,benchmark dataset and executable environments,nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,evaluations,papers/evaluations/colm/2026_nother_bad_acts.md,malicious-member harmful actions,action; environment; run,"937 harmful actions; 5 environments; runs",harmful-action success; task outcome,https://github.com/JNoether/BAD-ACTS,COLM 2026,Evaluation-primary canonical record; accepted version supersedes the smaller arXiv version.
artifact_sgoatmas,SGoatMAS evaluation protocol,topology and attribution attack evaluation,xiao2026sgoatmas,You Don't Have to Be the One Doing Evil! Locate a Scapegoat within Multi-Agent Systems for Executing Covert Attacks,attacks,papers/attacks/fedkdd_workshop/2026_xiao_sgoatmas.md,covert scapegoating attack,task; topology; attacker position,"5 datasets; 3 topologies; positions",accuracy; detection rate; scapegoat accuracy; VRR,https://openreview.net/forum?id=CIRI47rmLQ,FedKDD/FedMAS 2026 Oral,Canonical attack note; evaluation protocol indexed without duplication.
artifact_misinfotask,MisinfoTask,dataset and defense evaluation,li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,defenses,papers/defenses/arxiv/2025_li_argus.md,goal-aware misinformation injection and rectification,task; claim; attack run,complex tool-oriented tasks and injection runs,ASR; identification; rectification; task performance,https://arxiv.org/abs/2506.00509,arXiv v1,Defense-primary canonical note; named evaluation dataset indexed without duplicating the paper note.
artifact_alteda_traces,ALTEDA cross-layer trace corpus,generated telemetry dataset,rabieinejad2026alteda,ALTEDA: An Adaptive Layered Threat Detection Architecture for Multi-Agent Systems,defenses,papers/defenses/journals_information_processing_management/2026_rabieinejad_alteda.md,cross-layer attack detection,execution trace,800 synchronized application network and system traces,detection performance; false alarms; earliest detection point,https://doi.org/10.1016/j.ipm.2026.104768,Information Processing & Management 2026,Defense-primary canonical note; publication page is indexed because a separate artifact URL was not verified.
artifact_colludebench_v0,ColludeBench-v0,benchmark and audit harness,tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,defenses,papers/defenses/arxiv/2025_tailor_audit_whisper.md,steganographic collusion detection,paired run; transcript; outcome,collusive and control interactions,detection power; false positives; KL diagnostics; fairness,https://arxiv.org/abs/2510.04303,arXiv v2,Defense-primary canonical note; named benchmark indexed without duplicating the paper note.
