work_key,canonical_paper_id,title,identifier_type,identifier,identifier_status,observed_in_routes
arxiv:2404.02532,,Learn to Disguise: Avoid Refusal Responses in LLM's Defense via a Multi-agent Attacker-Disguiser Game,arxiv,2404.02532,canonical,broad:arxiv:2404.02532;search:arxiv:2404.02532;targeted:arxiv:2404.02532
arxiv:2404.10209,,Demonstration of DB-GPT: Next Generation Data Interaction System Empowered by Large Language Models,arxiv,2404.10209,canonical,search:doi:10.14778/3685800.3685876
arxiv:2404.12135,,mABC: multi-Agent Blockchain-Inspired Collaboration for root cause analysis in micro-services architecture,arxiv,2404.12135,canonical,search:arxiv:2404.12135
arxiv:2405.04294,,Enhancing the Efficiency and Accuracy of Underlying Asset Reviews in Structured Finance: The Application of Multi-agent Framework,arxiv,2405.04294,canonical,search:arxiv:2405.04294
arxiv:2405.05955,,Smurfs: Multi-Agent System using Context-Efficient DFSDT for Tool Planning,arxiv,2405.05955,canonical,search:doi:10.18653/v1/2025.naacl-long.169
arxiv:2405.12604,,Tiny Refinements Elicit Resilience: Toward Efficient Prefix-Model Against LLM Red-Teaming,arxiv,2405.12604,canonical,broad:arxiv:2405.12604;search:arxiv:2405.12604;targeted:arxiv:2405.12604
arxiv:2405.17439,,An Overview of Machine Learning-Enabled Optimization for Reconfigurable Intelligent Surfaces-Aided 6G Networks: From Reinforcement Learning to Large Language Models,arxiv,2405.17439,canonical,search:arxiv:2405.17439
arxiv:2405.18111,,ATM: Adversarial Tuning Multi-agent System Makes a Robust Retrieval-Augmented Generator,arxiv,2405.18111,canonical,broad:doi:10.18653/v1/2024.emnlp-main.610;peerfirst:doi:10.18653/v1/2024.emnlp-main.610;search:doi:10.18653/v1/2024.emnlp-main.610;targeted:doi:10.18653/v1/2024.emnlp-main.610;venue:emnlp_main:10_18653_v1_2024_emnlp_main_610
arxiv:2405.19802,,Exploring the Robustness of Decision-Level Through Adversarial Attacks on LLM-Based Embodied Models,arxiv,2405.19802,canonical,search:doi:10.1145/3664647.3680616
arxiv:2405.20455,,DepsRAG: Towards Agentic Reasoning and Planning for Software Dependency Management,arxiv,2405.20455,canonical,search:arxiv:2405.20455
arxiv:2406.01364,,BELLS: A Framework Towards Future Proof Benchmarks for the Evaluation of LLM Safeguards,arxiv,2406.01364,canonical,search:arxiv:2406.01364
arxiv:2406.04481,,Optimizing Autonomous Driving for Safety: A Human-Centric Approach with LLM-Enhanced RLHF,arxiv,2406.04481,canonical,search:doi:10.1145/3675094.3677588
arxiv:2406.05381,,Experimenting with Multi-Agent Software Development: Towards a Unified Platform,arxiv,2406.05381,canonical,search:arxiv:2406.05381
arxiv:2406.05651,,A Superalignment Framework in Autonomous Driving with Large Language Models,arxiv,2406.05651,canonical,broad:doi:10.1109/iv55156.2024.10588403;peerfirst:doi:10.1109/iv55156.2024.10588403;search:doi:10.1109/iv55156.2024.10588403;targeted:doi:10.1109/iv55156.2024.10588403;venue:2024_ieee_intelligent_vehicles_symposium_iv:10_1109_iv55156_2024_10588403
arxiv:2406.06211,,iMotion-LLM: Motion Prediction Instruction Tuning,arxiv,2406.06211,canonical,search:arxiv:2406.06211
arxiv:2406.10521,,MALLM-GAN: Multi-Agent Large Language Model as Generative Adversarial Network for Synthesizing Tabular Data,arxiv,2406.10521,canonical,search:doi:10.18653/v1/2026.findings-acl.7
arxiv:2406.14373,,Artificial Leviathan: exploring social evolution of LLM agents through the lens of hobbesian social contract theory,arxiv,2406.14373,canonical,search:doi:10.3389/fphy.2026.1700712
ju2026flooding,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,arxiv,2407.07791,canonical,broad:doi:10.1007/s11432-024-4663-2;peerfirst:doi:10.1007/s11432-024-4663-2;search:doi:10.1007/s11432-024-4663-2;targeted:doi:10.1007/s11432-024-4663-2;venue:science_china_information_sciences:10_1007_s11432_024_4663_2
arxiv:2407.09295,,"Systematic Categorization, Construction and Evaluation of New Attacks against Multi-modal Mobile GUI Agents",arxiv,2407.09295,canonical,search:arxiv:2407.09295
arxiv:2407.09897,,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,arxiv,2407.09897,canonical,broad:arxiv:2407.09897;peerfirst:arxiv:2407.09897;search:arxiv:2407.09897;venue:colm_2024:10_48550_arxiv_2407_09897
arxiv:2407.12532,,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,arxiv,2407.12532,canonical,broad:arxiv:2407.12532;peerfirst:arxiv:2407.12532;search:arxiv:2407.12532
arxiv:2407.14239,,KoMA: Knowledge-Driven Multi-Agent Framework for Autonomous Driving With Large Language Models,arxiv,2407.14239,canonical,search:doi:10.1109/tiv.2024.3488793
arxiv:2407.15073,,Multi-Agent Causal Discovery Using Large Language Models,arxiv,2407.15073,canonical,search:arxiv:2407.15073
arxiv:2407.16667,,RedAgent: Red Teaming Large Language Models with Context-aware Autonomous Language Agent,arxiv,2407.16667,canonical,search:arxiv:2407.16667
zhang2025breaking_agents,zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,arxiv,2407.20859,canonical,broad:doi:10.48448/m2r6-kd98;peerfirst:doi:10.48448/m2r6-kd98;search:doi:10.48448/m2r6-kd98;targeted:doi:10.48448/m2r6-kd98;venue:emnlp:10_18653_v1_2025_emnlp_main_1771
arxiv:2408.03624,,AgentsCoMerge: Large Language Model Empowered Collaborative Decision Making for Ramp Merging,arxiv,2408.03624,canonical,search:doi:10.1109/tmc.2025.3564163
arxiv:2408.12142,,MDD-5k: A New Diagnostic Conversation Dataset for Mental Disorders Synthesized via Neuro-Symbolic LLM Agents,arxiv,2408.12142,canonical,search:doi:10.1609/aaai.v39i24.34763
arxiv:2408.13296,,"The Ultimate Guide to Fine-Tuning LLMs from Basics to Breakthroughs: An Exhaustive Review of Technologies, Research, Best Practices, Applied Research Challenges and Opportunities",arxiv,2408.13296,canonical,search:arxiv:2408.13296
arxiv:2408.13406,,Collaboration Dynamics and Reliability Challenges of Multi-Agent LLM Systems in Finite Element Analysis,arxiv,2408.13406,canonical,broad:arxiv:2408.13406;search:arxiv:2408.13406;targeted:arxiv:2408.13406
arxiv:2408.14972,,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,arxiv,2408.14972,canonical,broad:arxiv:2408.14972;search:arxiv:2408.14972;targeted:arxiv:2408.14972
arxiv:2409.03440,,Rx Strategist: Prescription Verification using LLM Agents System,arxiv,2409.03440,canonical,search:arxiv:2409.03440
arxiv:2409.03789,,BreachSeek: A Multi-Agent Automated Penetration Tester,arxiv,2409.03789,canonical,search:arxiv:2409.03789
arxiv:2409.09575,,Traffic Scene Generation from Natural Language Description for Autonomous Vehicles with Large Language Model,arxiv,2409.09575,canonical,search:arxiv:2409.09575
arxiv:2409.10737,,AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing,arxiv,2409.10737,canonical,search:arxiv:2409.10737
arxiv:2409.11393,,LLM-Agent-UMF: LLM-based Agent Unified Modeling Framework for Seamless Design of Multi Active/Passive Core-Agent Architectures,arxiv,2409.11393,canonical,search:doi:10.1016/j.inffus.2025.103865
arxiv:2409.11690,,ID-Free Not Risk-Free: LLM-Powered Agents Unveil Risks in ID-Free Recommender Systems,arxiv,2409.11690,canonical,search:doi:10.1145/3726302.3730003
arxiv:2409.14177,,PathSeeker: Exploring LLM Security Vulnerabilities with a Reinforcement Learning-Based Jailbreak Approach,arxiv,2409.14177,canonical,search:arxiv:2409.14177
arxiv:2410.00031,,Strategic Collusion of LLM Agents: Market Division in Multi-Commodity Competitions,arxiv,2410.00031,canonical,search:arxiv:2410.00031
arxiv:2410.02026,,Zodiac: A Cardiologist-Level LLM Framework for Multi-Agent Diagnostics,arxiv,2410.02026,canonical,search:arxiv:2410.02026
arxiv:2410.02506,,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,arxiv,2410.02506,canonical,broad:arxiv:2410.02506;peerfirst:arxiv:2410.02506;search:arxiv:2410.02506;targeted:arxiv:2410.02506;venue:international_conference_on_learning_representations:arxiv_2410_02506
arxiv:2410.04663,,"Debate, Deliberate, Decide (D3): A Cost-Aware Adversarial Framework for Reliable and Interpretable LLM Evaluation",arxiv,2410.04663,canonical,broad:doi:10.18653/v1/2026.eacl-long.392;peerfirst:doi:10.18653/v1/2026.eacl-long.392;search:doi:10.18653/v1/2026.eacl-long.392;targeted:doi:10.18653/v1/2026.eacl-long.392;venue:eacl_long:10_18653_v1_2026_eacl_long_392
arxiv:2410.06949,,Towards Exception Safety Code Generation with Intermediate Representation Agents Framework,arxiv,2410.06949,canonical,search:arxiv:2410.06949
lee2026prompt_infection,lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,arxiv,2410.07283,canonical,broad:doi:10.1007/978-3-032-16092-8_28;peerfirst:doi:10.1007/978-3-032-16092-8_28;search:doi:10.1007/978-3-032-16092-8_28;targeted:doi:10.1007/978-3-032-16092-8_28;venue:esorics_2025_international_workshops:10_1007_978_3_032_16092_8_28
arxiv:2410.09024,,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,arxiv,2410.09024,canonical,search:arxiv:2410.09024
arxiv:2410.09381,,LLM-SmartAudit: Advanced Smart Contract Vulnerability Detection,arxiv,2410.09381,canonical,search:arxiv:2410.09381
arxiv:2410.09407,,CAMPHOR: Collaborative Agents for Multi-input Planning and High-Order Reasoning On Device,arxiv,2410.09407,canonical,search:arxiv:2410.09407
arxiv:2410.09414,,Multi-Agent Assisted Automatic Test Generation for Java JSON Libraries,arxiv,2410.09414,canonical,search:doi:10.1109/apsec66846.2025.00064
arxiv:2410.11782,,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,arxiv,2410.11782,canonical,search:arxiv:2410.11782
arxiv:2410.12475,,Aegis:An Advanced LLM-Based Multi-Agent for Intelligent Functional Safety Engineering,arxiv,2410.12475,canonical,search:doi:10.18653/v1/2024.emnlp-industry.115
arxiv:2410.12848,,Prompt Engineering a Schizophrenia Chatbot: Utilizing a Multi-Agent Approach for Enhanced Compliance with Prompt Instructions,arxiv,2410.12848,canonical,search:arxiv:2410.12848
arxiv:2410.12855,,JAILJUDGE: A Comprehensive Jailbreak Judge Benchmark with Multi-Agent Enhanced Explanation Evaluation Framework,arxiv,2410.12855,canonical,search:arxiv:2410.12855
arxiv:2410.13909,,Large Language Model-driven Multi-Agent Simulation for News Diffusion Under Different Network Structures,arxiv,2410.13909,canonical,search:arxiv:2410.13909
arxiv:2410.13918,,FTSmartAudit: A Knowledge Distillation-Enhanced Framework for Automated Smart Contract Auditing Using Fine-Tuned LLMs,arxiv,2410.13918,canonical,search:arxiv:2410.13918
arxiv:2410.14209,,Agents4PLC: Automating Closed-Loop PLC Code Generation and Verification in Industrial Control Systems Using LLM-Based Agents,arxiv,2410.14209,canonical,search:doi:10.1109/tse.2026.3667895
arxiv:2410.14251,,Synthesizing Post-Training Data for LLMs through Multi-Agent Simulation,arxiv,2410.14251,canonical,search:arxiv:2410.14251
supp_teaching_models_to_balance_resisting_and_accepting_persuasion,supp_teaching_models_to_balance_resisting_and_accepting_persuasion,Teaching Models to Balance Resisting and Accepting Persuasion,arxiv,2410.14596,canonical,broad:arxiv:2410.14596;peerfirst:arxiv:2410.14596;search:arxiv:2410.14596;targeted:arxiv:2410.14596;venue:naacl_2025:10_18653_v1_2025_naacl_long_412
arxiv:2410.14989,,AutoFPDesigner: Automated Flight Procedure Design Based on Multi-Agent Large Language Model,arxiv,2410.14989,canonical,search:doi:10.1109/tits.2025.3631667
arxiv:2410.15236,,Jailbreaking and Mitigation of Vulnerabilities in Large Language Models,arxiv,2410.15236,canonical,search:doi:10.63336/eureka.47
arxiv:2410.15528,,Improving Clinical Documentation with AI: A Comparative Study of Sporo AI Scribe and GPT-4o mini,arxiv,2410.15528,canonical,search:arxiv:2410.15528
yu2025netsafe,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,arxiv,2410.15686,canonical,broad:doi:10.18653/v1/2025.findings-acl.150;peerfirst:doi:10.18653/v1/2025.findings-acl.150;search:arxiv:2410.15686;targeted:doi:10.18653/v1/2025.findings-acl.150;venue:findings_of_acl:10_18653_v1_2025_findings_acl_150
men2025troublemaker,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,arxiv,2410.16155,canonical,broad:arxiv:2410.16155;search:arxiv:2410.16155;targeted:arxiv:2410.16155
mao2025ibgp,mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,arxiv,2410.16237,canonical,search:arxiv:2410.16237;structured-exclude:mao2024ibgp_preprint
arxiv:2410.17922,,Dynamic Guided and Domain Applicable Safeguards for Enhanced Security in Large Language Models,arxiv,2410.17922,canonical,search:arxiv:2410.17922
arxiv:2410.19000,,Make LLMs better zero-shot reasoners: Structure-orientated autonomous reasoning,arxiv,2410.19000,canonical,broad:arxiv:2410.19000;search:arxiv:2410.19000;targeted:arxiv:2410.19000
arxiv:2410.22932,,Multi-Agent Large Language Models for Conversational Task-Solving,arxiv,2410.22932,canonical,broad:arxiv:2410.22932;peerfirst:arxiv:2410.22932;search:arxiv:2410.22932;targeted:arxiv:2410.22932
arxiv:2410.24152,,Language-Driven Policy Distillation for Cooperative Driving in Multi-Agent Reinforcement Learning,arxiv,2410.24152,canonical,search:doi:10.1109/lra.2025.3551098
arxiv:2411.00188,,Building Multi-Agent Copilot towards Autonomous Agricultural Data Management and Analysis,arxiv,2411.00188,canonical,search:doi:10.1109/bigdata62323.2024.10826038
arxiv:2411.03814,,MRJ-Agent: An Effective Jailbreak Agent for Multi-Round Dialogue,arxiv,2411.03814,canonical,search:arxiv:2411.03814
arxiv:2411.05185,,PentestAgent: Incorporating LLM Agents to Automated Penetration Testing,arxiv,2411.05185,canonical,search:doi:10.1145/3708821.3733882
arxiv:2411.13932,,XAgents: A Framework for Interpretable Rule-Based Multi-Agents Cooperation,arxiv,2411.13932,canonical,search:arxiv:2411.13932
arxiv:2411.14033,,LLM-based Multi-Agent Systems: Techniques and Business Perspectives,arxiv,2411.14033,canonical,search:arxiv:2411.14033
arxiv:2412.03359,,WiS Platform: Enhancing Evaluation of LLM-Based Multi-Agent Systems Through Game-Based Analysis,arxiv,2412.03359,canonical,search:arxiv:2412.03359
arxiv:2412.03847,,Educational-Psychological Dialogue Robot Based on Multi-Agent Collaboration,arxiv,2412.03847,canonical,search:arxiv:2412.03847
arxiv:2412.04415,,Targeting the Core: A Simple and Effective Method to Attack RAG-based Agents via Direct LLM Manipulation,arxiv,2412.04415,canonical,search:arxiv:2412.04415
arxiv:2412.08014,,MAGIC: Mastering Physical Adversarial Generation in Context through Collaborative LLM Agents,arxiv,2412.08014,canonical,search:doi:10.1609/aaai.v40i13.38095
arxiv:2412.11014,,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,arxiv,2412.11014,canonical,broad:arxiv:2412.11014;peerfirst:arxiv:2412.11014;search:arxiv:2412.11014
arxiv:2412.11713,,Seeker: Towards Exception Safety Code Generation with Intermediate Language Agents Framework,arxiv,2412.11713,canonical,search:arxiv:2412.11713
arxiv:2412.12166,,Performance of a large language model-Artificial Intelligence based chatbot for counseling patients with sexually transmitted infections and genital diseases,arxiv,2412.12166,canonical,search:arxiv:2412.12166
arxiv:2412.12196,,TrendSim: Simulating Trending Topics in Social Media Under Poisoning Attacks with LLM-based Multi-agent System,arxiv,2412.12196,canonical,search:doi:10.18653/v1/2025.findings-naacl.160
arxiv:2412.13178,,SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,arxiv,2412.13178,canonical,search:arxiv:2412.13178
arxiv:2412.16633,,POEX: Towards Policy Executable Jailbreak Attacks Against the LLM-based Robots,arxiv,2412.16633,canonical,search:arxiv:2412.16633
arxiv:2501.00055,,LLM-Virus: Evolutionary Jailbreak Attack on Large Language Models,arxiv,2501.00055,canonical,search:arxiv:2501.00055
arxiv:2501.03265,,Cognitive Edge Computing: A Comprehensive Survey on Optimizing Large Models and AI Agents for Pervasive Deployment,arxiv,2501.03265,canonical,search:arxiv:2501.03265
arxiv:2501.07811,,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,arxiv,2501.07811,canonical,broad:arxiv:2501.07811;peerfirst:arxiv:2501.07811;search:arxiv:2501.07811
arxiv:2501.08243,,Engineering LLM Powered Multi-Agent Framework for Autonomous CloudOps,arxiv,2501.08243,canonical,search:doi:10.1109/cain66642.2025.00031
arxiv:2501.10385,,Autonomous Microscopy Experiments through Large Language Model Agents,arxiv,2501.10385,canonical,broad:arxiv:2501.10385;search:arxiv:2501.10385;targeted:arxiv:2501.10385
arxiv:2501.14737,,EvalSVA: Multi-Agent Evaluators for Next-Gen Software Vulnerability Assessment,arxiv,2501.14737,canonical,search:arxiv:2501.14737
arxiv:2501.16466,,Incalmo: An Autonomous LLM-assisted System for Red Teaming Multi-Host Networks,arxiv,2501.16466,canonical,search:arxiv:2501.16466
arxiv:2501.18712,,Invisible Traces: Using Hybrid Fingerprinting to identify underlying LLMs in GenAI Apps,arxiv,2501.18712,canonical,search:arxiv:2501.18712
arxiv:2501.19204,,Autonomous Legacy Web Application Upgrades Using a Multi-Agent System,arxiv,2501.19204,canonical,search:doi:10.5220/0013397200003928
arxiv:2502.00406,,Agents Are All You Need for LLM Unlearning,arxiv,2502.00406,canonical,search:arxiv:2502.00406
arxiv:2502.00728,,Meta-Prompt Optimization for LLM-Based Sequential Decision Making,arxiv,2502.00728,canonical,search:arxiv:2502.00728
rosser2025agentbreeder,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,arxiv,2502.00757,canonical,broad:arxiv:2502.00757;peerfirst:arxiv:2502.00757;search:arxiv:2502.00757;structured-exclude:rosser2025agentbreeder_preprint;targeted:arxiv:2502.00757;venue:neurips:arxiv_2502_00757
arxiv:2502.06060,,Training Language Models for Social Deduction with Multi-Agent Reinforcement Learning,arxiv,2502.06060,canonical,search:doi:10.65109/phjj9903
arxiv:2502.07942,,Symbiotic Cooperation for Web Agents: Harnessing Complementary Strengths of Large and Small LLMs,arxiv,2502.07942,canonical,search:arxiv:2502.07942
arxiv:2502.10931,,D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security,arxiv,2502.10931,canonical,search:arxiv:2502.10931
wang2025gsafeguard,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,arxiv,2502.11127,canonical,broad:arxiv:2502.11127;peerfirst:arxiv:2502.11127;search:arxiv:2502.11127;targeted:arxiv:2502.11127;venue:acl:10_18653_v1_2025_acl_long_359
arxiv:2502.11645,,"Deviation Ratings: A General, Clone-Invariant Rating Method",arxiv,2502.11645,canonical,search:arxiv:2502.11645
arxiv:2502.11799,,Table-Critic: A Multi-Agent Framework for Collaborative Criticism and Refinement in Table Reasoning,arxiv,2502.11799,canonical,search:arxiv:2502.11799
arxiv:2502.12575,,DemonAgent: Dynamically Encrypted Multi-Backdoor Implantation Attack on LLM-based Agent,arxiv,2502.12575,canonical,search:doi:10.18653/v1/2025.findings-emnlp.157
arxiv:2502.12630,,Automating Prompt Leakage Attacks on Large Language Models Using Agentic Approach,arxiv,2502.12630,canonical,broad:doi:10.1109/mipro65660.2025.11131790;search:doi:10.1109/mipro65660.2025.11131790;targeted:doi:10.1109/mipro65660.2025.11131790
arxiv:2502.13001,,You need to MIMIC to get FAME: Solving Meeting Transcript Scarcity with a Multi-Agent Conversations,arxiv,2502.13001,canonical,search:arxiv:2502.13001
arxiv:2502.14321,,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,arxiv,2502.14321,canonical,search:doi:10.1007/s11704-026-50857-y
zhou2026corba,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,arxiv,2502.14529,canonical,broad:doi:10.18653/v1/2026.findings-acl.342;peerfirst:doi:10.18653/v1/2026.findings-acl.342;search:doi:10.18653/v1/2026.findings-acl.342;targeted:doi:10.18653/v1/2026.findings-acl.342;venue:findings_of_acl:10_18653_v1_2026_findings_acl_342
he2025communication_attacks,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,arxiv,2502.14847,canonical,broad:doi:10.18653/v1/2025.findings-acl.349;peerfirst:doi:10.18653/v1/2025.findings-acl.349;search:doi:10.18653/v1/2025.findings-acl.349;targeted:doi:10.18653/v1/2025.findings-acl.349;venue:findings_of_acl:10_18653_v1_2025_findings_acl_349
arxiv:2502.15429,,Pub-Guard-LLM: Detecting Retracted Biomedical Articles with Reliable Explanations,arxiv,2502.15429,canonical,search:arxiv:2502.15429
arxiv:2502.15871,,A Comprehensive Survey on the Trustworthiness of Large Language Models in Healthcare,arxiv,2502.15871,canonical,search:arxiv:2502.15871
supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",arxiv,2502.16242,canonical,broad:arxiv:2502.16242;peerfirst:arxiv:2502.16242;search:arxiv:2502.16242;targeted:arxiv:2502.16242;venue:transactions_on_machine_learning_research:arxiv_2502_16242
arxiv:2502.16750,,Guardians of the Agentic System: Preventing Many Shots Jailbreak with Agentic System,arxiv,2502.16750,canonical,search:arxiv:2502.16750
arxiv:2502.16804,,Multi-Agent Autonomous Driving Systems with Large Language Models: A Survey of Recent Advances,arxiv,2502.16804,canonical,search:arxiv:2502.16804
arxiv:2502.16863,,Leveraging Large Language Models for Effective and Explainable Multi-Agent Credit Assignment,arxiv,2502.16863,canonical,search:doi:10.65109/nokw1037
