work_key,title,evidence_set,dominant_contribution,venue,paper_path,note_status,system_studied,multi_agent_dependency,threat_actor,attack_or_failure,defense,evaluation,sok_relevance,security_terms,weak_terms,preliminary_tier,final_verdict,final_reason
supp_comet_metaphor_driven_covert_communication_for_multi_agent_language_games,CoMet: Metaphor-Driven Covert Communication for Multi-Agent Language Games,set1_core,attack,ACL 2025,papers/attacks/acl_2025/2025_xu_comet_metaphor_driven_covert_communication_for_m.md,detailed_unreviewed,Not yet extracted at claim level from the canonical full text.,"Imported corpus characterization, pending author signoff: Multiple agents establish covert communication through metaphor in language games.",Not yet extracted.,Not yet extracted.,Not yet extracted.,,Do not infer a fixed taxonomy from this imported placement.,attack;security;threat,,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
arxiv:2603.15727,AgentWorm: Self-Propagating Attacks Across LLM Agent Ecosystems,set2_emerging,attack,,papers/attacks/arxiv/2026_agentworm_self_propagating_attacks_across_llm_agent_ecosystems.md,metadata_only,,,,,,,,attack;worm,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
arxiv:2504.16489,Amplified Vulnerabilities: Structured Jailbreak Attacks on LLM-based Multi-Agent Debate,set2_emerging,attack,arXiv.org,papers/attacks/arxiv/2025_amplified_vulnerabilities_structured_jailbreak_attacks_on_llm_based_mult.md,metadata_only,,,,,,,,attack;integrity;jailbreak,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
arxiv:2605.05632,Architecture Matters: Comparing RAG Systems under Knowledge Base Poisoning,set2_emerging,attack,arXiv.org,papers/attacks/arxiv/2026_architecture_matters_comparing_rag_systems_under_knowledge_base_poisonin.md,metadata_only,,,,,,,,attack;integrity;poison,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
arxiv:2605.22001,Blind Spots in the Guard: How Domain-Camouflaged Injection Attacks Evade Detection in Multi-Agent LLM Systems,set2_emerging,attack,arXiv.org,papers/attacks/arxiv/2026_blind_spots_in_the_guard_how_domain_camouflaged_injection_attacks_evade.md,metadata_only,,,,,,,,attack;injection;integrity,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
arxiv:2606.07790,Byzantine Cheap Talk: Adversarial Resilience and Topology Effects in LLM Coordination Games,set2_emerging,attack,arXiv (Cornell University),papers/attacks/arxiv/2026_byzantine_cheap_talk_adversarial_resilience_and_topology_effects_in_llm.md,metadata_only,,,,,,,,adversar;attack;byzantine,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,set2_emerging,attack,arXiv,papers/attacks/arxiv/2025_zhu_collaborative_shadows.md,detailed_unreviewed,"Tool-using, role-specialized MAS in which public and private tools are invoked in a workflow sequence to solve database and multi-role collaboration tasks.",The backdoor is split across tools owned or invoked by different agents; each primitive is dormant alone and the payload assembles only under a designated cross-agent collaboration sequence.,,"- Attack surface: tool supply chain, role-private capabilities, public tools, and cross-agent invocation order. - Attack mechanism: conditional primitives distributed among tools activate and assemble a final payload only after the trigger sequence. - System-level failure: compositional authorization and confidentiality failure. - Security consequence: targeted behavior such as data exfiltration with little effect on benign-task accuracy.","- Defense mechanism: Not proposed as a complete defense. - Intervention point: Not applicable. - Required observability: detecting the full backdoor would require cross-tool, cross-agent provenance and sequence visibility. - Assumptions: local tool inspection sees no independently active payload. - Limitations: benchmark tool suites and attack primitives are constructed in a sandbox and do not establish prevalence in deployed systems.","- Evaluated systems: a sandboxed MAS using several contemporary LLMs. - Agent configuration: role-specific agents with public and private tool sets. - Dataset or environment: AgentBench-MAS (DB), Multi-Role Collaboration Bench, and a MultiAgentBench subset. - Baselines: clean tools, poisoned tools without the trigger, and ablations that remove attack components. - Metrics: attack success rate, benign accuracy, and accidental trigger rate. - Main results: ASR exceeds 98% on AgentBench-MAS (DB) and 95% on the Multi-Role benchmark for the main evaluated models, while benign accuracy is nearly unchanged.","- Included concepts: distributed authority, private tools, invocation sequence, dormant primitives, provenance, and sandboxed execution. - Taxonomy implications: primitive distribution and sequence are mechanisms and preconditions; unauthorized global action is the failure property. - Supported research questions: whether local scanning composes into protection when authority and payload fragments are distributed. - Important limitations: preprint status, synthetic tasks, and low baseline capability on the MultiAgentBench subset constrain external validity.",adversar;attack;authorization;backdoor;confidential;integrity;poison;security;threat,,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
zheng2025integrity_attacks,Demonstrations of Integrity Attacks in Multi-Agent Systems,set2_emerging,attack,arXiv,papers/attacks/arxiv/2025_zheng_integrity_attacks.md,detailed_unreviewed,"CAMEL, AutoGen, and MetaGPT workflows with role-specialized agents and an LLM-based monitor that scores individual and collective contributions.","The attacks exploit contribution attribution, workload transfer, tool promotion, and reputation signals that exist only among collaborating members and monitors.",,"- Attack surface: peer messages, shared work products, tool recommendations, and contribution-evaluation prompts. - Attack mechanism: bias peers toward an attacker-selected tool, offload work, shift blame, or inflate self-credit. - System-level failure: attribution, incentive, and coordination integrity fail while end-task functionality may remain intact. - Security consequence: unfair benefits, distorted evaluation, biased tool use, or hidden resource transfer among agents.",- Defense mechanism: explicit defensive instructions for the monitor and a limited o3-mini monitor evaluation. - Intervention point: post-hoc contribution evaluation. - Required observability: full conversation history and role assignments. - Assumptions: a stronger or better-prompted monitor can infer responsibility. - Limitations: the tested monitors remain vulnerable; no preventive enforcement mechanism is established.,"- Evaluated systems: CAMEL, AutoGen, and MetaGPT. - Agent configuration: native role workflows augmented with malicious members and a GPT-4o-mini monitor by default. - Dataset or environment: HumanEval, mathematical tasks, MMLU-style knowledge, and CIAR retrieval questions. - Baselines: benign workflows and monitor-prompt/model variants. - Metrics: task performance plus personal and collective contribution scores. - Main results: all four attacks manipulate at least one intended system signal; Tables 1-3 show large score shifts that depend on framework and task.","- Included concepts: malicious member, role authority, contribution scoring, free-riding, monitor manipulation, and tool influence. - Taxonomy implications: the four strategies are mechanisms; their outcomes map to decision, authorization, and resource-accounting integrity. - Supported research questions: whether transcript-only monitors can attribute responsibility in role-structured collaboration. - Important limitations: academic frameworks, templated role attacks, and incomplete industrial controls limit external validity.",attack;authorization;exploit;integrity;malicious;security;threat,,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
liang2025_dont_trust_upstream,Don't Trust Your Upstream: Exploiting LLM Multi-Agent System via Topology-Guided Adversarial Propagation,set2_emerging,attack,arXiv,papers/attacks/arxiv/2025_liang_dont_trust_upstream.md,detailed_unreviewed,"Tool-using MAS deployed as tree, chain, star, ring, or mesh topologies in Magentic-One, LangManus, and OWL, plus two end-to-end applications.","The attacker starts at an externally exposed edge agent, reconstructs the hidden communication graph, and plans a multi-hop path to a privileged internal agent.",,"- Attack surface: exposed tools, hidden communication edges, delegated tasks, and downstream trust. - Attack mechanism: infer topology, select an entry-to-target path, and adapt payloads that survive relay to a privileged agent. - System-level failure: propagation containment and compositional authority fail. - Security consequence: irrelevant or destructive actions, including privileged filesystem or command operations.","- Defense mechanism: T-Guard combines edge-environment validation with a topology trust evaluator and dynamic permissions. - Intervention point: edge content, communication edges, and access control. - Required observability: topology, trust signals, and downstream action context. - Assumptions: a trusted enforcement component can reduce permissions or block suspicious paths. - Limitations: the defense is presented as a concept and evaluated in the same benchmark family as the attack.","- Evaluated systems: Magentic-One, LangManus, OWL, GPT-Researcher, and a trading agent application. - Agent configuration: three frameworks, five topologies, three model families, two workloads, and two attack objectives. - Dataset or environment: browser and filesystem MCP tasks plus 20 application scenarios. - Baselines: topology-unaware flooding, shortest-path variants, and attack-stage ablations. - Metrics: topology-reconstruction F1, ASR, infection-integrity score, generalization consistency, blocking rate, latency, and resource overhead. - Main results: benchmark ASR ranges from 40% to 78%; the real applications are compromised in 17 of 20 scenarios; T-Guard blocks 94.8% on average.","- Included concepts: topology confidentiality, edge exposure, privilege distribution, path planning, tool boundaries, and dynamic permissioning. - Taxonomy implications: topology inference and payload relay are mechanisms; privileged unauthorized action is the impact-bearing failure. - Supported research questions: how graph structure shapes attack reachability and where graph-aware defenses should intervene. - Important limitations: preprint status, locally instantiated frameworks, and attack-selected scenarios may overstate deployment generality.",adversar;attack;compromis;confidential;exploit;injection;integrity;security;threat,safety,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
arxiv:2605.11514,FlowSteer: Prompt-Only Workflow Steering Exposes Planning-Time Vulnerabilities in Multi-Agent LLM Systems,set2_emerging,attack,arXiv.org,papers/attacks/arxiv/2026_flowsteer_prompt_only_workflow_steering_exposes_planning_time_vulnerabil.md,metadata_only,,,,,,,,attack,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
sun2026insider,Insider Attacks in Multi-Agent LLM Consensus Systems,set2_emerging,attack,arXiv,papers/attacks/arxiv/2026_sun_insider_attacks.md,detailed_unreviewed,Communicating LLM agents that iteratively exchange arguments and update their answers until the benign participants reach consensus.,One legitimate group member pursues a hidden objective to delay or prevent agreement among the remaining agents. Consensus rate and time to agreement do not exist for an isolated agent.,,- Attack surface: protocol-valid deliberation messages from a group member. - Attack mechanism: a learned policy adaptively chooses messages based on latent behavioral state. - System-level failure: consensus termination and collective decision-integrity failure. - Security consequence: benign agents agree less often and remain in disagreement longer.,- Defense mechanism: Not proposed. - Intervention point: Not reported. - Required observability: a candidate defense would need interaction history and member-level influence signals. - Assumptions: Not reported. - Limitations: the paper labels its results preliminary and evaluates a small controlled consensus setting.,- Evaluated systems: groups of GPT-4o agents in a language-based consensus task. - Agent configuration: benign participants plus one malicious insider. - Dataset or environment: controlled consensus episodes described by the paper. - Baselines: a direct malicious-prompt attacker. - Metrics: benign consensus rate and episode duration. - Main results: the world-model RL attacker reduces consensus and prolongs disagreement more than the direct-prompt baseline.,"- Included concepts: malicious member, protocol-valid influence, adaptive attack, and consensus termination. - Taxonomy implications: the mechanism is world-model RL manipulation; the violated properties are agreement and liveness. - Supported research questions: how adaptive insiders exploit collective dynamics without modifying the protocol. - Important limitations: preliminary preprint evidence should not be weighted like a peer-reviewed Byzantine robustness result.",attack;byzantine;exploit;integrity;malicious;security;threat,robust,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
arxiv:2603.28013,Kill-Chain Canaries: Stage-Level Tracking of Prompt Injection Across Attack Surfaces and Model Safety Tiers,set2_emerging,attack,arXiv.org,papers/attacks/arxiv/2026_kill_chain_canaries_stage_level_tracking_of_prompt_injection_across_atta.md,metadata_only,,,,,,,,attack;injection,safety,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
arxiv:2507.13038,MAD-Spear: A Conformity-Driven Prompt Injection Attack on Multi-Agent Debate Systems,set2_emerging,attack,arXiv.org,papers/attacks/arxiv/2025_mad_spear_a_conformity_driven_prompt_injection_attack_on_multi_agent_deb.md,metadata_only,,,,,,,,attack;injection;integrity,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
arxiv:2512.03097,Many-to-One Adversarial Consensus: Exposing Multi-Agent Collusion Risks in AI-Based Healthcare,set2_emerging,attack,arXiv.org,papers/attacks/arxiv/2025_many_to_one_adversarial_consensus_exposing_multi_agent_collusion_risks_i.md,metadata_only,,,,,,,,adversar;attack;collusion;integrity,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
lupinacci2025darkside,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,set2_emerging,attack,arXiv,papers/attacks/arxiv/2025_lupinacci_dark_side.md,detailed_unreviewed,"Tool-capable LLM agents exposed through direct prompts, poisoned retrieval, or requests from peer agents across an inter-agent trust boundary.","The MAS-specific attack succeeds when a victim treats a peer agent as more trusted than an equivalent user or retrieved instruction. The security failure depends on who sends the same payload, not only on payload content.",,"- Attack surface: natural-language instructions crossing user, RAG, and peer-agent trust boundaries. - Attack mechanism: an adversarial peer relays a malware-installation request to a tool-capable victim. - System-level failure: cross-agent authorization and action-integrity failure. - Security consequence: the victim executes system-compromise steps that it may refuse when the same request comes directly from a user.","- Defense mechanism: no complete MAS-specific defense is established. - Intervention point: request provenance, authorization, and tool execution. - Required observability: sender identity, request lineage, and resulting host actions. - Assumptions: provenance can distinguish peer requests from authorized operator instructions. - Limitations: the experiment evaluates a controlled execution setup and does not estimate prevalence in deployed agent ecosystems.","- Evaluated systems: 18 LLMs used as reasoning engines for tool-capable agents. - Agent configuration: attacker-to-victim peer interaction plus direct and RAG comparison conditions. - Dataset or environment: controlled system-compromise tasks and injected requests. - Baselines: direct prompt injection and RAG backdoor attack. - Metrics: fraction of tested models that execute the requested compromise. - Main results: the paper reports 100% compromise in the inter-agent condition, compared with 94.4% for direct injection and 83.3% for RAG backdoors.","- Included concepts: malicious peer, provenance, tool authority, and confused deputy behavior. - Taxonomy implications: the mechanism is peer influence; the system property violated is compositional authorization. - Supported research questions: whether local refusal behavior composes across sender identities and delegated trust. - Important limitations: the inter-agent result measures the paper's controlled tasks and models and is not a general guarantee of universal compromise.",adversar;attack;authorization;backdoor;compromis;exploit;injection;integrity;malicious;poison;security;threat,safety,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,set1_core,attack,arXiv,papers/attacks/arxiv/2024_tan_wolf_within.md,detailed_unreviewed,"Two-stage multimodal agent interaction in which a manipulated ""wolf"" MLLM produces a prompt and media item consumed by a clean ""sheep"" MLLM.",The attack objective is jointly optimized through the wolf and sheep models so that the first agent's output becomes an indirect jailbreak prompt for the second.,,- Attack surface: forwarded multimodal content and inter-agent prompts. - Attack mechanism: projected-gradient perturbation through a composed wolf-to-sheep model path. - System-level failure: one-hop cross-agent safety compromise. - Security consequence: a previously clean recipient emits prohibited content.,"- Defense mechanism: Not proposed. - Intervention point: Not applicable. - Required observability: Not reported. - Assumptions: Not applicable. - Limitations: the study evaluates one-hop induced compromise, not autonomous retransmission or a reproducing population cascade.","- Evaluated systems: LLaVA and PandaGPT as image-text and audio-text MLLMs. - Agent configuration: one optimized wolf followed by a clean sheep, with transfer to other recipient models. - Dataset or environment: 14 prohibited-content scenarios. - Baselines: direct MLLM jailbreak literature is discussed; no directly matching cross-agent baseline is available. - Metrics: manually judged attack success rate and transferability. - Main results: Table 1 reports high image-based ASR across the 14 scenarios, with lower and more variable results for PandaGPT.","- Included concepts: compromised member, forwarded media, indirect prompt, multimodal composition, and cross-agent transfer. - Taxonomy implications: the mechanism is cross-agent multimodal injection; the demonstrated failure is recipient compromise rather than epidemic contagion. - Supported research questions: whether benign-looking inter-agent outputs can transport optimized malicious intent. - Important limitations: white-box gradients, manual evaluation, two-agent flow, and an unresolved printed trial denominator constrain generalization.",adversar;attack;compromis;injection;jailbreak;malicious;security;threat,safety,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
