record_id,title,publication_date,screened_venue,canonical_venue,doi,canonical_doi,arxiv_id,scope_decision,publication_status,venue_type,publication_evidence_type,publication_evidence_url,publication_override,semantic_scholar_id,semantic_scholar_title_match,citations_semantic_scholar,citation_snapshot_date,peer_first_stratum
arxiv:2503.04392,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025-03-06,arXiv.org,arXiv.org,10.48550/arxiv.2503.04392,10.48550/arXiv.2503.04392,2503.04392,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/a5e0b705c5346e6b3018050c7a3b851b5efc5258,no,a5e0b705c5346e6b3018050c7a3b851b5efc5258,yes,42,2026-08-06,influential_non_peer
arxiv:2503.12188,Multi-Agent Systems Execute Arbitrary Malicious Code,2025-03-15,arXiv.org,COLM,10.48550/arxiv.2503.12188,,2503.12188,include-primary-interaction-security,peer_reviewed,conference,official_acceptance_and_paper,https://openreview.net/forum?id=DAozI4etUp,yes,6e325d0c8bf92341ef95dc8b5fa8335890c0a6c7,yes,51,2026-08-06,peer_reviewed_conference
arxiv:2503.23138,EncGPT: A Multi-Agent Workflow for Dynamic Encryption Algorithms,2025-03-29,arXiv.org,arXiv.org,10.48550/arxiv.2503.23138,arxiv:2503.23138,2503.23138,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/d9eb816cc2a0af9d01711d1445bc2e6507705ebf,no,d9eb816cc2a0af9d01711d1445bc2e6507705ebf,yes,1,2026-08-06,emerging_non_peer
arxiv:2504.00218,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,2025-03-31,Annual Meeting of the Association for Computational Linguistics,ACL,10.48550/arxiv.2504.00218,10.18653/v1/2025.acl-long.476,2504.00218,include-primary-interaction-security,peer_reviewed,conference,indexed_archival_venue,https://doi.org/arxiv:2504.00218,no,8be6b0b0c7af16da10938c252db05cd8dd2f74d0,yes,38,2026-08-06,peer_reviewed_conference
arxiv:2504.00374,When Persuasion Overrides Truth in Multi-Agent LLM Debates: Introducing a Confidence-Weighted Persuasion Override Rate (CW-POR),2025-04-01,arXiv.org,arXiv.org,10.48550/arxiv.2504.00374,arxiv:2504.00374,2504.00374,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/b4e979f4407cd3dd7fee0b8a87eab6b571f38514,no,b4e979f4407cd3dd7fee0b8a87eab6b571f38514,yes,11,2026-08-06,emerging_non_peer
arxiv:2504.05047,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,2025-04-07,arXiv.org,arXiv.org,10.48550/arxiv.2504.05047,arxiv:2504.05047,2504.05047,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/3d3628e20a7499664345efcc95c231e5129ea6f9,no,3d3628e20a7499664345efcc95c231e5129ea6f9,yes,24,2026-08-06,influential_non_peer
arxiv:2504.07461,Achilles Heel of Distributed Multi-Agent Systems,2025-04-10,arXiv.org,arXiv.org,10.48550/arxiv.2504.07461,arxiv:2504.07461,2504.07461,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/df948cf591ab14be205c1f43782b36aa35450a32,no,df948cf591ab14be205c1f43782b36aa35450a32,yes,4,2026-08-06,emerging_non_peer
arxiv:2504.16489,Amplified Vulnerabilities: Structured Jailbreak Attacks on LLM-based Multi-Agent Debate,2025-04-23,arXiv.org,arXiv.org,10.48550/arxiv.2504.16489,arxiv:2504.16489,2504.16489,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/523090aa81939c856e0e7f9a0f32eb705672a545,no,523090aa81939c856e0e7f9a0f32eb705672a545,yes,7,2026-08-06,emerging_non_peer
arxiv:2505.04799,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,2025-05-07,,,10.48550/arxiv.2505.04799,10.48550/arXiv.2505.04799,2505.04799,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/b99bf346a634338688ffe89878505bdc07bfe1c6,no,b99bf346a634338688ffe89878505bdc07bfe1c6,yes,7,2026-08-06,emerging_non_peer
arxiv:2505.12442,IP Leakage Attacks Targeting LLM-Based Multi-Agent Systems,2025-05-18,arXiv.org,arXiv.org,10.48550/arxiv.2505.12442,arxiv:2505.12442,2505.12442,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/639703a5fb606347b72e9bde2aaf2b52d6cc24d7,no,639703a5fb606347b72e9bde2aaf2b52d6cc24d7,yes,7,2026-08-06,emerging_non_peer
arxiv:2505.18572,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,2025-05-24,Conference on Empirical Methods in Natural Language Processing,Findings of EMNLP,10.48550/arxiv.2505.18572,10.18653/v1/2025.findings-emnlp.917,2505.18572,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/emnlp/ZhuZSZYL25,no,926a1e088dc0a2493afb42b20a99a94d1d7a1b81,yes,5,2026-08-06,peer_reviewed_conference
arxiv:2505.19234,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025-05-25,arXiv.org,NeurIPS,10.48550/arxiv.2505.19234,,2505.19234,include-primary-interaction-security,peer_reviewed,conference,official_proceedings_record,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html,yes,c79b54e30cca6415d318aab9fab487cc8d895d98,yes,28,2026-08-06,peer_reviewed_conference
arxiv:2505.20824,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,2025-05-27,arXiv.org,arXiv.org,10.48550/arxiv.2505.20824,10.48550/arXiv.2505.20824,2505.20824,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/4dcd6a81197cb9dd78322d5bcfb83f9aeee3914e,no,4dcd6a81197cb9dd78322d5bcfb83f9aeee3914e,yes,12,2026-08-06,emerging_non_peer
arxiv:2505.22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2025-05-29,arXiv.org,arXiv.org,10.48550/arxiv.2505.22960,arxiv:2505.22960,2505.22960,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/22bd199f21a0ca973c5604adec328a484ebddcee,no,22bd199f21a0ca973c5604adec328a484ebddcee,yes,19,2026-08-06,emerging_non_peer
arxiv:2505.24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,2025-05-30,arXiv.org,arXiv.org,10.48550/arxiv.2505.24201,arxiv:2505.24201,2505.24201,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/99296c88c1470c2f20cf34f2e9708eab4f34fa2c,no,99296c88c1470c2f20cf34f2e9708eab4f34fa2c,yes,19,2026-08-06,emerging_non_peer
arxiv:2506.00509,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,2025-05-31,arXiv.org,arXiv.org,10.48550/arxiv.2506.00509,10.48550/arXiv.2506.00509,2506.00509,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/8f0541a41c86f67fc8d3783785ec44d4f08a23b9,no,8f0541a41c86f67fc8d3783785ec44d4f08a23b9,yes,9,2026-08-06,emerging_non_peer
arxiv:2506.04572,Demonstrations of Integrity Attacks in Multi-Agent Systems,2025-06-05,arXiv.org,arXiv.org,10.48550/arxiv.2506.04572,10.48550/arXiv.2506.04572,2506.04572,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/9b2fe5ced46c1f6231ba08f47c0befbb9c2f5e83,no,9b2fe5ced46c1f6231ba08f47c0befbb9c2f5e83,yes,8,2026-08-06,emerging_non_peer
arxiv:2506.07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025-06-09,arXiv.org,arXiv.org,10.48550/arxiv.2506.07468,arxiv:2506.07468,2506.07468,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/21251d14f97926bf4c19b8cfaab8a3d101f7fa71,no,21251d14f97926bf4c19b8cfaab8a3d101f7fa71,yes,31,2026-08-06,influential_non_peer
arxiv:2506.07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,2025-06-09,arXiv.org,arXiv.org,10.48550/arxiv.2506.07564,arxiv:2506.07564,2506.07564,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/a0678c81b0601eddb4a79fb7534a713726ea9416,no,a0678c81b0601eddb4a79fb7534a713726ea9416,yes,25,2026-08-06,influential_non_peer
arxiv:2506.09600,Effective Red-Teaming of Policy-Adherent Agents,2025-06-11,Conference on Empirical Methods in Natural Language Processing,Conference on Empirical Methods in Natural Language Processing,10.48550/arxiv.2506.09600,arxiv:2506.09600,2506.09600,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/emnlp/NakashKLVUA25,no,9a08af9f80c1a0bbcc361da13f048dff4ad922b4,yes,10,2026-08-06,peer_reviewed_conference
arxiv:2506.11083,RedDebate: Safer Responses through Multi-Agent Red Teaming Debates,2025-06-04,arXiv.org,arXiv.org,10.48550/arxiv.2506.11083,arxiv:2506.11083,2506.11083,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/89b908678883095f8a2eda436bb5aac623b4e18e,no,89b908678883095f8a2eda436bb5aac623b4e18e,yes,7,2026-08-06,emerging_non_peer
arxiv:2506.12482,Tiered Agentic Oversight: A Hierarchical Multi-Agent System for Healthcare Safety,2025-06-14,,,10.48550/arxiv.2506.12482,arxiv:2506.12482,2506.12482,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/a233f3c034f6203a5a2853cf87c8538037e8eb6e,no,a233f3c034f6203a5a2853cf87c8538037e8eb6e,yes,5,2026-08-06,emerging_non_peer
arxiv:2506.20737,MAGPIE: A dataset for Multi-AGent contextual PrIvacy Evaluation,2025-06-25,arXiv.org,arXiv.org,10.48550/arxiv.2506.20737,arxiv:2506.20737,2506.20737,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/adaf2fc01268271e8c8aeac1f2b82b59d72d28c9,no,adaf2fc01268271e8c8aeac1f2b82b59d72d28c9,yes,7,2026-08-06,emerging_non_peer
arxiv:2506.22957,Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models,2025-06-28,Conference on Empirical Methods in Natural Language Processing,Conference on Empirical Methods in Natural Language Processing,10.48550/arxiv.2506.22957,arxiv:2506.22957,2506.22957,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/emnlp/ChoiLYJ25,no,17629045c1a120678636ac82246a355a041a5152,yes,4,2026-08-06,peer_reviewed_conference
arxiv:2507.04724,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,2025-07-07,arXiv.org,arXiv.org,10.48550/arxiv.2507.04724,10.48550/arXiv.2507.04724,2507.04724,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/71f79d74abd7e87ec9e04e50d0610bdd68ad8a88,no,71f79d74abd7e87ec9e04e50d0610bdd68ad8a88,yes,10,2026-08-06,emerging_non_peer
arxiv:2507.06850,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,2025-07-09,,,,10.48550/arXiv.2507.06850,2507.06850,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/c4ecc7fc2e1342dabec05c750735d70f2a61b30f,no,c4ecc7fc2e1342dabec05c750735d70f2a61b30f,yes,0,2026-08-06,emerging_non_peer
arxiv:2507.13038,MAD-Spear: A Conformity-Driven Prompt Injection Attack on Multi-Agent Debate Systems,2025-07-17,arXiv (Cornell University),arXiv.org,10.48550/arxiv.2507.13038,arxiv:2507.13038,2507.13038,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/1115a843e8f3d142180f807c97f71cde65d2ad12,no,1115a843e8f3d142180f807c97f71cde65d2ad12,yes,3,2026-08-06,emerging_non_peer
arxiv:2507.14928,Byzantine-Robust Decentralized Coordination of LLM Agents,2025-07-20,arXiv.org,arXiv.org,10.48550/arxiv.2507.14928,10.48550/arXiv.2507.14928,2507.14928,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/a858e644c58726a1b8e82976df65863611d8e90f,no,a858e644c58726a1b8e82976df65863611d8e90f,yes,9,2026-08-06,emerging_non_peer
arxiv:2507.21159,MAC: Masked Agent Collaboration Boosts Large Language Model Medical Decision-Making,2025-07-25,,,,arxiv:2507.21159,2507.21159,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/627e57210e5da985ab5a4b747b04b1d1d1b43d64,no,627e57210e5da985ab5a4b747b04b1d1d1b43d64,yes,0,2026-08-06,emerging_non_peer
arxiv:2508.07667,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,2025-08-11,arXiv (Cornell University),arXiv.org,10.48550/arxiv.2508.07667,arxiv:2508.07667,2508.07667,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/e62edf39a3c2a7ebaaa797f73934d39133940d2c,no,e62edf39a3c2a7ebaaa797f73934d39133940d2c,yes,16,2026-08-06,emerging_non_peer
arxiv:2509.01211,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,2025-09-01,Annual Meeting of the Association for Computational Linguistics,Findings of ACL,10.48550/arxiv.2509.01211,10.18653/v1/2026.findings-acl.686,2509.01211,include-primary-interaction-security,peer_reviewed,conference,indexed_archival_venue,https://doi.org/arxiv:2509.01211,no,6cbd63f70a16df29a0cc250fad639062aba55a71,yes,8,2026-08-06,peer_reviewed_conference
arxiv:2509.10018,GAMA: A General Anonymizing Multi-Agent System for Privacy Preservation Enhanced by Domain Rules and Disproof Mechanism,2025-09-12,arXiv (Cornell University),arXiv (Cornell University),10.48550/arxiv.2509.10018,arxiv:2509.10018,2509.10018,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/332a237995c586c77aaa74c8b1dc25d260fe1096,no,332a237995c586c77aaa74c8b1dc25d260fe1096,yes,0,2026-08-06,emerging_non_peer
arxiv:2509.13597,Agentic JWT: A Secure Delegation Protocol for Autonomous AI Agents,2025-09-16,arXiv.org,arXiv.org,10.48550/arxiv.2509.13597,arxiv:2509.13597,2509.13597,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/117cd1d71516457304f87903bac925e5d1222325,no,117cd1d71516457304f87903bac925e5d1222325,yes,9,2026-08-06,emerging_non_peer
arxiv:2509.14284,The Sum Leaks More Than Its Parts: Compositional Privacy Risks and Mitigations in Multi-Agent Collaboration,2025-09-16,arXiv.org,arXiv.org,10.48550/arxiv.2509.14284,arxiv:2509.14284,2509.14284,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/de3e47373ae1acf84091398ff6a4eafb5b95d757,no,de3e47373ae1acf84091398ff6a4eafb5b95d757,yes,15,2026-08-06,emerging_non_peer
arxiv:2509.21054,Disagreements in Reasoning: How a Model's Thinking Process Dictates Persuasion in Multi-Agent Systems,2025-09-25,arXiv (Cornell University),arXiv.org,10.48550/arxiv.2509.21054,arxiv:2509.21054,2509.21054,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/d2ef882efda67e6fd35805a2e80bd39b815fdca0,no,d2ef882efda67e6fd35805a2e80bd39b815fdca0,yes,4,2026-08-06,emerging_non_peer
arxiv:2509.24408,FuncPoison: Poisoning Function Library to Hijack Multi-agent Autonomous Driving Systems,2025-09-29,arXiv.org,arXiv.org,10.48550/arxiv.2509.24408,10.48550/arXiv.2509.24408,2509.24408,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/505680e5b137d944c5859795455a49e1a0c2da4e,no,505680e5b137d944c5859795455a49e1a0c2da4e,yes,2,2026-08-06,emerging_non_peer
arxiv:2510.01586,AdvEvo-MARL: Shaping Internalized Safety through Adversarial Co-Evolution in Multi-Agent Reinforcement Learning,2025-10-02,arXiv.org,arXiv.org,10.48550/arxiv.2510.01586,arxiv:2510.01586,2510.01586,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/7a44b3e5b5151aa1c9fd533e2374578a1ddbc4df,no,7a44b3e5b5151aa1c9fd533e2374578a1ddbc4df,yes,1,2026-08-06,emerging_non_peer
arxiv:2510.04303,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,2025-10-05,arXiv.org,arXiv.org,10.48550/arxiv.2510.04303,10.48550/arXiv.2510.04303,2510.04303,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/4b0d96cfedcb477594dac980ecdd6856345cbb4c,no,4b0d96cfedcb477594dac980ecdd6856345cbb4c,yes,6,2026-08-06,emerging_non_peer
arxiv:2510.04488,Multi-Agent Collaborative Intelligence: Dual-Dial Control for Reliable LLM Reasoning,2025-10-06,arXiv.org,arXiv.org,10.48550/arxiv.2510.04488,arxiv:2510.04488,2510.04488,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/bc367e8a3afd98f958d781bdcdbbcd019ac66d2f,no,bc367e8a3afd98f958d781bdcdbbcd019ac66d2f,yes,2,2026-08-06,emerging_non_peer
