work_key,title,year,source_identifier,context_bucket,mas_security_basis,historical_scope_note
yan2026evo_attacker,Evo-Attacker: Memory-Augmented Reinforcement Learning for Long-Horizon Tool Attacks on LLM-MAS,2026,10.18653/v1/2026.acl-long.330,attack/tool-action,Explicit long-horizon tool attack on LLM-MAS.,Historical review found no material inter-agent path.
doi:10.5281/zenodo.20775794,Execution Identity in Multi-Agent Systems: A Zero-Trust Runtime Governance Architecture,2026,10.5281/zenodo.20775794,defense/identity/zero-trust,Explicit zero-trust runtime identity/governance for MAS.,Historical review found no material inter-agent path.
doi:10.1109/isdfs69419.2026.11459075,Enforcing Accountability in Autonomous Ops: A Zero-Trust Multi-Agent Framework With Forensic Reasoning Ledgers,2026,10.1109/isdfs69419.2026.11459075,defense/accountability/zero-trust,Explicit zero-trust and forensic accountability framework for MAS.,Historical review found no material inter-agent path.
supp_from_tasks_to_teams_a_risk_first_evaluation_framework_for_multi_agent_llm_system,From Tasks to Teams: A Risk-First Evaluation Framework for Multi-Agent LLM Systems in Finance,2026,10.18653/v1/2026.findings-acl.1934,evaluation/risk,Explicit risk-first evaluation framework for multi-agent LLM systems.,Historical review found no material inter-agent path; keep for evaluation context.
arxiv:2605.27766,Got a Secret? LLM Agents Can't Keep It: Evaluating Privacy in Multi-Agent Systems,2026,arXiv:2605.27766,evaluation/privacy,Explicit privacy evaluation in multi-agent systems.,Historical review found no material inter-agent path.
doi:10.2139/ssrn.7082874,GraphShield: A Graph-Structured Defense Framework for Prompt Injection in RAG and Multi-Agent LLM Systems,2026,10.2139/ssrn.7082874,defense/prompt-injection,Explicit prompt-injection defense including multi-agent LLM systems.,Historical review found no material inter-agent path.
arxiv:2603.13940,GroupGuard: A Framework for Modeling and Defending Collusive Attacks in Multi-Agent Systems,2026,arXiv:2603.13940,defense/collusion,Explicit modeling and defense of collusive attacks in MAS.,Historical review found no material inter-agent path.
arxiv:2603.05520,Information-Theoretic Privacy Control for Sequential Multi-Agent LLM Systems,2026,arXiv:2603.05520,defense/evaluation/privacy,Explicit privacy control for sequential multi-agent LLM systems.,Historical review found no material inter-agent path.
doi:10.1007/s10207-026-01244-y,LGA: lightweight design and privacy analysis of generative agents in social simulations,2026,10.1007/s10207-026-01244-y,evaluation/privacy,Privacy analysis of interacting generative agents; relevant as contextual MAS privacy evidence.,Historical review found no material inter-agent path.
doi:10.3390/app16042157,Privacy-by-Design in AI-Assisted Systems for Caregivers of Children with Autism: A Secure Multi-Agent Architecture,2026,10.3390/app16042157,defense/privacy,Explicit secure multi-agent architecture with private-data leakage as protected property.,Named human review moved it to contextual Set 3.
doi:10.5281/zenodo.20162877,Protocol-Layer Governance for LLM Agents: Identity-Bound Oversight with Zero-Modification Deployment and Multi-Hop Authority Propagation,2026,10.5281/zenodo.20162877,defense/authority/governance,Historical coding maps multi-hop agent governance to I2/I3/I4/I6 and authority/propagation/availability risks.,Named human review moved it from emerging to contextual Set 3.
darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,2026,10.1609/aaai.v40i44.41065,defense/resilience,Explicit resilience and anomaly-detection defense for multi-agent LLMs.,Historical review found no material inter-agent path.
arxiv:2604.27358,Safe Bilevel Delegation (SBD): A Formal Framework for Runtime Delegation Safety in Multi-Agent Systems,2026,arXiv:2604.27358,foundation/defense/delegation,Directly studies runtime delegation safety in MAS.,Historical review did not code a concrete security property; retain as contextual foundation.
arxiv:2603.28807,SafeClaw-R: Towards Safe and Secure Multi-Agent Personal Assistants,2026,arXiv:2603.28807,defense,Explicit safe and secure multi-agent assistant system.,Historical review found no material inter-agent path.
arxiv:2606.17092,Securing Multi-Agent GIS Systems: Risk Evaluation and Prompt Hardening Optimization,2026,arXiv:2606.17092,evaluation/defense,Explicit security risk evaluation and hardening of a multi-agent system.,Historical review found no material inter-agent path.
anbiaee2026protocols,Security Threat Modeling for Emerging AI-Agent Protocols: A Comparative Analysis of MCP A2A Agora and ANP,2026,arXiv:2602.11327,foundation/protocol-security,Direct security threat modeling of protocols that connect agents.,Historical scope excluded it because LLM-backed agents were not established.
ko2026social_dynamics,Social Dynamics as Critical Vulnerabilities that Undermine Objective Decision-Making in LLM Collectives,2026,10.18653/v1/2026.acl-long.1756,attack/context,Explicitly studies vulnerabilities in LLM collectives; historical coding maps I2/I4 to authority misuse.,Named human review moved it to contextual Set 3.
doi:10.2139/ssrn.6445299,Systematic Discovery and Security Verification of Personality-Driven Safety Override in Multi-Agent Markets,2026,10.2139/ssrn.6445299,attack/evaluation,Explicit security verification of a multi-agent market failure mode.,Historical review found no material inter-agent path.
supp_the_adaptive_interrogator_detecting_trojan_llms_in_multi_agent_systems_via_evolv,The Adaptive Interrogator: Detecting Trojan LLMs in Multi-Agent Systems via Evolved Conversational Strategies,2026,10.18653/v1/2026.findings-acl.1348,defense/backdoor,Explicit detection of Trojan LLMs in MAS.,Historical review found no material inter-agent path.
doi:10.5281/zenodo.20529423,The Detection Dilemma: Byzantine LLM Agents Cannot Simultaneously Evade Multi-Channel Behavioral Monitors,2026,10.5281/zenodo.20529423,defense/foundation/byzantine,Directly studies malicious/Byzantine LLM agents and multi-channel monitoring.,Historical review found no material inter-agent path.
doi:10.5281/zenodo.20678936,Switchboard: An Attention-Budgeted Human-in-the-Loop Interrupt Router for Multi-Agent Systems,2026,10.5281/zenodo.20678936,defense/intervention,Historical coding maps the MAS interrupt router to delegation/authority and availability risks.,Named human review moved it from emerging to contextual Set 3.
arxiv:2605.27593,Voluntary Collusion with Secret Tools in Competing LLM Agents,2026,arXiv:2605.27593,attack/collusion/privacy,Structurally multi-agent collusion with secrecy; historical coding maps R2 and R5.,Named human review moved it from emerging to contextual Set 3.
doi:10.5281/zenodo.21428132,Your Agents Work as Expected. That's the Problem. : Prompt-Injection Cascades in a Multi-Agent Enterprise: A Forensic Study,2026,10.5281/zenodo.21428132,attack/forensics/propagation,Explicit prompt-injection cascade in a multi-agent enterprise execution.,Historical review found no material inter-agent path.
