work_key,title,evidence_set,previous_contribution,reaudited_contribution,changed,decision_basis,source_gap,cutoff_flag
li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2606.24535,Governed Shared Memory for Multi-Agent LLM Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2601.14667,INFA-Guard: Mitigating Malicious Propagation via Infection-Aware Safeguarding in LLM-Based Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv_2601_11369,Institutional AI: Governing LLM Collusion in Multi-Agent Cournot Markets via Public Governance Graphs,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2605.22786,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2603.08852,LDP: An Identity-Aware Protocol for Multi-Agent LLM Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2606.30555,Linguistic Firewall: Geometry as Defense in Multi-Agent Systems Routing,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2606.30602,MESA: Prioritizing Vulnerable Communication Channels for Securing Multi-Agent Systems,set2_emerging,defense,evaluation,yes,Targeted source verification: MESA's primary artifact is a label-free framework for ranking and measuring security-critical communication edges. It prioritizes where defenses should be deployed rather than providing the defense itself. Source: https://arxiv.org/abs/2606.30602,,
cui2025maris,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2605.12240,No Action Without a NOD: A Heterogeneous Multi-Agent Architecture for Reliable Service Agents,set2_emerging,defense,general,yes,"Targeted source verification: NOD is primarily a reliable service-agent architecture for policy compliance, tool hallucination, and long-horizon execution; it does not center an adversarial threat model. Source: https://arxiv.org/abs/2605.12240",,
tapwal2026prism,PRISM: Generation-Time Detection and Mitigation of Secret Leakage in Multi-Agent LLM Pipelines,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2601.13186,"Prompt Injection Mitigation with Agentic AI, Nested Learning, and AI Sustainability via Semantic Caching",set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2605.16346,PropGuard: Safeguarding LLM-MAS via Propagation-Aware Exploration and Remediation,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2512.16279,QuadSentinel: Sequent Safety for Machine-Checkable Control in Multi-agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2605.09076,Robust Multi-Agent LLMs under Byzantine Faults,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
shi2026saiguard,SAIGuard: Communication-State Simulation for Proactive Defense of LLM Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2606.07940,SGTO-MAS: Secure Gorilla Troops Optimization for Multi-Agent LLM Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2510.19420,Securing Multi-Agent Systems Against Corruptions via Node Contribution Backpropagation,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2509.14956,Sentinel Agents for Secure and Trustworthy Agentic AI in Multi-Agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2604.02767,SentinelAgent: Intent-Verified Delegation Chains for Securing Federal Multi-Agent AI Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2604.17139,The Consensus Trap: Rescuing Multi-Agent LLMs from Adversarial Majorities via Token-Level Collaboration,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv_2509_14284,The Sum Leaks More Than Its Parts: Compositional Privacy Risks and Mitigations in Multi-Agent Collaboration,set1_core,defense,attack,yes,Targeted source verification: The paper introduces and systematically studies compositional privacy leakage as a new multi-agent vulnerability class; ToM and CoDef are mitigation follow-ons to the risk contribution. Source: https://vaidehi99.github.io/MultiAgentPrivacy.pdf,,
he2025atrust,To Trust or Not to Trust: Attention-based Trust Management for LLM Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2512.23557,Toward Trustworthy Agentic AI: A Multimodal Framework for Preventing Prompt Injection Attacks,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.3390/electronics15112278,Ethical Coordination of LLM Multi-Agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_min_trust_a_minimum_necessary_information_trust_orchestration_framework_for_mult,MIN-Trust: A Minimum Necessary Information Trust Orchestration Framework for Multi-Agent Collaboration,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_ai_agents_with_decentralized_identifiers_and_verifiable_credentials,AI Agents with Decentralized Identifiers and Verifiable Credentials,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1109/icassp49660.2025.10890479,Supervisor Alignment Framework: Enhancing LLM Alignment with Query-Ignoring Strategy and Multi-Agent Interaction,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_peerguard_defending_multi_agent_systems_against_backdoor_attacks_through_mutual_,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_decentralized_multi_agent_system_with_trust_aware_communication,Decentralized Multi-Agent System with Trust-Aware Communication,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1109/icaic67076.2026.11395749,Architectural Resilience in AI-Driven Decision Systems under Adversarial Conditions,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1109/cscwd68734.2026.11582680,RoMa: A Credibility-Aware Fault-Tolerance Framework for LLM Multi-Agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1109/icca66035.2025.11430791,Cross-Agent Multimodal Provenance-Aware Framework for Robust Prompt Injection Defense in Large Language and Vision-Language Models,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1109/icca66035.2025.11431026,SPIFFE-Based Zero-Trust Authentication for AI Agent Ecosystems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.71465/ajainn3659,Self-Healing Memory Architectures for Large Language Model-Based Multi-Agent Collaboration,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth,Enhancing Robustness of LLM-Driven Multi-Agent Systems through Randomized Smoothing,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,set1_core,defense,evaluation,yes,Targeted source verification: The main contribution is formalization and empirical measurement of the Trust-Vulnerability Paradox with OER and Authorization Drift; mitigation mechanisms are secondary evaluations. Source: https://arxiv.org/abs/2510.18563,,
doi:10.1109/tdsc.2026.3685256,AgentChain: Blockchain-Empowered Multi-Agent Coordination for Trustworthy LLM Question-Answering Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1109/tnse.2026.3680460,Topology Linearization for Multi-Agent Systems Security: Mitigating Malicious Propagation via Path Decomposition,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.63412/8vgf0b98,Consensus-Driven Metacognition in Multi-Agent Systems: A Logic-Based Byzantine Fault-Tolerant Protocol,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.63278/jicrcr.vi.3596,Privacy-Preserving LLM Infrastructure With Multi-Agent Orchestration And RAG-Driven Retrieval,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1145/3770854.3780202,Robust LLM-based Multi-Agent System with Action Negotiation and Sharing Redundancy Enhancement,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv_2508_07667,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:5154.37952,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.2139/ssrn.7181662,MedAgentNet: Federated Multi-Agent AI for Privacy-Preserving Cross-Departmental Clinical Intelligence,set2_emerging,defense,general,yes,"Targeted source verification: MedAgentNet is primarily a federated clinical-intelligence architecture. Privacy-preserving disclosure is an architectural requirement, not a threat-driven defense contribution. Source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7181662",,"Current SSRN record says posted 2026-07-31, after the repository cutoff. Membership is intentionally unchanged in this contribution-only audit and needs a separate identity/first-public-date check."
doi:10.2139/ssrn.7127218,"Nexus Protocol: A Cryptographically Secure, Zero-Latency Semantic Routing Engine for Multi-Agent Systems",set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.2139/ssrn.7067276,Robotic Environment Manipulation Agents (REMA): A Proactive Multi-Agent Framework for Robust,set2_emerging,defense,general,yes,"Targeted source verification: REMA is primarily a proactive robotic-manipulation architecture for reliable execution and semantic validation, not a security defense against a concrete adversary. Source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7067276",,"Current SSRN record says posted 2026-07-06, after the repository cutoff. Membership is intentionally unchanged in this contribution-only audit and needs a separate identity/first-public-date check."
feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.5281/zenodo.19477187,"Governance Effectiveness in Distributed Multi-Agent LLM Systems: Confound Isolation, Diversity Erosion, and the Accidental Governance Effect",set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,Primary source could not be recovered during this re-audit. The defense label is retained provisionally rather than changed from title-level inference alone.,
doi:10.5281/zenodo.19244877,Memetic Cascade Detection and Symbolic Immunity in Multi-Agent LLM Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.5281/zenodo.19628588,Pratyahara: A Neural Tissue Defense Model for Detecting Compromised Agents in Multi-Agent Networks,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.5281/zenodo.20834834,Semantic Taint Propagation: Embedding-Based Semantic Flow Monitoring for Multi-Agent Large Language Model Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
