work_key,canonical_paper_id,title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,decision,decision_source,rationale,reviewer,reviewed_at,human_signoff_required,route_types,route_ids,source_paths,broad_role,role_source,role_status
arxiv:2408.13296,,"The Ultimate Guide to Fine-Tuning LLMs from Basics to Breakthroughs: An Exhaustive Review of Technologies, Research, Best Practices, Applied Research Challenges and Opportunities",2024-08-23,2024,arXiv (Cornell University),,2408.13296,,,,,,secondary,search:arxiv:2408.13296,Parent screening assigned an exclusion decision.,,,yes,search,search:arxiv:2408.13296,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2407.12532,,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,2024-07-17,2024,arXiv.org,,2407.12532,https://www.semanticscholar.org/paper/e3dc5680f7de9db8a1aff9b9c936563e9f8aba45,,,,,secondary,peerfirst:arxiv:2407.12532,The paper studies learned communication and coordination performance; it does not define an adversary or violated security property.,,,yes,broad;peerfirst;search,broad:arxiv:2407.12532;peerfirst:arxiv:2407.12532;search:arxiv:2407.12532,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2502.15871,,A Comprehensive Survey on the Trustworthiness of Large Language Models in Healthcare,2025-02-21,2025,Conference on Empirical Methods in Natural Language Processing,,2502.15871,,,,,,secondary,search:arxiv:2502.15871,No attack-family query hit and no canonical attack record.,,,yes,search,search:arxiv:2502.15871,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1145/3745238.3745531,,"A Survey of Multi-AI Agent Collaboration: Theories, Technologies and Applications",2025-03-28,2025,,10.1145/3745238.3745531,,,,,,,secondary,search:doi:10.1145/3745238.3745531,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1145/3745238.3745531,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2507.21046,,"A Survey of Self-Evolving Agents: What, When, How, and Where to Evolve on the Path to Artificial Super Intelligence",2025-07-28,2025,,,2507.21046,,,,,,secondary,search:arxiv:2507.21046,No attack-family query hit and no canonical attack record.,,,yes,search,search:arxiv:2507.21046,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2508.01186,,A Survey on Agent Workflow – Status and Future,2025-05-23,2025,2025 8th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/icaibd64986.2025.11082076,2508.01186,,,,,,secondary,search:doi:10.1109/icaibd64986.2025.11082076,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1109/icaibd64986.2025.11082076,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.36227/techrxiv.176591818.87526814/v1,,A Survey on Benchmarks of LLM-based GUI Agents,2025-12-16,2025,,10.36227/techrxiv.176591818.87526814/v1,,,,,,,secondary,search:doi:10.36227/techrxiv.176591818.87526814/v1,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.36227/techrxiv.176591818.87526814/v1,corpus/sets/01_search_catalog/search_catalog.csv,evaluation,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.31219/osf.io/bv5sg_v2,,A Survey on LLM-based Multi-Agent AI Hospital,2025-12-26,2025,,10.31219/osf.io/bv5sg_v2,,,,,,,secondary,search:doi:10.31219/osf.io/bv5sg_v2,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.31219/osf.io/bv5sg_v2,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.18653/v1/2025.findings-emnlp.620,,A Survey on LLM-powered Agents for Recommender Systems,2025-01-01,2025,,10.18653/v1/2025.findings-emnlp.620,,,,,,,secondary,search:doi:10.18653/v1/2025.findings-emnlp.620,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.18653/v1/2025.findings-emnlp.620,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
yu2025trustworthyagents,yu2025trustworthyagents,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,2025,2025,KDD,10.1145/3711896.3736561,1896.37365,https://doi.org/10.1145/3711896.3736561,survey,survey,survey,assistant_source_reviewed_pending_author_signoff,secondary,canonical:yu2025trustworthyagents,"The survey covers MAS, but it is not interaction-primary and includes broad trustworthiness dimensions.",,,yes,canonical;search;structured_exclude,canonical:yu2025trustworthyagents;search:doi:10.1145/3711896.3736561;structured-exclude:yu2025trustworthy_preprint;structured-exclude:yu2025trustworthyagents,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/01_search_catalog/structured_exclusions.csv,other,existing_corpus_role,source_reviewed_or_imported
rosser2025agentbreeder,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025,2025,NeurIPS,,2502.00757,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc2ccde7ee43e5719e08c68e848bd65a-Abstract-Conference.html,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,secondary,canonical:rosser2025agentbreeder,"The work evaluates safety properties of composed agent scaffolds and searches for unsafe configurations, but its primary evidence is benchmark safety under architecture search rather than a technical runtime security threat model.",,,yes,broad;canonical;peerfirst;search;structured_exclude;targeted;venue,broad:arxiv:2502.00757;canonical:rosser2025agentbreeder;peerfirst:arxiv:2502.00757;search:arxiv:2502.00757;structured-exclude:rosser2025agentbreeder_preprint;targeted:arxiv:2502.00757;venue:neurips:arxiv_2502_00757,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/01_search_catalog/structured_exclusions.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,defense,existing_corpus_role,source_reviewed_or_imported
doi:10.1109/icict64420.2025.11005005,,Agentic AI for Cloud Troubleshooting: A Review of Multi Agent System for Automated Cloud Support,2025-04-23,2025,,10.1109/icict64420.2025.11005005,,,,,,,secondary,search:doi:10.1109/icict64420.2025.11005005,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1109/icict64420.2025.11005005,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1109/ictbig68706.2025.11323264,,"Agentic AI: A Survey of Autonomous Agents, Architectures, and Emerging Applications",2025-12-12,2025,2025 IEEE 5th International Conference on ICT in Business Industry & Government (ICTBIG),10.1109/ictbig68706.2025.11323264,,,,,,,secondary,search:doi:10.1109/ictbig68706.2025.11323264,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1109/ictbig68706.2025.11323264,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2503.23037,,"Agentic Large Language Models, a survey",2025-03-29,2025,Journal of Artificial Intelligence Research,10.1613/jair.1.18675,2503.23037,,,,,,secondary,search:doi:10.1613/jair.1.18675,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1613/jair.1.18675,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.3389/frobt.2025.1605405,,Agentic LLM-based robotic systems for real-world applications: a review on their agenticness and ethics,2025-08-19,2025,Frontiers Robotics AI,10.3389/frobt.2025.1605405,,,,,,,secondary,search:doi:10.3389/frobt.2025.1605405,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.3389/frobt.2025.1605405,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1101/2025.08.22.25334232,,AI Agents in Clinical Medicine: A Systematic Review,2025-08-26,2025,medRxiv,10.1101/2025.08.22.25334232,,,,,,,secondary,search:doi:10.1101/2025.08.22.25334232,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1101/2025.08.22.25334232,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1109/scored68498.2025.11398875,,"AI Agents in Healthcare: A Survey of Applications, Resources, and Challenges",2025-11-25,2025,Student Conference on Research and Development,10.1109/scored68498.2025.11398875,,,,,,,secondary,search:doi:10.1109/scored68498.2025.11398875,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1109/scored68498.2025.11398875,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
deng2025agentsunderthreat,deng2025agentsunderthreat,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,2025,2025,ACM Computing Surveys,10.1145/3716628,,https://doi.org/10.1145/3716628,survey,survey,survey,assistant_source_reviewed_pending_author_signoff,secondary,canonical:deng2025agentsunderthreat,"Primary boundary is general AI agents and four knowledge gaps, not LLM-MAS interaction as the sole object.",,,yes,canonical;structured_exclude,canonical:deng2025agentsunderthreat;structured-exclude:deng2025agentsunderthreat,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/structured_exclusions.csv,other,existing_corpus_role,source_reviewed_or_imported
han2025alignment_tipping,han2025alignment_tipping,Alignment Tipping Process: How Self-Evolution Pushes LLM Agents Off the Rails,2025,2025,arXiv,,2510.04860,https://arxiv.org/abs/2510.04860,attack,evaluation,evaluation,assistant_source_reviewed_pending_author_signoff,secondary,canonical:han2025alignment_tipping,"The MAS diffusion pathway informs collective objective integrity, but there is no explicit adversary and half the paper is single-agent self-evolution.",,,yes,broad;canonical;search;targeted;targeted_gap,broad:arxiv:2510.04860;canonical:han2025alignment_tipping;search:arxiv:2510.04860;targeted-gap:goal_drift:han2025alignment_tipping;targeted:arxiv:2510.04860,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/01_search_catalog/targeted_gap_search.csv;corpus/sets/02_broad_included/broad_included.csv,attack,existing_corpus_role,source_reviewed_or_imported
doi:10.1109/slaai-icai68534.2025.11318443,,An Agentic-AI Solution for Intelligent Code Review,2025-11-19,2025,2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),10.1109/slaai-icai68534.2025.11318443,,,,,,,secondary,search:doi:10.1109/slaai-icai68534.2025.11318443,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1109/slaai-icai68534.2025.11318443,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1145/3696630.3728618,,AutoReview: An LLM-based Multi-Agent System for Security Issue-Oriented Code Review,2025-06-23,2025,SIGSOFT FSE Companion,10.1145/3696630.3728618,,,,,,,secondary,search:doi:10.1145/3696630.3728618,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.1145/3696630.3728618,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2502.14321,,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,2025-02-20,2025,arXiv.org,10.1007/s11704-026-50857-y,2502.14321,,,,,,secondary,search:doi:10.1007/s11704-026-50857-y,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.1007/s11704-026-50857-y,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
zhang2025breaking_agents,zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2025,2025,EMNLP,10.18653/v1/2025.emnlp-main.1771,2407.20859,https://aclanthology.org/2025.emnlp-main.1771/,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,secondary,canonical:zhang2025breaking_agents,The attack primitive is general agent malfunction. Only the advanced viral cases are interaction-dependent and should enter the MAS claim corpus.,,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:doi:10.48448/m2r6-kd98;canonical:zhang2025breaking_agents;peerfirst:doi:10.48448/m2r6-kd98;search:doi:10.48448/m2r6-kd98;targeted:doi:10.48448/m2r6-kd98;venue:emnlp:10_18653_v1_2025_emnlp_main_1771,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,attack,existing_corpus_role,source_reviewed_or_imported
arxiv_2506_07468,arxiv_2506_07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025,2025,arXiv,,2506.07468,https://arxiv.org/abs/2506.07468,defense,defense,high-citation non-peer security candidate,boundary_full_text_screened,secondary,canonical:arxiv_2506_07468,Retained after the citation retrieval gate and security scope screen.,,,yes,broad;canonical;peerfirst;search;targeted,broad:arxiv:2506.07468;canonical:arxiv_2506_07468;peerfirst:arxiv:2506.07468;search:arxiv:2506.07468;targeted:arxiv:2506.07468,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,defense,existing_corpus_role,source_reviewed_or_imported
arxiv:2501.07811,,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,2025-01-14,2025,arXiv.org,,2501.07811,https://www.semanticscholar.org/paper/59efb90a519cf5df0aaadb3778d2d1028d2d666e,,,,,secondary,peerfirst:arxiv:2501.07811,The multi-agent workflow improves code correctness and quality without an adversarial or security endpoint.,,,yes,broad;peerfirst;search,broad:arxiv:2501.07811;peerfirst:arxiv:2501.07811;search:arxiv:2501.07811,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2501.03265,,Cognitive Edge Computing: A Comprehensive Survey on Optimizing Large Models and AI Agents for Pervasive Deployment,2025-01-04,2025,,,2501.03265,,,,,,secondary,search:arxiv:2501.03265,No attack-family query hit and no canonical attack record.,,,yes,search,search:arxiv:2501.03265,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1117/12.3076579,,Comprehensive survey on communication structure adaptive control and collaborative optimization for multiagent systems based on deepseek large language model,2025-09-08,2025,International Conference on Signal Image Processing and Communication (ICSIPC 2021),10.1117/12.3076579,,,,,,,secondary,search:doi:10.1117/12.3076579,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1117/12.3076579,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1109/seeda-cecnsm68644.2025.11329702,,Cyber Threat Detection and Mitigation on Social Media Using Large Language Models (LLMs): A Systematic Review,2025-09-19,2025,"SouthEast European Design Automation, Computer Engineering, Computer Networks and Social Media Conference",10.1109/seeda-cecnsm68644.2025.11329702,,,,,,,secondary,search:doi:10.1109/seeda-cecnsm68644.2025.11329702,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.1109/seeda-cecnsm68644.2025.11329702,corpus/sets/01_search_catalog/search_catalog.csv,defense,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2504.05047,,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,2025-04-07,2025,arXiv.org,,2504.05047,https://www.semanticscholar.org/paper/3d3628e20a7499664345efcc95c231e5129ea6f9,,,,,secondary,peerfirst:arxiv:2504.05047,The paper optimizes debate accuracy and model-call efficiency and does not evaluate a security adversary or property.,,,yes,broad;peerfirst;search,broad:arxiv:2504.05047;peerfirst:arxiv:2504.05047;search:arxiv:2504.05047,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
supp_decentralized_multi_agent_system_with_trust_aware_communication,supp_decentralized_multi_agent_system_with_trust_aware_communication,Decentralized Multi-Agent System with Trust-Aware Communication,2025,2025,IEEE ISPA 2025,10.1109/ispa67752.2025.00198,7752.2025,https://doi.org/10.1109/ISPA67752.2025.00198,defense,defense,defense,official_metadata_and_abstract_screened,secondary,canonical:supp_decentralized_multi_agent_system_with_trust_aware_communication,Trust scores govern communication among decentralized agents.,,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:doi:10.1109/ispa67752.2025.00198;canonical:supp_decentralized_multi_agent_system_with_trust_aware_communication;peerfirst:doi:10.1109/ispa67752.2025.00198;search:doi:10.1109/ispa67752.2025.00198;targeted:doi:10.1109/ispa67752.2025.00198;venue:ieee_ispa_2025:10_1109_ispa67752_2025_00198,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,defense,existing_corpus_role,source_reviewed_or_imported
doi:10.1145/3728933,,Extended Reality Cybersickness Assessment via User Review Analysis,2025-06-22,2025,Proc. ACM Softw. Eng.,10.1145/3728933,,,,,,,secondary,search:doi:10.1145/3728933,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1145/3728933,corpus/sets/01_search_catalog/search_catalog.csv,evaluation,title_rule_v2,assistant_derived_pending_author_signoff
allegrini2025formalizing,allegrini2025formalizing,Formalizing the Safety Security and Functional Properties of Agentic AI Systems,2025,2025,arXiv,,2510.14133,https://arxiv.org/abs/2510.14133,general,theoretical_framework,theoretical framework,assistant_source_reviewed_pending_author_signoff,secondary,canonical:allegrini2025formalizing,It formalizes cross-protocol safety/security properties but is broader than LLM-MAS security and includes agent-tool composition.,,,yes,canonical,canonical:allegrini2025formalizing,corpus/final/all_relevant_papers.csv,other,existing_corpus_role,source_reviewed_or_imported
doi:10.20944/preprints202508.1942.v1,,From Illusion to Insight: A Taxonomic Survey of Hallucination Mitigation Techniques in LLMs,2025-08-27,2025,Preprints.org,10.20944/preprints202508.1942.v1,,,,,,,secondary,search:doi:10.20944/preprints202508.1942.v1,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.20944/preprints202508.1942.v1,corpus/sets/01_search_catalog/search_catalog.csv,defense,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2504.19678,,From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,2025-04-28,2025,IEEE Access,10.1109/access.2026.3698694,2504.19678,,,,,,secondary,search:doi:10.1109/access.2026.3698694,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.1109/access.2026.3698694,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1109/wisee57913.2025.11229863,,From Prompt to Action: A Comprehensive Review of LLM Autonomous Agents,2025-10-14,2025,International Conference on Wireless for Space and Extreme Environments,10.1109/wisee57913.2025.11229863,,,,,,,secondary,search:doi:10.1109/wisee57913.2025.11229863,Parent screening assigned an exclusion decision.,,,yes,search,search:doi:10.1109/wisee57913.2025.11229863,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
li2025argus,li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,2025,2025,arXiv,,2506.00509,https://arxiv.org/abs/2506.00509,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,secondary,canonical:li2025argus,"It evaluates intentional misinformation injection and downstream multi-agent task integrity, but much of the endpoint is task performance/toxicity rather than a formal CIA/authorization property.",,,yes,broad;canonical;search;targeted,broad:arxiv:2506.00509;canonical:li2025argus;search:arxiv:2506.00509;targeted:arxiv:2506.00509,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv,defense,existing_corpus_role,source_reviewed_or_imported
cohen2025ai_worm,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,2025,2025,ACM CCS,10.1145/3719027.3765196,9027.37651,https://doi.org/10.1145/3719027.3765196,attack,attack; defense; ecosystem evaluation,attack; defense; ecosystem evaluation,source_reviewed_pending_author_signoff,secondary,canonical:cohen2025ai_worm,"The work studies a network of GenAI email and RAG applications and users. It is highly relevant to propagation, but the system boundary is broader than a population of independently stateful LLM agent cores.",,,yes,canonical,canonical:cohen2025ai_worm,corpus/final/all_relevant_papers.csv,attack,existing_corpus_role,source_reviewed_or_imported
doi:10.21203/rs.3.rs-8105108/v1,,Hybrid Multi-Agent Systems for Auditable AI Surveying,2025-11-18,2025,Research Square,10.21203/rs.3.rs-8105108/v1,,,,,,,secondary,search:doi:10.21203/rs.3.rs-8105108/v1,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.21203/rs.3.rs-8105108/v1,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
