work_key,title,evidence_set,year,venue,primary_url,interaction_interfaces,risk_or_property,interaction_dependence,scope_reason,evidence_basis,paper_section,decision_reason
motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,set1_core,2024,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,I4_delegation_action;I6_observation_defense,R2_collusion_coordination;R5_private_data_leakage,structurally_multi_agent,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=10. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,set1_core,2024,arXiv,https://arxiv.org/abs/2402.14859,I2_communication_routing,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=25. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
arxiv:2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,set1_core,2025,IEEE International WIE Conference on Electrical and Computer Engineering,https://doi.org/10.1109/wiecon-ece69386.2025.11526251,I1_boundary_admission,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,2025,ACL,https://aclanthology.org/2025.acl-long.476/,I2_communication_routing,R7_availability_cost,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=3. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
supp_ai_agents_with_decentralized_identifiers_and_verifiable_credentials,AI Agents with Decentralized Identifiers and Verifiable Credentials,set1_core,2025,ICAART 2026,https://doi.org/10.5220/0014234400004052,I4_delegation_action,R6_authority_misuse,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,set1_core,2025,ACM AsiaCCS 2026,https://doi.org/10.1145/3779208.3785380,,,,2026-08-18 source reconciliation established a material inter-agent security path: attack_graph_framework_models_inter_agent_topology_and_multi_step_security_paths_across_two_real_multi_agent_applications.,full_text,,2026-08-18 benchmark reconciliation promoted this work into set1_core: attack_graph_framework_models_inter_agent_topology_and_multi_step_security_paths_across_two_real_multi_agent_applications. 2026-08-21 named decision signoff by expiol confirmed membership and dominant contribution. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,2025,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/40224,I2_communication_routing,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=1. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,set1_core,2025,COLM,https://colmweb.org/AcceptedPapers.html,I2_communication_routing;I4_delegation_action;I6_observation_defense,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=11. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,set1_core,2025,ACL,https://aclanthology.org/2026.acl-long.1819/,I2_communication_routing;I3_state_memory;I4_delegation_action;I5_aggregation_outcome;I6_observation_defense,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,set1_core,2025,arXiv,https://arxiv.org/abs/2508.01332,I2_communication_routing;I4_delegation_action;I6_observation_defense,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=17. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,set1_core,2025,ICLR,https://openreview.net/forum?id=PNU9Rj5RDQ,I2_communication_routing;I4_delegation_action,R5_private_data_leakage;R6_authority_misuse,interaction_dependent_mechanism,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=10. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,set1_core,2025,EMNLP,https://aclanthology.org/2025.emnlp-main.611/,I4_delegation_action;I5_aggregation_outcome,R3_collective_integrity,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
supp_comet_metaphor_driven_covert_communication_for_multi_agent_language_games,CoMet: Metaphor-Driven Covert Communication for Multi-Agent Language Games,set1_core,2025,ACL 2025,https://aclanthology.org/2025.acl-long.389/,I2_communication_routing;I4_delegation_action,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,set1_core,2025,Findings of ACL,https://aclanthology.org/2026.findings-acl.342/,I2_communication_routing;I4_delegation_action,R1_propagation_persistence;R7_availability_cost,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
doi:10.1109/icca66035.2025.11430791,Cross-Agent Multimodal Provenance-Aware Framework for Robust Prompt Injection Defense in Large Language and Vision-Language Models,set1_core,2025,International Conferences on Computing Advancements,,I2_communication_routing;I4_delegation_action;I6_observation_defense,R1_propagation_persistence;R5_private_data_leakage,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
supp_decentralized_multi_agent_system_with_trust_aware_communication,Decentralized Multi-Agent System with Trust-Aware Communication,set1_core,2025,IEEE ISPA 2025,https://doi.org/10.1109/ISPA67752.2025.00198,I2_communication_routing;I4_delegation_action,R5_private_data_leakage,interaction_dependent_mechanism,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",full_text,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=4. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth,Enhancing Robustness of LLM-Driven Multi-Agent Systems through Randomized Smoothing,set1_core,2025,Chinese Journal of Aeronautics,https://doi.org/10.1016/j.cja.2025.103779,I5_aggregation_outcome,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,set1_core,2025,ACL,https://aclanthology.org/2026.acl-long.1407/,I6_observation_defense,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
arxiv:2509.11035,Free-MAD: Consensus-Free Multi-Agent Debate,set1_core,2025,FINDINGS ACL,https://doi.org/10.18653/v1/2026.findings-acl.1600,I2_communication_routing;I4_delegation_action;I5_aggregation_outcome,R1_propagation_persistence;R3_collective_integrity;R4_trajectory_goal_drift;R7_availability_cost,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=general. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=general.
wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,set1_core,2025,ACL,https://aclanthology.org/2025.acl-long.359/,I2_communication_routing,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=8. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,set1_core,2025,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html,I4_delegation_action,R1_propagation_persistence,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=28. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,set1_core,2025,IJCNLP-AACL,https://aclanthology.org/2025.ijcnlp-long.34/,,,,2026-08-18 source reconciliation established a material inter-agent security path: source_review_marks_core_security_with_sender_receiver_collusion_and_overseer.,abstract,,2026-08-18 benchmark reconciliation promoted this work into set1_core: source_review_marks_core_security_with_sender_receiver_collusion_and_overseer. 2026-08-21 named decision signoff by expiol confirmed membership and dominant contribution. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,set1_core,2025,NeurIPS Responsible Foundation Models Workshop,https://nips.cc/virtual/2025/workshop/127834,I4_delegation_action,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=7. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
doi:10.1109/apsec66846.2025.00086,MAJD: Intent-Aware Multi-Agent Framework for Jailbreak Defense,set1_core,2025,Asia-Pacific Software Engineering Conference,,I1_boundary_admission;I4_delegation_action,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,set1_core,2025,COLM,https://openreview.net/forum?id=DAozI4etUp,I1_boundary_admission;I2_communication_routing;I4_delegation_action,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=53. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,set1_core,2025,Findings of EACL,https://aclanthology.org/2026.findings-eacl.237/,,,,2026-08-18 source reconciliation established a material inter-agent security path: planner_executor_role_separation_and_role_specific_attacks_make_inter_agent_path_material.,abstract,,2026-08-18 benchmark reconciliation promoted this work into set1_core: planner_executor_role_separation_and_role_specific_attacks_make_inter_agent_path_material. 2026-08-21 named decision signoff by expiol confirmed membership and dominant contribution. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
supp_peerguard_defending_multi_agent_systems_against_backdoor_attacks_through_mutual_,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,set1_core,2025,IEEE IRI 2025,https://doi.org/10.1109/IRI66576.2025.00051,I2_communication_routing;I4_delegation_action,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
doi:10.1109/bigdata66926.2025.11401523,Quantifying Privacy Leakage in Multi-Agent LLMs: A Unified Theoretical and Empirical Analysis,set1_core,2025,BigData Congress [Services Society],,I1_boundary_admission;I2_communication_routing;I4_delegation_action,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,set1_core,2025,Findings of ACL,https://aclanthology.org/2025.findings-acl.349/,I2_communication_routing;I4_delegation_action,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=10. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,set1_core,2025,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/40806,I2_communication_routing;I5_aggregation_outcome,R3_collective_integrity,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,set1_core,2025,arXiv,https://arxiv.org/abs/2506.07564,I1_boundary_admission;I3_state_memory;I4_delegation_action;I6_observation_defense,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=26. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
supp_safesieve_from_heuristics_to_experience_in_progressive_pruning_for_llm_based_mul,SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Communication,set1_core,2025,AAAI 2026,https://ojs.aaai.org/index.php/AAAI/article/view/40236,I2_communication_routing,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
arxiv:5154.37952,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,set1_core,2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,https://doi.org/10.1145/3795154.3795296,I2_communication_routing;I4_delegation_action;I6_observation_defense,R5_private_data_leakage;R7_availability_cost,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=12. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
doi:10.4018/979-8-3373-1419-8.ch009,Security and Privacy in Multi-Agent LLM Networks,set1_core,2025,Advances in computational intelligence and robotics book series,,I2_communication_routing;I5_aggregation_outcome,R3_collective_integrity;R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=defense. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
doi:10.1109/trustcom66490.2025.00226,Security of LLM Agents: A Case Study Approach,set1_core,2025,"International Conference on Trust, Security and Privacy in Computing and Communications",,I2_communication_routing;I4_delegation_action,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=evaluation. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
arxiv:2509.14956,Sentinel Agents for Secure and Trustworthy Agentic AI in Multi-Agent Systems,set1_core,2025,arXiv.org,,I1_boundary_admission;I2_communication_routing;I6_observation_defense,R5_private_data_leakage,interaction_dependent_mechanism,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=10. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,set1_core,2025,arXiv,https://arxiv.org/abs/2505.24201,I1_boundary_admission;I4_delegation_action;I6_observation_defense,R2_collusion_coordination,structurally_multi_agent,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=19. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
ko2026sevenchallenges,Seven Security Challenges in Cross-Domain Multi-Agent LLM Systems,set1_core,2025,npj Artificial Intelligence,https://doi.org/10.1038/s44387-026-00128-9,I2_communication_routing,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=survey.
wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,set1_core,2025,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/41134,unspecified,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
