priority,paper_id,risk_family,review_focus,primary_url,note_path,metadata_precheck,evidence_locator_precheck,scope_precheck,human_review_status,reviewer,adjudication_note
11,huang2026whispering_agents,collusion,Protocol and covert-communication claims,https://ojs.aaai.org/index.php/AAAI/article/view/40380,papers/evaluations/aaai/2026_huang_whispering_agents.md,official_source_recorded,5_rows_present_not_human_verified,security_relevant,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
12,wang2026masleak,confidentiality,IP extraction and denominator claims,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,papers/attacks/usenix_security/2026_wang_masleak.md,official_source_recorded,3_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after minor patch; author signoff required.
13,liu2026topology_memory,confidentiality,Topology-conditioned leakage claims,https://aclanthology.org/2026.findings-acl.1980/,papers/evaluations/findings_acl/2026_liu_topology_memory_leakage.md,official_source_recorded,5_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
14,he2025communication_attacks,communication,Attacker position and tampering claims,https://aclanthology.org/2025.findings-acl.349/,papers/attacks/findings_acl/2025_he_communication_attacks.md,official_source_recorded,4_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after minor patch; author signoff required.
15,liu2025collective_manipulation,decision_integrity,Single-member influence claims,https://aclanthology.org/2025.emnlp-main.611/,papers/attacks/emnlp/2025_liu_manipulate_collective_decisions.md,official_source_recorded,5_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after minor patch; author signoff required.
16,zheng2026byzantine_reliability,byzantine,Fault model and threshold claims,https://ojs.aaai.org/index.php/AAAI/article/view/40806,papers/defenses/aaai/2026_zheng_byzantine_reliability.md,official_source_recorded,5_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
17,triedman2025malicious_code,control_flow,Execution path and mitigation claims,https://openreview.net/forum?id=DAozI4etUp,papers/attacks/colm/2025_triedman_malicious_code.md,official_source_recorded,3_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
18,arif2026conjunctive,compositional_authority,Fragment composition and impact claims,https://aclanthology.org/2026.acl-long.1577/,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md,official_source_recorded,3_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
19,zhao2026parasites,protocol_toolchain,Supply-chain scope and prevalence claims,https://doi.org/10.1109/SP63933.2026.00154,papers/attacks/ieee_security_privacy/2026_zhao_parasites_toolchain.md,official_source_recorded,4_rows_present_not_human_verified,security_relevant,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
20,li2026a2asecbench,identity_protocol,A2A lifecycle and benchmark claims,https://openreview.net/pdf?id=LfdFnakqGJ,papers/evaluations/iclr/2026_li_a2asecbench.md,official_source_recorded,7_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Published ICLR paper recovered and exact evidence locators recorded; named author signoff required.
