review_row,candidate_basis,record_id,title,publication_date,canonical_venue,publication_status,venue_type,citations,citation_snapshot_date,doi,arxiv_id,source_url,current_corpus_paper_id,current_corpus_primary_category,current_corpus_scope_relation,current_corpus_note_path,prior_source_review_status,prior_recommended_scope,prior_gate_decision,canonical_version_reviewed,full_text_read,gate_multiagent_boundary,gate_explicit_interaction,gate_direct_security_relevance,gate_interaction_dependence,gate_canonical_full_text_evidence,human_final_decision,human_primary_category,human_scope_relation,evidence_locations,decision_reason,reviewer,second_reviewer,review_date,adjudication_note,duplicate_of_record_id,human_signoff_complete
11,current_canonical_corpus;peer_reviewed_broad_inclusion,arxiv:2504.00218,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,2025-03-31,ACL,peer_reviewed,conference,38,2026-08-06,10.18653/v1/2025.acl-long.476,2504.00218,https://aclanthology.org/2025.acl-long.476/,khan2025agents_under_siege,attack,core_security,papers/attacks/acl/2025_khan_agents_under_siege.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
12,peer_reviewed_broad_inclusion,arxiv:2506.22957,Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models,2025-06-28,Conference on Empirical Methods in Natural Language Processing,peer_reviewed,conference,4,2026-08-06,arxiv:2506.22957,2506.22957,https://dblp.org/rec/conf/emnlp/ChoiLYJ25,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
13,peer_reviewed_broad_inclusion,doi:10.5220/0014234400004052,AI Agents with Decentralized Identifiers and Verifiable Credentials,2025-10-01,International Conference on Agents and Artificial Intelligence,peer_reviewed,conference,12,2026-08-06,10.5220/0014234400004052,2511.02841,https://doi.org/10.5220/0014234400004052,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
14,current_canonical_corpus,han2025alignment_tipping,Alignment Tipping Process: How Self-Evolution Pushes LLM Agents Off the Rails,2025,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2510.04860,2510.04860,https://arxiv.org/abs/2510.04860,han2025alignment_tipping,attack,security_relevant,papers/attacks/arxiv/2025_han_alignment_tipping.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
15,current_canonical_corpus,rabieinejad2026alteda,ALTEDA: An Adaptive Layered Threat Detection Architecture for Multi-Agent Systems,2026,Information Processing & Management,peer_reviewed,,,,10.1016/j.ipm.2026.104768,,https://doi.org/10.1016/j.ipm.2026.104768,rabieinejad2026alteda,defense,core_security,papers/defenses/journals_information_processing_management/2026_rabieinejad_alteda.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
16,current_canonical_corpus;peer_reviewed_broad_inclusion,arxiv:2602.05176,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,2026-02-05,ACL,peer_reviewed,conference,1,2026-08-06,10.18653/v1/2026.acl-long.725,2602.05176,https://aclanthology.org/2026.acl-long.725/,yang2026among_us,attack,core_security,papers/attacks/acl/2026_yang_among_us.md,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,,,,,,,,,,,,,,,,,,
17,peer_reviewed_broad_inclusion,doi:10.1109/wiecon-ece69386.2025.11526251,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,2025-09-16,IEEE International WIE Conference on Electrical and Computer Engineering,peer_reviewed,conference,12,2026-08-06,10.1109/wiecon-ece69386.2025.11526251,2509.14285,https://doi.org/10.1109/wiecon-ece69386.2025.11526251,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
18,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.48448/99k0-6828,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,2025-05-30,IJCNLP-AACL,peer_reviewed,conference,,2026-08-06,10.18653/v1/2025.ijcnlp-long.90,2505.24239,https://aclanthology.org/2025.ijcnlp-long.90/,ebrahimi2025credibility,defense,core_security,papers/defenses/ijcnlp_aacl/2025_ebrahimi_credibility_scoring.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
19,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.1109/icmla66185.2025.00174,Analyzing Code Injection Attacks on LLM-based Multi-Agent Systems in Software Development,2025-12-03,ICMLA,peer_reviewed,conference,2,2026-08-06,10.1109/ICMLA66185.2025.00174,2512.21818,https://doi.org/10.1109/ICMLA66185.2025.00174,bowers2025code_injection,attack,core_security,papers/attacks/icmla/2025_bowers_code_injection.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
20,peer_reviewed_broad_inclusion,doi:10.18653/v1/2025.findings-acl.265,An Empirical Study of Group Conformity in Multi-Agent Systems,2025-06-02,FINDINGS ACL,peer_reviewed,conference,,2026-08-06,10.18653/v1/2025.findings-acl.265,2506.01332,https://doi.org/10.18653/v1/2025.findings-acl.265,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
21,current_canonical_corpus,hagag2026architecture_matters,Architecture Matters for Multi-Agent Security,2026,ICML,non_peer_or_unverified,,,,,2604.23459,https://icml.cc/virtual/2026/poster/64792,hagag2026architecture_matters,attack,core_security,papers/attacks/icml/2026_hagag_architecture_matters.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
22,peer_reviewed_broad_inclusion,doi:10.1109/iv55156.2024.10588403,A Superalignment Framework in Autonomous Driving with Large Language Models,2024-06-02,2024 IEEE Intelligent Vehicles Symposium (IV),peer_reviewed,conference,21,2026-08-06,10.1109/iv55156.2024.10588403,2406.05651,https://dblp.org/rec/conf/ivs/KongBFW24,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
23,peer_reviewed_broad_inclusion,doi:10.1145/3779208.3785380,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,2025-06-03,ACM Asia Conference on Computer and Communications Security,peer_reviewed,conference,6,2026-08-06,10.1145/3779208.3785380,2506.02859,https://doi.org/10.1145/3779208.3785380,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
24,peer_reviewed_broad_inclusion,doi:10.18653/v1/2024.emnlp-main.610,ATM: Adversarial Tuning Multi-agent System Makes a Robust Retrieval-Augmented Generator,2024-01-01,EMNLP MAIN,peer_reviewed,conference,,2026-08-06,10.18653/v1/2024.emnlp-main.610,2405.18111,https://doi.org/10.18653/v1/2024.emnlp-main.610,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
25,peer_reviewed_broad_inclusion,doi:10.5220/0014840300004015,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026-03-18,International Conference on Evaluation of Novel Approaches to Software Engineering,peer_reviewed,conference,5,2026-08-06,10.5220/0014840300004015,2603.18096,https://dblp.org/rec/conf/enase/PaduraruBS26,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
26,current_canonical_corpus,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,2025,ACL,peer_reviewed,,,,10.18653/v1/2025.acl-long.859,,https://aclanthology.org/2025.acl-long.859/,men2025troublemaker,attack,core_security,papers/attacks/acl/2025_men_troublemaker.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
27,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.1609/aaai.v40i35.40224,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",2025-08-05,AAAI,peer_reviewed,conference,1,2026-08-06,10.1609/aaai.v40i35.40224,2508.03125,https://ojs.aaai.org/index.php/AAAI/article/view/40224,yan2026mast,attack,core_security,papers/attacks/aaai/2026_yan_attack_messages.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
28,current_canonical_corpus,tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,2025,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2510.04303,2510.04303,https://arxiv.org/abs/2510.04303,tailor2025auditwhisper,defense,security_relevant,papers/defenses/arxiv/2025_tailor_audit_whisper.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
29,peer_reviewed_broad_inclusion,doi:10.1109/iros60139.2025.11247695,AutoMisty: A Multi-Agent LLM Framework for Automated Code Generation in the Misty Social Robot,2025-03-09,IEEE/RJS International Conference on Intelligent RObots and Systems,peer_reviewed,conference,9,2026-08-06,10.1109/iros60139.2025.11247695,2503.06791,https://doi.org/10.1109/iros60139.2025.11247695,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
30,peer_reviewed_broad_inclusion,doi:10.1145/3774904.3792976,Belief-Driven Multi-Agent Collaboration via Approximate Perfect Bayesian Equilibrium for Social Simulation,2026-03-26,The Web Conference,peer_reviewed,conference,2,2026-08-06,10.1145/3774904.3792976,2603.24973,https://doi.org/10.1145/3774904.3792976,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
31,current_canonical_corpus,nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,2026,COLM,peer_reviewed,,,,,,https://colmweb.org/AcceptedPapers.html,nother2026badacts,evaluation,security_relevant,papers/evaluations/colm/2026_nother_bad_acts.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
32,current_canonical_corpus,zhao2026macbench,Beyond Goodhart's Law: A Dynamic Benchmark for Evaluating Compliance in Multi-Agent Systems,2026,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2606.07805,2606.07805,https://arxiv.org/abs/2606.07805,zhao2026macbench,evaluation,security_relevant,papers/evaluations/arxiv/2026_zhao_macbench.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
33,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.48448/812p-ac41,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,2025-08-11,ACL,peer_reviewed,conference,,2026-08-06,10.18653/v1/2026.acl-long.1819,2508.08127,https://aclanthology.org/2026.acl-long.1819/,miao2026blindguard,defense,core_security,papers/defenses/acl/2026_miao_blindguard.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
34,current_canonical_corpus,zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,2025,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2508.01332,2508.01332,https://arxiv.org/abs/2508.01332,zou2025blocka2a,defense,core_security,papers/defenses/arxiv/2025_zou_blocka2a.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
35,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.48448/m2r6-kd98,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2024-07-30,EMNLP,peer_reviewed,conference,,2026-08-06,10.18653/v1/2025.emnlp-main.1771,2407.20859,https://aclanthology.org/2025.emnlp-main.1771/,zhang2025breaking_agents,attack,core_security,papers/attacks/emnlp/2025_zhang_breaking_agents.md,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,,,,,,,,,,,,,,,,,,
36,current_canonical_corpus;non_peer_citations_gte_10,arxiv:2510.17276,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,2025-10-20,ICLR,non_peer_or_unverified,,10,2026-08-06,arxiv:2510.17276,2510.17276,https://openreview.net/forum?id=PNU9Rj5RDQ,jha2026control_flow_hijacking,attack,core_security,papers/attacks/iclr/2026_jha_control_flow_hijacking.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
37,current_canonical_corpus,jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,2025,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2507.14928,2507.14928,https://arxiv.org/abs/2507.14928,jo2025byzantinerobust,defense,core_security,papers/defenses/arxiv/2025_jo_byzantine_robust.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
38,current_canonical_corpus,zou2026calbench,CalBench: Evaluating Coordination-Privacy Trade-offs in Multi-Agent LLMs,2026,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2605.09823,2605.09823,https://arxiv.org/abs/2605.09823,zou2026calbench,evaluation,core_security,papers/evaluations/arxiv/2026_zou_calbench.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
39,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.18653/v1/2025.emnlp-main.611,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,2025-01-01,EMNLP,peer_reviewed,conference,,2026-08-06,10.18653/v1/2025.emnlp-main.611,2509.16494,https://aclanthology.org/2025.emnlp-main.611/,liu2025collective_manipulation,attack,core_security,papers/attacks/emnlp/2025_liu_manipulate_collective_decisions.md,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
40,peer_reviewed_broad_inclusion,doi:10.48448/3wwf-5e15,Chain-of-Query: Unleashing the Power of LLMs in SQL-Aided Table Understanding via Multi-Agent Collaboration,2025-08-14,IJCNLP-AACL,peer_reviewed,conference,,2026-08-06,10.48448/3wwf-5e15,2508.15809,https://doi.org/10.48448/3wwf-5e15,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
41,non_peer_citations_gte_10,arxiv:2506.07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025-06-09,arXiv.org,non_peer_or_unverified,,31,2026-08-06,arxiv:2506.07468,2506.07468,https://www.semanticscholar.org/paper/21251d14f97926bf4c19b8cfaab8a3d101f7fa71,,,,,agent_unverified,adjacent,adjacent_not_core,,,,,,,,,,,,,,,,,,
42,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.48448/ge0h-x321,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,2026-06-03,ACL,peer_reviewed,conference,,2026-08-06,10.18653/v1/2026.acl-long.815,2604.12461,https://aclanthology.org/2026.acl-long.815/,wu2026cia,attack,core_security,papers/attacks/acl/2026_wu_cia.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
43,non_peer_citations_gte_10,arxiv:2501.07811,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,2025-01-14,arXiv.org,non_peer_or_unverified,,37,2026-08-06,arxiv:2501.07811,2501.07811,https://www.semanticscholar.org/paper/59efb90a519cf5df0aaadb3778d2d1028d2d666e,,,,,agent_unverified,adjacent,adjacent_not_core,,,,,,,,,,,,,,,,,,
44,peer_reviewed_broad_inclusion,arxiv:2407.09897,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,2024-07-13,COLM 2024,peer_reviewed,conference,13,2026-08-06,10.48550/arxiv.2407.09897,2407.09897,https://openreview.net/forum?id=3ypWPhMGhV,,,,,agent_unverified,adjacent,adjacent_not_core,,,,,,,,,,,,,,,,,,
45,current_canonical_corpus,zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,2025,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2510.11246,2510.11246,https://arxiv.org/abs/2510.11246,zhu2025_collaborative_shadows,attack,core_security,papers/attacks/arxiv/2025_zhu_collaborative_shadows.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
46,current_canonical_corpus,nakamura2026colosseum,Colosseum: Auditing Collusion in Cooperative Multi-Agent Systems,2026,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2602.15198,2602.15198,https://arxiv.org/abs/2602.15198,nakamura2026colosseum,evaluation,core_security,papers/evaluations/arxiv/2026_nakamura_colosseum.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
47,peer_reviewed_broad_inclusion,doi:10.18653/v1/2025.acl-long.389,CoMet: Metaphor-Driven Covert Communication for Multi-Agent Language Games,2025-05-23,ACL LONG,peer_reviewed,conference,,2026-08-06,10.18653/v1/2025.acl-long.389,2505.18218,https://doi.org/10.18653/v1/2025.acl-long.389,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
48,current_canonical_corpus,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,2026,ACL,peer_reviewed,,,,10.18653/v1/2026.acl-long.1577,,https://aclanthology.org/2026.acl-long.1577/,arif2026conjunctive,attack,core_security,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
49,peer_reviewed_broad_inclusion,doi:10.52202/079017-2658,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2023-09-29,Neural Information Processing Systems,peer_reviewed,conference,114,2026-08-06,10.52202/079017-2658,2309.17234,https://dblp.org/rec/conf/nips/AbdelnabiGSSF24,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
50,non_peer_citations_gte_10,arxiv:2412.11014,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,2024-12-15,,non_peer_or_unverified,,11,2026-08-06,arxiv:2412.11014,2412.11014,https://www.semanticscholar.org/paper/d3172458e2ac692892ff090ddb216f05787fc4d4,,,,,agent_unverified,adjacent,adjacent_not_core,,,,,,,,,,,,,,,,,,
51,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.18653/v1/2026.findings-acl.342,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,2026-01-01,Findings of ACL,peer_reviewed,conference,0,2026-08-06,10.18653/v1/2026.findings-acl.342,2502.14529,https://aclanthology.org/2026.findings-acl.342/,zhou2026corba,attack,core_security,papers/attacks/findings_acl/2026_zhou_corba.md,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
52,peer_reviewed_broad_inclusion,doi:10.18653/v1/2025.emnlp-main.958,Counterfactual-based Agent Influence Ranker for Agentic AI Workflows,2025-10-29,EMNLP MAIN,peer_reviewed,conference,1,2026-08-06,10.18653/v1/2025.emnlp-main.958,2510.25612,https://dblp.org/rec/conf/emnlp/GiloniPBBSV25,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
53,current_canonical_corpus,wu2025cowpox,Cowpox: Towards the Immunity of VLM-based Multi-Agent Systems,2025,ICML,peer_reviewed,,,,,,https://proceedings.mlr.press/v267/wu25aq.html,wu2025cowpox,defense,core_security,papers/defenses/icml/2025_wu_cowpox.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
54,peer_reviewed_broad_inclusion,doi:10.1109/eucnc/6gsummit68295.2026.11577467,Cross-Domain Query Translation for Network Troubleshooting: A Multi-Agent LLM Framework with Privacy Preservation and Self-Reflection,2026-06-02,2026 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),peer_reviewed,conference,0,2026-08-06,10.1109/eucnc/6gsummit68295.2026.11577467,2604.13353,https://doi.org/10.1109/eucnc/6gsummit68295.2026.11577467,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
55,peer_reviewed_broad_inclusion,arxiv:2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,2024-10-03,International Conference on Learning Representations,peer_reviewed,conference,121,2026-08-06,arxiv:2410.02506,2410.02506,https://dblp.org/rec/conf/iclr/ZhangYLYWWCY025,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
56,peer_reviewed_broad_inclusion,doi:10.1609/aaai.v40i31.39812,DAWN: Distributed LLM Multi-Agent Workflow Synthesis,2026-03-14,AAAI proceedings,peer_reviewed,conference,2,2026-08-06,10.1609/aaai.v40i31.39812,,https://dblp.org/rec/conf/aaai/WanZWSJZBMZLH26,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
57,peer_reviewed_broad_inclusion,doi:10.18653/v1/2026.eacl-long.392,"Debate, Deliberate, Decide (D3): A Cost-Aware Adversarial Framework for Reliable and Interpretable LLM Evaluation",2026-01-01,EACL LONG,peer_reviewed,conference,15,2026-08-06,10.18653/v1/2026.eacl-long.392,2410.04663,https://dblp.org/rec/conf/eacl/HarrasseBB26,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
58,non_peer_citations_gte_10,arxiv:2504.05047,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,2025-04-07,arXiv.org,non_peer_or_unverified,,24,2026-08-06,arxiv:2504.05047,2504.05047,https://www.semanticscholar.org/paper/3d3628e20a7499664345efcc95c231e5129ea6f9,,,,,agent_unverified,adjacent,adjacent_not_core,,,,,,,,,,,,,,,,,,
59,peer_reviewed_broad_inclusion,doi:10.1109/ispa67752.2025.00198,Decentralized Multi-Agent System with Trust-Aware Communication,2025-12-02,International Symposium on Image and Signal Processing and Analysis,peer_reviewed,conference,6,2026-08-06,10.1109/ispa67752.2025.00198,2512.02410,https://doi.org/10.1109/ispa67752.2025.00198,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
60,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.65109/frxl8789,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,2026-03-27,AAMAS,peer_reviewed,conference,4,2026-08-06,10.65109/FRXL8789,2603.26635,https://doi.org/10.65109/FRXL8789,milkowski2026amongus,evaluation,security_relevant,papers/evaluations/aamas/2026_milkowski_among_us.md,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,,,,,,,,,,,,,,,,,,
61,peer_reviewed_broad_inclusion,doi:10.1007/s43681-026-01048-9,Deliberation and drift: Evaluating alignment fragility in multi-agent medical artificial intelligence,2026-03-15,AI and Ethics,peer_reviewed,journal,0,2026-08-06,10.1007/s43681-026-01048-9,,https://dblp.org/rec/journals/aiethics/HungWMSJ26,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
62,current_canonical_corpus,zheng2025integrity_attacks,Demonstrations of Integrity Attacks in Multi-Agent Systems,2025,arXiv,non_peer_or_unverified,,,,10.48550/arXiv.2506.04572,2506.04572,https://arxiv.org/abs/2506.04572,zheng2025integrity_attacks,attack,core_security,papers/attacks/arxiv/2025_zheng_integrity_attacks.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
