record_id,canonical_paper_id,title,publication_date,venue,doi,arxiv_id,publication_status,venue_type,citations,citation_snapshot_date,candidate_basis,source_review_status,recommended_scope,gate_decision,decision_reason
arxiv:2503.04392,mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025-03-06,arXiv.org,10.48550/arXiv.2503.04392,2503.04392,non_peer_or_unverified,,42,2026-08-06,non_peer_citations_gt_10,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2503.12188,triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,2025-03-15,COLM,10.48550/arxiv.2503.12188,2503.12188,peer_reviewed,conference,51,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2504.00218,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,2025-03-31,ACL,10.18653/v1/2025.acl-long.476,2504.00218,peer_reviewed,conference,38,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2504.00374,,When Persuasion Overrides Truth in Multi-Agent LLM Debates: Introducing a Confidence-Weighted Persuasion Override Rate (CW-POR),2025-04-01,arXiv.org,arxiv:2504.00374,2504.00374,non_peer_or_unverified,,11,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2504.05047,,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,2025-04-07,arXiv.org,arxiv:2504.05047,2504.05047,non_peer_or_unverified,,24,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2505.18572,zhu2025master,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,2025-05-24,Findings of EMNLP,10.18653/v1/2025.findings-emnlp.917,2505.18572,peer_reviewed,conference,5,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2505.19234,zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025-05-25,NeurIPS,10.48550/arxiv.2505.19234,2505.19234,peer_reviewed,conference,28,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2505.20824,chen2025medsentry,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,2025-05-27,arXiv.org,10.48550/arXiv.2505.20824,2505.20824,non_peer_or_unverified,,12,2026-08-06,non_peer_citations_gt_10,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2505.22960,,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2025-05-29,arXiv.org,arxiv:2505.22960,2505.22960,non_peer_or_unverified,,19,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2505.24201,,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,2025-05-30,arXiv.org,arxiv:2505.24201,2505.24201,non_peer_or_unverified,,19,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2506.07468,,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025-06-09,arXiv.org,arxiv:2506.07468,2506.07468,non_peer_or_unverified,,31,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2506.07564,,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,2025-06-09,arXiv.org,arxiv:2506.07564,2506.07564,non_peer_or_unverified,,25,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2506.09600,,Effective Red-Teaming of Policy-Adherent Agents,2025-06-11,Conference on Empirical Methods in Natural Language Processing,arxiv:2506.09600,2506.09600,peer_reviewed,conference,10,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2506.22957,,Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models,2025-06-28,Conference on Empirical Methods in Natural Language Processing,arxiv:2506.22957,2506.22957,peer_reviewed,conference,4,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2508.07667,,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,2025-08-11,arXiv.org,arxiv:2508.07667,2508.07667,non_peer_or_unverified,,16,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2509.01211,kong2026web_fraud,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,2025-09-01,Findings of ACL,10.18653/v1/2026.findings-acl.686,2509.01211,peer_reviewed,conference,8,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2509.14284,,The Sum Leaks More Than Its Parts: Compositional Privacy Risks and Mitigations in Multi-Agent Collaboration,2025-09-16,arXiv.org,arxiv:2509.14284,2509.14284,non_peer_or_unverified,,15,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2510.07505,dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,2025-10-08,Findings of EACL,10.18653/v1/2026.findings-eacl.237,2510.07505,peer_reviewed,conference,5,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2510.15186,juneja2025magpie,MAGPIE: A benchmark for Multi-AGent contextual PrIvacy Evaluation,2025-10-16,NeurIPS Responsible Foundation Models Workshop,arxiv:2510.15186,2510.15186,non_peer_or_unverified,,21,2026-08-06,non_peer_citations_gt_10,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2510.27617,,VeriMoA: A Mixture-of-Agents Framework for Spec-to-HDL Generation,2025-10-31,arXiv.org,arxiv:2510.27617,2510.27617,non_peer_or_unverified,,14,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2511.06134,,Maestro: Learning to Collaborate via Conditional Listwise Policy Optimization for Multi-Agent LLMs,2025-11-08,arXiv.org,arxiv:2511.06134,2511.06134,non_peer_or_unverified,,15,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2512.09187,,WOLF: Werewolf-based Observations for LLM Deception and Falsehoods,2025-12-09,arXiv.org,arxiv:2512.09187,2512.09187,non_peer_or_unverified,,12,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2601.04170,,Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions,2026-01-07,arXiv.org,arxiv:2601.04170,2601.04170,non_peer_or_unverified,,18,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2601.11369,,Institutional AI: Governing LLM Collusion in Multi-Agent Cournot Markets via Public Governance Graphs,2026-01-16,arXiv.org,arxiv:2601.11369,2601.11369,non_peer_or_unverified,,12,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2601.11893,,Taming Various Privilege Escalation in LLM-Based Agent Systems: A Mandatory Access Control Framework,2026-01-17,arXiv.org,arxiv:2601.11893,2601.11893,non_peer_or_unverified,,37,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2602.05176,yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,2026-02-05,ACL,10.18653/v1/2026.acl-long.725,2602.05176,peer_reviewed,conference,1,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.1007/978-3-032-16092-8_28,lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems,2024-10-09,ESORICS 2025 International Workshops,10.1007/978-3-032-16092-8_28,2410.07283,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.1007/978-981-92-0071-9_9,,Heterogeneous Debate Engine: Identity-Grounded Cognitive Architecture for Resilient LLM-Based Ethical Tutoring,2026-03-28,Asian Conference on Intelligent Information and Database Systems,10.1007/978-981-92-0071-9_9,2603.27404,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1007/s11432-024-4663-2,ju2026flooding,Flooding spread of manipulated knowledge in LLM-based multi-agent communities,2024-07-10,Science China Information Sciences,10.1007/s11432-024-4663-2,2407.07791,peer_reviewed,journal,82,2026-08-06,peer_reviewed_backbone,blocked_pending_exact_source,core_security,blocked_source_verification,pending_final_source_verification
doi:10.1007/s40747-025-02096-0,,Leveraging multi-agent framework for root cause analysis,2025-11-06,Complex & Intelligent Systems,10.1007/s40747-025-02096-0,,peer_reviewed,journal,6,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1007/s43681-026-01048-9,,Deliberation and drift: Evaluating alignment fragility in multi-agent medical artificial intelligence,2026-03-15,AI and Ethics,10.1007/s43681-026-01048-9,,peer_reviewed,journal,0,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1016/j.cja.2025.103779,,Enhancing Robustness of LLM-Driven Multi-Agent Systems through Randomized Smoothing,2025-07-05,Chinese Journal of Aeronautics,10.1016/j.cja.2025.103779,2507.04105,peer_reviewed,journal,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/access.2026.3704541,elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,2026-02-12,IEEE Access,10.1109/ACCESS.2026.3704541,2602.11510,peer_reviewed,journal,6,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.1109/eucnc/6gsummit68295.2026.11577467,,Cross-Domain Query Translation for Network Troubleshooting: A Multi-Agent LLM Framework with Privacy Preservation and Self-Reflection,2026-06-02,2026 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),10.1109/eucnc/6gsummit68295.2026.11577467,2604.13353,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/fllm67465.2025.11391246,,Evaluating Multi-Agent Defences Against Jailbreaking Attacks on Large Language Models,2025-06-30,2025 3rd International Conference on Foundation and Large Language Models (FLLM),10.1109/fllm67465.2025.11391246,2506.23576,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/ica67499.2025.00033,,Hidden in Plain Text: Measuring LLM Deception Quality Against Human Baselines Using Social Deduction Games,2025-12-05,International Conference on Agents,10.1109/ica67499.2025.00033,2601.13709,peer_reviewed,conference,5,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/icmla66185.2025.00174,bowers2025code_injection,Analyzing Code Injection Attacks on LLM-based Multi-Agent Systems in Software Development,2025-12-03,ICMLA,10.1109/ICMLA66185.2025.00174,2512.21818,peer_reviewed,conference,2,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.1109/iri66576.2025.00051,,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,2025-05-16,IEEE International Conference on Information Reuse and Integration,10.1109/iri66576.2025.00051,2505.11642,peer_reviewed,conference,10,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/iros60139.2025.11247695,,AutoMisty: A Multi-Agent LLM Framework for Automated Code Generation in the Misty Social Robot,2025-03-09,IEEE/RJS International Conference on Intelligent RObots and Systems,10.1109/iros60139.2025.11247695,2503.06791,peer_reviewed,conference,9,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/ispa67752.2025.00198,,Decentralized Multi-Agent System with Trust-Aware Communication,2025-12-02,International Symposium on Image and Signal Processing and Analysis,10.1109/ispa67752.2025.00198,2512.02410,peer_reviewed,conference,6,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/iv55156.2024.10588403,,A Superalignment Framework in Autonomous Driving with Large Language Models,2024-06-02,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/iv55156.2024.10588403,2406.05651,peer_reviewed,conference,21,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/tcss.2026.3695070,xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,2026-01-01,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2026.3695070,2510.18563,peer_reviewed,journal,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.1109/tpami.2026.3694367,,Evolving Diverse Red-team Language Models in Multi-round Multi-agent Games.,2023-09-30,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2026.3694367,2310.00322,peer_reviewed,journal,18,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1109/wiecon-ece69386.2025.11526251,,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,2025-09-16,IEEE International WIE Conference on Electrical and Computer Engineering,10.1109/wiecon-ece69386.2025.11526251,2509.14285,peer_reviewed,conference,12,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1145/3774904.3792462,feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,2025-10-17,The Web Conference,10.1145/3774904.3792462,2510.16219,peer_reviewed,conference,6,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.1145/3774904.3792976,,Belief-Driven Multi-Agent Collaboration via Approximate Perfect Bayesian Equilibrium for Social Simulation,2026-03-26,The Web Conference,10.1145/3774904.3792976,2603.24973,peer_reviewed,conference,2,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1145/3779208.3785380,,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,2025-06-03,ACM Asia Conference on Computer and Communications Security,10.1145/3779208.3785380,2506.02859,peer_reviewed,conference,6,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1145/3786335.3813181,,Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models,2025-03-03,ACM CAIS 2026,10.1145/3786335.3813181,2503.01829,peer_reviewed,conference,29,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1145/3795154.3795296,,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,2025-12-29,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,10.1145/3795154.3795296,,peer_reviewed,conference,13,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1145/3805760.3814914,,Understanding Conversational Patterns in Multi-agent Programming: A Case Study on Fibonacci Game Development,2026-05-22,Proceedings of the 3rd ACM International Conference on AI-Powered Software,10.1145/3805760.3814914,2605.24138,peer_reviewed,conference,1,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1145/3813808.3813811,,MIN-Trust: A Minimum Necessary Information Trust Orchestration Framework for Multi-Agent Collaboration,2026-02-06,Proceedings of the 2026 International Conference on Generative Artificial Intelligence and Education,10.1145/3813808.3813811,,peer_reviewed,conference,8,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.14569/ijacsa.2026.0170403,,Interruptible Multi-Agent Debate: Sentence-Level Disclosure and Urgency-Based Turn-Taking for Early Error Correction,2026-01-01,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2026.0170403,,peer_reviewed,journal,0,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1609/aaai.v40i31.39812,,DAWN: Distributed LLM Multi-Agent Workflow Synthesis,2026-03-14,AAAI proceedings,10.1609/aaai.v40i31.39812,,peer_reviewed,conference,2,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1609/aaai.v40i35.40224,yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",2025-08-05,AAAI,10.1609/aaai.v40i35.40224,2508.03125,peer_reviewed,conference,1,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.1609/aaai.v40i35.40236,,SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Communication,2025-08-15,AAAI proceedings,10.1609/aaai.v40i35.40236,2508.11733,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1609/aaai.v40i41.40824,zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,2026-01-08,AAAI,10.1609/aaai.v40i41.40824,2601.04694,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.1609/aaai.v40i44.41065,darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,2026-01-07,AAAI,10.1609/aaai.v40i44.41065,,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.1609/aaai.v40i44.41116,olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,2026-03-06,AAAI,10.1609/aaai.v40i44.41116,2603.06874,peer_reviewed,conference,4,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.1609/aaai.v40i44.41134,wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,2025-11-23,AAAI,10.1609/aaai.v40i44.41134,2511.18467,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.1609/aaaiss.v8i1.42590,,Post-Hoc Knowledge Grounding for Verifiable Multi-Agent Search and Rescue Decision Support,2026-05-18,AAAI proceedings,10.1609/aaaiss.v8i1.42590,,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.1609/aaaiss.v9i1.42936,ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,2026-04-08,AAAI Symposium Series,10.1609/aaaiss.v9i1.42936,2604.08608,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.1609/aaaiss.v9i1.42951,,From Playbooks to Decisions: An Auditable Coordination Protocol for Hunter–Policy–Responder Cyber Agents (Extended Abstract),2026-06-23,AAAI proceedings,10.1609/aaaiss.v9i1.42951,,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2024.emnlp-main.610,,ATM: Adversarial Tuning Multi-agent System Makes a Robust Retrieval-Augmented Generator,2024-01-01,EMNLP MAIN,10.18653/v1/2024.emnlp-main.610,2405.18111,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
