work_key,canonical_paper_id,title,doi,arxiv_id,decision,decision_source,decision_strength,rationale,reviewer,reviewed_at,locked,human_signoff_required,previous_work_keys,notes
doi:10.3389/fnbot.2026.1799054,,A cognitive synergetic hierarchical framework for UAV swarm combat via speculative inference and role-decoupled reinforcement learning,10.3389/fnbot.2026.1799054,,exclude,search:doi:10.3389/fnbot.2026.1799054,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/iseae69422.2026.11544810,,A Collaborative Multi-Agent Framework with Retrieval-Augmented Generation for Urban Counter-UAV Situation Assessment and Interception Decision-Making,10.1109/iseae69422.2026.11544810,,exclude,search:doi:10.1109/iseae69422.2026.11544810,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.35490/ec3.2025.218,,A Conceptual Framework for LLM-based Multi-agent System in Construction Management,10.35490/ec3.2025.218,,exclude,search:doi:10.35490/ec3.2025.218,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.4108/eetsis.12071,,A Decentralised Coordination Framework for Demand-Side Solar-Storage and Its Electricity Market Participation,10.4108/eetsis.12071,,exclude,search:doi:10.4108/eetsis.12071,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.62381/acs.fssd2025.11,,A Dedicated Q&amp;A System for University Libraries Based on Multi-agent Collaboration,10.62381/acs.fssd2025.11,,exclude,search:doi:10.62381/acs.fssd2025.11,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.20540222,,A Deterministic Multi-LLM Consensus Engine for Parent-Facing Interpretation of Pediatric Rehabilitation Therapy Reports: An Anonymized N=1 Feasibility Case Study,10.5281/zenodo.20540222,,exclude,search:doi:10.5281/zenodo.20540222,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.23977/jaip.2025.080406,,A Four-Layer Security Governance Framework for LLM-Based AI Agents,10.23977/jaip.2025.080406,,exclude,search:doi:10.23977/jaip.2025.080406,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2508.05766,,A Framework for Inherently Safer AGI through Language-Mediated Active Inference,,2508.05766,exclude,search:arxiv:2508.05766,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/icici68773.2026.11580636,,A Graph-Orchestrated Agentic Framework for Real-Time Multimodal Email Threat Detection with Continual Learning using Large Language Models,10.1109/icici68773.2026.11580636,,exclude,search:doi:10.1109/icici68773.2026.11580636,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1145/3800000.3800146,,A Hierarchical Retrieval-Augmented Multi-Agent System for Robust Financial Analysis and Decision Support,10.1145/3800000.3800146,,exclude,search:doi:10.1145/3800000.3800146,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.3390/app152413190,,A Hybrid Perplexity-MAS Framework for Proactive Jailbreak Attack Detection in Large Language Models,10.3390/app152413190,,exclude,search:doi:10.3390/app152413190,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1145/3804601.3804614,,A Hybrid Spatiotemporal Computational Framework for Multi-Agent Systems: LLM-Driven Simulation of Policy-Induced Emotion Propagation in the Chinese Housing Market,10.1145/3804601.3804614,,exclude,search:doi:10.1145/3804601.3804614,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1016/j.seppur.2026.137462,,A large language model-based multi-agent methodology for intelligent materials screening: A case study on MOFs for CO2 capture,10.1016/j.seppur.2026.137462,,exclude,search:doi:10.1016/j.seppur.2026.137462,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1186/s44147-026-01100-9,,A large language model-driven semantic inference framework for business logic vulnerability discovery in power system microservice APIs,10.1186/s44147-026-01100-9,,exclude,search:doi:10.1186/s44147-026-01100-9,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2606.12040,,A Lightweight Multi-Agent Framework for Automated Concrete Barrier Design,,2606.12040,exclude,search:arxiv:2606.12040,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2605.01143,,A Low-Latency Fraud Detection Layer for Detecting Adversarial Interaction Patterns in LLM-Powered Agents,,2605.01143,exclude,search:arxiv:2605.01143,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.22214/ijraset.2026.82058,,"A Multi-Agent Agentic Framework for Autonomous Cloud Infrastructure Monitoring, Anomaly Detection, and Self-Healing",10.22214/ijraset.2026.82058,,exclude,search:doi:10.22214/ijraset.2026.82058,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.63282/3050-9262.ijaidsml-v5i1p128,,A Multi-Agent AI Framework for Distributed DevOps Automation and Collaborative Decision-Making in Software Pipelines,10.63282/3050-9262.ijaidsml-v5i1p128,,exclude,search:doi:10.63282/3050-9262.ijaidsml-v5i1p128,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1016/j.xcrp.2026.103388,,A multi-agent AI framework for explainable battery system maintenance,10.1016/j.xcrp.2026.103388,,exclude,search:doi:10.1016/j.xcrp.2026.103388,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
title:62c0cb4080a8a2d5,,A Multi-Agent Approach for a Security-Aware Translation of Software Business Requirements,,,exclude,search:title:32784b3ca2c04e6cb9c0,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
title:a096c27f7c118576,,A Multi-Agent Collaborative Framework for Courtroom Simulation and Legal Document Generation,,,exclude,search:title:bbbab19c1138e73c1eb7,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.36227/techrxiv.176297583.39945193/v1,,"A Multi-Agent Cybersecurity Assessment System Leveraging Large Language Models with Retrieval-Augmented Generation, IOC Extraction, and SIEM Integration",10.36227/techrxiv.176297583.39945193/v1,,exclude,search:doi:10.36227/techrxiv.176297583.39945193/v1,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.36227/techrxiv.176297583.39945193/v2,,"A Multi-Agent Cybersecurity Assessment System with Retrieval-Augmented Generation, IOC Extraction, SIEM Integration, and User-Defined Agents",10.36227/techrxiv.176297583.39945193/v2,,exclude,search:doi:10.36227/techrxiv.176297583.39945193/v2,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2604.05130,,A Multi-Agent Framework for Automated Exploit Generation with Constraint-Guided Comprehension and Reflection,10.1145/3794763.3794817,2604.05130,exclude,search:doi:10.1145/3794763.3794817,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2602.14158,,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing",,2602.14158,exclude,search:arxiv:2602.14158,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2510.07147,,A Multi-Agent Framework for Stateful Inference-Time Search,,2510.07147,exclude,search:arxiv:2510.07147,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/aiita69518.2026.11567230,,A Multi-Agent Framework for Step-Level Tool-Call Safety Evaluation in Industrial Control Systems,10.1109/aiita69518.2026.11567230,,exclude,search:doi:10.1109/aiita69518.2026.11567230,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/smc58881.2025.11343067,,A Multi-Agent Fuzzing Framework for Deep Learning Library,10.1109/smc58881.2025.11343067,,exclude,search:doi:10.1109/smc58881.2025.11343067,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/southeastcon56624.2025.10971563,,A Multi-Agent LLM Environment for Software Design and Refactoring: A Conceptual Framework,10.1109/southeastcon56624.2025.10971563,,exclude,search:doi:10.1109/southeastcon56624.2025.10971563,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.2196/preprints.96304,,A multi-agent LLM framework toward real-world clinical decision-making support in acute ischemic stroke (Preprint),10.2196/preprints.96304,,exclude,search:doi:10.2196/preprints.96304,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.3389/frai.2026.1834985,,A multi-agent RAG system for generating SCORM courses from enterprise documents,10.3389/frai.2026.1834985,,exclude,search:doi:10.3389/frai.2026.1834985,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.20173582,,"A Multi-Agent Spectral Architecture for Prime Number Theory Deterministic AI Without Large Language Models Proving the Riemann Hypothesis, Quantifying 12 Prime Results (1742–2004), and Certifying AI Safety — All at σ = 0.5",10.5281/zenodo.20173582,,exclude,search:doi:10.5281/zenodo.20173582,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/access.2025.3602681,,A Multi-Agent System for Cybersecurity Threat Detection and Correlation Using Large Language Models,10.1109/access.2025.3602681,,exclude,search:doi:10.1109/access.2025.3602681,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2512.18622,,A Multi-agent Text2SQL Framework using Small Language Models and Execution Feedback,,2512.18622,exclude,search:arxiv:2512.18622,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.19394881,,A Multi-Evaluator Behavioural Governance Framework for LLM Agent Deployment,10.5281/zenodo.19394881,,exclude,search:doi:10.5281/zenodo.19394881,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1038/s41598-025-21848-z,,A multi-label visualisation approach for malware behaviour analysis,10.1038/s41598-025-21848-z,,exclude,search:doi:10.1038/s41598-025-21848-z,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.3389/fpls.2026.1811772,,A multi-source fusion and feedback-optimized intelligent agent for crop disease and pest diagnosis and treatment,10.3389/fpls.2026.1811772,,exclude,search:doi:10.3389/fpls.2026.1811772,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2605.27744,,A Policy-Driven Runtime Layer for Agentic LLM Serving,,2605.27744,exclude,search:arxiv:2605.27744,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2512.08769,,"A Practical Guide for Designing, Developing, and Deploying Production-Grade Agentic AI Workflows",,2512.08769,exclude,search:arxiv:2512.08769,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.19681278,,A Privacy-Preserving Multi-Agent LLM Framework for Automated Incident Response and Digital Forensics on Personal Devices,10.5281/zenodo.19681278,,exclude,search:doi:10.5281/zenodo.19681278,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.5281/zenodo.20555125,,A Protocol-Governed Multi-Agent Tutor for Higher-Education Concept Explanation and Programming Support,10.5281/zenodo.20555125,,exclude,search:doi:10.5281/zenodo.20555125,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.3390/a18080499,,"A Research Landscape of Agentic AI and Large Language Models: Applications, Challenges and Future Directions",10.3390/a18080499,,exclude,search:doi:10.3390/a18080499,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/cress68073.2025.11452560,,A Resilient LLM-driven Agent Framework for Multi-UAV Mission Planning and Control,10.1109/cress68073.2025.11452560,,exclude,search:doi:10.1109/cress68073.2025.11452560,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2604.00249,,A Safety-Aware Role-Orchestrated Multi-Agent LLM Framework for Behavioral Health Communication Simulation,,2604.00249,exclude,search:arxiv:2604.00249,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.23919/ifipnetworking70592.2026.11578993,,A Self-Correcting Multi-Agent LLM Pipeline for Verified Kubernetes Network Policy,10.23919/ifipnetworking70592.2026.11578993,,exclude,search:doi:10.23919/ifipnetworking70592.2026.11578993,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/icassp49660.2025.10889517,,A Self-Evolving Framework for Multi-Agent Medical Consultation Based on Large Language Models,10.1109/icassp49660.2025.10889517,,exclude,search:doi:10.1109/icassp49660.2025.10889517,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.18653/v1/2026.findings-acl.1133,,A Self-Evolving LLM Agent Framework for Role-Based Norm Compliance in Healthcare,10.18653/v1/2026.findings-acl.1133,,exclude,search:doi:10.18653/v1/2026.findings-acl.1133,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2605.06737,,A Self-Healing Framework for Reliable LLM-Based Autonomous Agents,,2605.06737,exclude,search:arxiv:2605.06737,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1177/03611981251322468,,A Self-Supervised Multi-Agent Large Language Model Framework for Customized Traffic Mobility Analysis Using Machine Learning Models,10.1177/03611981251322468,,exclude,search:doi:10.1177/03611981251322468,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.18653/v1/2025.emnlp-main.1071,,A Sequential Multi-Stage Approach for Code Vulnerability Detection via Confidence- and Collaboration-based Decision Making,10.18653/v1/2025.emnlp-main.1071,,exclude,search:doi:10.18653/v1/2025.emnlp-main.1071,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/cai68641.2026.11536556,,A Socratic Multi-Agent Framework using LLMs for Programming Education,10.1109/cai68641.2026.11536556,,exclude,search:doi:10.1109/cai68641.2026.11536556,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.59573/emsj.9(3).2025.57,,A Standardized Framework for Agent-to-Agent Communication in Distributed AI Ecosystems,10.59573/emsj.9(3).2025.57,,exclude,search:doi:10.59573/emsj.9(3).2025.57,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2607.02605,,"A Survey of LLM-Driven Penetration Testing: Taxonomy, Co-Evolution, and Open Challenges",,2607.02605,exclude,search:arxiv:2607.02605,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.2478/kbo-2026-0076,,A Taxonomy of Intelligent Intrusion Detection Systems For Cybersecurity Using Large Language Models And Agent-Based Artificial Intelligence,10.2478/kbo-2026-0076,,exclude,search:doi:10.2478/kbo-2026-0076,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.18501388,,A Technical Audit of a Prompt-Orchestrated BYOA Agentic Platform Evidence of Narrative Relay Behavior in a Multi-Model Analysis,10.5281/zenodo.18501388,,exclude,search:doi:10.5281/zenodo.18501388,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2606.19135,,A Technical Taxonomy of LLM Agent Communication Protocols,,2606.19135,exclude,search:arxiv:2606.19135,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.3390/math13172739,,A Tree-Based Search Algorithm with Global Pheromone and Local Signal Guidance for Scientific Chart Reasoning,10.3390/math13172739,,exclude,search:doi:10.3390/math13172739,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.17773051,,A Trust Architecture for LLM-Assisted Workflows in Multi-Tenant Enterprise Systems,10.5281/zenodo.17773051,,exclude,search:doi:10.5281/zenodo.17773051,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1109/mwc.2026.3666842,,"A Trustworthy Agentic Multi-LLM Network: Challenges, Solutions, and a Use Case",10.1109/mwc.2026.3666842,,exclude,search:doi:10.1109/mwc.2026.3666842,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.69987/jacs.2024.40305,,"A Unified AIOps Pipeline for Joint Log–KPI Anomaly Detection, Graph-Based Root Cause Localization, and LLM-Generated Runbooks",10.69987/jacs.2024.40305,,exclude,search:doi:10.69987/jacs.2024.40305,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2605.27898,,A Unified Framework for the Evaluation of LLM Agentic Capabilities,,2605.27898,exclude,search:arxiv:2605.27898,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1038/s41598-026-47145-x,,A unified multimodal GenAI platform integrating GraphRAG multi-agent systems and custom language models for intelligent document processing and knowledge synthesis,10.1038/s41598-026-47145-x,,exclude,search:doi:10.1038/s41598-026-47145-x,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.18788706,,A User Sovereign Multi Agent Framework for Verifiable Knowledge Production and Intellectual Asset Ownership in the AI Era,10.5281/zenodo.18788706,,exclude,search:doi:10.5281/zenodo.18788706,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.3390/drones10060398,,A2C-LLM: An Actor-Critic-Enhanced Large Language Model for UAV Swarm Multi-Target Task Allocation,10.3390/drones10060398,,exclude,search:doi:10.3390/drones10060398,55,Parent screening assigned an exclusion decision.,,,no,yes,,
title:f3a721aa73c4ae92,,ABBEL: LLM Agents Acting through Belief Bottlenecks Expressed in Language,,,exclude,search:title:a4d9cc602faae068b042,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1158/1538-7445.am2026-22,,"Abstract 22: Multi-agent AI system for autonomous CAR-T development: Integrated target discovery, toxicity prediction, and rational molecular design for cancer immunotherapy.",10.1158/1538-7445.am2026-22,,exclude,search:doi:10.1158/1538-7445.am2026-22,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2604.08169,,Activation Steering for Aligned Open-ended Generation without Sacrificing Coherence,,2604.08169,exclude,search:arxiv:2604.08169,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.3390/make8030075,,"ActivityRDI: A Centralized Solution Framework for Activity Retrieval and Detection Intelligence Based on Knowledge Graphs, Large Language Models, and Imbalanced Learning",10.3390/make8030075,,exclude,search:doi:10.3390/make8030075,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.47191/ijcsrr/v9-i4-24,,Adapting the Five Pillars of Model Risk Management for Generative AI: The GEN-5 Validation Framework,10.47191/ijcsrr/v9-i4-24,,exclude,search:doi:10.47191/ijcsrr/v9-i4-24,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2606.01770,,Adaptive Auto-Harness: Sustained Self-Improvement for Agentic System Deployment on Open-Ended Task Streams,,2606.01770,exclude,search:arxiv:2606.01770,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.17605/osf.io/9wcte,,Adaptive DPI Payload Efficacy in Safety-Aligned LLM Attack Swarms,10.17605/osf.io/9wcte,,exclude,search:doi:10.17605/osf.io/9wcte,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1109/i5cps67958.2026.11452334,,Adaptive Malware Defense: A Multi-Agent System for Malware Detection and Adaptive Response,10.1109/i5cps67958.2026.11452334,,exclude,search:doi:10.1109/i5cps67958.2026.11452334,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
title:4a06f263936f430e,,Adaptive Multi-Agent Reasoning via Automated Workflow Generation,,,exclude,search:title:4e8f8919e9a3205fafc0,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1007/s00766-026-00457-w,,Addressing trust requirements in the design of an open-source multi-agent LLM-based domain-specific chatbot,10.1007/s00766-026-00457-w,,exclude,search:doi:10.1007/s00766-026-00457-w,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2506.18942,,Advanced Applications of Generative AI in Actuarial Science: Case Studies Beyond ChatGPT,,2506.18942,exclude,search:arxiv:2506.18942,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/tse.2025.3597319,,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,10.1109/tse.2025.3597319,,exclude,search:doi:10.1109/tse.2025.3597319,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2606.27990,,AdvancedShelLM: A Stateful Multi-Agent LLM Honeypot for SSH Deception,,2606.27990,exclude,search:arxiv:2606.27990,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2504.01990,,"Advances and Challenges in Foundation Agents: From Brain-Inspired Intelligence to Evolutionary, Collaborative, and Safe Systems",,2504.01990,exclude,search:arxiv:2504.01990,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1145/3728939,,AdverIntent-Agent: Adversarial Reasoning for Repair Based on Inferred Program Intent,10.1145/3728939,,exclude,search:doi:10.1145/3728939,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/icus61736.2024.10839948,,Adversarial and Cooperation Tasks in Multi- Agent System with Large Language Models,10.1109/icus61736.2024.10839948,,exclude,search:doi:10.1109/icus61736.2024.10839948,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2505.13008,,Adversarial Reasoning for Repair Based on Inferred Program Intent,,2505.13008,exclude,search:arxiv:2505.13008,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.20731136,,"Adversarial Robustness as an Emergent Topology Problem: How Misinformation Propagation, Consensus Fragility, Concurrency Hazards, Governance Blind Spots, and Communication Entropy Jointly Define a Candidate Framework for Structural Failure in Multi-Agent LLM Systems",10.5281/zenodo.20731136,,exclude,search:doi:10.5281/zenodo.20731136,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2505.13195,,Adversarial Testing in LLMs: Insights into Decision-Making Vulnerabilities,,2505.13195,exclude,search:arxiv:2505.13195,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2410.12475,,Aegis:An Advanced LLM-Based Multi-Agent for Intelligent Functional Safety Engineering,10.18653/v1/2024.emnlp-industry.115,2410.12475,exclude,search:doi:10.18653/v1/2024.emnlp-industry.115,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2512.20986,,AegisAgent: An Autonomous Defense Agent Against Prompt Injection Attacks in LLM-HARs,,2512.20986,exclude,search:arxiv:2512.20986,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2504.20965,,AegisLLM: Scaling Agentic Systems for Self-Reflective Defense in LLM Security,,2504.20965,exclude,search:arxiv:2504.20965,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2604.01738,,AeroTherm-GPT: A Verification-Centered LLM Framework for Thermal Protection System Engineering Workflows,,2604.01738,exclude,search:arxiv:2604.01738,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1109/taes.2026.3699842,,AeroThreatModel: LLM-Empowered Spatiotemporal Fusion Dynamic Threat Modeling Framework for Air–Space–Ground Integrated Air Traffic Management Networks,10.1109/taes.2026.3699842,,exclude,search:doi:10.1109/taes.2026.3699842,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2605.27466,,AgensFlow: A Coordination-Policy Substrate for Multi-Agent Systems,,2605.27466,exclude,search:arxiv:2605.27466,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1016/j.imu.2026.101783,,Agent Role Structure and Operating Characteristics in Large Language Model Clinical Classification: A Comparative Study of Specialist and Deliberative Multi-Agent Protocols,10.1016/j.imu.2026.101783,,exclude,search:doi:10.1016/j.imu.2026.101783,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.1109/acpee69242.2026.11525045,,Agent-Driven Topology Assembly: Trustworthy LLM Dispatch Reasoning in Distribution Networks,10.1109/acpee69242.2026.11525045,,exclude,search:doi:10.1109/acpee69242.2026.11525045,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.65521/ijacect.v14i2.926,,Agent-vs-Agent Cyber Warfare: Autonomous AI Systems Defending Against AI-Enabled APTs,10.65521/ijacect.v14i2.926,,exclude,search:doi:10.65521/ijacect.v14i2.926,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2602.05877,,Agent2Agent Threats in Safety-Critical LLM Assistants: A Human-Centric Taxonomy,,2602.05877,exclude,search:arxiv:2602.05877,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2509.12546,,Agent4FaceForgery: Multi-Agent LLM Framework for Realistic Face Forgery Detection,,2509.12546,exclude,search:arxiv:2509.12546,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2602.03955,,AgentArk: Distilling Multi-Agent Intelligence into a Single LLM Agent,,2602.03955,exclude,search:arxiv:2602.03955,55,Parent screening assigned an exclusion decision.,,,no,yes,,
