work_key,canonical_paper_id,title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,decision,decision_source,rationale,reviewer,reviewed_at,human_signoff_required,route_types,route_ids,source_paths
amayuelas2024collaboration_attack,amayuelas2024collaboration_attack,MultiAgent Collaboration Attack: Investigating Adversarial Attacks in Large Language Model Collaborations via Debate,2024,2024,Findings of EMNLP,10.18653/v1/2024.findings-emnlp.407,,https://aclanthology.org/2024.findings-emnlp.407/,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,primary,canonical:amayuelas2024collaboration_attack,A malicious member exploits inter-agent debate to manipulate the aggregate decision; the failure is interaction-dependent.,,,yes,canonical,canonical:amayuelas2024collaboration_attack,corpus/final/all_relevant_papers.csv
motwani2024secret_collusion,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,2024,2024,NeurIPS,10.52202/079017-2336,2402.07510,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,attack,attack; defense evaluation; empirical study; theoretical analysis,attack; defense evaluation; empirical study; theoretical analysis,source_reviewed_pending_author_signoff,primary,canonical:motwani2024secret_collusion,"Secret collusion requires at least a sender, receiver, and oversight model. The prohibited coordination and detectability question do not exist for one isolated agent.",,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:doi:10.52202/079017-2336;canonical:motwani2024secret_collusion;peerfirst:doi:10.52202/079017-2336;search:doi:10.52202/079017-2336;targeted:doi:10.52202/079017-2336;venue:neurips:10_52202_079017_2336,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
tan2024wolf_within,tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,2024,2024,arXiv,,2402.14859,https://arxiv.org/abs/2402.14859,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,primary,canonical:tan2024wolf_within,The malicious objective is optimized through an explicit two-agent multimodal path and depends on inter-agent forwarding.,,,yes,canonical,canonical:tan2024wolf_within,corpus/final/all_relevant_papers.csv
arxiv:2405.12604,,Tiny Refinements Elicit Resilience: Toward Efficient Prefix-Model Against LLM Red-Teaming,2024-05-21,2024,arXiv.org,,2405.12604,https://www.semanticscholar.org/paper/4c2afc5e358a328286eb40f4e64572ba84a7f536,,,,,primary,search:arxiv:2405.12604,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2405.12604;search:arxiv:2405.12604;targeted:arxiv:2405.12604,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv_2508_07667,arxiv_2508_07667,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,2025,2025,LLMSEC 2025 Workshop,,2508.07667,https://aclanthology.org/2025.llmsec-1.9/,defense,defense,defense; evaluation,official_workshop_metadata_and_full_text_screened,primary,canonical:arxiv_2508_07667,Retained after the citation retrieval gate and security scope screen.,,,yes,broad;canonical;peerfirst;search;targeted,broad:arxiv:2508.07667;canonical:arxiv_2508_07667;peerfirst:arxiv:2508.07667;search:arxiv:2508.07667;targeted:arxiv:2508.07667,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
doi:10.63278/jicrcr.vi.3549,,A Governance Framework For Agentic AI: Mitigating Systemic Risks In LLM-Powered Multi-Agent Architectures,2025-12-30,2025,Journal of International Crisis and Risk Communication Research,10.63278/jicrcr.vi.3549,,https://www.semanticscholar.org/paper/c7a7834b990d20e3dc8c29b12f89cf926d344ff1,,,,,primary,search:doi:10.63278/jicrcr.vi.3549,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:doi:10.63278/jicrcr.vi.3549;search:doi:10.63278/jicrcr.vi.3549;targeted:doi:10.63278/jicrcr.vi.3549,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2509.14285,,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,2025-09-16,2025,IEEE International WIE Conference on Electrical and Computer Engineering,10.1109/wiecon-ece69386.2025.11526251,2509.14285,https://doi.org/10.1109/wiecon-ece69386.2025.11526251,,,,,primary,search:doi:10.1109/wiecon-ece69386.2025.11526251,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:doi:10.1109/wiecon-ece69386.2025.11526251;peerfirst:doi:10.1109/wiecon-ece69386.2025.11526251;search:doi:10.1109/wiecon-ece69386.2025.11526251;targeted:doi:10.1109/wiecon-ece69386.2025.11526251;venue:ieee_international_wie_conference_on_electrical_and_computer_engineering:10_1109_wiecon_ece69386_2025_11526251,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
men2025troublemaker,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,2025,2025,ACL,10.18653/v1/2025.acl-long.859,2410.16155,https://aclanthology.org/2025.acl-long.859/,attack,attack; benchmark; evaluation,attack; benchmark; evaluation,source_reviewed_pending_author_signoff,primary,canonical:men2025troublemaker,"One malicious member spreads jailbreak content through communication and independent memories; retrieval, replication, topology, and population size determine system-level propagation.",,,yes,broad;canonical;search;targeted,broad:arxiv:2410.16155;canonical:men2025troublemaker;search:arxiv:2410.16155;targeted:arxiv:2410.16155,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2504.07461,,Achilles Heel of Distributed Multi-Agent Systems,2025-04-10,2025,arXiv.org,,2504.07461,https://www.semanticscholar.org/paper/df948cf591ab14be205c1f43782b36aa35450a32,,,,,primary,search:arxiv:2504.07461,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2504.07461;search:arxiv:2504.07461;targeted:arxiv:2504.07461,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2510.01586,,AdvEvo-MARL: Shaping Internalized Safety through Adversarial Co-Evolution in Multi-Agent Reinforcement Learning,2025-10-02,2025,arXiv.org,,2510.01586,https://www.semanticscholar.org/paper/7a44b3e5b5151aa1c9fd533e2374578a1ddbc4df,,,,,primary,search:arxiv:2510.01586,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2510.01586;search:arxiv:2510.01586;targeted:arxiv:2510.01586,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2506.22957,,Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models,2025-06-28,2025,Conference on Empirical Methods in Natural Language Processing,,2506.22957,https://dblp.org/rec/conf/emnlp/ChoiLYJ25,,,,,primary,search:arxiv:2506.22957,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:arxiv:2506.22957;peerfirst:arxiv:2506.22957;search:arxiv:2506.22957;targeted:arxiv:2506.22957;venue:conference_on_empirical_methods_in_natural_language_processing:arxiv_2506_22957,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
arxiv:2509.13597,,Agentic JWT: A Secure Delegation Protocol for Autonomous AI Agents,2025-09-16,2025,arXiv.org,,2509.13597,https://www.semanticscholar.org/paper/117cd1d71516457304f87903bac925e5d1222325,,,,,primary,search:arxiv:2509.13597,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2509.13597;search:arxiv:2509.13597;targeted:arxiv:2509.13597,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
khan2025agents_under_siege,khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,2025,2025,ACL,10.18653/v1/2025.acl-long.476,2504.00218,https://aclanthology.org/2025.acl-long.476/,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,primary,canonical:khan2025agents_under_siege,"Attack success depends on graph routing, edge bandwidth, latency/permutation, and distributed safety placement.",,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:arxiv:2504.00218;canonical:khan2025agents_under_siege;peerfirst:arxiv:2504.00218;search:arxiv:2504.00218;targeted:arxiv:2504.00218;venue:acl:10_18653_v1_2025_acl_long_476,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
mao2025agentsafe,mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025,2025,arXiv,,2503.04392,https://arxiv.org/abs/2503.04392,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,primary,canonical:mao2025agentsafe,"The defense enforces inter-agent authorization and memory integrity, which require separately addressable agents and cross-agent information flow.",,,yes,broad;canonical;peerfirst;search;targeted,broad:arxiv:2503.04392;canonical:mao2025agentsafe;peerfirst:arxiv:2503.04392;search:arxiv:2503.04392;targeted:arxiv:2503.04392,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
supp_agentshield_2025,supp_agentshield_2025,AgentShield: Make MAS more secure and efficient,2025,2025,arXiv,,2511.22924,https://arxiv.org/abs/2511.22924,defense,defense,defense; evaluation,official_arxiv_metadata_and_abstract_screened,primary,canonical:supp_agentshield_2025,"Direct LLM multi-agent defense against compromised members, with topology-aware observation, distributed auditing, and system-level recovery.",,,yes,broad;canonical;search;targeted,broad:arxiv:2511.22924;canonical:supp_agentshield_2025;search:arxiv:2511.22924;targeted:arxiv:2511.22924,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2504.16489,,Amplified Vulnerabilities: Structured Jailbreak Attacks on LLM-based Multi-Agent Debate,2025-04-23,2025,arXiv.org,,2504.16489,https://www.semanticscholar.org/paper/523090aa81939c856e0e7f9a0f32eb705672a545,,,,,primary,search:arxiv:2504.16489,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2504.16489;search:arxiv:2504.16489;targeted:arxiv:2504.16489,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
ebrahimi2025credibility,ebrahimi2025credibility,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,2025,2025,IJCNLP-AACL,10.18653/v1/2025.ijcnlp-long.90,2505.24239,https://aclanthology.org/2025.ijcnlp-long.90/,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,primary,canonical:ebrahimi2025credibility,The protected property and defense are defined over adversarial member contributions and multi-agent aggregation.,,,yes,broad;canonical;peerfirst;search;structured_exclude;targeted;venue,broad:doi:10.48448/99k0-6828;canonical:ebrahimi2025credibility;peerfirst:doi:10.48448/99k0-6828;search:doi:10.48448/99k0-6828;structured-exclude:ebrahimi2025credibility_preprint;targeted:doi:10.48448/99k0-6828;venue:ijcnlp_aacl:10_18653_v1_2025_ijcnlp_long_90,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/01_search_catalog/structured_exclusions.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
arxiv:2506.01332,,An Empirical Study of Group Conformity in Multi-Agent Systems,2025-06-02,2025,FINDINGS ACL,10.18653/v1/2025.findings-acl.265,2506.01332,https://doi.org/10.18653/v1/2025.findings-acl.265,,,,,primary,search:doi:10.18653/v1/2025.findings-acl.265,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:doi:10.18653/v1/2025.findings-acl.265;peerfirst:doi:10.18653/v1/2025.findings-acl.265;search:doi:10.18653/v1/2025.findings-acl.265;targeted:doi:10.18653/v1/2025.findings-acl.265;venue:findings_acl:10_18653_v1_2025_findings_acl_265,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
bowers2025code_injection,bowers2025code_injection,Analyzing Code Injection Attacks on LLM-based Multi-Agent Systems in Software Development,2025,2025,ICMLA,10.1109/icmla66185.2025.00174,6185.2025,https://doi.org/10.1109/ICMLA66185.2025.00174,attack,evaluation,evaluation,assistant_source_reviewed_pending_author_signoff,primary,canonical:bowers2025code_injection,An insider changes shared code and downstream agents’ review behavior determines whether the injected function survives.,,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:doi:10.1109/icmla66185.2025.00174;canonical:bowers2025code_injection;peerfirst:doi:10.1109/icmla66185.2025.00174;search:doi:10.1109/icmla66185.2025.00174;targeted:doi:10.1109/icmla66185.2025.00174;venue:icmla:10_1109_icmla66185_2025_00174,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
tailor2025auditwhisper,tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,2025,2025,arXiv,,2510.04303,https://arxiv.org/abs/2510.04303,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,primary,canonical:tailor2025auditwhisper,"The defense, benchmark, and failure are inherently multi-party: colluding agents exploit a hidden communication channel and an auditor observes/intervenes.",,,yes,broad;canonical;search;targeted,broad:arxiv:2510.04303;canonical:tailor2025auditwhisper;search:arxiv:2510.04303;targeted:arxiv:2510.04303,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2510.10185,,Auditing medical multi-agent AI reveals risks of false consensus,2025-10-11,2025,ArXiv.org,,2510.10185,https://www.semanticscholar.org/paper/b673d590615d8c42a1ea180058a288f99d8a0c7a,,,,,primary,search:arxiv:2510.10185,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2510.10185;search:arxiv:2510.10185;targeted:arxiv:2510.10185,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2502.12630,,Automating Prompt Leakage Attacks on Large Language Models Using Agentic Approach,2025-02-18,2025,2025 MIPRO 48th ICT and Electronics Convention,10.1109/mipro65660.2025.11131790,2502.12630,https://www.semanticscholar.org/paper/196aadc224c86b51d5c2efc7e6d2ce9de284806b,,,,,primary,search:doi:10.1109/mipro65660.2025.11131790,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:doi:10.1109/mipro65660.2025.11131790;search:doi:10.1109/mipro65660.2025.11131790;targeted:doi:10.1109/mipro65660.2025.11131790,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2503.06791,,AutoMisty: A Multi-Agent LLM Framework for Automated Code Generation in the Misty Social Robot,2025-03-09,2025,IEEE/RJS International Conference on Intelligent RObots and Systems,10.1109/iros60139.2025.11247695,2503.06791,https://doi.org/10.1109/iros60139.2025.11247695,,,,,primary,search:doi:10.1109/iros60139.2025.11247695,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:doi:10.1109/iros60139.2025.11247695;peerfirst:doi:10.1109/iros60139.2025.11247695;search:doi:10.1109/iros60139.2025.11247695;targeted:doi:10.1109/iros60139.2025.11247695;venue:ieee_rjs_international_conference_on_intelligent_robots_and_systems:10_1109_iros60139_2025_11247695,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
zou2025blocka2a,zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,2025,2025,arXiv,,2508.01332,https://arxiv.org/abs/2508.01332,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,primary,canonical:zou2025blocka2a,"The proposed framework addresses identity, message integrity, authorization, Byzantine members, and incident response across explicit A2A interactions.",,,yes,canonical;search;targeted_gap,canonical:zou2025blocka2a;search:arxiv:2508.01332;targeted-gap:identity_sybil:zou2025blocka2a,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/01_search_catalog/targeted_gap_search.csv
arxiv:2512.17913,,Byzantine Fault-Tolerant Multi-Agent System for Healthcare: A Gossip Protocol Approach to Secure Medical Message Propagation,2025-11-27,2025,arXiv.org,,2512.17913,https://www.semanticscholar.org/paper/2b5da79e48605a84031c6ec1c1e741bfc62d264d,,,,,primary,search:arxiv:2512.17913,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2512.17913;search:arxiv:2512.17913;targeted:arxiv:2512.17913,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
jo2025byzantinerobust,jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,2025,2025,arXiv,,2507.14928,https://arxiv.org/abs/2507.14928,defense,defense,defense,assistant_source_reviewed_pending_author_signoff,primary,canonical:jo2025byzantinerobust,"The defense and claims directly concern malicious members, distributed aggregation, agreement/selection, and liveness in an LLM-agent protocol.",,,yes,broad;canonical;search;targeted,broad:arxiv:2507.14928;canonical:jo2025byzantinerobust;search:arxiv:2507.14928;targeted:arxiv:2507.14928,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
liu2025collective_manipulation,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,2025,2025,EMNLP,10.18653/v1/2025.emnlp-main.611,2509.16494,https://aclanthology.org/2025.emnlp-main.611/,attack,attack; defense evaluation; empirical study,attack; defense evaluation; empirical study,source_reviewed_pending_author_signoff,primary,canonical:liu2025collective_manipulation,The attacker manipulates one known member and optimizes for a change in the collective decision under incomplete information about the rest of the group.,,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:doi:10.18653/v1/2025.emnlp-main.611;canonical:liu2025collective_manipulation;peerfirst:doi:10.18653/v1/2025.emnlp-main.611;search:doi:10.18653/v1/2025.emnlp-main.611;targeted:doi:10.18653/v1/2025.emnlp-main.611;venue:emnlp:10_18653_v1_2025_emnlp_main_611,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
arxiv:2508.15809,,Chain-of-Query: Unleashing the Power of LLMs in SQL-Aided Table Understanding via Multi-Agent Collaboration,2025-08-14,2025,IJCNLP-AACL,10.18653/v1/2025.ijcnlp-long.53,2508.15809,https://aclanthology.org/2025.ijcnlp-long.53/,,,,,primary,search:doi:10.48448/3wwf-5e15,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:doi:10.48448/3wwf-5e15;peerfirst:doi:10.48448/3wwf-5e15;search:doi:10.48448/3wwf-5e15;targeted:doi:10.48448/3wwf-5e15;venue:ijcnlp_aacl:2025_ijcnlp_long_53,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
zhu2025_collaborative_shadows,zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,2025,2025,arXiv,,2510.11246,https://arxiv.org/abs/2510.11246,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,primary,canonical:zhu2025_collaborative_shadows,"The attack depends on distributed authority, role-private tools, cross-agent sequencing, and failure of local inspection to compose.",,,yes,broad;canonical;search;targeted,broad:arxiv:2510.11246;canonical:zhu2025_collaborative_shadows;search:arxiv:2510.11246;targeted:arxiv:2510.11246,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
