work_key,canonical_paper_id,title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,decision,decision_source,rationale,reviewer,reviewed_at,human_signoff_required,route_types,route_ids,source_paths
doi:10.1158/1538-7445.am2026-31,,Abstract 31: Charles: A self-critical agentic AI drug discovery analyst for cancer.,2026-04-03,2026,Cancer Research,10.1158/1538-7445.am2026-31,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1158/1538-7445.am2026-31,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.19844471,,Accountable Multi-Agent AI Systems: Orchestration Frameworks for Enterprise Workflow Automation with Human-in-the-Loop Verification,2026-04-28,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19844471,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.19844471,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/ichms69701.2026.11602275,,"Action-Conditioned Prompting for Air Traffic Control: A Smart Prompt Producer that Converts Controller HMI Actions into Verified, Explainable LLM Outputs",2026-07-01,2026,International Conferences on Human-Machine Systems,10.1109/ichms69701.2026.11602275,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/ichms69701.2026.11602275,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/icce67443.2026.11449653,,Adaptive Semantic Gates for Reliable Multi-Agent LLMs,2026-02-03,2026,IEEE International Conference on Consumer Electronics,10.1109/icce67443.2026.11449653,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/icce67443.2026.11449653,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-3-032-16524-4_3,,Adversarial Abductive Dialogue Framework with Reinforcement for Tackling LLM Hallucination,2026-01-01,2026,,10.1007/978-3-032-16524-4_3,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-3-032-16524-4_3,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6162666,,Adversarial Auditing: Multi-Agent Detection of AI-Generated Corporate Greenwashing,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6162666,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6162666,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6944801,,Adversarial Consensus Verification for Reliable LLM agents in Financial Forensics: The Pave Interchange Benchmark,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6944801,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6944801,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.3390/electronics15112365,,Adversarial-Test-Driven Multi-Agent LLM Defense: A Self-Evolving Framework via Inference-Time Prompt Optimization,2026-05-31,2026,Electronics,10.3390/electronics15112365,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.3390/electronics15112365,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.eswa.2026.131163,,AgentAttack : LLM agents for multi-strategy shilling attacks in recommenders,2026-01-12,2026,Expert Systems with Applications,10.1016/j.eswa.2026.131163,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.eswa.2026.131163,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/tdsc.2026.3685256,,AgentChain: Blockchain-Empowered Multi-Agent Coordination for Trustworthy LLM Question-Answering Systems,2026-04-17,2026,IEEE Transactions on Dependable and Secure Computing,10.1109/tdsc.2026.3685256,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/tdsc.2026.3685256,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.14293/pr2199.003969.v1,,Agentic AI and LLM-Driven Framework for Contextual Anomaly Detection,2026-06-28,2026,,10.14293/pr2199.003969.v1,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.14293/pr2199.003969.v1,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/icps70486.2026.11567958,,Agentic AI Architecture for Structural Design Automation: From Regulatory Retrieval to Physics-Based Optimization,2026-05-11,2026,Industrial Cyber-Physical Systems,10.1109/icps70486.2026.11567958,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/icps70486.2026.11567958,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/iccc68654.2025.11437910,,"Agentic Graph-RAG: A Multi-Agent Framework for Robust, Decomposed Multi-Hop Reasoning",2025-12-12,2025,2025 11th International Conference on Computer and Communications (ICCC),10.1109/iccc68654.2025.11437910,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/iccc68654.2025.11437910,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1145/3812836.3814746,,AgriPilot: Disagreement-Aware Multi-Agent Governance for Robust Greenhouse Control,2026-06-20,2026,MobiSys Workshops,10.1145/3812836.3814746,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1145/3812836.3814746,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.aei.2025.104246,,AirfoilAgent: Airfoil aerodynamics optimization design via large language model multi-agent collaborations,2025-12-24,2025,Advanced Engineering Informatics,10.1016/j.aei.2025.104246,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.aei.2025.104246,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.18902320,,Algorithmic Cowardice: Cognitive Dissonance and Moral Conformity in Multi-Agent LLM Interactions,2026-03-07,2026,Open MIND,10.5281/zenodo.18902320,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.18902320,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.18646997,,Alignment Is the Disease: Censorship Visibility and Alignment Constraint Complexity as Determinants of Collective Pathology in Multi-Agent LLM Systems,2026-03-09,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.18646997,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.18646997,corpus/sets/01_search_catalog/search_catalog.csv
arxiv:2505.19562,,AMQA: An Adversarial Dataset for Benchmarking Bias of LLMs in Medicine and Healthcare,2025,2025,arXiv.org,,2505.19562,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:arxiv:2505.19562,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.3390/bioengineering13060686,,"An Agentic LLM Framework for Autonomous Surgical Continuum Monitoring: ReAct-Driven Tool-Use Agents for Presurgical, Intraoperative, and Postsurgical Cardiopulmonary Care",2026-06-01,2026,Bioengineering,10.3390/bioengineering13060686,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.3390/bioengineering13060686,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.21203/rs.3.rs-9777036/v1,,"An Integrated Observability Intelligence Framework: Bridging Semantic Data Modeling, Caching, and LLM-Powered Multi-Agent Root Cause Analysis",2026-05-22,2026,Research Square,10.21203/rs.3.rs-9777036/v1,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.21203/rs.3.rs-9777036/v1,corpus/sets/01_search_catalog/search_catalog.csv
arxiv:2603.03378,,AOI: Turning Failed Trajectories into Training Signals for Autonomous Cloud Diagnosis,2026-03-03,2026,arXiv.org,,2603.03378,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:arxiv:2603.03378,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-3-032-22545-0_7,,"APT-Agent: A Training-Free, Unsupervised, LLM-Based Multi-agent Framework for Interpretable Advanced Persistent Threat Detection",2026-01-01,2026,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",10.1007/978-3-032-22545-0_7,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-3-032-22545-0_7,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.21123/2411-7986.5338,,Architecting Reliable Multi-Agent Systems with Large Language Models Through Model-Driven Engineering,2026-06-26,2026,Baghdad Science Journal,10.21123/2411-7986.5338,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.21123/2411-7986.5338,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.21203/rs.3.rs-9735048/v1,,Architecting the Geopolitical Sandbox: Heterogeneous Multi-Agent Pipelines for Simulating Geopolitical Crisis,2026-05-19,2026,Research Square,10.21203/rs.3.rs-9735048/v1,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.21203/rs.3.rs-9735048/v1,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/icaic67076.2026.11395749,,Architectural Resilience in AI-Driven Decision Systems under Adversarial Conditions,2026-02-18,2026,International Conference on Applied Informatics and Communication,10.1109/icaic67076.2026.11395749,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/icaic67076.2026.11395749,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.36227/techrxiv.174494561.19053524/v1,,ATLASky-AI: An Adaptive Multi-Agent Framework for Autonomous 4D Knowledge Verification in Aerospace,2025-04-17,2025,,10.36227/techrxiv.174494561.19053524/v1,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.36227/techrxiv.174494561.19053524/v1,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-3-032-22088-2_4,,AuditCopilot: An End-to-End LLM-Based Framework for Automated Vulnerability Detection in Web3,2026-01-01,2026,Lecture notes in networks and systems,10.1007/978-3-032-22088-2_4,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-3-032-22088-2_4,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-3-032-04890-5_24,,Automated Chemical Research with Multi-agent Collaboration and Molecular Transformers in a Case Study of Aspirin Synthesis,2026-01-01,2026,Lecture notes in networks and systems,10.1007/978-3-032-04890-5_24,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-3-032-04890-5_24,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.19350758,,Automatic Scaling Mechanism for LLM Multi-Agent Systems: Peristaltic Channel Architecture with Autonomous Decentralization,2026-03-31,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19350758,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.19350758,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/aiita65135.2025.11047880,,Automatically Generated Multi-Agent Framework for Jailbreaking Large Language Models,2025-03-28,2025,2025 5th International Conference on Artificial Intelligence and Industrial Technology Applications (AIITA),10.1109/aiita65135.2025.11047880,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/aiita65135.2025.11047880,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.21203/rs.3.rs-9145617/v1,,Automating Best-Practice Refactoring in Java via Multi-Agent Planning and Verification,2026-04-13,2026,Research Square,10.21203/rs.3.rs-9145617/v1,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.21203/rs.3.rs-9145617/v1,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.52710/cfs.1067,,"Autonomous Evaluation Architectures: Multi-Agent LLM Pipelines, Browser-Grounded Testing: Programmatic Alignment via DSPy, and Adversarial Robustness in Production Orchestration Systems",2026-05-12,2026,Computer fraud & security,10.52710/cfs.1067,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.52710/cfs.1067,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.enbuild.2026.117684,,Balancing comfort and Cost: A Multi-Agent framework for Human-Centric building energy management via Large language models,2026-05-19,2026,Energy and Buildings,10.1016/j.enbuild.2026.117684,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.enbuild.2026.117684,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.5837643,,Bargaining Under Breach: Prompt Hacking and the Integrity of Economic LLM Negotiations,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.5837643,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.5837643,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.19103615,,Behavioral Drift in Multi-Agent LLM Systems,2026-03-19,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19103615,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.19103615,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6420858,,"Behavioral Drift in Multi-Agent LLM Systems: Emergent Failure Modes, Cascade Dynamics, and Measurement Challenges",2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6420858,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6420858,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.jisa.2026.104489,,Benchmarking the effectiveness of multi-agent LLMs in collaborative privacy threat modeling with LINDDUN GO,2026-04-25,2026,Journal of Information Security and Applications,10.1016/j.jisa.2026.104489,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.jisa.2026.104489,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/taslpro.2026.3675803,,Beware of the Woozle Effect: Exploring and Mitigating Hallucination Propagation in Multi-Agent Debate,2026-01-01,2026,IEEE Transactions on Audio Speech and Language Processing,10.1109/taslpro.2026.3675803,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/taslpro.2026.3675803,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.20844300,,Beyond Individual Agent Monitoring: Empirical Evidence of Three Relational Failure Modes in LLM-Based Multi-Agent Systems,2026-06-25,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20844300,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.20844300,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.6082/25vcs-em754,,Beyond Sycophancy: Structured Resistance Patterns in LLM Moral Judgment,2026-06-01,2026,University of Chicago,10.6082/25vcs-em754,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.6082/25vcs-em754,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.patter.2026.101611,,BioMaster: Multi-agent system for automated bioinformatics analysis workflow,2026-07-01,2026,Patterns,10.1016/j.patter.2026.101611,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.patter.2026.101611,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/icsgsc68313.2025.11288288,,Blended RAG-Enhanced LLM Multi-Agent Framework for Anomaly Detection and Alert Management,2025-11-01,2025,International Conference Smart Grid and Smart Cities,10.1109/icsgsc68313.2025.11288288,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/icsgsc68313.2025.11288288,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1145/3674399.3674445,,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,2024-07-05,2024,ACM Turing Celebration Conference,10.1145/3674399.3674445,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1145/3674399.3674445,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-981-95-9507-5_27,,BotSphere: A Multi-agent Framework for Modeling Social Bot Influence on Public Opinion Dynamics,2026-01-01,2026,Communications in computer and information science,10.1007/978-981-95-9507-5_27,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-981-95-9507-5_27,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6670339,,Breaking AI: A Practitioner's Framework for LLM and Agentic AI Security Testing,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6670339,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6670339,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-981-95-9342-2_13,,Bridging DRL and LLM: Explainable and Efficient Autonomous Vehicle Control for Off-Ramp in Highway,2026-01-01,2026,Lecture notes in electrical engineering,10.1007/978-981-95-9342-2_13,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-981-95-9342-2_13,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6892378,,Business Insider: A Multi-agent Knowledge Graph Architecture for Corporate Control Inference and Strategic Vulnerability Analysis across Regulatory Jurisdictions,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6892378,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6892378,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/iccces62661.2026.11437027,,CAPRI-DP: A Differentially Private Extension to Context-Aware Multi-Agent Privacy Frameworks,2026-01-21,2026,"2026 5th International Conference on Communication, Computing and Electronics Systems (ICCCES)",10.1109/iccces62661.2026.11437027,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/iccces62661.2026.11437027,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/access.2025.3549312,,CAPRI: A Context-Aware Privacy Framework for Multi-Agent Generative AI Applications,2025-01-01,2025,IEEE Access,10.1109/access.2025.3549312,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/access.2025.3549312,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.19139/soic-2310-5070-3574,,Cascading Instruction Influence Indirect Prompt Injection in Hierarchical Multi-Agent Systems,2026-03-24,2026,"Statistics, Optimization &amp; Information Computing",10.19139/soic-2310-5070-3574,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.19139/soic-2310-5070-3574,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.eswa.2025.127717,,CCMA: A framework for cascading cooperative multi-agent in autonomous driving merging using Large Language Models,2025-04-24,2025,Expert Systems with Applications,10.1016/j.eswa.2025.127717,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.eswa.2025.127717,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.20174515,,Chain-Centric Multi-Agent Framework: Layer-Separated LLM Collaboration Without Subjective Confidence Evaluation,2026-05-14,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20174515,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.20174515,corpus/sets/01_search_catalog/search_catalog.csv
