priority,paper_id,title,venue_year,doi,source_url,identity,current_scope,recommended_scope,scope_reason,current_category,recommended_category,attacker,capabilities,preconditions,surfaces,mechanism,primary_failure,impact,configuration,topology,baseline,metric,unit,denominator,result,evidence,claim_boundary,limitations,maturity,outcome
11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,"AAAI 2026, pp. 31185 to 31192",10.1609/aaai.v40i37.40380,https://ojs.aaai.org/index.php/AAAI/article/view/40380,Canonical AAAI version confirmed. The OJS display contains the grammatical title variant 'A Event-Driven'; use the PDF title 'An Event-Driven' as canonical and record the metadata discrepancy.,core_security,security_relevant,It is a dual-use covert communication protocol for paired agents. It directly informs covert coordination and observer scope but is not inherently a malicious attack or evidence of spontaneous collusion.,attack,protocol; evaluation; dual-use security,Cooperating sender and receiver endpoints facing a passive traffic observer or warden.,"Choose storage, timing, and behavioral events and share protocol state or keys.","Shared keys or protocol state, available channel, and a passive observer without endpoint compromise.",Message content; event timing; behavioral metadata; global communication trace.,"Pi-CCAP encodes encrypted payload bits across storage, timing, and behavioral event dimensions.","From a defender view, oversight or monitorability integrity. From a legitimate-user view, communication privacy is the protected property.",Potential covert coordination. The construction itself is dual-use.,Paired LLM endpoints under multiple channel combinations and passive wardens.,Two communicating endpoints rather than a population topology.,Single-dimension covert channels and benign conversations.,"Effective bits per round, total capacity, bit error or robustness, statistical AUC, and LLM-warden detection outcomes.","Communication round, bit, or dialogue.","Rounds or dialogue instances, depending on metric.",Combined event channels improve usable capacity in tested settings and selected wardens remain weak. This does not establish general undetectability.,"Covert Event Channel Sec., PDF pp. 3 to 4 and Fig. 2; protocol design, PDF pp. 4 to 5 and Algorithm 1; capacity and robustness, PDF pp. 6 to 7 and Tables 1 to 2; invisibility evaluation, PDF pp. 7 to 8 and Fig. 3/Table 3; limitations, PDF p. 8.","Channel construction, capacity, and evaluated wardens are author claims. Coding it as security_relevant and dual-use rather than a core attack is a corpus decision.","Shared keys, passive adversary, selected models and topics, paired agents, no adaptive warden, no prevalence or universal-undetectability claim.",Archival peer-reviewed protocol and evaluation evidence.,Ready after major patch
12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,USENIX Security 2026,Not reported,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,The USENIX title is canonical. The arXiv version has a different title and should be linked as the same work. The current note incorrectly states that no open-access copy exists; an arXiv full text is available.,core_security,core_security,"A black-box user extracts agent count, topology, prompts, task instructions, and tools from an internal multi-agent architecture through its public API.",attack,attack; benchmark; evaluation,Remote black-box API user.,Submits crafted queries and observes final outputs only.,"Internal agents may reveal, propagate, or retain proprietary information through orchestration.",Public API; internal cross-agent communication; final output; architecture metadata.,Worm-inspired black-box elicitation and cross-agent disclosure propagation.,F2 cross-principal or system-IP confidentiality violation.,"Extraction of prompts, instructions, tools, agent count, and topology.",810 synthetic MAS applications plus selected Coze and CrewAI systems; 3 to 6 agents and five topologies in the synthetic corpus.,Multiple generated architecture patterns and real platform cases.,Extraction variants and component-specific baselines described in the paper.,"F1 for agent count, semantic or substring match for prompts and instructions, binary tool hit, graph-edit similarity for topology, and an extraction-rate aggregate over seven components.",Application and protected component.,"Components or applications relevant to each metric. The aggregate ER is an average of seven component measures, not one universal ASR.",The official abstract reports average success of 87% for prompts or instructions and 92% for architecture in most evaluated cases. Keep component-specific measures separate.,Official USENIX record and arXiv full paper; abstract for black-box model and corpus size; method and metric sections for the seven measures; main tables for 87% and 92% results.,"Threat model, dataset, and component extraction results are author claims. Calling it cross-principal confidentiality is a corpus interpretation.",Many applications are synthetic; selected platforms; potential defenses are discussed rather than comprehensively evaluated; architectural leakage and prompt leakage use different metrics.,Archival peer-reviewed primary attack and benchmark evidence.,Ready after minor patch
13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,Findings of ACL 2026,10.18653/v1/2026.findings-acl.1980,https://aclanthology.org/2026.findings-acl.1980/,Canonical Findings of ACL 2026 version confirmed. Metadata is correct.,core_security,core_security,Private memory originates at one agent and reaches an unauthorized member only through topology-conditioned communication and memory updates.,attack,benchmark; evaluation; attack study,One malicious member agent targeting one private-memory holder.,"Participates in normal communication, solicits private data, observes topology-permitted messages, and accumulates information across rounds.","Static known graph, one attacker and one target, synchronous text communication, synthetic PII.",Private memory; inter-agent messages; topology; role placement.,Repeated cooperative-looking solicitation and topology-mediated relay of private cues.,F2 cross-principal confidentiality violation.,Recovery and diffusion of private PII by an unauthorized participant.,"GPT-4o-mini and Llama-3.1-70B networks; 4, 5, or 6 agents; one target and one attacker; ten communication rounds.","Complete, circle, chain, tree, star, and star-ring; varied attacker-target placement.","Cross-topology, placement, agent-count, round-count, PII-category, and model comparisons.","Exact-match-plus-LLM-inference leakage rate, ever-leaked entities, and temporal diffusion.",PII entity and trace or configuration.,"Seeded protected PII entities or evaluated traces, as defined by each result.","Dense graphs and central placements often leak more, while much leakage appears early. Absolute levels and some topology rankings vary by model and should not be universalized.","Secs. 3.1 to 3.3, PDF pp. 3 to 6 and Fig. 1/Table 1 for state, roles, and six topologies; Sec. 4, PDF pp. 7 to 9, Tables 2 to 3 and Figs. 2 to 3 for leakage and temporal results; limitations, PDF p. 9.","Topology setup, metrics, and reported trends are author claims. Assigning F2 as the primary property and indexing it as benchmark/evaluation are corpus decisions.",Synthetic PII; fixed ten rounds; one attacker; text-only synchronous communication; six static topologies; LLM judge in metric pipeline.,Archival peer-reviewed benchmark and evaluation evidence.,Ready after major patch
14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,Findings of ACL 2025,10.18653/v1/2025.findings-acl.349,https://aclanthology.org/2025.findings-acl.349/,Canonical Findings of ACL 2025 version confirmed. Metadata is correct.,core_security,core_security,The attack changes only messages between agents while leaving endpoint models uncompromised.,attack,attack; evaluation,Agent-in-the-middle adversary on selected communication links.,Intercepts and adaptively rewrites protocol-valid messages under role and format constraints.,Access to selected message paths; endpoints trust messages without authenticated integrity protection.,Inter-agent communication links; protocol-valid message content.,Context-aware message interception and adaptive rewriting using reflection.,F3 communication integrity failure.,F4 collective task or decision integrity failure as a downstream consequence.,"Multiple MAS frameworks, communication structures, roles, and application tasks.","Chain, tree, complete, random, and framework-specific structures in evaluation.",Communication-attack variants and direct or prior adversarial strategies.,Whole-dataset ASR for targeted behavior or denial-of-service outcomes.,Task instance.,All evaluated dataset instances for a setting.,The paper demonstrates cross-framework and cross-structure vulnerability in its evaluated tasks. Feasibility does not automatically transfer to authenticated or integrity-protected channels.,"Abstract and threat model, PDF pp. 1 to 3 and Fig. 1; metric definition in Sec. 4.1, approximately PDF p. 5; evaluation tables for framework, structure, and application results; limitations section.","AiTM construction, ASR, and evaluated results are author claims. The authenticated-channel caveat and F3/F4 mapping are corpus interpretations.",Black-box model access; selected frameworks and tasks; public subset of SoftwareDev; assumed message-path access; no universal claim for integrity-protected protocols.,Archival peer-reviewed primary attack evidence.,Ready after minor patch
15,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,EMNLP 2025,10.18653/v1/2025.emnlp-main.611,https://aclanthology.org/2025.emnlp-main.611/,Canonical EMNLP 2025 version confirmed. Metadata is correct.,core_security,core_security,The attacker manipulates one known member and optimizes for a change in the collective decision under incomplete information about the rest of the group.,attack,attack; defense evaluation; empirical study,External attacker with information about one target participant rather than the full collective.,Constructs adversarial inputs for the target and simulates group interactions through a stubborn proxy.,The targeted member participates in communication and can influence majority or consensus-like aggregation.,Target-agent input; outgoing messages; collective aggregation.,M-Spoiler optimizes a persistent adversarial influence using simulated group interactions.,F4 collective task-decision integrity failure.,Incorrect or attacker-chosen group answer.,"Multiple LLM backbones and collaboration sizes, including experiments scaling to 101 agents.",Communication and majority aggregation settings specified by the paper.,Individual-target adversarial attacks without group-interaction simulation and evaluated mitigation variants.,"Targeted and untargeted collective attack success, transferability, and clean-task performance.",Task and final group decision.,Evaluated tasks across three seeds; targeted success uses all-agree for two agents or majority target output for larger groups.,M-Spoiler outperforms attacks optimized only for the individual target in evaluated tasks and transfers under incomplete system knowledge.,"Threat model and incomplete-information game in Sec. 3, PDF pp. 3 to 5; stubborn proxy in Sec. 4, PDF pp. 5 to 7; main result tables in Sec. 5, PDF pp. 7 to 10; metric definition and three-seed reporting in evaluation.","Threat model, method, and task decision results are author claims. The statement that this is not formal Byzantine agreement is a corpus interpretation based on the correctness predicate.","Simplified collaboration and measurable-answer tasks; majority voting; open-ended systems less clear; no classical agreement, validity, or termination guarantee.",Archival peer-reviewed primary attack evidence.,Ready after minor patch
16,zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,"AAAI 2026, pp. 35012 to 35020",10.1609/aaai.v40i41.40806,https://ojs.aaai.org/index.php/AAAI/article/view/40806,Canonical AAAI title uses singular 'System'. The current record should match the OJS and PDF title exactly.,core_security,core_security,"Faulty members inject wrong answers through graph edges and a collective procedure aggregates them; the effect depends on fault count, placement, topology, and aggregation.",attack,defense; evaluation; fault study,Byzantine or faulty member agents repeatedly supplying a prescribed incorrect candidate answer.,Send protocol-valid wrong answers through normal graph edges.,"Seven-node fixed graphs, trusted experiment controller and aggregation, and confidence probes used by CP-WBFT.",Member messages; topology; collective aggregation.,Faulty-answer propagation and confidence-weighted voting.,F4 collective task-decision integrity failure.,Wrong mathematical answer or unsafe classification.,"Seven nodes, six topologies, Byzantine count varied from one to six, GSM8K and XSTest.",Six representative fixed network structures.,"Traditional deterministic nodes, unweighted aggregation, and prompt-level or hidden-state confidence variants.",Task accuracy and reported reliability accuracy.,Task instance under a fault configuration.,GSM8K or XSTest examples in each experiment.,The reported 85.7% fault rate corresponds to six of seven faulty nodes in an oracle-scored task-accuracy experiment. It is not a theorem exceeding the classical asynchronous Byzantine agreement bound.,"Pilot experiment, PDF pp. 2 to 3, Table 1 and Fig. 2; datasets and metrics, PDF pp. 2 and 5; method, PDF pp. 3 to 5 and Fig. 3; experimental setting, PDF p. 5 and Fig. 2/Table 2; result tables, PDF pp. 5 to 7.","Seven-node experiments, CP-WBFT, and task accuracy are author claims. The explicit distinction from classical agreement, validity, and termination is a corpus interpretation.",Two datasets; fixed seven-node graphs; trusted coordinator and confidence probe; task accuracy rather than formal consensus; no open membership or protocol theorem.,Archival peer-reviewed evaluation and defense evidence.,Ready after major patch
17,triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,COLM 2025,Not reported,https://openreview.net/forum?id=DAozI4etUp,Published COLM 2025 record and arXiv version lineage confirmed. Use the conference record as canonical.,core_security,core_security,Untrusted content hijacks multi-agent control flow and routing to invoke otherwise unreachable unsafe agents or functions.,attack,attack; evaluation,"External adversary controlling web, file, email, audio, or other untrusted content.",Places indirect prompt injection that changes LLM-mediated routing or invocation decisions.,Framework orchestrators use generated text or metadata to route among specialist agents and code-capable functions.,Untrusted content; inter-agent messages; orchestration metadata; routing; tool invocation.,Indirect prompt injection plus confused-deputy or control-flow laundering.,"F6 delegation, authority, and control-flow integrity failure.","Unauthorized invocation, data exfiltration, or arbitrary code execution.","AutoGen, CrewAI, MetaGPT, and selected models and orchestrators in lab or container settings.",Framework-specific orchestrated specialist-agent workflows.,Direct and indirect prompt-injection baselines and framework-level mitigations.,Trial-level attack success and successful unsafe or code invocation.,Attack trial and framework/model configuration.,"Trials for each framework, model, and attack scenario.",Setting-specific successes include high rates across several orchestrators and models. Every numeric claim must be copied from its exact table rather than summarized as universal arbitrary-code reliability.,"Abstract and Introduction, PDF pp. 1 to 2; attack design and system diagrams, PDF p. 2 onward; framework/model result tables; mitigation analysis.",Control-flow hijacking and measured unsafe invocations are author claims. Classifying the system consequence as F6 authority integrity is a corpus interpretation.,Three principal frameworks; selected models and orchestrators; enabled unsafe functions; laboratory or container deployment; exploitability depends strongly on routing architecture.,Archival peer-reviewed primary attack evidence.,Ready after minor patch
18,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,ACL 2026,10.18653/v1/2026.acl-long.1577,https://aclanthology.org/2026.acl-long.1577/,Canonical ACL 2026 version confirmed. Metadata is correct.,core_security,core_security,A user trigger and a compromised remote-agent template are benign in isolation and become harmful only when routing composes them.,attack,attack; evaluation,Adversary controlling trigger placement and one remote-agent template while leaving model weights and the client agent unchanged.,Places two fragments and relies on system routing to combine them.,"Star, chain, or DAG routing eventually joins the trigger and hidden template in one effective context.",User query; remote-agent template; routing and provenance; local guards.,Conjunctive activation of individually benign fragments.,"F3 communication, context, or action integrity failure.",Harmful action or unsafe output. F6 authority integrity should be secondary only when an explicit privileged action or permission escalation is demonstrated.,"Client plus remote agents under star, chain, and DAG topologies.","Star, chain, DAG.","Clean, key-only, template-only, both-fragment, nonoptimized attacks, local guards, and tool restrictions.",ASR and false activation across topologies and control conditions.,Attack scenario or routed task.,Evaluated scenarios for each topology and fragment condition.,Routing-aware optimization improves attack success while maintaining low false activation in evaluated configurations.,"Abstract, PDF p. 1; threat model and routing composition, PDF p. 1 onward; experimental tables for clean, single-fragment, and combined conditions; topology tables for star, chain, and DAG.","Two-fragment construction, attacker constraints, topologies, and metrics are author claims. F3 versus F6 classification is a corpus judgment.","Bounded static topologies; abstracted or probabilistic routing; selected guards; no production router, dynamic membership, or broad authorization model.",Archival peer-reviewed primary attack evidence.,Ready after major patch
19,zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,"IEEE Symposium on Security and Privacy 2026, pp. 138 to 155",10.1109/SP63933.2026.00154,https://arxiv.org/abs/2509.06572,Accepted and published at IEEE S&P 2026. Replace the arXiv-only venue record with final IEEE proceedings metadata while keeping the accepted arXiv version linked.,core_security,security_relevant,The system is one LLM host composing multiple MCP servers and tools. It is directly relevant to distributed capability composition but does not necessarily contain multiple independently stateful LLM agent cores.,attack,attack; measurement; ecosystem evaluation,External adversary who plants content in a source later retrieved by a victim workflow.,"Publishes indirect prompts and relies on installed benign tools to ingest content, collect private data, and disclose it.",The host lets untrusted retrieved instructions influence later privileged calls and does not enforce least privilege across the tool chain.,External content; MCP servers and tools; cross-tool execution flow; host authorization.,"Parasitic ingestion, private-data collection, and disclosure through composition of legitimate tools.",F6 least-privilege and authority integrity failure.,F2 confidentiality loss through exfiltration.,"1,360 public MCP servers containing 12,230 tools, plus end-to-end demonstrations across selected LLM hosts.",Host-tool and server composition graph rather than a multi-agent population graph.,"Component-level security analysis, traditional prompt-injection framing, and end-to-end attack variants.",Capability-gadget prevalence and separately measured end-to-end attack success.,"Tool, server, or end-to-end exploit chain.","12,230 tools and 1,360 servers for the census; separate trial denominators for demonstrations.","The census identifies 1,062 tools and 370 servers with capabilities relevant to the modeled attack. This is not the same as successful exploitation of all those tools or servers.","Abstract and attack workflow, PDF p. 1 onward; attack stages in Secs. 2 to 3; census methods and tables; result tables for 1,062 tools and 370 servers; final IEEE metadata record.",Tool and server census and demonstrated attack chains are author claims. Scope downgrade and F6/F2 mapping are corpus interpretations.,Host-tool rather than strict multi-agent boundary; public registry sampling; inaccessible servers and token barriers; LLM-assisted classification plus manual checks; capability presence is not exploit prevalence.,"Archival peer-reviewed systems-security evidence, adjacent to strict LLM-MAS scope.",Ready after major patch
20,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,ICLR 2026,Not reported,https://iclr.cc/virtual/2026/poster/10010017,"Official ICLR program and project repository confirm title, authors, and ICLR 2026 status. No DOI is reported. The full OpenReview PDF was not reliably retrievable during this audit, so exact page and table locators remain pending.",core_security,core_security,"The benchmark targets heterogeneous client and remote agents communicating through the A2A protocol across discovery, task state, requests, and artifacts.",attack,benchmark; evaluation; attack suite,"Malicious registered remote agent, spoofed AgentCard publisher, or adversarial A2A protocol peer.","AgentCard spoofing, capability cloaking, cyclic delegation, half-open task flooding, agent-side request forgery, and artifact-triggered script injection.","Protocol-valid discovery, task, request, and artifact interfaces and an adapter that preserves semantics across implementations.",Registry and AgentCard; discovery; asynchronous task state; remote requests; returned artifacts.,Protocol-logic abuse or supply-chain manipulation introduces and activates a malicious peer.,"Claim-level identity, confidentiality, integrity, or availability failures.","Unsafe request handling, resource exhaustion, or artifact execution.","Official A2A demos in travel, healthcare, and finance through a dynamic adapter; deterministic offline and optional LLM-backed SUTs in the released repository.",Client-to-remote-agent A2A interactions and task lifecycle rather than a generic graph benchmark.,Matched benign controls and default safeguard behavior; release includes deterministic offline baselines.,Attack or safety outcome plus benign utility or helpfulness; Capability Cloaking also reports label accuracy and evidence quality.,Benchmark case and SUT trial.,Repository release includes 100 AgentCard Spoofing cases and 100 cases for each Capability Cloaking split; other executable families have attack cases and matched controls.,Official materials state that the six attack families bypass default safeguards in evaluated demos. Exact paper table values and full denominators must be copied from the final PDF before any quantitative manuscript claim.,"Official ICLR 2026 poster record; project README for the seven listed benchmark rows, release-case counts, matched controls, deterministic baselines, and output schema. Exact paper page and table references remain unresolved.","Benchmark attacks, release structure, and official program status are author or official-project claims. Taxonomic mapping is a corpus interpretation.",Official demo set and three domains; adapter semantics; full paper locators unavailable in this audit; no DOI; not all A2A stacks or deployment policies are covered.,"Archival peer-reviewed benchmark, but exact full-text evidence locators still require manual author access.",Pending exact full-text verification
