priority,paper_id,paper_title,severity,field,required_correction,review_outcome,source_url
16,zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,critical,BFT claim,Do not describe 6 of 7 task accuracy as robustness beyond the classical BFT ceiling.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40806
16,zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,medium,Canonical title,Use singular 'System' as in the official paper.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40806
17,triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,high,Result evidence,Attach each success rate to the exact framework/model table; avoid a single generalized rate.,Ready after minor patch,https://openreview.net/forum?id=DAozI4etUp
17,triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,medium,Failure versus impact,Use authority/control-flow integrity as the failure and RCE or exfiltration as impact.,Ready after minor patch,https://openreview.net/forum?id=DAozI4etUp
18,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,critical,Primary failure,Use F3 context/action integrity as primary unless the source explicitly demonstrates privilege escalation.,Ready after major patch,https://aclanthology.org/2026.acl-long.1577/
18,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,high,Baseline coding,"Record clean, key-only, template-only, and both-fragment controls separately.",Ready after major patch,https://aclanthology.org/2026.acl-long.1577/
18,arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,medium,Metric evidence,Tie ASR and false activation to exact topology tables.,Ready after major patch,https://aclanthology.org/2026.acl-long.1577/
19,zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,critical,Publication metadata,"Record final IEEE S&P venue, DOI, and page range; retain arXiv as linked version.",Ready after major patch,https://arxiv.org/abs/2509.06572
19,zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,critical,Scope relation,Downgrade from core_security to security_relevant under the independent-agent-core definition.,Ready after major patch,https://arxiv.org/abs/2509.06572
19,zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,high,Result interpretation,Separate capability-gadget prevalence from successful exploitation.,Ready after major patch,https://arxiv.org/abs/2509.06572
20,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,critical,Primary category,Change from attack to benchmark/evaluation with an attack-suite role.,Pending exact full-text verification,https://iclr.cc/virtual/2026/poster/10010017
20,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,critical,Evidence locators,"Obtain the final PDF and record exact page, figure, and table locations before manuscript use.",Pending exact full-text verification,https://iclr.cc/virtual/2026/poster/10010017
20,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,high,Metric denominator,"Use release-case counts and matched-control denominators, then reconcile them with the paper tables.",Pending exact full-text verification,https://iclr.cc/virtual/2026/poster/10010017
